Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-4,,DB,T,24,03-Apr,273.7151804,3.22,367,"13°41'46.13""",77.15522222,10.70255556,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15522222222222 10.702555555555556, 77.15652777777778 10.7035)"
T.NO-5,,DD,T,28,04-May,177.045192,2.96,368,"63°8'33.02""",77.15652778,10.7035,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15652777777778 10.7035, 77.15902777777778 10.702194444444444)"
T.NO-6,,DB,T,24,05-Jun,306.8354608,3.73,367,"1°58'58.64""",77.15902778,10.70219444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15902777777778 10.702194444444444, 77.16016666666667 10.701527777777777)"
T.NO-7,,DA,S,26,06-Jul,145.9897257,4.22,370,,77.16016667,10.70152778,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16016666666667 10.701527777777777, 77.16227777777779 10.70036111111111)"
T.NO-8,,DD,T,28,07-Aug,266.3268668,4.73,368,"32°22'37.74""",77.16227778,10.70036111,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16227777777779 10.70036111111111, 77.16325 10.698583333333334)"
T.NO-9,,DC,T,26,08-Sep,221.0701246,3.13,369,"16°20'52.46""",77.16325,10.69858333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16325 10.698583333333334, 77.16372222222223 10.696388888888889)"
T.NO-10,,DD,T,28,09-Oct,248.7126856,2.86,372,"43°37'55.28""",77.16372222,10.69638889,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16372222222223 10.696388888888889, 77.16530555555556 10.695305555555557)"
T.NO-11,,DC,T,29,10-Nov,212.4547011,3.18,374,"19°51'46.27""",77.16530556,10.69530556,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16530555555556 10.695305555555557, 77.16755555555557 10.694722222222222)"
T.NO-12,,DD,T,31,11-Dec,252.7231687,2.37,372,"32°46'25.43""",77.16755556,10.69472222,GOOD,GOOD,,NALA,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16755555555557 10.694722222222222, 77.16894444444445 10.693222222222223)"
T.NO-13,,DC,T,29,Dec-13,225.7011298,2.1,374,"22°17'15.94""",77.16894444,10.69322222,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16894444444445 10.693222222222223, 77.17119444444445 10.692166666666667)"
T.NO-14,,DC,T,29,13-14,272.9468813,2.03,375,"25°47'41.54""",77.17119444,10.69216667,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17119444444445 10.692166666666667, 77.17358333333334 10.692194444444445)"
T.NO-15,,DC,T,29,14-15,260.0480725,4.73,378,"23°16'26.56""",77.17358333,10.69219444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17358333333334 10.692194444444445, 77.17555555555556 10.69138888888889)"
T.NO-16,,DC,T,29,15-16,233.2380758,4.09,376,"24°36'51.47""",77.17555556,10.69138889,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17555555555556 10.69138888888889, 77.17725 10.689583333333333)"
T.NO-17,,DD,T,31,16-17,273.0750813,4.17,380,"59°42'47.70""",77.17725,10.68958333,GOOD,GOOD,LT,MUDROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17725 10.689583333333333, 77.17972222222222 10.690138888888889)"
T.NO-18,2W,DB,T,27,17-18,277.0270745,3.48,386,"1°15'8.45""",77.17972222,10.69013889,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17972222222222 10.690138888888889, 77.18161111111111 10.6905)"
T.NO-19,,DB,T,24,18-19,212.3982109,4.14,379,"8°56'38.19""",77.18161111,10.6905,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18161111111111 10.6905, 77.18411111111112 10.690611111111112)"
T.NO-20,,DB,T,27,19-20,272.3104846,4.8,384,"2°21'57.05""",77.18411111,10.69061111,GOOD,GOOD,"2nos 22KV,2nos LT","NALA,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18411111111112 10.690611111111112, 77.18616666666667 10.690777777777779)"
T.NO-21,,DB,T,27,20-21,224.8910847,6.64,382,"13°24'41.74""",77.18616667,10.69077778,GOOD,GOOD,22KV,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18616666666667 10.690777777777779, 77.18816666666667 10.691416666666667)"
T.NO-22,,DD,T,31,21-22,229.8978034,5.65,380,"51°6'35.30""",77.18816667,10.69141667,GOOD,GOOD,LT,"MUDROAD, NALA,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18816666666667 10.691416666666667, 77.18900000000001 10.69363888888889)"
T.NO-23,,DB,T,24,22-23,261.3541658,6.73,377,"7°7'21.73""",77.189,10.69363889,GOOD,GOOD,,MUDROAD,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18900000000001 10.69363888888889, 77.19005555555556 10.695611111111111)"
T.NO-24,,DC,T,26,23-24,246.8947144,2.91,370,"27°19'47.70""",77.19005556,10.69561111,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19005555555556 10.695611111111111, 77.19183333333334 10.696805555555557)"
T.NO-25,,DB,T,24,24-25,236.1037907,4.18,378,"9°52'10.44""",77.19183333,10.69680556,GOOD,GOOD,"LT,22KV",MUDROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19183333333334 10.696805555555557, 77.19383333333333 10.697750000000001)"
T.NO-26,,DC,T,26,25-26,243.3433788,2.43,372,"26°31'50.57""",77.19383333,10.69775,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19383333333333 10.697750000000001, 77.19597222222222 10.697694444444444)"
T.NO-27,,DB,T,24,26-27,233.0536419,2.56,376,"6°11'56.67""",77.19597222,10.69769444,GOOD,GOOD,LT,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19597222222222 10.697694444444444, 77.19808333333334 10.697861111111111)"
T.NO-28,,DB,T,24,27-28,230.8679276,3.4,369,"7°31'34.57""",77.19808333,10.69786111,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19808333333334 10.697861111111111, 77.19977777777778 10.698194444444445)"
T.NO-29,,DB,T,24,28-29,189.4887859,2.9,373,"0°36'26.47""",77.19977778,10.69819444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19977777777778 10.698194444444445, 77.20133333333334 10.698527777777779)"
T.NO-30,,DB,T,24,29-30,174.7483906,5.02,370,"13°33'54.46""",77.20133333,10.69852778,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20133333333334 10.698527777777779, 77.20322222222222 10.698444444444444)"
T.NO-31,,DB,T,24,30-31,205.0877861,4.82,371,"4°54'18.43""",77.20322222,10.69844444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20322222222222 10.698444444444444, 77.205 10.698527777777779)"
T.NO-32,,DD,T,28,31-32,195.31001,4.33,369,"40°2'45.95""",77.205,10.69852778,GOOD,GOOD,22KV,NALA,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.205 10.698527777777779, 77.20655555555555 10.699972222222222)"
T.NO-33,,DC,T,26,32-33,234.8659192,5.77,367,"15°33'14.06""",77.20655556,10.69997222,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20655555555555 10.699972222222222, 77.20747222222222 10.701444444444444)"
T.NO-34,,DD,T,28,33-34,189.3356807,6.44,363,"37°22'51.29""",77.20747222,10.70144444,GOOD,GOOD,2nos LT,,YES,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20747222222222 10.701444444444444, 77.20772222222223 10.701527777777777)"
GANTRY 110KV ALAMARATHUR ,2W,GANTRY,GANTRY,20,34-GANTRY,30.08321791,,370,,77.20772222,10.70152778,GOOD,MISSING,,,NO,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
