Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
 T.NO-11 DP,,DP,DP,20,10-Nov,29.83286778,,362,,77.28475,10.5935,GOOD,MISSING,,,YES,PLAIN LAND,"NO EARTH WIRE,EARTH WIRE CONNECT TO T.NO-13 FROM T.NO-10,THROUGH GROUND,BUT WE CAN INSTALL OPGW CABLE T.NO-11,12,13 FROM T.NO-10(HAVE CLEARENCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28475 10.5935, 77.28486111111111 10.593805555555557)"
T.NO-12 DP,,DP,DP,20,11-Dec,36.40054945,,362,,77.28486111,10.59380556,GOOD,MISSING,230KV DC LINE CROSSING ABOVE OUR LINE,,YES,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28486111111111 10.593805555555557, 77.28491666666666 10.594083333333334)"
T.NO-13,2W,T,SB,24,Dec-13,28.63564213,2.86,362,"3°49'18.81""",77.28491667,10.59408333,GOOD,MISSING,,,YES,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28491666666666 10.594083333333334, 77.28538888888889 10.597111111111111)"
T.NO-14,,S,SA,26,13-14,340.543683,3.18,366,,77.28538889,10.59711111,GOOD,GOOD,LT,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28538888888889 10.597111111111111, 77.28583333333333 10.599833333333335)"
T.NO-15,,T,SD,28,14-15,303.5061779,2.33,371,"37°6'29.06""",77.28583333,10.59983333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28583333333333 10.599833333333335, 77.28747222222222 10.60136111111111)"
T.NO-16,,S,SC,26,15-16,245.3915239,3.08,369,,77.28747222,10.60136111,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28747222222222 10.60136111111111, 77.289 10.602888888888888)"
T.NO-17,,S,SC,26,16-17,239.0062761,2.73,327,,77.289,10.60288889,GOOD,GOOD,"2nos LT,2nos 11KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.289 10.602888888888888, 77.29086111111111 10.60463888888889)"
T.NO-18,,T,SD,28,17-18,281.4427118,1.7,369,"30°5'49.85""",77.29086111,10.60463889,GOOD,GOOD,LT,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29086111111111 10.60463888888889, 77.29102777777777 10.605222222222222)"
T.NO-19 INDRANAGAR 110KV SS ,3W,T,SB,24,18-19,67.44627492,0.99,375,"4°43'58.84""",77.29102778,10.60522222,GOOD,GOOD,2nos 11KV,"NALA,TAAR ROAD",NO,INSIDE OF SUBSTATION .DIRECT TAPPING FROM LINE.,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29102777777777 10.605222222222222, 77.29172222222222 10.607055555555554)"
T.NO-20,,S,SA,26,19-20,214.1891687,3.12,371,,77.29172222,10.60705556,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29172222222222 10.607055555555554, 77.29277777777777 10.60988888888889)"
T.NO-21,,T,SB,24,20-21,335.5964839,,367,"5°40'9.78""",77.29277778,10.60988889,GOOD,GOOD,LT,NALA,NO,PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29277777777777 10.60988888888889, 77.2941111111111 10.612638888888888)"
T.NO-22,,S,SA,26,21-22,336.3807367,1.27,370,,77.29411111,10.61263889,GOOD,GOOD,LT,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2941111111111 10.612638888888888, 77.29544444444444 10.615361111111111)"
T.NO-23,,T,SB,24,22-23,337.241753,2.42,374,"9°47'8.30""",77.29544444,10.61536111,GOOD,GOOD,"LT,11KV",CANAL,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29544444444444 10.615361111111111, 77.29622222222223 10.618)"
T.NO-24,,S,SA,26,23-24,303.567126,,369,,77.29622222,10.618,GOOD,GOOD,"LT,22KV,230KV DC LINE CROSSING ABOVE OUR LINE",,NO,PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29622222222223 10.618, 77.29705555555556 10.620861111111111)"
T.NO-25,,T,SD,28,24-25,327.7575323,5.12,366,"36°37'49.83""",77.29705556,10.62086111,GOOD,GOOD,"LT,2nos 11KV","MUD ROAD ,POND",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29705555555556 10.620861111111111, 77.29630555555555 10.62275)"
T.NO-26,,T,SC,32,25-26,226.373585,3.76,351,"29°13'10.03""",77.29630556,10.62275,GOOD,GOOD,22KV,"MUD ROAD,TAAR ROAD(SH)",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29630555555555 10.62275, 77.29669444444444 10.625222222222222)"
T.NO-27,,S,SA,26,26-27,273.6512379,3.54,372,,77.29669444,10.62522222,GOOD,GOOD,LT,NALA,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29669444444444 10.625222222222222, 77.29719444444444 10.628527777777778)"
T.NO-28,,S,SA,26,27-28,370.6656175,2.4,366,,77.29719444,10.62852778,GOOD,GOOD,2nos LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29719444444444 10.628527777777778, 77.29761111111111 10.631333333333334)"
T.NO-29,,T,SC,26,28-29,313.2491022,2.6,372,"23°49'21.90""",77.29761111,10.63133333,GOOD,GOOD,2nos 22KV,TAAR ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29761111111111 10.631333333333334, 77.29916666666666 10.633722222222222)"
T.NO-30,2W,T,SB,24,29-30,316.3036516,1.08,368,"14°15'47.87""",77.29916667,10.63372222,GOOD,GOOD,400KV DC LINE -UNDER CONSTRUCTION,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29916666666666 10.633722222222222, 77.29925 10.633972222222221)"
T.NO-31 DP,,DP,DP,20,30-31,29.41088234,,372,,77.29925,10.63397222,GOOD,MISSING,,,YES,PLAIN LAND,"NO EARTH WIRE,NO EARTH WIRE,EARTH WIRE CONNECT TO T.NO-33 FROM T.NO-30,THROUGH GROUND,BUT WE CAN INSTALL OPGW CABLE T.NO-31,32,33 FROM T.NO-30 (HAVE CLEARENCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29925 10.633972222222221, 77.29947222222222 10.634416666666667)"
T.NO-32 DP,,DP,DP,20,31-32,54.12947441,,368,,77.29947222,10.63441667,GOOD,MISSING,400KV DC LINE CROSSING ABOVE OUR LINE,,YES,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29947222222222 10.634416666666667, 77.2996388888889 10.634666666666666)"
T.NO-33,2W,T,SB,24,32-33,33.01514804,3.4,370,"8°3'14.89""",77.29963889,10.63466667,GOOD,MISSING,,,YES,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2996388888889 10.634666666666666, 77.30147222222222 10.636583333333332)"
T.NO-34,,T,SB,24,33-34,290.7662291,3.25,346,"4°36'54.88""",77.30147222,10.63658333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30147222222222 10.636583333333332, 77.30324999999999 10.63875)"
T.NO-35,,S,SA,26,34-35,309.5367506,2.84,364,,77.30325,10.63875,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30324999999999 10.63875, 77.30494444444444 10.64086111111111)"
T.NO-36,,S,SA,26,35-36,299.8683044,3.76,366,,77.30494444,10.64086111,GOOD,GOOD,LT,"MUDROAD,CEMENT ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30494444444444 10.64086111111111, 77.30672222222222 10.643055555555556)"
T.NO-37,,T,SC,26,36-37,310.3191905,3.77,373,"26°33'32.37""",77.30672222,10.64305556,GOOD,GOOD,2nos 22KV,"MUDRROAD,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30672222222222 10.643055555555556, 77.30730555555556 10.645583333333333)"
T.NO-38,,S,SA,26,37-38,286.1485628,3.9,363,,77.30730556,10.64558333,GOOD,GOOD,LT,CANAL,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30730555555556 10.645583333333333, 77.30780555555555 10.648055555555555)"
T.NO-39,,S,SA,26,38-39,281.2329995,4.12,366,,77.30780556,10.64805556,GOOD,GOOD,22KV,"MUDROAD,CANAL",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30780555555555 10.648055555555555, 77.30836111111111 10.65075)"
T.NO-40,,T,SB,24,39-40,304.7654836,1.1,370,"7°7'42.73""",77.30836111,10.65075,GOOD,GOOD,22KV,"MUDROAD,CANAL",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30836111111111 10.65075, 77.30911111111111 10.652916666666666)"
T.NO-41,,S,SA,26,40-41,251.7180963,2.21,361,,77.30911111,10.65291667,GOOD,GOOD,22KV,"MUDROAD,CANAL",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30911111111111 10.652916666666666, 77.30997222222221 10.65538888888889)"
T.NO-42,,S,SA,26,41-42,289.6756807,1.92,359,,77.30997222,10.65538889,GOOD,GOOD,LT,MUDROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30997222222221 10.65538888888889, 77.31086111111111 10.65788888888889)"
T.NO-43,,S,SA,26,42-43,293.1433097,1.4,360,,77.31086111,10.65788889,GOOD,GOOD,LT,"NALA,MUDROAD",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31086111111111 10.65788888888889, 77.31166666666667 10.660166666666667)"
T.NO-44,,S,SA,26,43-44,265.6501459,2.07,361,,77.31166667,10.66016667,GOOD,GOOD,LT,"2nos NALA,MUDROAD",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31166666666667 10.660166666666667, 77.31238888888889 10.662361111111112)"
T.NO-45,,S,SA,26,44-45,256.8151086,3.97,365,,77.31238889,10.66236111,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31238888888889 10.662361111111112, 77.31311111111111 10.664416666666668)"
T.NO-46,,S,SA,26,45-46,242.243679,2.7,369,,77.31311111,10.66441667,GOOD,GOOD,"LT,400KV DC LINE CROSSING ABOVE OUR LINE",,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31311111111111 10.664416666666668, 77.31397222222222 10.666944444444443)"
T.NO-47,,T,SB,24,46-47,293.7771264,2.4,374,"5°38'49.76""",77.31397222,10.66694444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31397222222222 10.666944444444443, 77.3145 10.669166666666666)"
T.NO-48 LILO THUNGAVI 110KV,2W,T,DD,28,47-48,252.073402,1.38,376,"110°5'21.17""",77.3145,10.66916667,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,CULTIVATION,"NEED 3WAY JUNCTION BOX.TWO EARTH WIRE.1 EARTH WIRE CONTINUE TO OUR T.NO-49,ANOTHER EARTH WIRE CONNECT TO POOLAVADI 110KV TOWER (UDUMALAIPET 230KV -POOLAVADI 110KV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3145 10.669166666666666, 77.31633333333333 10.667972222222222)"
T.NO-49,,S,DA,26,48-49,238.8346708,3.04,370,,77.31633333,10.66797222,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31633333333333 10.667972222222222, 77.319 10.666222222222222)"
T.NO-50,,S,DA,26,49-50,352.2385555,4.12,369,,77.319,10.66622222,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.319 10.666222222222222, 77.32086111111111 10.664972222222223)"
T.NO-51,,T,DD,28,50-51,246.0101624,2.39,369,"42°37'7.56""",77.32086111,10.66497222,GOOD,GOOD,22KV,MUDROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32086111111111 10.664972222222223, 77.32338888888889 10.665333333333333)"
T.NO-52,,S,DA,26,51-52,279.4852411,3.18,369,,77.32338889,10.66533333,GOOD,GOOD,LT,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32338888888889 10.665333333333333, 77.32575 10.665694444444444)"
T.NO-53,,S,DA,26,52-53,261.0823625,1.09,367,,77.32575,10.66569444,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32575 10.665694444444444, 77.32836111111111 10.666083333333333)"
T.NO-54,,S,DA,26,53-54,288.6884133,3.07,368,,77.32836111,10.66608333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32836111111111 10.666083333333333, 77.33080555555556 10.666444444444444)"
T.NO-55,,T,DB,24,54-55,270.2831848,1.12,360,"14°53'24.99""",77.33080556,10.66644444,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33080555555556 10.666444444444444, 77.33361111111111 10.66613888888889)"
T.NO-56,,T,DB,24,55-56,308.6632469,0.19,366,"5°40'58.53""",77.33361111,10.66613889,GOOD,GOOD,2nos 22KV,"MUD ROAD,TAAR ROAD",YES,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33361111111111 10.66613888888889, 77.33391666666667 10.666083333333333)"
GANTRY THUNGAVI 110KV SS,2W,GANTRY,GANTRY,20,56-GANTRY,34.71310992,,364,,77.33391667,10.66608333,GOOD,MISSING,,,NO,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
