Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,T,28,9 to 10 ,245,244.9454269,-2.581765213,9.3,422,"35˚37'1""  RT",12.02818,78.374847,good ,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.374847 12.02818, 78.3755 12.02556)"
11,,S,26,10 to 11 ,295,298.6072162,2.025524633,4.3,417,,12.02556,78.3755,good ,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3755 12.02556, 78.37612 12.02309)"
12,,T,24,11 to 12 ,285,281.6265934,-0.337393747,7.7,415,"13˚53'36""  LT",12.02309,78.37612,good ,good ,"Lt-2,11kv - Line crossing ",road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37612 12.02309, 78.37742 12.02066)"
13,2W,T,26,12 to 13 ,305,303.9943315,-3.533591945,6.1,416,"21˚10'51""  LT",12.02066,78.37742,good ,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37742 12.02066, 78.37917 12.01916)"
14,,S,26,13 to 14 ,255,252.8377943,5.175389942,5.3,422,,12.01916,78.37917,good,good ,Lt -11kv line crossing,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37917 12.01916, 78.38096 12.01764)"
15,,S,26,14 to 15 ,255,257.5817652,23.04946879,8.8,426,,12.01764,78.38096,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38096 12.01764, 78.38224 12.01657)"
16,,T,26,15 to 16,185,182.9744754,1.000268327,7.6,419,"17˚19'18""  LT",12.01657,78.38224,good ,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38224 12.01657, 78.38389 12.01588)"
17,,S,26,16 to 17 ,195,195.3373937,-0.920074333,3.6,413,,12.01588,78.38389,good ,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38389 12.01588, 78.38565 12.01514)"
18,,T,24,17 to 18 ,205,208.5335919,0.170597566,7.6,408,"4˚43'27""  RT",12.01514,78.38565,good ,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38565 12.01514, 78.38788 12.01398)"
19,,T,24,18 to 19 ,280,274.8246101,4.58756518,7.6,408,"4˚28'58""  RT",12.01398,78.38788,good,good ,Lt -11kv line crossing,,Paddy field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38788 12.01398, 78.38995 12.01269)"
20,,T,28,19 to 20 ,290,266.9505312,1.166719289,10.2,409,"44˚29'20""  RT",12.01269,78.38995,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38995 12.01269, 78.39068 12.00962)"
21,,T,26,20 to 21 ,350,348.9997317,3.32136226,9.2,410,"22˚18'55""  LT",12.00962,78.39068,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39068 12.00962, 78.39223 12.00748)"
22,,T,26,21 to 22,290,290.9200743,1.810372652,4.1,404,"29˚22'53""  RT",12.00748,78.39223,good,good ,Lt -11kv line crossing,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39223 12.00748, 78.39243 12.00564)"
23,,T,24,22 to 23 ,205,204.8294024,1.754821061,8.6,402,"14˚22'38""  LT",12.00564,78.39243,good,good ,11 kv Line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39243 12.00564, 78.39317 12.00369)"
24,,s,26,23 to 24 ,235,230.4124348,-4.690576594,4.2,409,,12.00369,78.39317,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39317 12.00369, 78.39349 12.0013)"
25,,T,24,24 to 25 ,268,266.8332807,1.056580284,3.1,408,"1˚30'38""  LT",12.0013,78.39349,good,good ,Lt/11kv  linecrossing,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39349 12.0013, 78.39391 11.998697)"
26,2W,T,26,25 to 26 ,295,291.6786377,1.402292292,6.2,414,"20˚28'5""  RT",11.998697,78.39391,good,good ,2-Lt /11kv line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39391 11.998697, 78.39333 11.99588)"
27,,S,26,26 to 27 ,320,318.1896273,1.101352039,8.7,421,,11.99588,78.39333,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39333 11.99588, 78.39275 11.99297)"
28,,T,28,27 to 28 ,330,328.2451789,3.72984707,8.6,422,"43˚35'52""  RT",11.99297,78.39275,good,good ,,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39275 11.99297, 78.390356 11.991301)"
29,,S,26,28 to 29,315,319.6905766,3.218467668,8.9,424,,11.991301,78.390356,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.390356 11.991301, 78.38827 11.98984)"
30,,S,26,29 to 30 ,280,278.9434197,1.278029061,8.6,424,,11.98984,78.38827,good,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38827 11.98984, 78.38657 11.98863)"
31,,T,26,30 t0 31 ,230,228.5977077,2.24661312,7.3,424,"20˚5'9""  LT",11.98863,78.38657,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38657 11.98863, 78.38506 11.98643)"
32,,S,26,31 to 32 ,295,293.898648,-1.894082306,8.3,426,,11.98643,78.38506,good,good ,,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38506 11.98643, 78.38387 11.9847)"
33,,S,26,32 to 33,235,231.2701529,3.036604785,7.4,429,,11.9847,78.38387,good,good ,,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38387 11.9847, 78.38254 11.98284)"
34,,T,26,33 to 34 ,255,251.7815323,2.516054445,8.3,429,"19˚53'40""  LT",11.98284,78.38254,good,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38254 11.98284, 78.382 11.98089)"
35,,S,26,34 to 35 ,225,223.7219709,2.552808655,5.1,427,,11.98089,78.382,good,good ,11 kv /33 kv line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.382 11.98089, 78.38163 11.9797)"
36,,T,26,35 to 36 ,140,137.7533869,0.824911277,10.1,425,"25˚6'28""  LT",11.9797,78.38163,good,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38163 11.9797, 78.38191 11.97776)"
37,,T,28,36 to 37,215,216.8940823,1.013538049,3.3,420,"28˚37'39""  RT",11.97776,78.38191,good,good ,Lt/11kv  linecrossing,mud road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38191 11.97776, 78.38097 11.97529)"
38,,S,26,37 to 38,295,291.9633952,-0.986652922,3.1,416,,11.97529,78.38097,good,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38097 11.97529, 78.38031 11.97358)"
39,,S,26,38 to 39 ,205,202.4839456,3.314803128,3.4,416,,11.97358,78.38031,good,good ,Lt line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38031 11.97358, 78.3795 11.97154)"
40,2W,T,24,39 to 40 ,245,242.4471913,1.722246118,4.6,408,"4˚13'58""  RT",11.97154,78.3795,good,good ,33 line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3795 11.97154, 78.37879 11.97008)"
41,,S,26,40 to 41,180,179.1750887,6.88865856,3.6,420,,11.97008,78.37879,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37879 11.97008, 78.37787 11.96817)"
42,,T,24,41 to 42,235,233.986462,0.237574459,2.6,422,"1˚49'28""  RT",11.96817,78.37787,good,good ,Lt line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37787 11.96817, 78.37644 11.96543)"
43,,S,26,42 to 43,340,340.9866529,1.86541159,2.6,423,,11.96543,78.37644,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37644 11.96543, 78.37506 11.96281)"
44,,T,24,43 to 44,330,326.6851969,2.695607508,4.3,419,"14˚42'14""  RT",11.96281,78.37506,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37506 11.96281, 78.37304 11.96061)"
45,,T,26,44 to 45 ,330,328.2777539,6.599108991,5,423,"23˚51'35""  LT",11.96061,78.37304,good,good ,Lt line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37304 11.96061, 78.37237 11.95861)"
46,,S,26,45 to 46 ,240,233.1113414,-2.431717727,8.9,426,,11.95861,78.37237,good,good ,11kv Line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37237 11.95861, 78.37169 11.95655)"
47,,T,24,46 to 47 ,240,239.7624255,4.033252847,8.6,427,"11˚59'36""  LT",11.95655,78.37169,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37169 11.95655, 78.37149 11.95468)"
48,,T,26,47 to 48 ,210,208.1345884,-2.938396731,10,427,"21˚10'17""  RT",11.95468,78.37149,good,good ,,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37149 11.95468, 78.37016 11.95213)"
49,,T,24,48 to 49 ,320,317.3043925,13.67381586,10.2,433,"3˚12'11""  RT",11.95213,78.37016,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37016 11.95213, 78.3691 11.95035)"
50,,T,24,49 to 50,235,228.400891,8.202431308,3.2,433,"8˚7'54""  RT",11.95035,78.3691,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3691 11.95035, 78.367743 11.948672)"
51,,T,28,50 to 51,235,237.4317177,0.039636227,7,433,"42˚47'49""  LT",11.948672,78.367743,good,good ,2-LT /11kv crossing ,mud road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.367743 11.948672, 78.36797 11.94569)"
52,,T,26,51 to 52 ,335,330.9667472,2.245380589,5.8,437,"21˚48'48""  RT",11.94569,78.36797,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36797 11.94569, 78.367119 11.943037)"
53,,T,26,52 to 53,305,307.9383967,-73.23474012,5.5,437,"29˚49'38""  RT",11.943037,78.367119,good,good ,LT Line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.367119 11.943037, 78.36603 11.94205)"
54,,T,26,53 to 54 ,175,161.3261841,-3.786853647,1,438,"23˚14'52""  LT",11.94205,78.36603,good,good ,2-LT /11kv crossing ,Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36603 11.94205, 78.36503 11.93985)"
55,,T,24,54 to 55 ,275,266.7975687,-6.416942635,5.1,438,"10˚9'14""  LT",11.93985,78.36503,good,good ,LT Line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36503 11.93985, 78.36451 11.93779)"
56,,T,24,55 to 56 ,235,234.9603638,-3.41,6.8,439,"6˚51'29""  LT",11.93779,78.36451,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36451 11.93779, 78.364161 11.935031)"
57,,s,26,56 to 57 ,310,307.7546194,-24.17517398,6.8,432,,11.935031,78.364161,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.364161 11.935031, 78.363921 11.932338)"
58,,s,26,57 to 58 ,226,299.2347401,-13.07460828,7.2,434,,11.932338,78.363921,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.363921 11.932338, 78.363541 11.930342)"
59,,s,26,58 to 59,221,224.7868536,-7.812083067,7.2,430,,11.930342,78.363541,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.363541 11.930342, 78.36317 11.928238)"
60,,s,26,59 to 60 ,230,236.4169426,0,7,424,,11.928238,78.36317,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36317 11.928238, 78.362499 11.925671)"
61,,s,26,60 to 61,290,293.41,0,7,434,,11.925671,78.362499,good,good ,765 kv line crossing,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.362499 11.925671, 78.362265 11.923568)"
62,,T,28,61 to 62 ,210,234.175174,0,5.78,435,"48˚4'11""  LT",11.923568,78.362265,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.362265 11.923568, 78.363079 11.922672)"
63,,T,28,62 to 63 ,120,133.0746083,0,6.34,427,"62˚41'33"" RT",11.922672,78.363079,good,good ,,Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.363079 11.922672, 78.36289 11.922184)"
papireddypatty Gantry,,Gantry,20,63 to Gantry ,50,57.81208307,0,,,,11.922184,78.36289,good,good ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
