Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-32,DD,T,34,31-32,235.2275494069519,,271,"116°7'59.43""",77.01558333333334,10.703111111111111,GOOD,GOOD,NO,22KV,RIVER,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01558333333334 10.703111111111111, 77.01372222222223 10.702444444444444)"
T.NO-33,DD,T,34,32-33,216.41164478835236,,268,"122°38'57.54""",77.01372222222223,10.702444444444444,GOOD,GOOD,NO,,TAAR ROAD (NH),"WATER LOGGED,HEAVY BUSHES",POLLACHI - COIMBATORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01372222222223 10.702444444444444, 77.01405555555556 10.703861111111111)"
T.NO-34,DC,T,29,33-34,158.68522300453813,,272,"21°50'4.12""",77.01405555555556,10.703861111111111,GOOD,GOOD,NO,LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01405555555556 10.703861111111111, 77.01386111111111 10.705)"
T.NO-35,DD,T,31,34-35,127.73801313626261,,275,"86°6'35.55""",77.01386111111111,10.705,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01386111111111 10.705, 77.0123611111111 10.70486111111111)"
T.NO-36,MB,T,45,35-36,164.77863939236784,,277,"7°10'28.05""",77.0123611111111,10.70486111111111,GOOD,GOOD,YES,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0123611111111 10.70486111111111, 77.01105555555556 10.704916666666666)"
T.NO-37,MB,T,45,36-37,143.05593311708537,,276,"8°58'16.54""",77.01105555555556,10.704916666666666,GOOD,GOOD,YES,,NON ELECTRICAL RAILWAY CROSSING,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01105555555556 10.704916666666666, 77.00969444444445 10.705166666666665)"
T.NO-38,DD,T,31,37-38,152.5909564816998,2.83,271,"37°19'42.19""",77.00969444444445,10.705166666666665,GOOD,GOOD,NO,LT,,PLAIN LAND,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00969444444445 10.705166666666665, 77.00875 10.706194444444444)"
T.NO-39,DD,T,31,38-39,153.63918770938616,,263,"45°4'46.38""",77.00875,10.706194444444444,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00875 10.706194444444444, 77.00886111111112 10.707944444444443)"
T.NO-40,DC,T,32,39-40,192.26024029944412,1.98,268,"15°43'36.30""",77.00886111111112,10.707944444444443,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00886111111112 10.707944444444443, 77.00852777777777 10.709444444444443)"
T.NO-41,DD,T,34,40-41,172.2440129583609,,252,"53°17'32.00""",77.00852777777777,10.709444444444443,GOOD,GOOD,NO,"LT,22KV",,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00852777777777 10.709444444444443, 77.00680555555556 10.710222222222221)"
T.NO-42,DB,T,24,41-42,206.8260138377182,,249,"12°57'37.30""",77.00680555555556,10.710222222222221,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00680555555556 10.710222222222221, 77.00522222222222 10.711416666666667)"
T.NO-43,DD,T,28,42-43,216.40009242142204,,255,"63°36'2.48""",77.00522222222222,10.711416666666667,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00522222222222 10.711416666666667, 77.0033611111111 10.7105)"
T.NO-44,DD,T,28,43-44,227.18494668441394,,253,"37°21'45.90""",77.0033611111111,10.7105,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0033611111111 10.7105, 77.00191666666667 10.710777777777777)"
T.NO-45,DD,T,34,44-45,161.8054387219416,,255,"34°1'27.29""",77.00191666666667,10.710777777777777,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00191666666667 10.710777777777777, 77.00011111111111 10.712555555555555)"
T.NO-46,DC,T,32,45-46,278.60366113890177,,246,"18°57'45.23""",77.00011111111111,10.712555555555555,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00011111111111 10.712555555555555, 76.99883333333334 10.713194444444444)"
T.NO-47,DB,T,30,46-47,156.54072952429985,,253,"11°38'0.03""",76.99883333333334,10.713194444444444,GOOD,GOOD,NO,22KV,MUD ROAD,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99883333333334 10.713194444444444, 76.99722222222222 10.71361111111111)"
T.NO-48,DB,T,30,47-48,180.44666802132977,,250,"13°23'35.49""",76.99722222222222,10.71361111111111,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99722222222222 10.71361111111111, 76.99569444444444 10.714388888888887)"
T.NO-49,DD,T,34,48-49,190.53870997778904,,252,"105°58'57.81""",76.99569444444444,10.714388888888887,GOOD,GOOD,NO,LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99569444444444 10.714388888888887, 76.99530555555556 10.712555555555555)"
T.NO-50,DD,T,28,49-50,210.23796041628637,,253,"131°47'11.60""",76.99530555555556,10.712555555555555,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99530555555556 10.712555555555555, 76.99427777777778 10.713944444444444)"
T.NO-51,DD,T,34,50-51,190.80094339389416,,248,"106°18'18.51""",76.99427777777778,10.713944444444444,GOOD,GOOD,NO,LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99427777777778 10.713944444444444, 76.99286111111111 10.71211111111111)"
T.NO-52,DD,T,34,51-52,254.200708102869,,248,"112°16'55.33""",76.99286111111111,10.71211111111111,GOOD,GOOD,NO,2nos LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99286111111111 10.71211111111111, 76.99177777777778 10.713944444444444)"
T.NO-53,DC,T,32,52-53,234.95531490051465,,249,"24°19'26.67""",76.99177777777778,10.713944444444444,GOOD,GOOD,NO,,TAAR ROAD,"WATER LOGGED,HEAVY BUSHES",VADAKAMPALAYAM - POLLACHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99177777777778 10.713944444444444, 76.99055555555556 10.714777777777776)"
T.NO-54,DD,T,28,53-54,162.28986413205232,,253,"119°54'21.06""",76.99055555555556,10.714777777777776,GOOD,GOOD,NO,,,WATER LOCKED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99055555555556 10.714777777777776, 76.99047222222222 10.713777777777777)"
T.NO-55,DD,T,28,54-55,113.44161493913951,,238,"102°17'48.39""",76.99047222222222,10.713777777777777,GOOD,GOOD,NO,,,WATER LOCKED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99047222222222 10.713777777777777, 76.98944444444444 10.714083333333333)"
T.NO-56,DD,T,28,55-56,117.34138229968147,,260,"99°58'4.73""",76.98944444444444,10.714083333333333,GOOD,GOOD,NO,,,WATER LOCKED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98944444444444 10.714083333333333, 76.98925 10.712638888888888)"
T.NO-57,DD,T,28,56-57,163.35544068074378,,253,"88°25'35.18""",76.98925,10.712638888888888,GOOD,GOOD,NO,,,WATER LOCKED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98925 10.712638888888888, 76.98772222222222 10.712777777777777)"
T.NO-58,DD,T,28,57-58,167.86303941010956,,254,"99°50'35.88""",76.98772222222222,10.712777777777777,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98772222222222 10.712777777777777, 76.98813888888888 10.714194444444443)"
T.NO-59,DD,T,28,58-59,163.04907236779974,,256,"33°50'41.38""",76.98813888888888,10.714194444444443,GOOD,GOOD,NO,LT,,WATER LOCKED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98813888888888 10.714194444444443, 76.98791666666666 10.714833333333333)"
T.NO-60,DD,T,28,59-60,73.68174807915459,,250,"75°4'53.19""",76.98791666666666,10.714833333333333,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98791666666666 10.714833333333333, 76.98566666666667 10.714722222222221)"
T.NO-61,DD,T,31,60-61,245.39967400141344,,243,"10°19'22.06""",76.98566666666667,10.714722222222221,GOOD,GOOD,NO,22KV,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98566666666667 10.714722222222221, 76.98480555555555 10.714833333333333)"
T.NO-62,DB,T,30,61-62,97.73944955850733,,238,"1°37'40.88""",76.98480555555555,10.714833333333333,GOOD,GOOD,NO,,MUDROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98480555555555 10.714833333333333, 76.98172222222222 10.715138888888887)"
T.NO-63,DB,T,24,62-63,338.51587850498237,,251,"7°23'30.18""",76.98172222222222,10.715138888888887,GOOD,GOOD,NO,,,"PLAIN LAND,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98172222222222 10.715138888888887, 76.97977777777778 10.71561111111111)"
T.NO-64,DD,T,28,63-64,216.390850083824,3.92,248,"84°22'51.79""",76.97977777777778,10.71561111111111,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97977777777778 10.71561111111111, 76.97944444444444 10.714611111111111)"
T.NO-65,DD,T,28,64-65,113.84199576606166,4.32,248,"73°13'2.48""",76.97944444444444,10.714611111111111,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97944444444444 10.714611111111111, 76.9785 10.714666666666666)"
T.NO-66,DB,T,24,65-66,104.04326023342406,4.64,248,"0°52'59.24""",76.9785,10.714666666666666,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9785 10.714666666666666, 76.97602777777777 10.714777777777776)"
T.NO-67,DD,T,28,66-67,271.26555254952666,7.43,252,"78°29'57.06""",76.97602777777777,10.714777777777776,GOOD,GOOD,NO,"2nos LT,22KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97602777777777 10.714777777777776, 76.9756111111111 10.713194444444444)"
T.NO-68,DC,T,26,67-68,181.41664752717708,6.18,256,"16°1'25.06""",76.9756111111111,10.713194444444444,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9756111111111 10.713194444444444, 76.97569444444444 10.710333333333333)"
T.NO-69,DB,T,24,68-69,317.1907943178679,4.48,258,"12°7'4.70""",76.97569444444444,10.710333333333333,GOOD,GOOD,NO,LT,"TAAR ROAD, MUDROAD,NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97569444444444 10.710333333333333, 76.9761388888889 10.708555555555554)"
T.NO-70,DD,T,28,69-70,201.06217943710845,3.89,260,"65°53'11.98""",76.9761388888889,10.708555555555554,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9761388888889 10.708555555555554, 76.97783333333334 10.70825)"
T.NO-71,DD,T,28,70-71,189.88944151795275,4.02,260,"74°8'9.62""",76.97783333333334,10.70825,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97783333333334 10.70825, 76.97800000000001 10.7065)"
T.NO-72,DB,T,24,71-72,196.02295783912658,4.19,264,"7°22'36.42""",76.97800000000001,10.7065,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97800000000001 10.7065, 76.97794444444445 10.704444444444444)"
T.NO-73,DB,T,24,72-73,226.07963198837706,4.81,263,"2°6'52.15""",76.97794444444445,10.704444444444444,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97794444444445 10.704444444444444, 76.97794444444445 10.702694444444443)"
T.NO-74,DB,T,24,73-74,193.01036241611484,5.12,271,"14°6'41.60""",76.97794444444445,10.702694444444443,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97794444444445 10.702694444444443, 76.97847222222222 10.700694444444444)"
T.NO-75,DB,T,24,74-75,228.4841351166422,5.76,276,"6°26'47.11""",76.97847222222222,10.700694444444444,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97847222222222 10.700694444444444, 76.97905555555556 10.699166666666667)"
T.NO-76,DC,T,26,75-76,180.13605968822566,4.8,280,"16°37'45.25""",76.97905555555556,10.699166666666667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97905555555556 10.699166666666667, 76.97916666666667 10.697583333333334)"
T.NO-77,DB,T,24,76-77,177.55280904564702,7.36,282,"8°31'55.04""",76.97916666666667,10.697583333333334,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97916666666667 10.697583333333334, 76.97902777777777 10.695638888888888)"
T.NO-78,DB,T,24,77-78,214.5250568115529,7.02,285,"13°8'9.78""",76.97902777777777,10.695638888888888,GOOD,GOOD,NO,LT cum 22KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97902777777777 10.695638888888888, 76.97847222222222 10.693944444444444)"
T.NO-79,DB,T,24,78-79,196.74348782107123,6.83,285,"13°8'9.78""",76.97847222222222,10.693944444444444,GOOD,GOOD,NO,22KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97847222222222 10.693944444444444, 76.97730555555556 10.691777777777778)"
T.NO-80,DD,T,28,79-80,272.88275870783775,6.18,277,"33°24'6.40""",76.97730555555556,10.691777777777778,GOOD,GOOD,NO,22KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97730555555556 10.691777777777778, 76.97747222222222 10.689777777777778)"
T.NO-81,DB,T,24,80-81,221.9954954497951,7.85,278,"7°53'47.16""",76.97747222222222,10.689777777777778,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97747222222222 10.689777777777778, 76.97794444444445 10.687722222222222)"
