Tower No,JOINT BOX,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
8,,S,DA,26,7  to 8,,300.2633192,,5.51,333,,12.21402,78.59672,good ,good ,"11Kv,LT, line crossing ",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59672 12.21402, 78.5951 12.21179)"
9,,T,DB,24,8  to 9,,303.338722,,5.88,328,"0˚45'19"" LT",12.21179,78.5951,good ,good ,LTLine crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5951 12.21179, 78.59344 12.20944)"
10,,T,DB,24,9  to 10,,316.7047723,,6.2,328,"5˚42'2"" LT",12.20944,78.59344,good ,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59344 12.20944, 78.59232 12.20746)"
11,,S,DA,26,10  to 11,,250.7723731,,5.91,326,,12.20746,78.59232,good ,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59232 12.20746, 78.59113 12.20531)"
12,,S,DA,26,11  to 12,,270.93061,,6.15,327,,12.20531,78.59113,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59113 12.20531, 78.59006 12.20335)"
13,,T,DC,26,12  to 13,,246.2201889,,5.82,328,"23˚5'40"" RT",12.20335,78.59006,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59006 12.20335, 78.58865 12.20224)"
14,,S,DA,26,13  to 14,,196.610739,,5.64,326,,12.20224,78.58865,good ,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58865 12.20224, 78.58614 12.20049)"
15,,S,DA,26,14  to 15,,334.9407948,,6.2,320,,12.20049,78.58614,good ,good ,Lt Line crossing,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58614 12.20049, 78.58408 12.19866)"
16,,T,DD,28,15  to 16,,302.1905362,,5.35,322,"36˚29'8"" LT",12.19866,78.58408,good ,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58408 12.19866, 78.58356 12.19613)"
17,,S,DA,26,16  to 17,,285.6717118,,5.28,324,,12.19613,78.58356,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58356 12.19613, 78.58302 12.19335)"
18,2W,S,DA,26,17  to 18,,313.2410917,,5.41,319,,12.19335,78.58302,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58302 12.19335, 78.58244 12.19055)"
19,,S,DA,26,18  to 19,,316.2563947,,5.53,322,,12.19055,78.58244,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58244 12.19055, 78.58183 12.18751)"
20,,T,DD,28,19  to 20,,342.9421855,,5.62,323,"35˚3'16"" RT",12.18751,78.58183,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58183 12.18751, 78.57991 12.1857)"
21,,S,DA,26,20  to 21,,289.5300134,,6.23,319,,12.1857,78.57991,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57991 12.1857, 78.578 12.18388)"
22,,S,DA,26,21  to 22,,289.5152018,,6.96,312,,12.18388,78.578,good,good ,,River crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.578 12.18388, 78.57566 12.18167)"
23,,S,DA,26,22  to 23,,353.1795434,,6.78,313,,12.18167,78.57566,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57566 12.18167, 78.57397 12.18006)"
24,,S,DA,26,23  to 24,,256.1423495,,7.29,316,,12.18006,78.57397,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57397 12.18006, 78.57209 12.17828)"
25,,S,DA,26,24  to 25,,284.0946882,,7.35,323,,12.17828,78.57209,good,good ,"11Kv,LT, line crossing ",Road ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57209 12.17828, 78.57024 12.17654)"
26,,S,DA,26,25  to 26,,278.6741852,,5.45,322,,12.17654,78.57024,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57024 12.17654, 78.56825 12.17466)"
27,,S,DA,26,26  to 27,,300.4018851,,5.67,323,,12.17466,78.56825,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56825 12.17466, 78.56647 12.17299)"
28,,S,DA,26,27  to 28,,267.814219,,6.11,326,,12.17299,78.56647,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56647 12.17299, 78.56456 12.17117)"
29,,S,DA,26,28  to 29,,289.5249717,,7.29,326,,12.17117,78.56456,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56456 12.17117, 78.56296 12.16966)"
30,,T,DC,26,29  to 30,,241.4131173,,"6,73",335,"26˚47'23"" RT",12.16966,78.56296,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56296 12.16966, 78.56037 12.16888)"
31,,S,DA,26,30  to 31,,294.9304346,,6.19,355,,12.16888,78.56037,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56037 12.16888, 78.55799 12.16817)"
32,2W,S,DA,26,31  to 32,,270.8003862,,5.83,342,,12.16817,78.55799,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55799 12.16817, 78.5554 12.16744)"
33,,S,DA,26,32  to 33,,293.3609314,,"5,51",343,,12.16744,78.5554,good,good ,Lt line crossing-2,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5554 12.16744, 78.55256 12.16669)"
34,,S,DA,26,33  to 34,,320.1859226,,5.69,339,,12.16669,78.55256,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55256 12.16669, 78.55074 12.16609)"
35,,T,DB,24,34  to 35,,209.0051421,,5.38,293,"2˚28'39"" RT",12.16609,78.55074,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55074 12.16609, 78.55021 12.16594)"
36,,S,DA,26,35  to 36,,60.05089256,,5.98,336,,12.16594,78.55021,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55021 12.16594, 78.5473 12.16514)"
37,,T,DC,26,36  to 37,,329.0022683,,6.17,342,"19˚22'44"" LT",12.16514,78.5473,good,good ,"11 Kv ,Lt Line Crossing -2",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5473 12.16514, 78.54518 12.16368)"
38,,S,DA,26,37  to 38,,281.7796295,,5.87,334,,12.16368,78.54518,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54518 12.16368, 78.54303 12.16222)"
39,,T,DD,28,38  to 39,,284.4634456,,"5,93",339,"30˚9'36"" RT",12.16222,78.54303,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54303 12.16222, 78.54029 12.16201)"
40,,S,DA,26,39  to 40,,299.2624869,,5.65,344,,12.16201,78.54029,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54029 12.16201, 78.53757 12.16178)"
41,,T,DD,28,40  to 41,,297.273504,,6.1,345,"53˚36'54"" RT",12.16178,78.53757,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53757 12.16178, 78.53732 12.16206)"
DP1,,T,DP1,24,41-DP1,,41.24843653,,6.36,346,"15˚6'15"" RT",12.16206,78.53732,good,good ,230kv  tower No.235 to 236,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53732 12.16206, 78.53713 12.16244)"
DP2,,T,DP2,24,DP1-DP2,,46.8708301,,5.81,345,"46˚26'19"" LT",12.16244,78.53713,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53713 12.16244, 78.53687 12.16252)"
42,,T,DB,24,DP2 to 42,,29.66370597,,5.67,344,"13˚53'30"" LT",12.16252,78.53687,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53687 12.16252, 78.53436 12.16267)"
43,,S,DA,26,42  to 43,,273.8183138,,5.88,324,,12.16267,78.53436,good,good ,Lt Line crossing -3,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53436 12.16267, 78.53213 12.16284)"
44,,S,DA,26,43  to 44,,243.5534205,,5.87,328,,12.16284,78.53213,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53213 12.16284, 78.52969 12.16299)"
45,,S,DA,26,44  to 45,,266.2110071,,5.92,332,,12.16299,78.52969,good,good ,"11kv ,-Lt Linecrossing -3 ",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52969 12.16299, 78.52749 12.16314)"
46,2W,T,DD,28,45  to 46,,240.1339537,,6.23,340,"40˚46'3"" LT",12.16314,78.52749,good,good ,"11kv ,Lt Line crossing ",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52749 12.16314, 78.52533 12.16155)"
47,,S,DA,26,46  to 47,,293.7513151,,6.17,349,,12.16155,78.52533,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52533 12.16155, 78.52348 12.16023)"
48,,S,DA,26,47  to 48,,248.8494807,,6.56,349,,12.16023,78.52348,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52348 12.16023, 78.52147 12.15879)"
49,,S,DA,26,48  to 49,,270.7527181,,7.23,348,,12.15879,78.52147,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52147 12.15879, 78.51933 12.15723)"
50,,S,DA,26,49  to 50,,290.025843,,9.33,348,,12.15723,78.51933,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51933 12.15723, 78.51762 12.156)"
51,,T,DB,24,50  to 51,,230.665461,,5.86,351,"14˚32'41"" LT",12.156,78.51762,good,good ,"11 kv ,Lt Line  crossing ",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51762 12.156, 78.51614 12.15422)"
52,,S,DA,26,51  to 52,,254.531903,,6.78,346,,12.15422,78.51614,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51614 12.15422, 78.51472 12.15251)"
53,,S,DA,26,52  to 53,,244.3991936,,5.69,342,,12.15251,78.51472,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51472 12.15251, 78.51313 12.15058)"
54,,S,DA,26,53  to 54,,274.9711459,,5.54,342,,12.15058,78.51313,good,good ,Lt Line crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51313 12.15058, 78.51172 12.14885)"
55,,T,DC,26,54  to 55,,245.4364714,,5.86,345,"18˚19'3"" LT",12.14885,78.51172,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51172 12.14885, 78.51082 12.14647)"
56,,S,DA,26,55  to 56,,281.0594983,,6.3,348,,12.14647,78.51082,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51082 12.14647, 78.50986 12.14392)"
57,,S,DA,26,56  to 57,,300.9732452,,7.8,355,,12.14392,78.50986,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50986 12.14392, 78.50909 12.14189)"
58,,T,DB,24,57  to 58,,239.81746,,9.3,354,"9˚14'39"" LT",12.14189,78.50909,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50909 12.14189, 78.5086 12.13946)"
59,,S,DA,26,58  to 59,,274.1943825,,7.63,348,,12.13946,78.5086,good,good ,"11kv,Lt line crossing ",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5086 12.13946, 78.50814 12.13715)"
60,,S,DA,26,59  to 60,,260.5318182,,7.52,350,,12.13715,78.50814,good,good ,11kv Line crossing -2,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50814 12.13715, 78.50762 12.13464)"
61,,T,DC,26,60  to 61,,283.5194642,,6.48,354,"18˚28'57"" RT",12.13464,78.50762,good,good ,Lt Line crossing -,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50762 12.13464, 78.50637 12.13251)"
62,2W,S,DA,26,61  to 62,,272.2290862,,6.23,353,,12.13251,78.50637,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50637 12.13251, 78.50497 12.13014)"
63,,S,DA,26,62  to 63,,303.4034832,,5.2,352,,12.13014,78.50497,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50497 12.13014, 78.50365 12.12788)"
64,,S,DA,26,63  to 64,,288.5037372,,6.21,353,,12.12788,78.50365,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50365 12.12788, 78.5022 12.12538)"
65,,T,DB,24,64  to 65,,318.5914659,,4.82,356,"12˚14'26"" RT",12.12538,78.5022,good,good ,"Lt,11kv line crossing ",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5022 12.12538, 78.50072 12.12376)"
66,,S,DA,26,65  to 66,,241.1009321,,7.63,354,,12.12376,78.50072,good,good ,11 kv line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50072 12.12376, 78.49879 12.12164)"
67,,S,DA,26,66  to 67,,315.0222482,,8.22,348,,12.12164,78.49879,good,good ,11 kv line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49879 12.12164, 78.49678 12.1194)"
68,,S,DA,26,67  to 68,,330.738623,,5.9,349,,12.1194,78.49678,good,good ,11 kv line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49678 12.1194, 78.49512 12.1176)"
69,,S,DA,26,68  to 69,,269.0292426,,5.66,347,,12.1176,78.49512,good,good ,11 kv line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49512 12.1176, 78.49239 12.11556)"
70,,S,DA,26,69  to 70,,373.3445067,,7.23,347,,12.11556,78.49239,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49239 12.11556, 78.4913 12.11338)"
71,,S,DA,26,70  to 71,,268.9081361,,6.7,355,,12.11338,78.4913,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4913 12.11338, 78.48921 12.1116)"
72,,S,DA,26,71  to 72,,301.0475656,,6.9,360,,12.1116,78.48921,good,good ,11kv LT line crossing ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48921 12.1116, 78.48806 12.10983)"
73,,T,DC,26,72  to 73,,232.5235662,,7.2,338,"25˚53'4"" LT",12.10983,78.48806,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48806 12.10983, 78.48776 12.10732)"
74,,S,DA,26,73  to 74,,279.724846,,6.5,353,,12.10732,78.48776,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48776 12.10732, 78.487337 12.103432)"
75,,S,DA,26,74  to 75,,432.7771483,,6.66,350,,12.103432,78.487337,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.487337 12.103432, 78.48689 12.09984)"
76,,S,DA,26,75  to 76,,400.5478557,,8.9,350,,12.09984,78.48689,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48689 12.09984, 78.48666 12.09778)"
77,2W,S,DA,26,76  to 77,,229.3755294,,6.4,354,,12.09778,78.48666,good,good ,Lt line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48666 12.09778, 78.48643 12.09576)"
78,,T,DC,26,77  to 78,,224.9753125,,6.1,358,"19˚54'46"" RT",12.09576,78.48643,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48643 12.09576, 78.48536 12.09363)"
79,,S,DA,26,78  to 79,,262.9860698,,5.3,362,,12.09363,78.48536,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48536 12.09363, 78.48435 12.0916)"
80,,S,DA,26,79  to 80,,250.1702895,,4.3,362,,12.0916,78.48435,good,good ,Lt Linecrossing ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48435 12.0916, 78.48326 12.0894)"
81,,S,DA,26,80  to 81,,270.902034,,3.6,365,,12.0894,78.48326,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48326 12.0894, 78.48222 12.08736)"
82,,S,DA,26,81  to 82,,252.6143022,,5.3,370,,12.08736,78.48222,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48222 12.08736, 78.48195 12.08517)"
83,,S,DA,26,82  to 83,,244.170262,,4.3,362,,12.08517,78.48195,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48195 12.08517, 78.48161 12.0826)"
84,,S,DA,26,83  to 84,,286.8524265,,3.4,357,,12.0826,78.48161,good,good ,11 kv line crossing ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48161 12.0826, 78.4812 12.08117)"
85 TAPPING,3W,T,DB,24,84  to 85,,164.4548676,,9.82,354,"2˚8'59"" LT",12.08117,78.4812,good,good ,,,Plain,Taaping Ramiyanahalli 110 kv line  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4812 12.08117, 78.48059 12.07869)"
86,,S,DA,26,85  to 86,,282.418255,,8.85,360,,12.07869,78.48059,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48059 12.07869, 78.47973 12.07593)"
87,,S,DA,26,86  to 87,,319.5225399,,10.12,355,,12.07593,78.47973,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47973 12.07593, 78.47937 12.07309)"
88,,S,DA,26,87  to 88,,316.772653,,9.76,355,,12.07309,78.47937,good,good ,11 kv line crossing ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47937 12.07309, 78.47898 12.07109)"
89,,S,DA,26,88  to 89,,225.4031448,,8.95,356,,12.07109,78.47898,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47898 12.07109, 78.47857 12.06871)"
90,,S,DA,26,89  to 90,,267.1818047,,7.79,361,,12.06871,78.47857,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47857 12.06871, 78.47801 12.06682)"
91,,S,DA,26,90  to 91,,217.9016867,,9.47,362,,12.06682,78.47801,good,good ,11 kv line crossing -2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47801 12.06682, 78.47731 12.06456)"
92,,S,DA,26,91  to 92,,261.5054259,,10.13,364,,12.06456,78.47731,good,good ,11kv LT line crossing ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47731 12.06456, 78.47659 12.06202)"
93,,T,DC,26,92  to 93,,291.8679259,,10.1,371,"21˚32'25"" LT",12.06202,78.47659,good,good ,11 kv line crossing ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47659 12.06202, 78.47619 12.0615)"
94,,T,DB,24,93  to 94,,72.18901224,,11.44,371,"1˚8'27"" RT",12.0615,78.47619,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47619 12.0615, 78.47514 12.06019)"
95,,T,DB,24,94  to 95,,184.6796306,,8.36,368,"2˚53'46"" RT",12.06019,78.47514,good,good ,Lt Linecrossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47514 12.06019, 78.47381 12.058693)"
96,,S,DA,26,95  to 96,,220.1250392,,8.89,368,,12.058693,78.47381,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47381 12.058693, 78.47291 12.05735)"
97,,T,DD,28,96  to 97,,178.0455239,,7.23,368,"31˚22'20"" LT",12.05735,78.47291,good,good ,Lt Linecrossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47291 12.05735, 78.47285 12.05569)"
98,,S,DA,26,97  to 98,,183.8485057,,8.19,370,,12.05569,78.47285,good,good ,"Lt-2,11kv -2 Line crossing ",Road-2,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47285 12.05569, 78.4728 12.05355)"
99,2W,T,DD,28,98  to 99,,236.9222858,,6.45,369,"70˚47'46"" LT",12.05355,78.4728,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4728 12.05355, 78.47394 12.05313)"
 HARUR Gantry,2W,T,T,20,99  to Gantry,,132.6062744,,,,,12.05313,78.47394,good,good ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
