S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,35/1 COIMBATORE SS LILO,T,MC,45,34-35/1,278.0647406630334,5.3,430,"27°30'35""",76.93005555555555,11.004444444444445,GOOD,GOOD,LT,TAAR ROAD,PLAIN,TWO EARTH WIRE .ONE WIRE IS CONNECT WITH OUR LINE and ANOTHER wire  IS CONNECT WITH COIMBATORE LINE(T.NO 35/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93005555555555 11.004444444444445, 76.93111111111112 11.002305555555555)"
37,36,T,DB,24,35/1-36,263.41222446955646,5.5,425,"0°23'15""",76.93111111111112,11.002305555555555,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93111111111112 11.002305555555555, 76.93211111111111 11.000277777777777)"
38,37,S,DA,26,36-37,248.65437860612872,6.15,421,,76.93211111111111,11.000277777777777,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93211111111111 11.000277777777777, 76.93327777777779 10.997972222222222)"
39,38,T,DC,26,37-38,287.5586896617802,4.1,421,"28°42'47""",76.93327777777779,10.997972222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93327777777779 10.997972222222222, 76.93316666666666 10.995027777777777)"
40,39,S,DA,26,38-39,326.18553002854065,2,422,,76.93316666666666,10.995027777777777,GOOD,GOOD,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93316666666666 10.995027777777777, 76.933 10.99236111111111)"
41,40,S,DA,26,39-40,295.3811097548386,1.3,416,,76.933,10.99236111111111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.933 10.99236111111111, 76.9328888888889 10.989722222222222)"
42,41,S,DA,26,40-41,292.2071183253413,2.8,419,,76.9328888888889,10.989722222222222,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9328888888889 10.989722222222222, 76.93283333333333 10.987416666666666)"
43,42,S,DA,26,41-42,254.07085625864295,5.7,414,,76.93283333333333,10.987416666666666,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93283333333333 10.987416666666666, 76.93266666666668 10.985194444444444)"
44,43,S,DA,26,42-43,245.45875417267155,4.2,417,,76.93266666666668,10.985194444444444,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93266666666668 10.985194444444444, 76.93261111111111 10.983416666666665)"
45,44,T,DD,28,43-44,196.0637651377735,1,409,"31°24'27""",76.93261111111111,10.983416666666665,GOOD,GOOD,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93261111111111 10.983416666666665, 76.93394444444445 10.981)"
46,45,T,DB,30,44-45,305.761344842673,15,412,"0°32'9""",76.93394444444445,10.981,GOOD,GOOD,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93394444444445 10.981, 76.93508333333334 10.978916666666667)"
47,46,T,MC,45,45-46,260.89461473936177,1,414,"23°36'54""",76.93508333333334,10.978916666666667,GOOD,GOOD,,RIVER,PLAIN,NEED JUNCTION BOX  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93508333333334 10.978916666666667, 76.93535555555556 10.978286111111112)"
49,46/2,T,MC,45,46/1-46/2,19.1049731745428,1,419,"91°51'5""",76.93535555555556,10.978286111111112,GOOD,GOOD,,,PLAIN,NEED JUNCTION BOX TO CONNECT SELVAPURAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93535555555556 10.978286111111112, 76.93505555555556 10.97575)"
50,47,S,DA,26,46/2-47,238.89118861942146,3.5,419,,76.93505555555556,10.97575,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93505555555556 10.97575, 76.93466666666667 10.973166666666668)"
51,48,S,DA,26,47-48,286.9442454554543,2.5,418,,76.93466666666667,10.973166666666668,GOOD,GOOD,LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93466666666667 10.973166666666668, 76.93430555555555 10.970777777777778)"
52,49,S,DA,26,48-49,267.5705514439136,3.5,415,,76.93430555555555,10.970777777777778,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93430555555555 10.970777777777778, 76.93402777777779 10.968722222222222)"
53,50,S,DA,26,49-50,229.9652147608416,3.8,418,,76.93402777777779,10.968722222222222,GOOD,GOOD,33kv,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93402777777779 10.968722222222222, 76.93361111111112 10.965888888888887)"
54,51,S,DA,26,50-51,316.93059177050105,1.18,425,,76.93361111111112,10.965888888888887,GOOD,GOOD,33kv,"2nos MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93361111111112 10.965888888888887, 76.93319444444445 10.963083333333332)"
55,52,T,DC,26,51-52,312.25950746134214,2.2,425,"19°10'13""",76.93319444444445,10.963083333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93319444444445 10.963083333333332, 76.9336388888889 10.960749999999999)"
56,53,T,DB,24,52-53,265.1490147068248,3,429,"0°47'50""",76.9336388888889,10.960749999999999,GOOD,GOOD,"2nos LT,2nos 33kv","CANAL,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9336388888889 10.960749999999999, 76.93411111111112 10.95811111111111)"
57,54,T,DB,24,53-54,295.96790366524544,2.8,424,"0°2'54""",76.93411111111112,10.95811111111111,GOOD,GOOD,110kv crossing below our line,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93411111111112 10.95811111111111, 76.93447222222223 10.956249999999999)"
58,55,S,DA,26,54-55,210.6418761785035,2.8,425,,76.93447222222223,10.956249999999999,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93447222222223 10.956249999999999, 76.93497222222223 10.953583333333333)"
59,56,S,DA,26,55-56,298.30353668704635,2,424,,76.93497222222223,10.953583333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93497222222223 10.953583333333333, 76.93541666666667 10.950777777777777)"
60,57,S,DA,26,56-57,314.49801271232224,1,423,,76.93541666666667,10.950777777777777,GOOD,GOOD,"LT,33kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93541666666667 10.950777777777777, 76.93591666666667 10.947972222222223)"
61,58,S,DA,26,57-58,313.8566551787615,1.5,434,,76.93591666666667,10.947972222222223,GOOD,GOOD,"3nos LT,33kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93591666666667 10.947972222222223, 76.93644444444445 10.945305555555557)"
62,59,T,DD,28,58-59,303.19960422137757,2.8,429,"49°30'49""",76.93644444444445,10.945305555555557,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93644444444445 10.945305555555557, 76.9388888888889 10.943944444444444)"
63,60,S,DA,26,59-60,305.761344842673,5.3,428,,76.9388888888889,10.943944444444444,GOOD,GOOD,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9388888888889 10.943944444444444, 76.94125000000001 10.942527777777778)"
64,61,S,DA,26,60-61,302.6962173533062,13,423,,76.94125000000001,10.942527777777778,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94125000000001 10.942527777777778, 76.94377777777778 10.941083333333333)"
65,62,S,DA,26,61-62,317.52952618614853,4,428,,76.94377777777778,10.941083333333333,GOOD,GOOD,"LT,33kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94377777777778 10.941083333333333, 76.94608333333333 10.939722222222223)"
66,63,T,DB,24,62-63,294.83724323768865,53,421,"0°30'2""",76.94608333333333,10.939722222222223,GOOD,GOOD,2nos LT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94608333333333 10.939722222222223, 76.94980555555556 10.93763888888889)"
67,64,T,DB,24,63-64,466.12981024603005,14,417,"13°10'54""",76.94980555555556,10.93763888888889,GOOD,GOOD,"2nos LT,,2nos 33kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94980555555556 10.93763888888889, 76.95127777777778 10.936277777777779)"
68,65,T,DD,28,64-65,220.10224896624752,20,396,"72°38'48""",76.95127777777778,10.936277777777779,GOOD,GOOD,33kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95127777777778 10.936277777777779, 76.95102777777778 10.935805555555556)"
69,66,T,DD,28,65-66,58.60034129593445,11,399,"107°35'11""",76.95102777777778,10.935805555555556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95102777777778 10.935805555555556, 76.95197222222222 10.935666666666666)"
70,67,T,DD,28,66-67,104.93807697875924,5,395,"35°31'28""",76.95197222222222,10.935666666666666,GOOD,GOOD,,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95197222222222 10.935666666666666, 76.95422222222223 10.933583333333333)"
71,68,T,DB,24,67-68,336.04315199093105,10,404,"12°1'12""",76.95422222222223,10.933583333333333,GOOD,GOOD,"LT,33kv,110kv Crossing below our line",,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95422222222223 10.933583333333333, 76.95716666666667 10.931777777777777)"
72,69,T,DB,24,68-69,378.67136147324373,3.2,391,"0°59'52""",76.95716666666667,10.931777777777777,GOOD,GOOD,2nos LT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95716666666667 10.931777777777777, 76.95897222222223 10.930722222222222)"
73,70,S,DA,26,69-70,229.12442034842118,3.95,386,,76.95897222222223,10.930722222222222,GOOD,GOOD,33kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95897222222223 10.930722222222222, 76.96147222222223 10.929277777777777)"
74,71,T,DB,30,70-71,318.0251562376788,30,390,"1°24'45""",76.96147222222223,10.929277777777777,GOOD,GOOD,LT,TAAR ROAD,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96147222222223 10.929277777777777, 76.96388888888889 10.927944444444444)"
75,72,T,DB,36,71-72,303.43368303469543,17,381,"10°33'3""",76.96388888888889,10.927944444444444,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96388888888889 10.927944444444444, 76.96516666666668 10.926916666666665)"
76,73,T,DB,36,72-73,178.36199146679206,28,379,"3°29'53""",76.96516666666668,10.926916666666665,GOOD,GOOD,33kv,ELECT.RAILWAY CROSSING,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96516666666668 10.926916666666665, 76.96675 10.925749999999999)"
77,74,T,DB,24,73-74,217.03686322834653,15,374,"5°6'51""",76.96675,10.925749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96675 10.925749999999999, 76.96827777777779 10.924833333333332)"
78,75,S,DA,26,74-75,194.65096968677037,19,372,,76.96827777777779,10.924833333333332,GOOD,GOOD,33kv,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96827777777779 10.924833333333332, 76.97025000000001 10.923666666666666)"
79,76,T,DB,24,75-76,251.93848455525804,27,374,"14°5'45""",76.97025000000001,10.923666666666666,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97025000000001 10.923666666666666, 76.97205555555556 10.921833333333332)"
80,77,S,DA,26,76-77,282.8462479864281,17,373,,76.97205555555556,10.921833333333332,GOOD,GOOD,"LT,33kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97205555555556 10.921833333333332, 76.97391666666667 10.920027777777777)"
81,78,S,DA,26,77-78,284.9719284420836,4,358,,76.97391666666667,10.920027777777777,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97391666666667 10.920027777777777, 76.97605555555556 10.91786111111111)"
82,79,S,DA,26,78-79,335.8764653857129,8.5,357,,76.97605555555556,10.91786111111111,GOOD,GOOD,"LT,66kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97605555555556 10.91786111111111, 76.9785 10.91538888888889)"
83,80,S,DA,26,79-80,381.8376618407357,6.8,358,,76.9785,10.91538888888889,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9785 10.91538888888889, 76.98047222222222 10.9135)"
84,81,T,DB,24,80-81,299.866637023861,3,365,"0°54'1""",76.98047222222222,10.9135,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98047222222222 10.9135, 76.98158333333333 10.912361111111112)"
85,82,T,DB,24,81-82,174.6682569902156,2.8,359,"0°24'59""",76.98158333333333,10.912361111111112,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98158333333333 10.912361111111112, 76.9825 10.911416666666668)"
86,83,T,DB,24,82-83,144.9586147836685,2.5,357,"0°31'35""",76.9825,10.911416666666668,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9825 10.911416666666668, 76.98472222222222 10.909277777777778)"
