S. No,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower (Missing parts,broken,etc)","Condition of Earth wire (Missing,Brok en etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO 194,,T,DB,24,193-194,327,4.83,272,"5°54'13""",77.52708333,10.85777778,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52708333333334 10.857777777777777, 77.52730555555556 10.86036111111111)"
20,T.NO 195,,S,DA,26,194-195,286,6.13,264,,77.52730556,10.86036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52730555555556 10.86036111111111, 77.5275 10.863111111111111)"
21,T.NO 196,,S,DA,35,195-196,307,5.75,257,,77.5275,10.86311111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5275 10.863111111111111, 77.52766666666666 10.864638888888889)"
22,T.NO 197,,T,DB,33,196-197,168,4.36,255,"0°56'44""",77.52766667,10.86463889,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52766666666666 10.864638888888889, 77.52769444444445 10.866138888888889)"
23,T.NO 198,,S,DA,26,197-198,167,5.37,260,,77.52769444,10.86613889,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52769444444445 10.866138888888889, 77.52788888888888 10.868361111111112)"
24,T.NO 199,,S,DA,26,198-199,248,6.73,263,,77.52788889,10.86836111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52788888888888 10.868361111111112, 77.52808333333333 10.870944444444445)"
25,T.NO 200,,T,DB,24,199-200,285,4.69,263,"0°18'36""",77.52808333,10.87094444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52808333333333 10.870944444444445, 77.52819444444444 10.873166666666668)"
26,T.NO 201,,S,DA,26,200-201,246,5.07,262,,77.52819444,10.87316667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52819444444444 10.873166666666668, 77.52836111111111 10.875305555555556)"
27,T.NO 202,,S,DA,26,201-202,239,3.85,268,,77.52836111,10.87530556,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52836111111111 10.875305555555556, 77.52855555555556 10.877805555555556)"
28,T.NO 203,,S,DA,26,202-203,279,4.09,270,,77.52855556,10.87780556,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52855555555556 10.877805555555556, 77.52872222222223 10.88038888888889)"
29,T.NO 204,,S,DA,26,203-204,285,6.61,273,,77.52872222,10.88038889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52872222222223 10.88038888888889, 77.52894444444445 10.882888888888889)"
30,T.NO 205,2W,T,DB,24,204-205,278,5.17,274,"0°6'33""",77.52894444,10.88288889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52894444444445 10.882888888888889, 77.5291111111111 10.8855)"
31,T.NO 206,,S,DA,26,205-206,292,6.91,268,,77.52911111,10.8855,GOOD,GOOD,LT  HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5291111111111 10.8855, 77.52930555555555 10.888416666666666)"
32,T.NO 207,,S,DA,26,206-207,321,4.48,285,,77.52930556,10.88841667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52930555555555 10.888416666666666, 77.52944444444444 10.890638888888889)"
33,T.NO 208,,S,DA,26,207-208,247,2.51,279,,77.52944444,10.89063889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52944444444444 10.890638888888889, 77.52972222222222 10.893638888888889)"
34,T.NO 209,,T,DC,26,208-209,333,5.01,281,"17°41'33""",77.52972222,10.89363889,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52972222222222 10.893638888888889, 77.53072222222222 10.89611111111111)"
35,T.NO 210,,S,DA,26,209-210,294,6.21,287,,77.53072222,10.89611111,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53072222222222 10.89611111111111, 77.53172222222221 10.898583333333333)"
36,T.NO 211,,S,DA,26,210-211,295,4.89,291,,77.53172222,10.89858333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53172222222221 10.898583333333333, 77.53261111111111 10.900861111111112)"
37,T.NO 212,,S,DA,26,211-212,270,2.19,296,,77.53261111,10.90086111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53261111111111 10.900861111111112, 77.53358333333333 10.903194444444445)"
38,T.NO 213,,S,DA,26,212-213,280,5.67,296,,77.53358333,10.90319444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53358333333333 10.903194444444445, 77.53458333333333 10.905611111111112)"
39,T.NO 214,,T,DB,24,213-214,289,3.95,294,"0°2'52""",77.53458333,10.90561111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53458333333333 10.905611111111112, 77.53544444444444 10.907694444444445)"
40,T.NO 215,,S,DA,26,214-215,247,6.05,290,,77.53544444,10.90769444,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53544444444444 10.907694444444445, 77.53658333333333 10.910472222222223)"
41,T.NO 216,,S,DA,26,215-216,334,4.35,296,,77.53658333,10.91047222,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53658333333333 10.910472222222223, 77.53755555555556 10.912916666666668)"
42,T.NO 217,,S,DA,26,216-217,291,5.35,298,,77.53755556,10.91291667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53755555555556 10.912916666666668, 77.53847222222223 10.915138888888889)"
43,T.NO 218,,S,DA,26,217-218,264,4.05,297,,77.53847222,10.91513889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53847222222223 10.915138888888889, 77.53941666666667 10.917444444444444)"
44,T.NO 219,,S,DA,26,218-219,276,4.95,298,,77.53941667,10.91744444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53941666666667 10.917444444444444, 77.54022222222223 10.919416666666667)"
45,T.NO 220,2W,T,DB,24,219-220,236,8.15,305,"0°47'7""",77.54022222,10.91941667,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54022222222223 10.919416666666667, 77.5411111111111 10.921583333333333)"
46,T.NO 221,,S,DA,26,220-221,258,6.95,301,,77.54111111,10.92158333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5411111111111 10.921583333333333, 77.54225 10.924222222222221)"
47,T.NO 222,,S,DA,26,221-222,319,5.22,295,,77.54225,10.92422222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54225 10.924222222222221, 77.54347222222222 10.92711111111111)"
48,T.NO 223,,S,DA,26,222-223,346,5.75,297,,77.54347222,10.92711111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54347222222222 10.92711111111111, 77.54447222222223 10.929472222222222)"
49,T.NO 224,,T,DB,24,223-224,283,6.15,294,"0°3'41""",77.54447222,10.92947222,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54447222222223 10.929472222222222, 77.54566666666666 10.932222222222222)"
50,T.NO 225,,S,DA,26,224-225,332,5.05,290,,77.54566667,10.93222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54566666666666 10.932222222222222, 77.54666666666667 10.93463888888889)"
51,T.NO 226,,S,DA,26,225-226,287,4.56,281,,77.54666667,10.93463889,GOOD,GOOD,HL-T,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54666666666667 10.93463888888889, 77.54766666666667 10.936972222222222)"
52,T.NO 227,3W,S,DA,26,226-227,282,3.82,283,,77.54766667,10.93697222,GOOD,GOOD,LT,SOLAR PLANT,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54766666666667 10.936972222222222, 77.54880555555556 10.939694444444445)"
53,T.NO 228,,T,DB,24,227-228,327,4.78,278,"0°0'13""",77.54880556,10.93969444,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54880555555556 10.939694444444445, 77.54980555555555 10.942055555555555)"
54,T.NO 229,,S,DA,26,228-229,281,4.95,274,,77.54980556,10.94205556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54980555555555 10.942055555555555, 77.55088888888889 10.944666666666667)"
55,T.NO 230,,S,DA,26,229-230,313,6.62,277,,77.55088889,10.94466667,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55088888888889 10.944666666666667, 77.55186111111111 10.94688888888889)"
56,T.NO 231 lilo UTHIYUR 110kv SS,,T,DA,26,230-231 LILO,268,13.2,272,,77.55186111,10.94688889,GOOD,GOOD,LT,,PLAIN,UTHIYUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55186111111111 10.94688888888889, 77.55275 10.948944444444445)"
,,,,,,TOTAL,14003M,,,,77.55275,10.94894444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
