Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms) (Ω),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,2W,DC,34,16A-17,237,236.6981921,2.3,890,"07°35'58""(RT)",12.70539,77.82363,Good,Good,11KV-LT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82363 12.70539, 77.82604 12.7039)"
18,,DA,34,17-18,306,309.5679985,3.3,882,,12.7039,77.82604,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82604 12.7039, 77.82838 12.70247)"
19,,DA,34,18-19,300,299.5957727,2.35,872,,12.70247,77.82838,Good,Good,11KV-1,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82838 12.70247, 77.83075 12.70101)"
20,,DA,34,19-20,215,304.1231029,2.3,867,,12.70101,77.83075,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83075 12.70101, 77.83253 12.69996)"
21,,DC,34,20-21,215,225.7179357,3,865,"54°27'05""(LT)",12.69996,77.83253,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83253 12.69996, 77.83469 12.70088)"
22,,DC,34,21-22,255,255.928101,2.4,865,"34°52'34""(LT)",12.70088,77.83469,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83469 12.70088, 77.83562 12.70236)"
23,,DA,34,22-23,215,192.5294542,4.02,857,,12.70236,77.83562,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83562 12.70236, 77.83732 12.70486)"
24,,DA,34,23-24,310,332.7977918,4.25,858,,12.70486,77.83732,Good,Good,11KV-1,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83732 12.70486, 77.83794 12.70584)"
25,,DA,34,24-25,125,127.7251559,1.3,858,,12.70584,77.83794,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83794 12.70584, 77.83849 12.70661)"
26,,DB,32,25-26,105,104.1221973,2.01,857,"45°08'17""(RT)",12.70661,77.83849,Good,Good,LT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83849 12.70661, 77.84102 12.70704)"
27,,DC,34,26-27,280,279.088904,1.65,849,"07°32'18""(RT)",12.70704,77.84102,Good,Good,LT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84102 12.70704, 77.84332 12.70713)"
28,,DC,34,27-28,245,250.1974014,0.97,849,"04°45'32""(LT)",12.70713,77.84332,Good,Good,LT-2 CABLE 1,HOSUR TO DHARMAPURI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84332 12.70713, 77.8453 12.70737)"
29,,DA,34,28-29,215,216.850794,1.1,847,,12.70737,77.8453,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8453 12.70737, 77.84734 12.70751)"
30,,DB,32,29-30,225,222.2796995,2.36,851,"38°23'40""(RT)",12.70751,77.84734,Good,Good,,,WATER LAKE PRESENT INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84734 12.70751, 77.84917 12.70628)"
31,,DA,34,30-31,235,241.0627968,2.7,848,,12.70628,77.84917,Good,Good,,,WATER LAKE PRESENT INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84917 12.70628, 77.85099 12.70498)"
32,2W,DC,34,31-32,240,244.6455552,2.38,849,"22°16'15""(RT)",12.70498,77.85099,Good,Good,,,LAKE CROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85099 12.70498, 77.85221 12.70304)"
