Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
68,SB,24,67-68,,249.5092903913008,5.81,267,"21°53'03""(LT)",11.39857,78.26521,GOOD,GOOD,22KV LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26521 11.39857, 78.26739 11.40063)"
69,SB,24,68-69,,329.67279780135874,1.18,269,"12°42'26""(RT)",11.40063,78.26739,GOOD,GOOD,LT-3,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26739 11.40063, 78.26978 11.40205)"
70,SA,26,69-70,,304.6952471760885,2.83,271,,11.40205,78.26978,GOOD,GOOD,LT-2,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26978 11.40205, 78.27216 11.40352)"
71,SB,24,70-71,,306.65913276943314,2.05,273,"11°38'01""(LT)",11.40352,78.27216,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27216 11.40352, 78.27389 11.40515)"
72,SD,28,71-72,,261.25243131231167,3.69,278,"52°54'56""(LT)",11.40515,78.27389,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27389 11.40515, 78.27357 11.40788)"
73,SB,24,72-73,,304.21039573166746,0.51,272,"09°59'43""(LT)",11.40788,78.27357,GOOD,GOOD,LT-2,CANNAL CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27357 11.40788, 78.27267 11.41086)"
74,SB,24,73-74,,344.2020962872687,1.17,269,"16°48'17""(RT)",11.41086,78.27267,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27267 11.41086, 78.27268 11.41352)"
75,SA,26,74-75,,294.45010552061603,4.71,270,,11.41352,78.27268,GOOD,GOOD,LT-3,"TAR ROAD CROSSING,SAND ROAD CROSSING-2",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27268 11.41352, 78.27267 11.41614)"
76,SA,26,75-76,,290.0223918314483,4.67,272,,11.41614,78.27267,GOOD,GOOD,"LT-1,22KV-1",FENCING CROSSING-2,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27267 11.41614, 78.27265 11.41879)"
77,SA,26,76-77,,293.3493604787545,3.12,271,,11.41879,78.27265,GOOD,GOOD,LT-2,TAR ROAD CROSSING,PIT CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27265 11.41879, 78.27263 11.42174)"
78,SD,28,77-78,,326.5570348625079,1.69,273,"28°06'42""(RT)",11.42174,78.27263,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27263 11.42174, 78.27401 11.42433)"
79,SA,26,78-79,,323.89476665183344,0.59,277,,11.42433,78.27401,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27401 11.42433, 78.27468 11.42566)"
80,SA,26,79-80,,164.4026735566511,7.41,272,,11.42566,78.27468,GOOD,GOOD,LT-1,FENCING CROSSING-2,ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27468 11.42566, 78.27572 11.42764)"
81,SB,24,80-81,,246.8527408542627,5.13,274,"20°38'59""(RT)",11.42764,78.27572,GOOD,GOOD,"22KV-1, LT-1","FENCING CROSSING-2, CANNAL CROSSING",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27572 11.42764, 78.27802 11.42968)"
82,SA,26,81-82,,337.7530238236552,2.31,281,,11.42968,78.27802,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27802 11.42968, 78.27977 11.43124)"
83,SD,28,82-83,,257.5646982350972,4.59,284,"30°54'15""(LT)",11.43124,78.27977,GOOD,GOOD,,,ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27977 11.43124, 78.28056 11.43379)"
84,SA,26,83-84,,295.15885739144505,0.41,280,,11.43379,78.28056,GOOD,GOOD,,FENCING CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28056 11.43379, 78.28152 11.43659)"
85,SA,26,84-85,,327.1921567656119,3.05,276,,11.43659,78.28152,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28152 11.43659, 78.28244 11.43926)"
86,SB,24,85-86,,312.16089187974165,1.78,282,"17°52'05""(LT)",11.43926,78.28244,GOOD,GOOD,"LT-3, ZIG ZAG AREA",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28244 11.43926, 78.28249 11.44238)"
87,SA,26,86-87,,345.40871080700094,3.81,282,,11.44238,78.28249,GOOD,GOOD,"LT-2,22KV-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28249 11.44238, 78.28258 11.44499)"
88,SA,26,87-88,,289.0787053686912,4.51,295,,11.44499,78.28258,GOOD,GOOD,"LT-1,22KV-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28258 11.44499, 78.28264 11.44703)"
89,SD,28,88-89,,225.91100906346117,0.61,276,"29°01'07""(RT)",11.44703,78.28264,GOOD,GOOD,,SAND ROAD CROSSING,CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28264 11.44703, 78.2843 11.44979)"
90,SB,24,89-90,,355.2403653047913,4.05,265,"28°00'45""(LT)",11.44979,78.2843,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2843 11.44979, 78.28442 11.45233)"
91,SB,24,90-91,,281.4678929061591,2.4,273,"08°53'35""(LT)",11.45233,78.28442,GOOD,GOOD,"LT-2,22KV-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28442 11.45233, 78.28419 11.45441)"
92,SB,24,91-92,,231.60917350757663,0.19,273,"14°10'25""(RT)",11.45441,78.28419,GOOD,GOOD,LT-2,,RIVER CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28419 11.45441, 78.2845 11.4566)"
93,SB,24,92-93,,244.77169751409292,0.41,276,"12°50'30""(RT)",11.4566,78.2845,GOOD,GOOD,"22KV-2, LT-2",,PIT CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2845 11.4566, 78.28552 11.45925)"
94,SB,24,93-94,,313.77057079558733,0.12,281,"47°22'07""(RT)",11.45925,78.28552,GOOD,GOOD,22KV-1,"TAR ROAD CROSSING, SAND ROAD CROSSING",ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28552 11.45925, 78.28638 11.45959)"
95,SD,28,94-95,,101.16444303400897,5.83,282,"05°41'15""(RT)",11.45959,78.28638,GOOD,GOOD,"22KV-2, LT-2",SAND ROAD CROSSING,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28638 11.45959, 78.28659 11.45965)"
NAMAGIRIPETTAI SS GANTRY,T,20,95-GANTRY,,23.872293460631276,,283,,11.45965,78.28659,GOOD,GOOD,,FENCING CROSSING,,TAPPING POINT SS OUTSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F8:F64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
