S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,T.NO 18,,T,DD,28,19-18,239.0146439,5.15,309,"44°59'11""",77.45569444,10.68594444,GOOD,GOOD, LT,"CANAL,ROAD",CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45569444444445 10.685944444444445, 77.4568888888889 10.687333333333333)"
17,T.NO 17,,T,DC,26,18-17,200.2498439,6.25,311,"21°24'25""",77.45688889,10.68733333,GOOD,GOOD,"LT, HT ",,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4568888888889 10.687333333333333, 77.45786111111111 10.690138888888889)"
18,T.NO 16,2W,T,DB,24,17-16,330.7748479,4.65,310,"0°37'28""",77.45786111,10.69013889,GOOD,GOOD," 2nos LT, 2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45786111111111 10.690138888888889, 77.45861111111111 10.69225)"
19,T.NO 15,,T,DD,28,16-15,246.3513751,3.9,309,"30°23'12""",77.45861111,10.69225,GOOD,GOOD, LT,CANAL,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45861111111111 10.69225, 77.46069444444444 10.694)"
20,T.NO 14,,T,DD,28,15-14,299.2557435,3.45,304,"39°11'19""",77.46069444,10.694,GOOD,GOOD, HT,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46069444444444 10.694, 77.4611388888889 10.696305555555556)"
21,T.NO 13,,T,DD,28,14-13,261.0842776,4.82,298,"35°15'23""",77.46113889,10.69630556,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4611388888889 10.696305555555556, 77.46011111111112 10.698472222222222)"
22,T.NO 12,,T,DD,28,13-Dec,263.9412813,5.36,299,"60°37'3""",77.46011111,10.69847222,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46011111111112 10.698472222222222, 77.45755555555556 10.698694444444445)"
23,T.NO 11,,T,DC,26,12-Nov,281.7836049,3.24,301,"21°4'44""",77.45755556,10.69869444,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45755555555556 10.698694444444445, 77.45566666666667 10.69813888888889)"
24,T.NO 10,,S,DA,26,11-Oct,215.127869,4.12,305,,77.45566667,10.69813889,GOOD,GOOD, LT,TAAR ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45566666666667 10.69813888888889, 77.45347222222223 10.6975)"
25,T.NO 9,,T,DD,28,10-Sep,251.813423,5.63,307,"32°55'22""",77.45347222,10.6975,GOOD,GOOD,LT,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45347222222223 10.6975, 77.45105555555556 10.698222222222222)"
26,T.NO 8,,T,DB,24,09-Aug,273.7608445,4.12,305,"5°37'7""",77.45105556,10.69822222,GOOD,GOOD, LT,"TAAR ROAD,CANAL",CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45105555555556 10.698222222222222, 77.44869444444444 10.698666666666666)"
27,T.NO 7,,T,DC,26,08-Jul,263.4103263,3.68,308,"26°22'14""",77.44869444,10.69866667,GOOD,GOOD, 5nos HT ,TAAR ROAD ,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44869444444444 10.698666666666666, 77.44705555555556 10.69988888888889)"
28,T.NO 6,,T,DD,28,07-Jun,225,6.33,310,"65°14'49""",77.44705556,10.69988889,GOOD,GOOD, 2nos HT,"TAAR ROAD,MUD ROAD",CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44705555555556 10.69988888888889, 77.44741666666667 10.7015)"
29,T.NO 5,,T,DC,26,06-May,181.0331461,4.88,304,"29°8'15""",77.44741667,10.7015,GOOD,GOOD,2nos LT ,MUD ROAD ,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44741666666667 10.7015, 77.44688888888889 10.703277777777776)"
30,T.NO 4,,T,DB,24,05-Apr,204.9780476,3.02,306,"10°1'34""",77.44688889,10.70327778,GOOD,GOOD,"3nos LT,HT",POND,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44688888888889 10.703277777777776, 77.44666666666667 10.705138888888888)"
31,T.NO 3,,S,DA,26,04-Mar,208.5041966,5.34,309,,77.44666667,10.70513889,GOOD,GOOD,,"MUD ROAD ,CANAL",CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44666666666667 10.705138888888888, 77.44644444444445 10.707166666666666)"
32,T.NO 2,,T,DC,26,03-Feb,226.7355288,4.03,303,"21°54'28""",77.44644444,10.70716667,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44644444444445 10.707166666666666, 77.44694444444445 10.708972222222222)"
33,T.NO 112/1 SELLAMPALAYAM LILO MC,,T,MC,45,02-Jan,205.9368835,5.2,304,,77.44694444,10.70897222,GOOD,GOOD,,,CULITIVACTION LAND,SELLAMPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
