Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,,PB+3(S),35,25-26,280,239.7716166,2.67,868,"00°00'00""",12.79888,77.81412,Good,Good,,,LAKE CROSSING,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81412 12.79888, 77.81553 12.8006)"
27,,PA+3(T),35,26-27,260,244.4019227,1.98,871,"09°57'27""(LT)",12.8006,77.81553,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81553 12.8006, 77.81667 12.80263)"
28,2W,PE(T),36,27-28,275,256.6187219,2.34,873,"39°17'13""(LT)",12.80263,77.81667,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81667 12.80263, 77.81622 12.80503)"
29,,PA(S),34,28-29,200,270.171086,0.73,879,"00°00'00""",12.80503,77.81622,Good,Good,"LT-1,11KV-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81622 12.80503, 77.81579 12.80726)"
30,,PC(S),34,29-30,212,251.2705342,0.33,884,"00°00'00""",12.80726,77.81579,Good,Good,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81579 12.80726, 77.81529 12.80973)"
31,,PB(T),36,30-31,185,278.8036684,0.43,887,"43°59'17""(RT)",12.80973,77.81529,Good,Good,,,,TOWER IN PIT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81529 12.80973, 77.81666 12.81182)"
32,,PA(S),34,31-32,170,275.1305794,0.53,892,"00°00'00""",12.81182,77.81666,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81666 12.81182, 77.81804 12.81393)"
33,,PA(T),36,32-33,255,277.5804138,0.63,896,"35°31'01""(LT)",12.81393,77.81804,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81804 12.81393, 77.81794 12.81592)"
34,,PA(T),34,33-34,205,220.586151,1.24,899,"29°02'21""(LT)",12.81592,77.81794,Good,Good,11KV-1,"BAGALUR TO HOSUR,TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81794 12.81592, 77.81756 12.81652)"
35,,PA(T),34,34-35,185,78.21210795,0.39,897,"27°18'47""(RT)",12.81652,77.81756,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81756 12.81652, 77.81747 12.81763)"
36,,PB(T),36,35-36,192,123.2795482,2.39,893,"76°41'14""(RT)",12.81763,77.81747,Good,Good,,LAYOUT COMPOUND IS INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81747 12.81763, 77.81981 12.81837)"
37,,PA(T),32,36-37,250,267.1055515,2.23,887,"05°46'08""(LT)",12.81837,77.81981,Good,Good,,LAYOUT INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81981 12.81837, 77.82165 12.81916)"
38,,PA(T),36,37-38,240,218.2038063,1.27,834,"45°26'37""(LT)",12.81916,77.82165,Good,Good,,LAYOUT INSIDE TOWER,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82165 12.81916, 77.82248 12.82129)"
