Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
43,,SA,S,26,42-43,0.002005177,3.94,246,,11.62984467,77.91923804,GOOD,GOOD,LT-1,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9192380398764 11.629844672227177, 77.91747672998535 11.628769549607943)"
44,,SB,T,24,43-44,0.002339175,2.84,246,"8d48'0""RT",11.62876955,77.91747673,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91747672998535 11.628769549607943, 77.91533242140495 11.627869911884538)"
45,2W,SC,T,26,44-45,0.002379818,2.75,238,"17d25'3""LT",11.62786991,77.91533242,GOOD,GOOD,"LT-1,HT-2",ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91533242140495 11.627869911884538, 77.91319775506466 11.627015321502887)"
46,,SA,S,26,45-46,0.002555017,7.42,226,,11.62701532,77.91319776,GOOD,GOOD,,ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91319775506466 11.627015321502887, 77.91185726596407 11.625872670260206)"
47,,SA,S,26,46-47,0.002147896,12.38,233,,11.62587267,77.91185727,GOOD,GOOD,LT-2,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91185726596407 11.625872670260206, 77.91029568443929 11.624614816152167)"
48,,SB,T,24,47-48,0.00216355,2.96,237,"8d27'41""RT",11.62461482,77.91029568,GOOD,GOOD,LT-1,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91029568443929 11.624614816152167, 77.90830379497697 11.623388391254712)"
49,,SA,S,26,48-49,0.002572566,1.78,247,,11.62338839,77.90830379,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90830379497697 11.623388391254712, 77.90627508656036 11.622144253953051)"
50,,SA,S,26,49-50,0.002505185,4.32,242,,11.62214425,77.90627509,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90627508656036 11.622144253953051, 77.90408980231297 11.620820379541925)"
51,,SA,S,26,50-51,0.002239011,7.94,238,,11.62082038,77.9040898,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90408980231297 11.620820379541925, 77.90224585733476 11.619718870229187)"
52,,SA,S,26,51-52,0.001229926,11.12,240,,11.61971887,77.90224586,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90224585733476 11.619718870229187, 77.90038360170121 11.618617529881448)"
53,,SB,T,24,52-53,0.00126444,6.24,229," 5d35'14""LT",11.61861753,77.9003836,GOOD,GOOD,LT-1,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90038360170121 11.618617529881448, 77.89832438726323 11.617075540295945)"
54,,SA,S,26,53-54,0.001998171,11.24,225,,11.61707554,77.89832439,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89832438726323 11.617075540295945, 77.89630249369105 11.615596386444812)"
55,,SA,S,26,54-55,0.002385895,3.05,231,,11.61559639,77.89630249,GOOD,GOOD,LT-1,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89630249369105 11.615596386444812, 77.89452012639721 11.614241271155302)"
56,,SC,T,26,55-56,0.002412582,7.36,233,"19d57'5""RT",11.61424127,77.89452013,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89452012639721 11.614241271155302, 77.89334362223674 11.61388272382349)"
57/1 LILO,3W,SC,T,26,56-57/1,0.002821333,,240,,11.61388272,77.89334362,GOOD,GOOD,HT-1,,PLAIN,Tapping to Eadappadi line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89334362223674 11.61388272382349, 77.89297843977513 11.615093281789267)"
2,,DB,T,24,01-Feb,0.002427846,9.37,238.271271," 11d45'48""LT",11.61509328,77.89297844,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89297843977513 11.615093281789267, 77.89201944115116 11.616846282062422)"
3,,DA,S,26,02-Mar,0.002467729,7.65,234.698059,,11.61684628,77.89201944,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89201944115116 11.616846282062422, 77.89087044274193 11.618937286001128)"
4,,DA,S,26,03-Apr,0.002768344,8.15,234.499939,,11.61893729,77.89087044,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89087044274193 11.618937286001128, 77.8896934447066 11.621043284450185)"
5,,DC,T,26,04-May,0.002405728,9.1,236.239639,"17d32'32""RT",11.62104328,77.88969344,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8896934447066 11.621043284450185, 77.8891324453871 11.62380827937799)"
6,,DB,T,24,05-Jun,0.002824369,5.8,227.083649,"11d1'31""LT",11.62380828,77.88913245,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8891324453871 11.62380827937799, 77.88819844687731 11.62604927943673)"
7,,DA,S,26,06-Jul,0.002146056,7.25,225.53627,,11.62604928,77.88819845,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88819844687731 11.62604927943673, 77.88727144830429 11.628336277779972)"
8,,DC,T,26,07-Aug,0.002903303,6.65,217.984879," 22d35'23""LT",11.62833628,77.88727145,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88727144830429 11.628336277779972, 77.88532145137324 11.630301281845792)"
9,,DA,S,26,08-Sep,0.002565144,8.5,224.364502,,11.63030128,77.88532145,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88532145137324 11.630301281845792, 77.88363945378622 11.632021284508733)"
10,,DA,S,26,09-Oct,0.002336207,4.7,223.256439,,11.63202128,77.88363945,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88363945378622 11.632021284508733, 77.88166545602397 11.634041282674577)"
11,,DD,T,28,10-Nov,0.001881812,5.84,227.875259," 31d6'9""RT",11.63404128,77.88166546,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88166545602397 11.634041282674577, 77.8811824565256 11.636132279598902)"
12,2W,DB,T,24,11-Dec,0.00186294,7.35,234.594879," 1d34'59""RT",11.63613228,77.88118246,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8811824565256 11.636132279598902, 77.88060845762821 11.638978275700861)"
13,,DA,S,26,Dec-13,0.001860541,5,237.773346,,11.63897828,77.88060846,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88060845762821 11.638978275700861, 77.88007945856714 11.641488280816468)"
14,,DA,S,26,13-14,0.001756798,8.75,236.745636,,11.64148828,77.88007946,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88007945856714 11.641488280816468, 77.87960245925025 11.643775273237223)"
15,,DB,T,24,14-15,0.00261783,6.3,240.277344,"1d1'26""LT",11.64377527,77.87960246,GOOD,GOOD,"HT-2,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87960245925025 11.643775273237223, 77.87921745952858 11.645617280611315)"
16,,DA,S,26,15-16,0.002553256,4.33,245.146057,,11.64561728,77.87921746,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87921745952858 11.645617280611315, 77.87886346008241 11.647446277715828)"
17,,DC,T,26,16-17,0.002418605,2.45,247.578247," 24d58'29""LT",11.64744628,77.87886346,GOOD,GOOD,"HT-1,800KV",,PLAIN,POWER GRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87886346008241 11.647446277715828, 77.87776546165144 11.648948280207415)"
18,,DA,S,26,17-18,0.002903638,4.85,240.616486,,11.64894828,77.87776546,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87776546165144 11.648948280207415, 77.87670946310756 11.650352276652667)"
19,,DB,T,24,18-19,0.00233459,1.95,244.362,"6d43'52""RT",11.65035228,77.87670946,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87670946310756 11.650352276652667, 77.87539346487537 11.652615279798741)"
20,,DD,T,28,19-20,0.002844987,9.5,250.505508,"43d12'14""RT",11.65261528,77.87539346,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87539346487537 11.652615279798741, 77.87599246463671 11.655097278227998)"
21,,DA,S,26,20-21,0.002766731,7.3,250.904739,,11.65509728,77.87599246,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87599246463671 11.655097278227998, 77.87656446376181 11.657447271660978)"
22,,DA,S,26,21-22,0.001899256,3.7,259.387146,,11.65744727,77.87656446,GOOD,GOOD,LT-3,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87656446376181 11.657447271660978, 77.87727246244057 11.660263270536575)"
23,2W,DB,T,24,22-23,0.002820321,6.93,262.650696,"9d4'29""LT",11.66026327,77.87727246,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87727246244057 11.660263270536575, 77.87747246258634 11.662589277518393)"
24,,DD,T,28,23-24,0.002922306,9.3,259.9841,"30d40'58""RT",11.66258928,77.87747246,GOOD,GOOD,LT-3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87747246258634 11.662589277518393, 77.87914146048188 11.664893273507612)"
25,,DA,S,26,24-25,0.002501997,3.65,253.841034,,11.66489327,77.87914146,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87914146048188 11.664893273507612, 77.88073745787702 11.6671532719661)"
26,,DC,T,26,25-26,0.002845363,1.8,255.662628," 19d9'5"" RT",11.66715327,77.88073746,GOOD,GOOD,LT-3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88073745787702 11.6671532719661, 77.88228145589491 11.668259275762978)"
27,,DB,T,24,26-27,0.002895132,3.75,251.009857,"11d43'25""RT",11.66825928,77.88228146,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88228145589491 11.668259275762978, 77.88485845256419 11.669405269130197)"
28,,DD,T,28,27-28,0.00220795,7.8,257.215851,"41d19'58""LT",11.66940527,77.88485845,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88485845256419 11.669405269130197, 77.88607945128157 11.672060271016045)"
29,,DD,T,28,28-29,0.002964128,5.6,268.36203,"47d51'39""RT",11.67206027,77.88607945,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88607945128157 11.672060271016045, 77.88846544731794 11.67281327292714)"
30,,DA,S,26,29-30,0.002496603,2.75,258.418335,,11.67281327,77.88846545,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88846544731794 11.67281327292714, 77.89118244348147 11.67365827015788)"
31,,DC,T,26,30-31,0.002797387,5.23,264.282562,"26d42'12""RT",11.67365827,77.89118244,GOOD,GOOD,,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89118244348147 11.67365827015788, 77.89404143942473 11.673202273990377)"
32,,DB,T,24,31-32,0.001939088,3.4,261.348755," 14d7'56""LT",11.67320227,77.89404144,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89404143942473 11.673202273990377, 77.89624142005424 11.673389694617834)"
33,2W,DD,T,28,32-33,0.00282439,4.65,263.8652823," 35d21'42""LT",11.67338969,77.89624142,GOOD,GOOD,LT-4,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89624142005424 11.673389694617834, 77.89851563524289 11.675290747426043)"
34,,DA,S,26,33-34,0.002516444,7.1,264.9887575,,11.67529075,77.89851564,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89851563524289 11.675290747426043, 77.90031158839739 11.677024984229963)"
35,,DD,T,28,34-35,0.002279971,3.84,266.1122327,"53d24'0""LT",11.67702498,77.90031159,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90031158839739 11.677024984229963, 77.8999259003628 11.679795655762106)"
36,,DD,T,28,35-36,0.002293421,6.2,267.2357079,"31d6'2""LT",11.67979566,77.8999259,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8999259003628 11.679795655762106, 77.89869721929503 11.68129579036428)"
37,,DC,T,26,36-37,0.00213951,8.2,268.359183,"24d39'48""RT",11.68129579,77.89869722,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89869721929503 11.68129579036428, 77.897992488703 11.684030846569524)"
38,,DC,T,26,37-38,0.001633175,6.35,269.4826582,"16d54'21""LT",11.68403085,77.89799249,GOOD,GOOD,LT-4,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.897992488703 11.684030846569524, 77.89667673192149 11.686175905117969)"
39,,DA,S,26,38-39,0.002444358,4.33,272.8530837,,11.68617591,77.89667673,GOOD,GOOD,400KV,,PLAIN,400KV RASIPALAYAM TO PALAAVADY(353-354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89667673192149 11.686175905117969, 77.89548718750201 11.68812096319408)"
40,,DA,S,26,39-40,0.001677519,4.35,273.9765589,,11.68812096,77.89548719,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89548718750201 11.68812096319408, 77.89431623830902 11.690092930919505)"
41,,DA,S,26,40-41,7.85E-05,5.25,275.1000341,,11.69009293,77.89431624,GOOD,GOOD,"LT-2,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89431623830902 11.690092930919505, 77.89322844174802 11.6919352665108)"
42,,DB,T,24,41-42,78.76264051,4.34,277.457458,"11d9'49""LT",11.69193527,77.89322844,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89322844174802 11.6919352665108, 77.89214044279362 11.693153264431565)"
43,,DA,S,26,42-43,0,6.45,274.218079,,11.69315326,77.89214044,GOOD,GOOD,"LT-1,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89214044279362 11.693153264431565, 77.89049544570734 11.694961265804752)"
44,,DB,T,24,43-44,0,4.68,282.016418,"1d8'28""LT",11.69496127,77.89049545,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89049544570734 11.694961265804752, 77.88936344654593 11.696199267604428)"
45,,DD,T,28,44-45,0,1.96,282.240112,"85d14'43""RT",11.69619927,77.88936345,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88936344654593 11.696199267604428, 77.8893488077345 11.696276421191316)"
Gantry,2W,GT,T,20,45-GT,0,,283.160828,,11.69627642,77.88934881,GOOD,GOOD,,,,110 Kv Jalagandapuram SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
