Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
9,,T,28,8 to 9 ,277.4842597,5.2,183,"38°32'9"" LT",11.318628,77.718727,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718727 11.318628, 77.720287 11.31698)"
10,,T,26,9 to 10 ,249.6425143,6.3,184,"18°49'55"" RT",11.31698,77.720287,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.720287 11.31698, 77.72171 11.313858)"
11,,T,24,10 to 11,378.940321,5.7,186,"2°26'28"" LT",11.313858,77.72171,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72171 11.313858, 77.723019 11.311285)"
12,,S,26,11 to 12 ,318.6997052,5.4,186,"6°18'38"" LT",11.311285,77.723019,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.723019 11.311285, 77.72463 11.308834)"
13,,T,24,12 to 13 ,323.3953903,6.5,181,"2°28'42"" RT",11.308834,77.72463,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72463 11.308834, 77.726133 11.306315)"
14,,T,24,13 to 14 ,323.593037,7.3,190,"0°7'10"" RT",11.306315,77.726133,Good,Good,2-LT ,2-Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.726133 11.306315, 77.727573 11.30389)"
15,,T,24,14 to 15 ,311.136155,7.2,197,"0°58'28"" RT",11.30389,77.727573,Good,Good,,,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.727573 11.30389, 77.729047 11.301308)"
16,,T,24,15 to 16 ,328.0565617,4.3,199,"2°21'51"" LT",11.301308,77.729047,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.729047 11.301308, 77.73055 11.298912)"
17,2W,T,24,16 to 17 ,311.9405499,5.1,197,"2°4'34"" RT",11.298912,77.73055,Good,Good,LT Line ,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73055 11.298912, 77.731875 11.296618)"
18,,T,24,17 to 18 ,292.2966952,6.3,190,"1°34'21"" LT",11.296618,77.731875,Good,Good,LT Line ,,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.731875 11.296618, 77.733308 11.294288)"
19,,T,24,18 to 19 ,301.7167858,7.1,193,"0°55'26"" RT",11.294288,77.733308,Good,Good,LT Line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.733308 11.294288, 77.734805 11.291763)"
20,,S,26,19 to 20,323.8402086,6.3,201,,11.291763,77.734805,Good,Good,,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.734805 11.291763, 77.736383 11.28917)"
21,,S,26,20 to 21 ,334.8295347,5.7,197,,11.28917,77.736383,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.736383 11.28917, 77.73792 11.286597)"
22,,S,26,21 to 22 ,330.6373273,6.1,192,,11.286597,77.73792,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73792 11.286597, 77.739343 11.284195)"
23,2W,S,26,22 to 23 ,308.0087313,6.1,197,,11.284195,77.739343,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.739343 11.284195, 77.740692 11.281875)"
24,,S,26,23 to 24 ,296.1024711,6.2,201,"6°41'27"" RT",11.281875,77.740692,Good,Good,,RoadCrossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.740692 11.281875, 77.74216 11.278488)"
25,,S,26,24 to 25 ,407.7924651,6.3,197,"20°1'20"" LT",11.278488,77.74216,Good,Good,LT-11 Kv line ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74216 11.278488, 77.74363 11.276942)"
26,,S,26,25 to 26 ,234.7000751,11.22,193,"12°37'16"" RT",11.276942,77.74363,Good,Good,,,Hard rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74363 11.276942, 77.74514 11.274418)"
27,,S,26,26 to 27 ,324.4720325,6.2,189,,11.274418,77.74514,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74514 11.274418, 77.746438 11.272125)"
28,,S,26,27 to 28 ,290.7594203,6.1,188,,11.272125,77.746438,Good,Good,LT Line ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.746438 11.272125, 77.747878 11.269902)"
29,,S,26,28 to 29 ,292.0781837,6.2,191,,11.269902,77.747878,Good,Good,LT Line ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.747878 11.269902, 77.749282 11.267498)"
30,2W,S,26,29 to 30 ,307.164564,6.1,185,,11.267498,77.749282,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.749282 11.267498, 77.750693 11.265128)"
31,,S,26,30 to 31 ,304.297494,7.1,185,,11.265128,77.750693,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.750693 11.265128, 77.75202 11.262863)"
32,,T,24,31 to 32,289.6343516,5.2,179,"0°8'20"" LT",11.262863,77.75202,Good,Good,,,Plain,Tapping to 110 kv  Kaspapettai SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75202 11.262863, 77.753431 11.260468)"
33,,S,26,32to 33,306.6884661,6.1,192,,11.260468,77.753431,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.753431 11.260468, 77.754458 11.25877)"
34,,S,26,33 to 34 ,218.913144,4.2,186,,11.25877,77.754458,Good,Good,33 kv,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.754458 11.25877, 77.755438 11.25715)"
35,,S,26,34 to 35 ,208.8674307,5.1,183,,11.25715,77.755438,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.755438 11.25715, 77.756925 11.254648)"
36,,S,26,35 to 36 ,321.1069956,6.1,182,,11.254648,77.756925,Good,Good,LT Line ,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.756925 11.254648, 77.758265 11.252385)"
37,,S,26,36 to 37 ,290.1609373,5.7,184,,11.252385,77.758265,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.758265 11.252385, 77.759788 11.249887)"
38,,S,26,37 to 38,322.737995,5.8,186,,11.249887,77.759788,Good,Good,LT Line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.759788 11.249887, 77.761167 11.247578)"
39,,S,26,38 to 39 ,296.7115843,5.5,177,,11.247578,77.761167,Good,Good,400 kvLine  Crossing,,Plain,400 kv line crossing Tower no .163 to 164 (SLM -UDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.761167 11.247578, 77.76255 11.245143)"
40,,S,26,39 to 40 ,309.022428,4.9,175,,11.245143,77.76255,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76255 11.245143, 77.764015 11.242723)"
41,,S,26,40 to 41 ,312.0765543,3.7,183,,11.242723,77.764015,Good,Good,11KV ,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764015 11.242723, 77.76528 11.240588)"
42,3W,S,26,41 to 42 ,273.7968695,4.1,176,,11.240588,77.76528,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76528 11.240588, 77.766787 11.238103)"
43,,T,24,42 to 43 ,320.6094647,6.3,177,"1°27'34"" RT",11.238103,77.766787,Good,Good,2-11kv ,Road crossing ,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.766787 11.238103, 77.768008 11.235968)"
44,,S,26,43 to 44 ,271.4026311,6.2,183,,11.235968,77.768008,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.768008 11.235968, 77.769538 11.233395)"
45,,S,26, 44 to 45 ,330.2728391,6.1,186,,11.233395,77.769538,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.769538 11.233395, 77.770852 11.231047)"
46,,S,26,45 to 46 ,296.9457311,5.2,180,,11.231047,77.770852,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770852 11.231047, 77.772368 11.228373)"
47,,S,26,46 to 47 ,339.2141325,6.1,181,,11.228373,77.772368,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772368 11.228373, 77.773813 11.22588)"
48,,S,26,47 to48,317.955925,6.2,181,,11.22588,77.773813,Good,Good,,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773813 11.22588, 77.77516 11.223528)"
49,,S,26,48 to 49 ,299.0945126,5.1,183,,11.223528,77.77516,Good,Good,LT Line ,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77516 11.223528, 77.77651 11.221298)"
50,,S,26,49 to 50 ,287.584138,5.01,186,,11.221298,77.77651,Good,Good,LT Line ,,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77651 11.221298, 77.777817 11.218932)"
51,,S,26,50 to 51 ,298.3287649,4.1,197,,11.218932,77.777817,Good,Good,LT Line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.777817 11.218932, 77.779152 11.216693)"
52,,S,26,51 to 52 ,287.6064866,4.7,186,,11.216693,77.779152,Good,Good,LT-230 Kv line crossing ,Road crossing ,Plain,230 line crossing Tower No.177 to 178 (SLM -UDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.779152 11.216693, 77.780386 11.214519)"
53,,S,26,52 to 53 ,275.8693051,5,194,,11.214519,77.780386,Good,Good,,Cannal crossing ,Plain,mango plantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.780386 11.214519, 77.781866 11.211993)"
54,,S,26,53 to 54 ,323.0355331,1.99,191,,11.211993,77.781866,Good,Good,11 KV  ,,Plain,Power Grid LineRGH-PLR tower No.4618 -4619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.781866 11.211993, 77.783347 11.20948)"
55,,S,26,54 to 55 ,321.8466649,4.6,193,,11.20948,77.783347,Good,Good,,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.783347 11.20948, 77.784737 11.206895)"
56,,T,24,55 to 56 ,323.9803401,4.2,192,"2°13'7"" LT",11.206895,77.784737,Good,Good,33 kv,Road crossing ,Water Cannal ,Tapping to 110Kv Elumathur SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.784737 11.206895, 77.786235 11.204352)"
57,2W,S,26,56 to 57 ,325.6536206,6,188,,11.204352,77.786235,Good,Good,LT Line ,Road crossing ,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.786235 11.204352, 77.787468 11.20218)"
58,,T,24,57 to 58,275.626993,5.2,190,"1°22'22"" LT",11.20218,77.787468,Good,Good,,,Plain,Tapping tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.787468 11.20218, 77.788947 11.199715)"
59,,T,24,58 to 59 ,317.1578698,4.3,189,"2°26'12"" RT",11.199715,77.788947,Good,Good,LT-11 Kv line ,Water Cannal ,Plain,Sugar cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.788947 11.199715, 77.790129 11.197539)"
60,,S,26,59 to 60 ,273.3367553,4.2,183,,11.197539,77.790129,Good,Good,LT Line ,Road crossing ,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.790129 11.197539, 77.791535 11.195142)"
61,,S,26,60 to 61,306.6317781,4.5,190,,11.195142,77.791535,Good,Good,LT Line ,,Plain,termeric ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.791535 11.195142, 77.792999 11.192492)"
62,,S,26,61 to 62 ,334.1550529,5.5,178,,11.192492,77.792999,Good,Good,11 KV  ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.792999 11.192492, 77.793976 11.19081)"
63,,S,26,62 to 63,214.643827,5.8,183,,11.19081,77.793976,Good,Good,,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.793976 11.19081, 77.795043 11.189117)"
64,,S,26,63 to 64,220.7368619,5.6,172,,11.189117,77.795043,Good,Good,LT-11 Kv line ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.795043 11.189117, 77.796495 11.186482)"
65,,S,26,64 to 65 ,332.0718981,12.66,172,,11.186482,77.796495,Good,Good,,,Plain,Hard rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.796495 11.186482, 77.797604 11.184557)"
66,,S,26,65 to 66,245.1596285,4.6,176,,11.184557,77.797604,Good,Good,,,Plain,Water cannal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.797604 11.184557, 77.798857 11.182377)"
67,,S,26,66 to 67 ,277.4791064,5.8,181,,11.182377,77.798857,Good,Good,LT Line ,Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.798857 11.182377, 77.800187 11.180027)"
68,,S,26,67 to 68 ,298.0074075,5.2,171,,11.180027,77.800187,Good,Good,,,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.800187 11.180027, 77.801632 11.177632)"
69,,S,26,68 to 69 ,308.6069958,6.2,171,,11.177632,77.801632,Good,Good,,Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.801632 11.177632, 77.80299 11.175222)"
70,,S,26,69 to 70,305.3008095,5.4,171,,11.175222,77.80299,Good,Good,,,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80299 11.175222, 77.804347 11.172862)"
71,,T,24,70 to 71 ,300.4230275,5.8,174,"3°24'48"" LT",11.172862,77.804347,Good,Good,,Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.804347 11.172862, 77.806101 11.170195)"
72,,S,26,71 to 72 ,352.0277146,6,181,,11.170195,77.806101,Good,Good,,,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.806101 11.170195, 77.807417 11.167947)"
73,,S,26,72 to 73,287.4390175,5.8,172,,11.167947,77.807417,Good,Good,,,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.807417 11.167947, 77.809068 11.165495)"
74,,S,26,73 to74 ,325.9563742,5.1,174,,11.165495,77.809068,Good,Good,,Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.809068 11.165495, 77.810587 11.163148)"
75,,S,26,74 to 75 ,308.3398887,5.2,174,,11.163148,77.810587,Good,Good,LT Line ,Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.810587 11.163148, 77.812318 11.160535)"
76,,S,26,75 to 76 ,345.6520242,4.9,178,,11.160535,77.812318,Good,Good,,Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.812318 11.160535, 77.813897 11.157979)"
77,,S,26,76 to 77,331.4419164,4.3,174,,11.157979,77.813897,Good,Good,,,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.813897 11.157979, 77.815762 11.155123)"
78,,S,26,77 to 78 ,376.1932515,2.8,172,,11.155123,77.815762,Good,Good,11 KV  ,,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.815762 11.155123, 77.817232 11.152822)"
79,3W,S,26,78 to79 ,301.1745146,4.2,173,"23°23'31"" LT",11.152822,77.817232,Good,Good,"2-11kv, 2-Lt ",Road crossing ,Plain,Dry land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.817232 11.152822, 77.820437 11.150658)"
80,,S,26,79 to 80 ,424.4265298,5,174,"55°38'15"" RT",11.150658,77.820437,Good,Good,,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.820437 11.150658, 77.820437 11.147892)"
81,,S,26,80 to 81 ,306.2002846,18,177,"67°18'53"" LT",11.147892,77.820437,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.820437 11.147892, 77.822799 11.146917)"
82,,S,26,81 to 82,279.8593033,11,165,"35°12'23"" RT",11.146917,77.822799,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.822799 11.146917, 77.823789 11.145359)"
83,,S,26,82 to 83 ,203.6165442,1.1,165,"24°24'1"" RT",11.145359,77.823789,Good,Good,LT Line ,Water Cannal ,Plain,Waterlogged ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.823789 11.145359, 77.824258 11.141937)"
83A,,T,26,83 to 83A,382.2752794,3.2,169,"23°47'19"" LT",11.141937,77.824258,Good,Good,,,Plain,Tapping to 110Kv Nadupalayam & Sivagiri SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.824258 11.141937, 77.82501 11.140725)"
84,,S,26,83A to 84,157.3532033,12,171,,11.140725,77.82501,Good,Good,LT Line ,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82501 11.140725, 77.826457 11.138417)"
85,,T,24,84 to  85 ,300.505398,12,159,"2°11'16"" LT",11.138417,77.826457,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.826457 11.138417, 77.828175 11.135897)"
86,,S,26,85 to 86 ,336.3009134,12,164,,11.135897,77.828175,Good,Good,,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.828175 11.135897, 77.829722 11.133495)"
87,,S,26,86 to 87 ,315.1330352,10,169,,11.133495,77.829722,Good,Good,,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.829722 11.133495, 77.831163 11.131188)"
88,,S,26,87 to 88,300.0695437,9.5,172,,11.131188,77.831163,Good,Good,,Road crossing ,Paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.831163 11.131188, 77.832962 11.128588)"
89,,S,26,88 to 89 ,348.6049259,10,142,,11.128588,77.832962,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.832962 11.128588, 77.83434 11.12631)"
90,,S,26,89 to 90 ,293.7530201,13,154,,11.12631,77.83434,Good,Good,2-LT ,,River crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83434 11.12631, 77.83601 11.12367)"
91,,S,26,90 to 91 ,344.5971716,12,151,,11.12367,77.83601,Good,Good,,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83601 11.12367, 77.83759 11.12122)"
92,,S,26,91 to 92 ,321.5587149,12,167,,11.12122,77.83759,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83759 11.12122, 77.839078 11.118888)"
93,,S,26,92 to 93 ,305.1420595,8.7,160,,11.118888,77.839078,Good,Good,4-LT line ,2-Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.839078 11.118888, 77.8406 11.11661)"
94,,S,26,93 to 94 ,302.1337316,7.1,165,,11.11661,77.8406,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8406 11.11661, 77.842233 11.114033)"
95,2W,S,26,94 to 95 ,336.5439042,9,158,,11.114033,77.842233,Good,Good,LT-11 Kv line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.842233 11.114033, 77.843484 11.11206)"
96,,T,24,95 to 96 ,257.7084155,8.5,159,"3°28'50"" RT",11.11206,77.843484,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.843484 11.11206, 77.844861 11.109563)"
97,,S,26,96 to 97 ,314.7657936,11.5,156,"24°41'34"" RT",11.109563,77.844861,Good,Good,11 KV  ,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.844861 11.109563, 77.845003 11.107496)"
98,,S,26,97 to 98 ,229.350189,13.8,156,"38°54'4"" LT",11.107496,77.845003,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.845003 11.107496, 77.847488 11.104844)"
99,,S,26,98 to 99,400.0157409,10,154,"14°36'47"" RT",11.104844,77.847488,Good,Good,LT Line ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.847488 11.104844, 77.848413 11.103138)"
100,,S,26,99 to 100,214.2354175,10.5,153,,11.103138,77.848413,Good,Good,,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.848413 11.103138, 77.849319 11.101461)"
101,,S,26,100 to 101 ,210.4252224,9.2,147,,11.101461,77.849319,Good,Good,2-LT ,,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.849319 11.101461, 77.850809 11.098794)"
102,,S,26,101 to 102 ,337.2117677,10.1,149,,11.098794,77.850809,Good,Good,LT Line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.850809 11.098794, 77.852044 11.09646)"
