Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-71,,T,DB,24,GANTRY-71,89.02246907,0.74,337,"11°45'38.40""",77.09405556,10.55480556,GOOD,MISSING,NO,,,CULTIVATION,NO EARTH WIRE BETWEEN GANTRY AND T.NO-71.ITS  DIRECTLY CONNECT FROM T.NO - 72 TO TNO-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09405555555556 10.554805555555557, 77.09227777777777 10.554916666666667)"
T.NO-70,,T,DB,24,71-70,196.3084308,1.69,337,"0°27'10.71""",77.09227778,10.55491667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09227777777777 10.554916666666667, 77.08972222222222 10.555083333333334)"
T.NO-69,,T,DB,24,70-69,281.5759223,,342,"8°57'31.06""",77.08972222,10.55508333,GOOD,GOOD,NO,,TAR TOAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08972222222222 10.555083333333334, 77.0868611111111 10.554833333333335)"
T.NO-68,,S,DA,26,69-68,314.3405796,16.3,341,,77.08686111,10.55483333,GOOD,GOOD,NO,,"NALA,MUD ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0868611111111 10.554833333333335, 77.08419444444444 10.554583333333333)"
T.NO-67,,S,DA,26,68-67,291.5475947,16.71,333,,77.08419444,10.55458333,GOOD,GOOD,NO,"22KV,2nos LT","TAAR ROAD,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08419444444444 10.554583333333333, 77.08147222222222 10.554361111111112)"
T.NO-66,,S,DA,26,67-66,300.2165885,18.4,328,,77.08147222,10.55436111,GOOD,GOOD,NO,"LT,22KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08147222222222 10.554361111111112, 77.07855555555555 10.554083333333335)"
T.NO-65,,S,DA,26,66-65,320.8067954,14.13,319,,77.07855556,10.55408333,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07855555555555 10.554083333333335, 77.07577777777777 10.553861111111113)"
T.NO-64,,S,DA,26,65-64,304.2005917,16.1,318,,77.07577778,10.55386111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07577777777777 10.553861111111113, 77.073 10.553611111111111)"
T.NO-63,,S,DA,26,64-63,306.3755865,12.4,320,,77.073,10.55361111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.073 10.553611111111111, 77.07022222222221 10.553305555555557)"
T.NO-62,,S,DA,26,63-62,304.0213808,16.74,321,,77.07022222,10.55330556,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07022222222221 10.553305555555557, 77.06744444444445 10.553083333333333)"
