Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
193,S,26,194-193,317,315.12543745060196,5.16,199,,11.5634,78.67611,GOOD,GOOD,, ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67611 11.5634, 78.67335 11.56424)"
192,S,26,193-192,314,315.1845742314801,5.94,199,,11.56424,78.67335,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67335 11.56424, 78.67069 11.56505)"
191,S,26,192-191,306,303.7787890700087,8.05,198,,11.56505,78.67069,GOOD,GOOD,LT LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67069 11.56505, 78.66803 11.56583)"
190,S,26,191-190,304,302.81556197907804,3.38,199,,11.56583,78.66803,GOOD,GOOD,LT LINE CROSSING,,CANNAL CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66803 11.56583, 78.66484 11.5668)"
189,S,26,190-189,364,364.2601758203255,4.73,200,,11.5668,78.66484,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING",CANAL CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66484 11.5668, 78.66176 11.56771)"
188,S,26,189-188,350,350.8445129831631,6.45,201,,11.56771,78.66176,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING",,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66176 11.56771, 78.65896 11.56858)"
187,S,26,188-187,320,320.33849978482937,6.02,203,,11.56858,78.65896,GOOD,GOOD,LT LINE CROSSING,,HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65896 11.56858, 78.65537 11.56965)"
186,T,26,187-186,408,409.23532578489403,1.84,226,"19⁰13'52"" LT",11.56965,78.65537,GOOD,GOOD,"230KV LINE CROSSING(DEVIYAKURICHI TO VALAIYAPATTY), 230KV LINE CROSSING(DEVIYAKURICHI TO SINGIPURAM)", ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65537 11.56965, 78.65176 11.5695)"
185,S,26,186-185,394,394.26241541614775,4.96,212,,11.5695,78.65176,GOOD,GOOD,"33KV LINE CROSSING, LT LINE CROSSING",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65176 11.5695, 78.64919 11.56938)"
184,S,26,185-184,246,280.7459915276801,4.12,213,,11.56938,78.64919,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64919 11.56938, 78.64629 11.56923)"
183,S,26,184-183,317,316.876325000144,3.78,217,,11.56923,78.64629,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64629 11.56923, 78.64342 11.56914)"
182,S,26,183-182,313,313.32680263949277,5.61,219,,11.56914,78.64342,GOOD,GOOD,33KV LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64342 11.56914, 78.64066 11.56902)"
181,S,26,182-181,303,301.45883460481963,5.33,217,,11.56902,78.64066,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64066 11.56902, 78.63738 11.56886)"
180,S,26,181-180,364,358.34629758720996,6.03,217,,11.56886,78.63738,GOOD,GOOD,LT LINE CROSSING 2, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63738 11.56886, 78.63444 11.56872)"
179,S,26,180-179,321,321.1830604209776,2.16,216,,11.56872,78.63444,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63444 11.56872, 78.63102 11.56862)"
178,S,26,179-178,374,373.35120469930206,1.09,219,,11.56862,78.63102,GOOD,GOOD,"LT LINE CROSSING 3, 33KV LINE CROSSING 2", ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63102 11.56862, 78.62786 11.56847)"
177,T,24,178-177,344,345.2164856656733,5.76,220,"0⁰4'58"" RT",11.56847,78.62786,GOOD,GOOD,33KV LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62786 11.56847, 78.62482 11.56833)"
176,T,24,177-176,331,332.08532696888614,3.33,222,"14⁰30'28"" RT",11.56833,78.62482,GOOD,GOOD,,ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62482 11.56833, 78.622148 11.568882)"
175,S,26,176-175,294,297.8987580488307,11.22,218,,11.568882,78.622148,GOOD,GOOD,LT LINE CROSSING-4,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.622148 11.568882, 78.61902 11.56953)"
