S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,T.NO 27,,S,DA,26,26-27,217.0023041,7.95,365,,77.08233333,10.86413889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08233333333332 10.864138888888888, 77.08408333333333 10.865055555555555)"
32,T.NO 28,2W,T,DB,24,27-28,217.9587117,6.15,369,"1°52'18""",77.08408333,10.86505556,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08408333333333 10.865055555555555, 77.08638888888889 10.866194444444444)"
33,T.NO 29,,T,DB,24,28-29,282.6446532,7.05,381,"0°21'45""",77.08638889,10.86619444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08638888888889 10.866194444444444, 77.08830555555555 10.86713888888889)"
34,T.NO 30,,S,DA,26,29-30,234.7871376,9.05,381,,77.08830556,10.86713889,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08830555555555 10.86713888888889, 77.09008333333333 10.867944444444445)"
35,T.NO 31,,S,DA,26,30-31,213.3775996,8.7,382,,77.09008333,10.86794444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09008333333333 10.867944444444445, 77.09216666666666 10.868972222222222)"
36,T.NO 32,,S,DA,26,31-32,252.6756815,6.95,371,,77.09216667,10.86897222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09216666666666 10.868972222222222, 77.09422222222221 10.869972222222223)"
37,T.NO 33,,S,DA,26,32-33,251.3404066,6.35,365,,77.09422222,10.86997222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09422222222221 10.869972222222223, 77.09702777777777 10.871305555555557)"
38,T.NO 34,,T,DB,24,33-34,341.6855279,4.65,367,"0°20'39""",77.09702778,10.87130556,GOOD,GOOD,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09702777777777 10.871305555555557, 77.09819444444445 10.871861111111112)"
39,T.NO 35,,T,DB,24,34-35,141.7674152,6.7,367,"0°54'13""",77.09819444,10.87186111,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09819444444445 10.871861111111112, 77.10052777777777 10.872972222222222)"
40,T.NO 36,,T,DB,24,35-36,283.5842027,5.25,373,"10°32'6""",77.10052778,10.87297222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10052777777777 10.872972222222222, 77.10283333333332 10.873555555555557)"
41,T.NO 37,,S,DA,26,36-37,259.7883754,8.15,372,,77.10283333,10.87355556,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10283333333332 10.873555555555557, 77.10516666666666 10.874222222222222)"
42,T.NO 38,,S,DA,26,37-38,264.1685068,6.9,369,,77.10516667,10.87422222,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10516666666666 10.874222222222222, 77.1073611111111 10.874833333333333)"
43,T.NO 39,,T,DB,24,38-39,249.0401574,5.7,372,"14°36'23""",77.10736111,10.87483333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1073611111111 10.874833333333333, 77.11008333333332 10.87488888888889)"
44,T.NO 40,,S,DA,26,39-40,300.1349696,6.33,370,,77.11008333,10.87488889,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11008333333332 10.87488888888889, 77.11274999999999 10.874972222222222)"
45,T.NO 41,,T,DC,26,40-41,290.1396216,5.8,387,"22°28'18""",77.11275,10.87497222,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11274999999999 10.874972222222222, 77.11375 10.875416666666666)"
46,T.NO 42,,T,DD,28,41-42,121.7415295,4.85,396,"52°51'35""",77.11375,10.87541667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11375 10.875416666666666, 77.11397222222222 10.875305555555556)"
47,GT PANAPATTY SS,2W,T,GT,20,42-GT,25.05992817,,392,,77.11397222,10.87530556,GOOD,MISSING,,,PLAIN,110KV PANAPATTY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
