Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 27,,S,DA,26,26-27,204.8047851,2.67,402,,77.07888889,10.87897222,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07888888888888 10.878972222222222, 77.08038888888889 10.88088888888889)"
T.NO 28,,S,DA,26,27-28,266.8107944,3.91,403,,77.08038889,10.88088889,GOOD,GOOD,11KV,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08038888888889 10.88088888888889, 77.08152777777778 10.882444444444445)"
T.NO 29,2W,T,DC,26,28-29,212.5088233,3.16,405,"28°9'41""",77.08152778,10.88244444,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08152777777778 10.882444444444445, 77.08186111111111 10.885)"
T.NO 30,,S,DA,26,29-30,284.0422504,4.65,404,,77.08186111,10.885,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08186111111111 10.885, 77.08219444444444 10.887722222222221)"
T.NO 31,,T,DC,26,30-31,304.0213808,3.19,408,"21°31'21""",77.08219444,10.88772222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08219444444444 10.887722222222221, 77.08341666666666 10.889944444444444)"
T.NO 32,,S,DA,26,31-32,277.8236851,2.35,408,,77.08341667,10.88994444,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08341666666666 10.889944444444444, 77.08452777777778 10.891833333333333)"
T.NO 33,,S,DA,26,32-33,244.5976288,4,408,,77.08452778,10.89183333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08452777777778 10.891833333333333, 77.0858611111111 10.89425)"
T.NO 34,,S,DA,26,33-34,302.4119707,3.98,398,,77.08586111,10.89425,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0858611111111 10.89425, 77.08719444444444 10.896638888888889)"
T.NO 35,,T,DB,24,34-35,304.3106965,5.08,408,"10°30'34""",77.08719444,10.89663889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08719444444444 10.896638888888889, 77.08869444444444 10.898444444444443)"
T.NO 36,,S,DA,26,35-36,258.0096897,4.16,405,,77.08869444,10.89844444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08869444444444 10.898444444444443, 77.09033333333333 10.900333333333334)"
T.NO 37,,S,DA,26,36-37,276.0525312,2.57,408,,77.09033333,10.90033333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09033333333333 10.900333333333334, 77.09213888888888 10.902333333333333)"
T.NO 38,,S,DA,26,37-38,294.8219802,3.47,412,,77.09213889,10.90233333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09213888888888 10.902333333333333, 77.09375 10.904416666666666)"
T.NO 39,,S,DA,26,38-39,289.6135356,4.37,416,,77.09375,10.90441667,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09375 10.904416666666666, 77.0953611111111 10.906305555555555)"
T.NO 40,,T,DD,28,39-40,274.898163,4.93,415,"32°4'31""",77.09536111,10.90630556,GOOD,GOOD,11KV,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0953611111111 10.906305555555555, 77.09566666666666 10.90838888888889)"
T.NO 41,,S,DA,26,40-41,230.9567059,3.17,415,,77.09566667,10.90838889,GOOD,MISSING,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09566666666666 10.90838888888889, 77.09597222222222 10.910527777777778)"
T.NO 42,,S,DA,26,41-42,240.1416249,4.19,416,,77.09597222,10.91052778,GOOD,MISSING,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09597222222222 10.910527777777778, 77.09636111111111 10.913111111111112)"
T.NO 43,,S,DA,26,42-43,287.9340202,4.5,421,,77.09636111,10.91311111,GOOD,MISSING,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09636111111111 10.913111111111112, 77.09672222222221 10.915750000000001)"
T.NO 44,,T,DD,28,43-44,296.5754541,6.18,439,"63°35'26""",77.09672222,10.91575,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09672222222221 10.915750000000001, 77.0971111111111 10.915888888888889)"
GANTRY EDAYARPALAYAM SS,2W,T,GT,20,44-GT,43.32435804,,437,,77.09711111,10.91588889,GOOD,MISSING,,,PLAIN,11OKV EDAYARPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
