Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 29,,,T,DB,24,28-29,291.2198482,3.09,367,"11°37'34""",77.04377778,10.83694444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04377777777778 10.836944444444445, 77.04455555555555 10.836222222222222)"
T.NO 30/1 KINATHUKADAVU LILO,,3W,T,DC,26,29-30,114.6908889,2.85,370,"22°13'59""",77.04455556,10.83622222,GOOD,GOOD,,,PLAIN,KINATHUKADAVU LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04455555555555 10.836222222222222, 77.04505555555555 10.835166666666668)"
T.NO 31,,,T,DB,24,30-31,131.946959,4.65,368,"10°55'23""",77.04505556,10.83516667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04505555555555 10.835166666666668, 77.04663888888889 10.833027777777778)"
T.NO 32,,,S,DA,26,31-32,292.4055403,6.92,364,,77.04663889,10.83302778,GOOD,GOOD,LT,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04663888888889 10.833027777777778, 77.04833333333333 10.830638888888888)"
T.NO 33,,,T,DB,24,32-33,321.8897327,4.6,361,"1°3'22""",77.04833333,10.83063889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04833333333333 10.830638888888888, 77.05 10.828388888888888)"
T.NO 34,,,T,DB,24,33-34,308.804145,3.55,357,"10°33'2""",77.05,10.82838889,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05 10.828388888888888, 77.05130555555556 10.825694444444444)"
T.NO 35,,,S,DA,26,34-35,330.5056732,5.5,352,,77.05130556,10.82569444,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05130555555556 10.825694444444444, 77.05230555555555 10.823666666666666)"
T.NO 36,,,S,DA,26,35-36,250.4495957,6.32,352,,77.05230556,10.82366667,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05230555555555 10.823666666666666, 77.05361111111111 10.821027777777777)"
T.NO 37,,,S,DA,26,36-37,324.2298567,5.03,353,,77.05361111,10.82102778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05361111111111 10.821027777777777, 77.05469444444444 10.818777777777777)"
T.NO 38,,,S,DA,26,37-38,276.8429157,6.3,350,,77.05469444,10.81877778,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05469444444444 10.818777777777777, 77.05602777777777 10.816055555555556)"
