S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,DP 1,,T,DP,15,9-DP1,34.6554469,,294,,77.50102778,10.8295,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50102777777778 10.8295, 77.50072222222222 10.829694444444444)"
12,DP 2,,T,DP,15,DP1-DP2,39.96248241,,293,,77.50072222,10.82969444,GOOD,MISSING,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50072222222222 10.829694444444444, 77.5003611111111 10.82986111111111)"
13,T.NO 10,2W,T,DB,24,DP2-10,42.04759208,4.37,292,"14°20'59""",77.50036111,10.82986111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5003611111111 10.82986111111111, 77.4985 10.831416666666666)"
14,T.NO 11,,T,DD,28,10-Nov,267.7256058,3.93,295,"49°6'16""",77.4985,10.83141667,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4985 10.831416666666666, 77.4961388888889 10.831055555555555)"
15,T.NO 12,,S,DA,26,11-Dec,262.3833074,5.36,297,,77.49613889,10.83105556,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4961388888889 10.831055555555555, 77.49375 10.830666666666666)"
16,T.NO 13,2W,T,DB,24,Dec-13,263.6967956,6.38,307,"9°21'37""",77.49375,10.83066667,GOOD,GOOD,2nos HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49375 10.830666666666666, 77.49119444444445 10.830694444444445)"
17,T.NO 14,,S,DA,26,13-14,280,4.31,299,,77.49119444,10.83069444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49119444444445 10.830694444444445, 77.48866666666667 10.830722222222223)"
18,T.NO 15,,S,DA,26,14-15,277.001805,6.12,292,,77.48866667,10.83072222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48866666666667 10.830722222222223, 77.4858888888889 10.830722222222223)"
19,T.NO 16,,S,DA,26,15-16,302,5.03,293,,77.48588889,10.83072222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4858888888889 10.830722222222223, 77.48294444444444 10.83075)"
20,T.NO 17,,T,DB,24,16-17,325,4.91,303,"7°56'40""",77.48294444,10.83075,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48294444444444 10.83075, 77.48127777777778 10.831)"
21,T.NO 18,,S,DA,26,17-18,182.5842271,3.79,296,,77.48127778,10.831,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48127777777778 10.831, 77.47888888888889 10.831333333333333)"
22,T.NO 19,,S,DA,26,18-19,263.3362869,5.96,280,,77.47888889,10.83133333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47888888888889 10.831333333333333, 77.47702777777778 10.83161111111111)"
23,T.NO 20,,S,DA,26,19-20,208.0312477,4.98,295,,77.47702778,10.83161111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47702777777778 10.83161111111111, 77.47497222222222 10.831916666666666)"
24,T.NO 21,,S,DA,26,20-21,226.27417,6.39,294,,77.47497222,10.83191667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47497222222222 10.831916666666666, 77.47258333333333 10.83225)"
25,T.NO 22,,T,DB,30,21-22,262.6194966,5.31,296,"0°40'55""",77.47258333,10.83225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47258333333333 10.83225, 77.47116666666666 10.832444444444445)"
26,T.NO 23,,T,DC,32,22-23,159.2607924,4.33,299,"22°20'51""",77.47116667,10.83244444,GOOD,GOOD,2nos HT,TAAR ROAD-SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47116666666666 10.832444444444445, 77.46947222222222 10.833416666666666)"
27,T.NO 24,,S,DA,26,23-24,211.851363,3.84,292,,77.46947222,10.83341667,GOOD,GOOD,CANAL, ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46947222222222 10.833416666666666, 77.46708333333333 10.834777777777779)"
28,T.NO 25,,S,DA,26,24-25,303.1451797,6.45,295,,77.46708333,10.83477778,GOOD,GOOD,"2nos HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46708333333333 10.834777777777779, 77.46555555555555 10.835611111111112)"
29,T.NO 26,,S,DA,26,25-26,191.0628169,4.25,300,,77.46555556,10.83561111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46555555555555 10.835611111111112, 77.46388888888889 10.836583333333333)"
30,T.NO 27,,S,DA,26,26-27,210.9834117,2.87,298,,77.46388889,10.83658333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46388888888889 10.836583333333333, 77.46194444444444 10.837722222222222)"
31,T.NO 28,,T,DC,26,27-28,246.4650077,3.02,304,"17°50'11""",77.46194444,10.83772222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46194444444444 10.837722222222222, 77.4605 10.838027777777778)"
32,T.NO 29,,T,DB,24,28-29,162.3884232,4.04,305,"2°15'46""",77.4605,10.83802778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4605 10.838027777777778, 77.46011111111112 10.838083333333334)"
33,GANTRYT 110KV KUNDADAM SS,2W,GANTRY,DA,20,29-GANTRY,42.57933771,,310,,77.46011111,10.83808333,GOOD,MISSING,,,PLAIN,110KV KUNDADAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
