S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33,113,GCR S,DA,26,114-113,255,273.956791456268,0.69,457,,12.48727,78.33382,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD CROSSING, FENCING CROSSING",,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33382 12.48727, 78.33308 12.48508)"
34,112,GCR S,DA,26,113-112,260,255.43978934974524,1.1,459,,12.48508,78.33308,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33308 12.48508, 78.33237 12.48299)"
35,111,HCR+3 T,DB+3,27,112-111,260,243.90639744390296,2.96,463,"11°56'29""(LT)",12.48299,78.33237,GOOD,GOOD,,SAND ROAD AND FENCING CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33237 12.48299, 78.33202 12.47998)"
36,110,HCR+3 T,DB+3,27,111-110,330,335.36597383660927,1.69,458,"10°04'00""(LT)",12.47998,78.33202,GOOD,GOOD,LT LINE-4 CROSSING,"SAND ROAD CROSSING, FENCING INSIDE TOWER",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33202 12.47998, 78.33215 12.47792)"
37,109,HCR T,DC,26,110-109,230,228.47385756068857,0.91,459,"27°02'43""(RT)",12.47792,78.33215,GOOD,GOOD,"LT LINE-3, WIRE CABLE CROSSING","FENCING CROSSING, FENCING INSIDE TOWER",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33215 12.47792, 78.33142 12.47627)"
38,108,KCR+6 T,DB+6,30,109-108,195,199.1646566611291,3.18,459,"03°55'30""(LT)",12.47627,78.33142,GOOD,GOOD,,"FENCING CROSSING, FENCING INSIDE TOWER",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33142 12.47627, 78.3307 12.47428)"
39,107,KCR+6 T,DB+6,30,108-107,235,233.79577664100213,6.86,463,"04°00'48""(LT)",12.47428,78.3307,GOOD,GOOD,"LT LINE-3,33KV LINE-1,11KV LINE-1",TAR ROAD CROSSING,,KRISHNAGIRI TO T.V MALAI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3307 12.47428, 78.33002 12.47188)"
40,106,GCR+3 S,DA+3,29,107-106,325,275.7783171687476,3.06,464,,12.47188,78.33002,GOOD,GOOD,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33002 12.47188, 78.32907 12.46863)"
41,105,HCR+3 T,DB+3,27,106-105,325,374.31375726103886,0.73,472,"14°18'53""(RT)",12.46863,78.32907,GOOD,GOOD,,SMALL ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32907 12.46863, 78.32798 12.4668)"
42,104,HCR T,DB,24,105-104,240,234.72584245070064,0.64,467,"07°32'06""(LT)",12.4668,78.32798,GOOD,GOOD,"LT LINE-2,11KV LINE-1","TAR ROAD CROSSING, SMALL ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32798 12.4668, 78.32709 12.46472)"
43,103,KCR T,DD,28,104-103,240,249.77709839953624,0.83,482,"51°34'16""(RT)",12.46472,78.32709,GOOD,GOOD,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32709 12.46472, 78.32447 12.464)"
44,102,HCR+3 T,DB+3,27,103-102,300,295.9455817778892,1.69,486,"10°27'24""(LT)",12.464,78.32447,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32447 12.464, 78.3221 12.46286)"
45,101,HCR+3 T,DC+3,29,102-101,295,287.04492297526457,1.57,486,"24°16'10""(LT)",12.46286,78.3221,GOOD,GOOD,,"FENCING INSIDE TOWER, SAND ROAD CROSSING",AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3221 12.46286, 78.32027 12.46069)"
