S. No ,Tower No,Joint Box, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,S,26,09-Oct,276.8011832,355(1000),269,,11.41501,77.33492,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33492 11.41501, 77.33385 11.41188)"
12,11,,S,26,10-Nov,365.5419775,16.43,271,,11.41188,77.33385,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33385 11.41188, 77.33321 11.40994)"
13,12,,S,26,11-Dec,225.7694579,1620(1000),275,,11.40994,77.33321,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33321 11.40994, 77.33231 11.40729)"
14,13,,S,26,Dec-13,309.2789052,15.68,267,,11.40729,77.33231,GOOD,GOOD,LT,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33231 11.40729, 77.33147 11.4048)"
15,14,,S,26,13-14,290.4097584,16.94,271,,11.4048,77.33147,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33147 11.4048, 77.3307 11.40244)"
16,15,,S,26,14-15,274.3597789,1628(1000),274,,11.40244,77.3307,GOOD,GOOD,,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3307 11.40244, 77.3299 11.40009)"
17,16,,S,26,15-16,274.3318547,1654(1000),270,,11.40009,77.3299,GOOD,GOOD,11 KV/LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3299 11.40009, 77.32924 11.39812)"
18,17,,S,26,16-17,229.604669,1578(1000),274,,11.39812,77.32924,GOOD,GOOD,,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32924 11.39812, 77.32924 11.39563)"
19,18,,T,24,17-18,289.7277293,1634(1000),277,"13⁰41'32"" LT",11.39563,77.32924,GOOD,GOOD,,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32924 11.39563, 77.32822 11.39301)"
20,19,,S,26,18-19,290.7549161,15.77,276,,11.39301,77.32822,GOOD,GOOD,,TAAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32822 11.39301, 77.32801 11.39023)"
21,20,,S,26,19-20,308.4928042,16.04,273,,11.39023,77.32801,GOOD,GOOD,LT,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32801 11.39023, 77.32779 11.38751)"
22,21,,S,26,20-21,301.9566862,1637(1000),272,,11.38751,77.32779,GOOD,GOOD,LT,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32779 11.38751, 77.3276 11.3849)"
23,22,,S,26,21-22,289.5709427,1550(1000),275,,11.3849,77.3276,GOOD,GOOD,11 KV,SAND/ TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3276 11.3849, 77.32736 11.38189)"
24,23,2W,T,28,22-23,334.1206224,1605(1000),275,"54⁰11'54"" RT",11.38189,77.32736,GOOD,GOOD,11 KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32736 11.38189, 77.32481 11.38036)"
25,24,,S,26,23-24,325.8675755,1624(1000),273,,11.38036,77.32481,GOOD,GOOD,,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32481 11.38036, 77.32242 11.37897)"
26,25,,S,26,24-25,302.9203237,1643(1000),267,,11.37897,77.32242,GOOD,GOOD,LT,SAND, CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32242 11.37897, 77.32036 11.37774)"
27,26,,S,26,25-26,262.9065219,1506(1000),270,,11.37774,77.32036,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32036 11.37774, 77.31778 11.3762)"
28,27,,S,26,26-27,329.2441033,1632(1000),276,,11.3762,77.31778,GOOD,GOOD,LT,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31778 11.3762, 77.31548 11.37486)"
29,28,,S,26,27-28,291.6467447,1586(1000),272,,11.37486,77.31548,GOOD,GOOD,11 KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31548 11.37486, 77.31302 11.37339)"
30,29,,T,28,28-29,314.0249415,1497(1000),272,"58⁰23'36"" LT",11.37339,77.31302,GOOD,GOOD,,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31302 11.37339, 77.313 11.37061)"
31,30,,S,26,29-30,307.6437352,16.27,273,,11.37061,77.313,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.313 11.37061, 77.31299 11.36794)"
32,31,,S,26,30-31,295.4653019,1568(1000),270,,11.36794,77.31299,GOOD,GOOD,LT,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31299 11.36794, 77.31295 11.36515)"
33,32,,S,26,31-32,308.773368,16.08,271,,11.36515,77.31295,GOOD,GOOD,LT,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31295 11.36515, 77.31292 11.36224)"
34,33,,S,26,32-33,322.0383181,16.4,277,,11.36224,77.31292,GOOD,GOOD,11 KV, SAND/ TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31292 11.36224, 77.3129 11.35934)"
35,34,,S,26,33-34,320.9224205,3.08,279,,11.35934,77.3129,GOOD,GOOD,LT,,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3129 11.35934, 77.31292 11.35672)"
36,35,,T,24,34-35,289.9382697,1598(1000),285,"3⁰56'46"" RT",11.35672,77.31292,GOOD,GOOD,LT,SAND/ TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31292 11.35672, 77.31277 11.35431)"
37,35,,S,26,35-36,267.1938449,5.77,287,,11.35431,77.31277,GOOD,GOOD,LT,SAND/ TAAR,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31277 11.35431, 77.31262 11.35183)"
38,37,,S,26,36-37,274.9258459,1644(1000),291,,11.35183,77.31262,GOOD,GOOD,11 KV,SAND,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31262 11.35183, 77.31251 11.34961)"
39,38,,T,28,37-38,245.9592311,16.85,301,"52⁰3'33"" LT",11.34961,77.31251,GOOD,NO,SUBSTATION INSIDE THE TOWER,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31251 11.34961, 77.31271 11.34944)"
40,NAMBIYUR GANTRY,2W,T,20,38 GANTRY,28.82496734,,305,,11.34944,77.31271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
