S. No ,Tower No,JOINT BOX, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,228,,S,26,229-228,212.288035,18.08,294,,11.19698,77.50529,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50529 11.19698, 77.50362 11.19651)"
17,227,,S,26,228-227,189.7528941,12.67,292,,11.19651,77.50362,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50362 11.19651, 77.50155 11.19594)"
18,226,,S,26,227-226,234.825058,12.98,290,,11.19594,77.50155,GOOD,GOOD,400 KV DC LINE,TAR ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50155 11.19594, 77.4996 11.19539)"
19,225,,S,26,226-225,221.6042462,9.98,295,,11.19539,77.4996,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4996 11.19539, 77.49776 11.19488)"
20,224,,S,26,225-224,208.8329162,6.45,290,,11.19488,77.49776,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49776 11.19488, 77.49571 11.1943)"
21,223,,S,26,224-223,233.0233439,8.98,282,,11.1943,77.49571,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49571 11.1943, 77.49361 11.19371)"
22,222,,T,24,223-222,238.5809164,6.87,278,"0⁰8'4"" LT",11.19371,77.49361,GOOD,GOOD,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49361 11.19371, 77.49107 11.19299)"
23,221,,S,26,222-221,288.7634853,6.03,276,,11.19299,77.49107,GOOD,GOOD,,LAKE IN THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49107 11.19299, 77.48917 11.19248)"
24,220,,S,26,221-220,215.1528104,12.68,280,,11.19248,77.48917,GOOD,GOOD,,"LAKE, SAND, TAR ROAD",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48917 11.19248, 77.48708 11.19191)"
25,219,,S,26,220-219,236.9314081,12.35,284,,11.19191,77.48708,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48708 11.19191, 77.48496 11.19132)"
26,218,,S,26,219-218,240.6839569,13.78,284,,11.19132,77.48496,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48496 11.19132, 77.48298 11.19076)"
27,217,2W,T,24,218-217,225.0609241,11.7,284,"7⁰13'46"" LT",11.19076,77.48298,GOOD,GOOD,LT/11 KV,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48298 11.19076, 77.48102 11.18993)"
28,216,,S,26,217-216,233.0416401,9.91,281,,11.18993,77.48102,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48102 11.18993, 77.4791 11.18911)"
29,215,,S,26,216-215,228.5896928,9.45,282,,11.18911,77.4791,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4791 11.18911, 77.47727 11.18834)"
30,214,,S,26,215-14,217.3699001,13.87,281,,11.18834,77.47727,GOOD,GOOD,LT/11 KV/FENCING,TAR ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47727 11.18834, 77.4754 11.18754)"
31,213,,T,24,214-213,222.696785,9.37,279,"0⁰15'31"" RT",11.18754,77.4754,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4754 11.18754, 77.47327 11.18664)"
32,212,,S,26,213-212,253.16868,4.02,272,,11.18664,77.47327,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47327 11.18664, 77.47156 11.1859)"
33,211,,S,26,212-211,204.0164767,13.45,272,,11.1859,77.47156,GOOD,GOOD,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47156 11.1859, 77.46951 11.18505)"
34,210,,S,26,211-210,242.9608007,12.98,272,,11.18505,77.46951,GOOD,GOOD,,CANAL,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46951 11.18505, 77.46757 11.18421)"
35,209,,T,24,210-209,231.4785144,10.11,276,"1⁰37'32"" RT",11.18421,77.46757,GOOD,GOOD,,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46757 11.18421, 77.46572 11.18347)"
36,208,,S,26,209-208,218.1151402,11.16,278,,11.18347,77.46572,GOOD,GOOD,,TAR ROAD,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46572 11.18347, 77.46409 11.18276)"
37,207,,S,26,208-207,194.6783478,10.45,282,,11.18276,77.46409,GOOD,GOOD,,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46409 11.18276, 77.46221 11.18194)"
38,206,,S,26,207-206,224.5865511,13.64,279,,11.18194,77.46221,GOOD,GOOD,LT/11 KV/FENCING,,APK TEXTILE INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46221 11.18194, 77.46045 11.18122)"
39,205,,S,26,206-205,208.1760395,10.98,280,,11.18122,77.46045,GOOD,GOOD,LT/11 KV,TAR ROAD,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46045 11.18122, 77.4585 11.18039)"
40,204,2W,T,24,205-204,232.0403649,10.12,284,"0⁰19'52"" LT",11.18039,77.4585,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4585 11.18039, 77.45665 11.17959)"
41,203,,S,26,204-203,220.695205,10.67,287,,11.17959,77.45665,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45665 11.17959, 77.45489 11.17886)"
42,202,,S,26,203-202,208.6027434,12.16,292,,11.17886,77.45489,GOOD,GOOD,FENCING,"TAR ROAD, SAND",HOUSING AREA/ SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45489 11.17886, 77.45296 11.17803)"
43,201,,S,26,202-201,230.0356774,13.65,299,,11.17803,77.45296,GOOD,GOOD,,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45296 11.17803, 77.45136 11.177344)"
44,200,,S,26,201-200,190.6113942,13.11,303,,11.177344,77.45136,GOOD,GOOD,,SAND,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45136 11.177344, 77.44946 11.17661)"
45,199,,T,24,200-199,222.9476041,12.78,316,"1⁰3'54"" LT",11.17661,77.44946,GOOD,GOOD,22 KV LINE,TAAR,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44946 11.17661, 77.44828 11.17606)"
46,198,,S,26,199-198,142.5891101,11.87,320,,11.17606,77.44828,GOOD,GOOD,,,"HILLS AREA, TEMPLE STEPS CROSSING, SCHOOL BOUDNARY WALL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44828 11.17606, 77.44637 11.17526)"
47,197,,S,26,198-197,226.7173711,10.12,318,,11.17526,77.44637,GOOD,GOOD,LT LINE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44637 11.17526, 77.44473 11.17459)"
48,TAPPING 196/1,,T,28,197-196/1,193.9452859,10.46,314,"67⁰13'35"" LT",11.17459,77.44473,GOOD,GOOD,,,HOUSING AREA,Tapping to Uthukuli Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44473 11.17459, 77.44472 11.17268)"
49,2,,T,24,196/1-196/2,211.3812047,12.37,309,"12⁰0'48"" LT",11.17268,77.44472,GOOD,GOOD,110 KVA DC,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44472 11.17268, 77.44518 11.17049)"
50,3,,T,26,196/2-196/3,247.5236802,8.37,303,"19⁰57'50"" LT",11.17049,77.44518,GOOD,NO,22KV/ 110 KV FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44518 11.17049, 77.44523 11.17041)"
51,UTHUKULI GANTRY,,T,20,196/3GANTRY,10.40379401,,304,,11.17041,77.44523,,,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
