S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
50,T.NO 289,,T,DD,28,288-289,284.4942882,3.36,255,"36°19'7""",11.0896113,77.59153792,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59153792 11.0896113, 77.59247308 11.09192531)"
51,T.NO 290,,S,DA,26,289-290,275.7698316,2.34,271,,11.09192531,77.59247308,GOOD,GOOD,LT-2,"ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59247308 11.09192531, 77.59327645 11.09381579)"
52,T.NO 291,,S,DA,26,290-291,226.9273011,8.34,254,,11.09381579,77.59327645,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59327645 11.09381579, 77.59459145 11.09666862)"
53,T.NO 292,2W,T,DC,26,291-292,346.9437995,3.26,241,"23°36'54""",11.09666862,77.59459145,GOOD,GOOD,230KV DC LINE CROSSING,MUD ROAD,PLAIN,230KV DC LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59459145 11.09666862, 77.59613186 11.09811001)"
54,T.NO 293,,S,DA,26,292-293,231.9698256,7.8,249,,11.09811001,77.59613186,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59613186 11.09811001, 77.59803181 11.09986452)"
55,T.NO 294,,T,DD,28,293-294,284.344861,8.59,243,"39°56'36""",11.09986452,77.59803181,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59803181 11.09986452, 77.60074118 11.10004894)"
56,T.NO 295,,S,DA,26,294-295,296.8922363,4.42,240,,11.10004894,77.60074118,GOOD,GOOD,LT,"POND,DRAIN,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60074118 11.10004894, 77.60338621 11.10019775)"
57,T.NO 296,,S,DA,26,295-296,289.623894,5.7,249,,11.10019775,77.60338621,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60338621 11.10019775, 77.60483209 11.10025753)"
58,T.NO 297,,S,DA,26,296-297,158.202402,1.87,255,,11.10025753,77.60483209,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60483209 11.10025753, 77.60602184 11.10031951)"
59,T.NO 298,,T,DD,28,297-298,130.2459212,6.29,251,"40°21'10""",11.10031951,77.60602184,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60602184 11.10031951, 77.60780238 11.10201173)"
60,T.NO 299,,S,DA,26,298-299,270.1295985,3.91,245,,11.10201173,77.60780238,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60780238 11.10201173, 77.60957372 11.10369498)"
61,T.NO 300,,S,DA,26,299-300,268.7154629,3.33,244,,11.10369498,77.60957372,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60957372 11.10369498, 77.61140926 11.10539572)"
62,T.NO 301,,T,DC,26,300-301,275.1381471,2.9,238,"15°18'31""",11.10539572,77.61140926,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61140926 11.10539572, 77.6121705 11.10664499)"
63,T.NO 302,,T,DB,24,301-302,161.3846337,1.15,235,"6°28'23""",11.10664499,77.6121705,GOOD,GOOD,,"DRAIN,MUD ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6121705 11.10664499, 77.61334646 11.10926399)"
64,T.NO 303,,S,DA,26,302-303,317.1072374,3.5,235,,11.10926399,77.61334646,GOOD,GOOD,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61334646 11.10926399, 77.61440929 11.11150448)"
65,T.NO 304,,S,DA,26,303-304,273.8558015,5.57,236,,11.11150448,77.61440929,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61440929 11.11150448, 77.61521126 11.11321417)"
66,T.NO 305/1 PALAYAKOTTAI LILO,3W,T,DD,28,304-305/1,208.5569467,1.47,234,"61°44'17""",11.11321417,77.61521126,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61521126 11.11321417, 77.61720668 11.11334137)"
67,T.NO 2,,T,DB,24,305/1-2,218.5863674,4.24,231,"12°46'39""",11.11334137,77.61720668,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61720668 11.11334137, 77.6198102 11.1129302)"
68,T.NO 3,,T,DB,24,02-Mar,288.2256061,2.02,229,"4°18'5""",11.1129302,77.6198102,GOOD,GOOD,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6198102 11.1129302, 77.62195837 11.11274885)"
69,T.NO 4,,S,DA,26,03-Apr,235.6883536,4.03,226,,11.11274885,77.62195837,GOOD,GOOD,"LT,HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62195837 11.11274885, 77.62406096 11.11258595)"
70,T.NO 5,,S,DA,26,04-May,230.5558501,7.89,226,,11.11258595,77.62406096,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62406096 11.11258595, 77.62619989 11.11239562)"
71,T.NO 6,,S,DA,26,05-Jun,234.7701003,9.79,228,,11.11239562,77.62619989,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62619989 11.11239562, 77.62848525 11.11221303)"
72,T.NO 7,,T,DB,24,06-Jul,250.6471624,7.56,230,"14°16'32""",11.11221303,77.62848525,GOOD,GOOD,"LT-3,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62848525 11.11221303, 77.63063736 11.11145335)"
73,T.NO 8,,S,DA,26,07-Aug,249.8399488,6.87,232,,11.11145335,77.63063736,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63063736 11.11145335, 77.63242511 11.11086851)"
74,T.NO 9,,T,DB,24,08-Sep,205.8761764,6.18,231,"6°1'32""",11.11086851,77.63242511,GOOD,GOOD,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63242511 11.11086851, 77.63439701 11.11041757)"
75,T.NO 10,,T,DB,24,09-Oct,221.269067,6,231,"5°44'23""",11.11041757,77.63439701,GOOD,GOOD,HT,"MUD ROAD,DRAIN",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63439701 11.11041757, 77.63669965 11.11012635)"
76,T.NO 11,,T,DB,24,10-Nov,253.7794318,9.09,225,"5°31'21""",11.11012635,77.63669965,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63669965 11.11012635, 77.63910071 11.10959031)"
77,T.NO 12,,S,DA,26,11-Dec,269.1059271,7.75,227,,11.10959031,77.63910071,GOOD,GOOD,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63910071 11.10959031, 77.64180297 11.10897933)"
78,T.NO 13,2W,T,DC,26,Dec-13,303.0528007,4.85,228,"19°49'54""",11.10897933,77.64180297,GOOD,GOOD,LT-2,ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64180297 11.10897933, 77.644177 11.10747675)"
79,T.NO 14,,T,DC,26,13-14,308.2482766,2.74,228,"26°50'15""",11.10747675,77.644177,GOOD,GOOD,"LT-2,HT","ROAD-1,",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.644177 11.10747675, 77.64707415 11.10718024)"
80,T.NO 15,,S,DA,26,14-15,318.4163941,4.13,226,,11.10718024,77.64707415,GOOD,GOOD,,DRAIN,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64707415 11.10718024, 77.64968805 11.10692233)"
81,T.NO 16,,T,DC,26,15-16,287.1793864,2.58,221,"18°37'5""",11.10692233,77.64968805,GOOD,GOOD,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64968805 11.10692233, 77.65228178 11.10746867)"
82,T.NO 17,,S,DA,26,16-17,289.9275772,3.48,217,,11.10746867,77.65228178,GOOD,GOOD,LT-2,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65228178 11.10746867, 77.65499531 11.10811331)"
83,T.NO 18,,T,DD,28,17-18,305.1098163,3.45,210,"46°27'9""",11.10811331,77.65499531,GOOD,GOOD,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65499531 11.10811331, 77.65719594 11.10666639)"
84,T.NO 19,,T,DB,24,18-19,289.0121105,5.4,208,"11°1'10""",11.10666639,77.65719594,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65719594 11.10666639, 77.65880258 11.10528795)"
85,T.NO 20,,S,DA,26,19-20,232.6585481,1.95,209,,11.10528795,77.65880258,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65880258 11.10528795, 77.66095889 11.10299214)"
86,T.NO 21,,T,DC,26,20-21,346.6237153,2.61,210,"27°20'6""",11.10299214,77.66095889,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66095889 11.10299214, 77.66252738 11.10245426)"
87,T.NO 22,,S,DA,26,21-22,181.5158395,3.04,209,,11.10245426,77.66252738,GOOD,GOOD,LT,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66252738 11.10245426, 77.66439786 11.10193176)"
88,T.NO 23,,T,DC,26,22-23,212.5111762,1.27,211,"18°55'12""",11.10193176,77.66439786,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66439786 11.10193176, 77.6658984 11.10197269)"
89,T.NO 24,,T,DD,28,23-24,164.1097194,2.14,208,"36°47'25""",11.10197269,77.6658984,GOOD,GOOD,LT,ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6658984 11.10197269, 77.66743459 11.10090202)"
90,T.NO 25,,T,DD,28,24-25,205.5480479,3.16,208,"32°52'3""",11.10090202,77.66743459,GOOD,GOOD,LT-2,ROAD,WATER LOGGED,MAJOR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66743459 11.10090202, 77.66817726 11.09907947)"
91,T.NO 26,,T,DD,28,25-26,217.4626405,4.15,209,"32°26'44""",11.09907947,77.66817726,GOOD,GOOD,"LT,HT",ROAD-2,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66817726 11.09907947, 77.66814843 11.09892613)"
92,GANTRY 110KV PALAYAKOTTAI SS,2W,T,GANTRY,15,26-GANTRY,17.2626765,,207,,11.09892613,77.66814843,GOOD,MISSING,,,PLAIN,110KV PALAYAKOTTAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
