Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,GCR+3M(T),DC+3,37,09-Oct,260,304.2483662,1.89,866,"28°11'37""(LT)",12.73641,77.85702,,,,,Good,Good,LT LINE PASSING,,CONTINUE TO GOING HILLS TO NEXT TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85702 12.73641, 77.8562 12.73844)"
11,,HCR+3M(T),DB+3,35,10-Nov,295,241.7775026,2.44,872,"07°25'43""(LT)",12.73844,77.8562,,,,,Good,Good,,TOWER IN HILLS,"APPARTMENT AREA,HILLS AREA,TOWER GO TO DOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8562 12.73844, 77.8547 12.74109)"
12,2W,GCR+3M(T),DC+3,37,11-Dec,250,335.6459651,3.55,853,"16°20'32""(RT)",12.74109,77.8547,2W,,,,Good,Good,"LT LINE-2,11KV-1",TAR ROAD CROSSING-2,APPARTMENT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8547 12.74109, 77.8541 12.7437)"
13,,HCR(S),DA,34,Dec-13,290,296.2338429,2.67,855,"00°00'00""",12.7437,77.8541,,,,,Good,Good,"LT-1,WIRE CABLE-3",,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8541 12.7437, 77.853586 12.746059)"
14,,GCR(S),DA,34,13-14,270,267.0850995,1.56,848,"00°00'00""",12.746059,77.853586,,,,,Good,Good,LT-1,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853586 12.746059, 77.85303 12.74854)"
15,,HCR(S),DA,34,14-15,150,281.2529131,0.92,851,"00°00'00""",12.74854,77.85303,,,,,Good,Good,LT-1,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85303 12.74854, 77.85258 12.75065)"
16,,HCR(S),DA,34,15-16,265,238.6738128,4.45,841,"00°00'00""",12.75065,77.85258,,,,,Good,Good,LT LINE-1,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85258 12.75065, 77.85208 12.75297)"
17,,HCR+3M(S),DA+3,37,16-17,270,262.5445908,3.54,845,"00°00'00""",12.75297,77.85208,,,,,Good,Good,LT LINE CROSSING,CANAL CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85208 12.75297, 77.85154 12.75539)"
18,,KCR+3M(S),DA+3,37,17-18,230,274.2829391,5.11,852,"00°00'00""",12.75539,77.85154,,,,,Good,Good,LT LINE-1 CROSSING,,COMPOUND INSIDE TOWER AT MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85154 12.75539, 77.85098 12.75797)"
19,,HCR+3M(T),DB+3,35,18-19,285,292.056778,11.63,851,"09°44'06""(LT)",12.75797,77.85098,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85098 12.75797, 77.84989 12.76065)"
20,,GCR(T),DB,32,19-20,315,319.487796,4.21,853,"00°00'00""",12.76065,77.84989,,,,,Good,Good,"11KV LINE-1,LT LINE-2,WIRE CABLE",HOSUR TO AVALAPALLI TAR ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84989 12.76065, 77.84941 12.76184)"
21,,HCR+3M(S),DA+3,35,20-21,320,141.7016002,3.78,864,"00°00'00""",12.76184,77.84941,,,,,Good,Good,,TRAVEL ROAD CROSSING,"HILLS AREA,WET AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84941 12.76184, 77.84881 12.76329)"
22,,HCR(T),DC,34,21-22,275,173.2732703,4.11,870,"17°47'13""(RT)",12.76329,77.84881,,,,,Good,Good,,,HILLS AREA INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84881 12.76329, 77.84867 12.76511)"
23,,HCR+3M(S),DA+3,35,22-23,260,202.0752325,5.95,866,"00°00'00""",12.76511,77.84867,,,,,Good,Good,LT LINE CROSSING-1,AGRICULTURE LAND AREA,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84867 12.76511, 77.84846 12.76774)"
24,,HCR+3M(S),DA+3,35,23-24,250,292.0739244,0.89,863,"00°00'00""",12.76774,77.84846,,,,,Good,Good,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84846 12.76774, 77.8482 12.77103)"
25(LILO),2W,HCR(T),DD,36,24-25,250,365.3472117,12.76,872,"67°24'26""(RT)",12.77103,77.8482,3W,,,,Good,Good,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8482 12.77103, 77.8494 12.77163)"
26,,GCR+3M(T),DC+3,37,25-26,290,146.347244,3.47,879,"17°30'12""(RT)",12.77163,77.8494,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8494 12.77163, 77.85135 12.77195)"
27,,HCR(S),DA,34,26-27,240,214.8444838,5.67,871,"00°00'00""",12.77195,77.85135,,,,,Good,Good,11KV LINE CROSSING,,"HILLS AREA,AGRICULTURE AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85135 12.77195, 77.85348 12.77229)"
28,,GCR(T),DB,32,27-28,240,234.5045479,7.38,863,"13°44'36""(LT)",12.77229,77.85348,,,,,Good,Good,,SAND ROAD CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85348 12.77229, 77.85533 12.77306)"
29,,HCR(S),DA,34,28-29,230,218.3651791,6.89,858,"00°00'00""",12.77306,77.85533,,,,,Good,Good,LT LINE CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85533 12.77306, 77.85709 12.77377)"
30,,GCR+3M(T),DB+3,35,29-30,290,206.7802734,11.53,852,"00°00'00""",12.77377,77.85709,,,,,Good,Good,CABLE CROSSING,,"AGRICULTURE AREA,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85709 12.77377, 77.85944 12.77474)"
31,,HCR(T),DC,34,30-31,210,277.0329915,3.67,851,"21°53'32""(LT)",12.77474,77.85944,,,,,Good,Good,,SMALL CANAL CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85944 12.77474, 77.86153 12.77677)"
32,,GCR+3M(T),DB+3,35,31-32,300,319.524229,10.57,845,"03°03'13""(RT)",12.77677,77.86153,,,,,Good,Good,LT LINE CROSSING,TAR ROAD CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86153 12.77677, 77.86326 12.77828)"
33,,HCR+3M(T),DB+3,35,32-33,300,251.5779868,6.41,844,"08°37'49""(LT)",12.77828,77.86326,,,,,Good,Good,LT LINE-1,LAKE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86326 12.77828, 77.86475 12.78004)"
34,,GCR(S),DA,34,33-34,280,253.3510711,1.32,850,"00°00'00""",12.78004,77.86475,,,,,Good,Good,,TAR ROAD CROSSING(AVALAPALLI TO DAM ROAD),"AGRICULTURE LAND CROSSING,SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86475 12.78004, 77.86652 12.78205)"
35,,HCR+3M(T),DB+3,35,34-35,250,294.1402718,2.06,857,"14°16'48""(LT)",12.78205,77.86652,,,,,Good,Good,"LT LINE CROSSING,11KV LINE CROSSING",TAR ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86652 12.78205, 77.86762 12.78421)"
36,,HCR+3M(S),DA+3,35,35-36,280,267.3572951,0.98,852,"00°00'00""",12.78421,77.86762,,,,,Good,Good,,,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86762 12.78421, 77.868784 12.786386)"
37,,GCR(T),DC,34,36-37,260,272.1050858,6.9,852,"25°07'27""(LT)",12.786386,77.868784,,,,,Good,Good,LT LINE PIT CROSSING AREA,,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.868784 12.786386, 77.86888 12.78848)"
38,,HCR(S),DA,34,37-38,260,232.0764754,4.7,859,"00°00'00""",12.78848,77.86888,,,,,Good,Good,,,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86888 12.78848, 77.8689 12.79004)"
39,,HCR(T),DC,34,38-39,230,172.7326017,5.9,856,"18°38'31""(RT)",12.79004,77.8689,,,,,Good,Good,LT LINE CROSSING,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8689 12.79004, 77.86972 12.79233)"
40,,HCR(T),DC,34,39-40,280,268.7436451,3.6,846,"24°11'09""(RT)",12.79233,77.86972,,,,,Good,Good,,TOWER IN PIT AREA,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86972 12.79233, 77.87157 12.79424)"
41,,HCR+3M(T),DB+3,35,40-41,240,291.7701492,6.94,850,"08°00'18""(RT)",12.79424,77.87157,,,,,Good,Good,"PIT IN TOWER,LAKE CROSSING,SAND ROAD CROSSING",,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87157 12.79424, 77.873046 12.79539)"
42,2W,KCR(T),DD,36,41-42,280,204.7787819,6.73,857,"36°28'24""(RT)",12.79539,77.873046,2W,,,,Good,Good,"LT-2,11KV-1","SAND ROAD,TAR ROAD",AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.873046 12.79539, 77.87571 12.79548)"
43,,HCR(T),DB,32,42-43,220,289.6425583,0.66,854,"03°59'00""(RT)",12.79548,77.87571,,,,,Good,Good,LT LINE-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87571 12.79548, 77.8789 12.79537)"
44,,HCR(S),DA,32,43-44,220,346.8411885,0.93,857,"00°00'00""",12.79537,77.8789,,,,,Good,Good,LT-1,SAND ROAD CROSSING-2,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8789 12.79537, 77.88162 12.79525)"
45,,KCR+3M(T),DC+3,37,44-45,250,295.8561609,0.21,856,"18°03'48""(LT)",12.79525,77.88162,,,,,Good,Good,,"CANAL CROSSING,SAND ROAD CROSSING","HILLS AREA,AGRICULTURE AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88162 12.79525, 77.88401 12.7959)"
46,,KCR+3M(T),DB+3,35,45-46,285,269.487076,3.31,849,"00°00'00""",12.7959,77.88401,,,,,Good,Good,,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88401 12.7959, 77.88634 12.79642)"
47,,KC(0)T(WITH SPECIAL X-ARM),DC,34,46-47,240,259.6438269,10.12,848,"22°10'27""(RT)",12.79642,77.88634,,,,,Good,Good,,AVALAPALLI DAM RIVER CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88634 12.79642, 77.88875 12.79603)"
48,,T,DB,32,47-48,,265.4096053,5.47,856,"08°26'04""(RT)",12.79603,77.88875,,,,,Good,Good,LT-1,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88875 12.79603, 77.89094 12.79534)"
49,,T,DC,34,48-49,,249.9312356,2.36,859,"17°32'58""(LT)",12.79534,77.89094,,,,,Good,Good,"11KV-1,LT-1",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89094 12.79534, 77.89328 12.79533)"
50,,S,DA,34,49-50,,254.2714598,3.97,863,"00°00'00""",12.79533,77.89328,,,,,Good,Good,"LT-2,11KV-1",SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89328 12.79533, 77.895539 12.795361)"
51,,T,DB,32,50-51,,245.4918899,0.75,864,"00°00'00""",12.795361,77.895539,,,,,Good,Good,LT-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.895539 12.795361, 77.89812 12.79535)"
52,,S,DA,34,51-52,,280.4603275,3.63,864,"00°00'00""",12.79535,77.89812,,,,,Good,Good,"11KV LINE CROSSING, TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89812 12.79535, 77.90029 12.79534)"
53,,T,DC,34,52-53,,235.8005149,5.77,862,"25°09'36""(LT)",12.79534,77.90029,,,,,Good,Good,"LT-1,TOWER NUMBER 52 ROW PROBLEM",,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90029 12.79534, 77.90253 12.79636)"
54,,S,DA,34,53-54,,268.3279622,0.63,860,"00°00'00""",12.79636,77.90253,,,,,Good,Good,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90253 12.79636, 77.904 12.79699)"
55,2W,T,DB,32,54-55,,174.3000045,4.57,858,"05°37'32""(LT)",12.79699,77.904,2W,,,,Good,Good,SMALL FOREST,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.904 12.79699, 77.90615 12.79817)"
56,,S,DA,34,55-56,,267.6744203,5.27,854,"00°00'00""",12.79817,77.90615,,,,,Good,Good,"LT-1,11KV-1",SAND ROAD CROSSING,TOWER IN PIT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90615 12.79817, 77.90897 12.79984)"
57,,T,DB,32,56-57,,357.8918795,2.27,854,"00°00'00""",12.79984,77.90897,,,,,Good,Good,,"SAND ROAD,LAKE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90897 12.79984, 77.91125 12.80106)"
58,,S,DA,34,57-58,,282.1802399,0.67,862,"00°00'00""",12.80106,77.91125,,,,,Good,Good,"LT-1,11KV-1",SAND ROAD AND LAKE CROSSING TOWER IN LAKE,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91125 12.80106, 77.91332 12.80228)"
59,,T,DB,32,58-59,,262.3727875,5.67,865,"08°58'16""(RT)",12.80228,77.91332,,,,,Good,Good,,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91332 12.80228, 77.91559 12.80318)"
60,,T,DB,32,59-60,,266.0286741,2.29,864,"08°28'31""(LT)",12.80318,77.91559,,,,,Good,Good,LT-1,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91559 12.80318, 77.91772 12.80441)"
61,,S,DA,34,60-61,,268.5421696,1.39,861,"00°00'00""",12.80441,77.91772,,,,,Good,Good,,LAKE AND SAND ROAD CROSSING,TOWER IN LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91772 12.80441, 77.91978 12.80558)"
62,,T,DA,32,61-62,,258.6238372,1.42,869,"00°00'00""",12.80558,77.91978,,,,,Good,Good,,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91978 12.80558, 77.92147 12.8066)"
63,,T,DB,32,62-63,,215.5844371,4.32,873,"14°46'01""(RT)",12.8066,77.92147,,,,,Good,Good,,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92147 12.8066, 77.92393 12.80733)"
64,,T,DB,32,63-64,,279.2562155,1.37,881,"00°00'00""",12.80733,77.92393,,,,,Good,Good,,SAND ROAD CROSSING AND AGRICULTURE LAND CROSSING,"SMALL HILLS,AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92393 12.80733, 77.92613 12.80805)"
65,,T,DB,32,64-65,,251.99383,1.65,881,"00°00'00""",12.80805,77.92613,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92613 12.80805, 77.92854 12.80873)"
66,,T,DD,36,65-66,,272.478558,1.53,882,"31°31'06""(LT)",12.80873,77.92854,,,,,Good,Good,11KV LINE CROSSING,"AGRICULTURE AREA,COMPOUND WALL",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92854 12.80873, 77.92977 12.81005)"
67,,T,DB,32,66-67,,198.0497773,5.94,886,"04°25'43""(LT)",12.81005,77.92977,,,,,Good,Good,,TAR ROAD(PERIGAI TO HOSUR),AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92977 12.81005, 77.93114 12.81177)"
68,,T,DB,32,67-68,,241.720807,2.31,890,"08°00'22""(RT)",12.81177,77.93114,,,,,Good,Good,,CANAL PASSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93114 12.81177, 77.93265 12.8132)"
69,,T,DB,32,68-69,,228.0132863,10.71,896,"00°00'00""",12.8132,77.93265,,,,,Good,Good,"LT-1,11KV-1",TOWER IN PIT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93265 12.8132, 77.93477 12.81502)"
70,,T,DB,32,69-70,,306.0591478,14.47,901,"09°24'17""(LT)",12.81502,77.93477,,,,,Good,Good,"11KV-1,33KV-1",BANGALORE TO PERIGAI ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93477 12.81502, 77.93611 12.81662)"
71,,T,DB,32,70-71,,229.313043,13.83,906,"00°00'00""",12.81662,77.93611,,,,,Good,Good,33KV-2,SAND ROAD CROSSING,EARTHWIRE NOT GOING TO GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93611 12.81662, 77.9361 12.81681)"
GANTRY (NARIGANAPURAM),2W,T,DD,20,71-GANTRY,,21.06555675,,908,"42°22'23""(LT)",12.81681,77.9361,2W,,,,Good,Good,,,"TOWER NO.1 TO GANTRY,NO EARTHWIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL=,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
