S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,T.NO 2,T,DC,26,27/1-2,271.1180554666177,2.85,369,"16°31'58""",77.14030555555556,11.189805555555555,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14030555555556 11.189805555555555, 77.13825000000001 11.19125)"
23,T.NO 3,T,DD,28,2-3,274.36107595648474,4.05,368,"36°5'49""",77.13825000000001,11.19125,GOOD,GOOD,2nos LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13825000000001 11.19125, 77.13769444444445 11.19288888888889)"
24,T.NO 4,T,DD,28,3-4,193.54069339547175,4.6,363,"44°13'28""",77.13769444444445,11.19288888888889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13769444444445 11.19288888888889, 77.13669444444444 11.193388888888888)"
25,T.NO 5,T,DD,28,4-5,119.85407794480753,8.15,373,"49°5'53""",77.13669444444444,11.193388888888888,GOOD,GOOD,NIL,CEMENT ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13669444444444 11.193388888888888, 77.13636111111111 11.194805555555556)"
26,T.NO 6,T,DB,24,5-6,159.8311609167624,4.75,376,"7°29'26""",77.13636111111111,11.194805555555556,GOOD,GOOD,HT,TAAR ROAD,PLAIN,PADUVAMPALLI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13636111111111 11.194805555555556, 77.13622222222223 11.195972222222222)"
27,T.NO 7,T,DB,24,6-7,129.86916493148019,6.7,378,"10°8'26""",77.13622222222223,11.195972222222222,GOOD,GOOD,HT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13622222222223 11.195972222222222, 77.1363888888889 11.198333333333334)"
28,T.NO 8,T,DB,24,7-8,261.48996156640504,7.35,377,"5°36'47""",77.1363888888889,11.198333333333334,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1363888888889 11.198333333333334, 77.13672222222223 11.200277777777776)"
29,T.NO 9,T,DB,24,8-9,220.79175709251467,6.85,386,"10°13'24""",77.13672222222223,11.200277777777776,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13672222222223 11.200277777777776, 77.13736111111112 11.20197222222222)"
30,T.NO 10,T,DD,28,9-10,199.24858845171275,7.45,383,"33°45'16""",77.13736111111112,11.20197222222222,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13736111111112 11.20197222222222, 77.13702777777779 11.203277777777776)"
31,T.NO 10A,T-MC,MB,45,10-10A,148.67750334196495,1.95,385,"14°49'10""",77.13702777777779,11.203277777777776,GOOD,GOOD,HT,TAAR ROAD,PLAIN,NEED 4WAY JUNCTION BOX KARUVALUR - ARASUR-II & KARUVALUR - ANNUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13702777777779 11.203277777777776, 77.13702777777779 11.204555555555554)"
