Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17 Lilo ,3W,T,28,16 to 17 lilo ,378,19,325,"34⁰38'6"" LT",11.79585,77.84692,GOOD,GOOD,,River crossing,paddy land ,Double circuit line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84692 11.79585, 77.849518 11.796645)"
18,,T,24,17 lilo to 18 ,306,21,339,"7⁰37'37"" LT",11.796645,77.849518,GOOD,GOOD,,Tar road,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.849518 11.796645, 77.851549 11.797573)"
19,,S,26,18 to 19 ,258,15,345,,11.797573,77.851549,GOOD,GOOD,,Pond,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851549 11.797573, 77.853368 11.798291)"
20,,S,26,19 to 20 ,232,16,344,,11.798291,77.853368,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853368 11.798291, 77.85561 11.79931)"
21,,S,26,20 to 21 ,279,17,292,,11.79931,77.85561,GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85561 11.79931, 77.85795 11.8003)"
22,,T,24,21 to 22,289,18,293,"0⁰10'56"" RT",11.8003,77.85795,GOOD,GOOD,11kv line crossing,Sand road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85795 11.8003, 77.86012 11.80121)"
23,,S,26,22 to 23 ,268,18,297,,11.80121,77.86012,GOOD,GOOD,11 kv line crossing,Car Track,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86012 11.80121, 77.86271 11.80234)"
24,,S,26,23 to 24 ,319,16,307,,11.80234,77.86271,GOOD,GOOD,,Tar road ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86271 11.80234, 77.86455 11.80314)"
25,,S,26,24 to 25 ,237,19,307,,11.80314,77.86455,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86455 11.80314, 77.86606 11.80402)"
26,,T,24,25 to 26 ,219,15,317,"1⁰47'6"" LT",11.80402,77.86606,GOOD,GOOD,Lt linecrossing,Tar road ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86606 11.80402, 77.86758 11.80497)"
27,,T,24,26 to 27 ,219,14,314,"2⁰2'6"" LT",11.80497,77.86758,GOOD,GOOD,Lt linecrossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86758 11.80497, 77.86875 11.80576)"
28,,T,24,27 to 28 ,177,19,317,"9⁰21'13"" LT",11.80576,77.86875,GOOD,GOOD,Lt linecrossing,Railway crossing,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86875 11.80576, 77.87018 11.80711)"
29,,T,24,28 to 29 ,226,16,308,"6⁰29'52"" RT",11.80711,77.87018,GOOD,GOOD,11kv -Lt linecrossing,Tar road ,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87018 11.80711, 77.87074 11.80753)"
39 Lilo ,2W,T,28,29 to 39 lilo   ,97,18,302,"66⁰9'3"" LT",11.80753,77.87074,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87074 11.80753, 77.87026 11.80951)"
40,,T,24,39 lilo  to 40 ,235,16,304,"4⁰33'47"" LT",11.80951,77.87026,GOOD,GOOD,,Car Track,Palin ,Double circuit line Tapping ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87026 11.80951, 77.86965 11.81136)"
41,,S,26,40 to 41 ,225,18,302,,11.81136,77.86965,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86965 11.81136, 77.86906 11.81324)"
42,,S,26,41 to 42 ,221,19,304,,11.81324,77.86906,GOOD,GOOD,Lt line crossing,Tar road ,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86906 11.81324, 77.86843 11.81515)"
43,,S,26,42 to 43 ,222.3401991,18,305,,11.81515,77.86843,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86843 11.81515, 77.86789 11.81681)"
44,,S,26,43 to 44,208,19,311,,11.81681,77.86789,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86789 11.81681, 77.86729 11.81861)"
45,,S,26,44 to 45 ,220,15,306,,11.81861,77.86729,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86729 11.81861, 77.86663 11.820651)"
46,,S,26,45 to 46,236.68,16,302,"12⁰40'22"" LT",11.820651,77.86663,GOOD,GOOD,,Highway ,Privet Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86663 11.820651, 77.866118 11.822356)"
47,,T,28,46 to 47,209,14,300,"35⁰17'21"" LT",11.822356,77.866118,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866118 11.822356, 77.86471 11.82313)"
48,,S,26,47 to 48 ,198,18,298,"15⁰12'14"" LT",11.82313,77.86471,GOOD,GOOD,Lt line crossing ,,Forest Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86471 11.82313, 77.86237 11.82454)"
49,,S,26,48 to 49 ,299.1579122,19,300,,11.82454,77.86237,GOOD,GOOD,,"Car Track,Tar Road ",paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86237 11.82454, 77.85996 11.82596)"
50,,S,26,49 to 50,306.2614289,13,306,,11.82596,77.85996,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85996 11.82596, 77.85753 11.82736)"
51,,S,26,50 to 51,307.0098215,15,311,,11.82736,77.85753,GOOD,GOOD,,Tar road ,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85753 11.82736, 77.85574 11.8284)"
52,,S,26,51 to 52,226.6392703,18,314,,11.8284,77.85574,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85574 11.8284, 77.85426 11.82974)"
53,,S,26,52 to 53,219.2248232,12,316,,11.82974,77.85426,GOOD,GOOD,,,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85426 11.82974, 77.853828 11.830318)"
54,,S,26,53 to 54,79.45,18,306,"25⁰10'39"" LT",11.830318,77.853828,GOOD,GOOD,110 kv Line crossing ,,paddy land ,110 kv Mettur to Singarapet feeder I&II (15-16) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853828 11.830318, 77.85212 11.83123)"
55,,S,26,54 to 55,212.16,12,300,"44⁰27'47"" LT",11.83123,77.85212,GOOD,GOOD,,Tar road ,paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85212 11.83123, 77.84943 11.83047)"
56,,S,26,55 to 56 ,305.1896897,15,294,,11.83047,77.84943,GOOD,GOOD,,Tar road ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84943 11.83047, 77.84761 11.82963)"
57,,S,26,56 to 57,219.1887384,19,275,,11.82963,77.84761,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84761 11.82963, 77.84563 11.82873)"
58,2W,T,24,57 to 58,237.8120114,16,280,"0⁰22'58"" RT",11.82873,77.84563,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84563 11.82873, 77.84357 11.82781)"
59,,S,26,58 to 59 ,246.6673071,18,284,,11.82781,77.84357,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84357 11.82781, 77.8418 11.82702)"
60,,S,26,59 to 60 ,211.9203192,16,288,"20⁰0'21"" LT",11.82702,77.8418,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8418 11.82702, 77.84041 11.82568)"
61,,S,26,60 to 61,212.1009299,18,288,,11.82568,77.84041,GOOD,GOOD,,Tar road ,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84041 11.82568, 77.83879 11.82419)"
62,,S,26,61 to 62 ,241.7098348,15,282,,11.82419,77.83879,GOOD,GOOD,,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83879 11.82419, 77.83701 11.82252)"
63,,S,26,62  to63,268.0770989,17,276,"20⁰33'51"" RT",11.82252,77.83701,GOOD,GOOD,,Sand road,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83701 11.82252, 77.836294 11.822483)"
64,,T,28,63 to64 ,78,18,275,"42⁰43'13"" RT",11.822483,77.836294,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.836294 11.822483, 77.83625 11.82179)"
65,,S,26,64 to 65 ,76,15,271,"21⁰14'53"" RT",11.82179,77.83625,GOOD,GOOD,11kv line crossing,Sand road,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83625 11.82179, 77.8347 11.82037)"
66,,S,26,65 to 66,230.8425481,19,256,,11.82037,77.8347,GOOD,GOOD,,Lake,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8347 11.82037, 77.83311 11.81887)"
67,,T,24,66 to 67,240.0944506,17,255,"0⁰23'53"" RT",11.81887,77.83311,GOOD,GOOD,,Lake,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83311 11.81887, 77.83153 11.8174)"
68,,T,24,67 to 68,237.015732,18,254,"5⁰51'25"" RT",11.8174,77.83153,GOOD,GOOD,"110 kv sc line crossing , 11kv line crossing -2 ,",Lake,Forest,110KV Mettur  Auto ss to Mettur Dam power house  II (5-6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83153 11.8174, 77.83071 11.81678)"
69,,T,26,68 to 69,112.7334703,15,261,"27⁰37'27"" LT",11.81678,77.83071,GOOD,GOOD,,,Forest,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83071 11.81678, 77.83063 11.81661)"
230KV METTUR GANTRY,2W,T,20,69 to GANTRY,20.7441866,,262,,11.81661,77.83063,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
