Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 142,S,DA,26,141-142,203.08126452235814,5.86,271,,77.51205555555556,10.738222222222221,GOOD,GOOD,2nos LT  ,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51205555555556 10.738222222222221, 77.51283333333333 10.740083333333333)"
T.NO 143,S,DA,26,142-143,223.3942702935776,4.39,268,,77.51283333333333,10.740083333333333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51283333333333 10.740083333333333, 77.51369444444444 10.742305555555555)"
T.NO 144,S,DA,26,143-144,262.6404386228442,4.73,270,,77.51369444444444,10.742305555555555,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51369444444444 10.742305555555555, 77.51461111111111 10.74472222222222)"
T.NO 145,S,DA,26,144-145,285.70089254323307,5.21,259,,77.51461111111111,10.74472222222222,GOOD,GOOD,2nos LT,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51461111111111 10.74472222222222, 77.51552777777778 10.747027777777777)"
T.NO 146,S,DA,26,145-146,275.0509043795348,6.34,261,,77.51552777777778,10.747027777777777,GOOD,GOOD,,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51552777777778 10.747027777777777, 77.51647222222222 10.74936111111111)"
T.NO 147,S,DA,26,146-147,277.80028797681257,4.33,262,,77.51647222222222,10.74936111111111,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51647222222222 10.74936111111111, 77.5171388888889 10.751138888888889)"
T.NO 148,T,DB,24,147-148,210.95260131128984,3.2,254,"3°32'49""",77.5171388888889,10.751138888888889,GOOD,GOOD, LT, TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5171388888889 10.751138888888889, 77.51766666666667 10.752833333333333)"
T.NO 149,S,DA,26,148-149,195.2050204272421,4.15,265,,77.51766666666667,10.752833333333333,GOOD,GOOD,,MUD ROAD ,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51766666666667 10.752833333333333, 77.51852777777778 10.755416666666667)"
T.NO 150,S,DA,26,149-150,301.38513566531446,3.19,256,,77.51852777777778,10.755416666666667,GOOD,GOOD," HT,LT",MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51852777777778 10.755416666666667, 77.51916666666666 10.757361111111111)"
T.NO 151,S,DA,26,150-151,225.1976909295475,2.17,260,,77.51916666666666,10.757361111111111,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51916666666666 10.757361111111111, 77.51977777777778 10.759305555555555)"
T.NO 152,S,DA,26,151-152,227.771815640127,5.45,262,,77.51977777777778,10.759305555555555,GOOD,GOOD,,NH TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51977777777778 10.759305555555555, 77.52041666666666 10.761527777777777)"
T.NO 153,S,DA,26,152-153,255.49363984256047,4.27,259,,77.52041666666666,10.761527777777777,GOOD,GOOD,LT ,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52041666666666 10.761527777777777, 77.52116666666666 10.763805555555555)"
T.NO 154,S,DA,26,153-154,263.7953752437673,5.23,257,,77.52116666666666,10.763805555555555,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52116666666666 10.763805555555555, 77.522 10.76613888888889)"
T.NO 155,S,DA,26,154-155,272.91940202191563,3.38,256,,77.522,10.76613888888889,GOOD,GOOD,LT ,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.522 10.76613888888889, 77.52233333333334 10.767194444444446)"
T.NO 156 LILO KULATHUPALAYAM 110KV,T,DB,24,155-156,122.41323457861898,4.07,256,"1°26'5""",77.52233333333334,10.767194444444446,GOOD,GOOD,,,CULTIVACTION LAND,KULATHUPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52233333333334 10.767194444444446, 77.52283333333334 10.768861111111113)"
T.NO 157,T,DC,26,156-157,194.40764796124793,5.35,253.866562,"20°39'50""",77.52283333333334,10.768861111111113,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52283333333334 10.768861111111113, 77.5226111111111 10.771611111111111)"
T.NO 158,S,DA,26,157-158,303.24727359746737,4.85,247.419067,,77.5226111111111,10.771611111111111,GOOD,GOOD,LT,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5226111111111 10.771611111111111, 77.52238888888888 10.77413888888889)"
T.NO 159,S,DA,26,158-159,281.0639859549571,4.65,250.522644,,77.52238888888888,10.77413888888889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52238888888888 10.77413888888889, 77.52222222222223 10.776833333333334)"
