S. No ,Tower No,Supspension/Tension,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
165,T.NO 137,S,DA,DC,26,136-137,NO,229.61271741782946,5.4,298,,77.42150000000001,11.193027777777777,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42150000000001 11.193027777777777, 77.42366666666668 11.193694444444445)"
166,T.NO 138,T,DB,DC,24,137-138,YES,248.2438317461282,2.1,297,"2°27'58""",77.42366666666668,11.193694444444445,GOOD,GOOD,NO,"3nos LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42366666666668 11.193694444444445, 77.42572222222223 11.19425)"
167,T.NO 139,S,DA,DC,26,138-139,YES,230.4951192541829,4.95,295,,77.42572222222223,11.19425,GOOD,GOOD,NO,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42572222222223 11.19425, 77.42825 11.194888888888888)"
168,T.NO 140,S,DA,DC,26,139-140,NO,285.74814085134483,6.75,294,,77.42825,11.194888888888888,GOOD,GOOD,NO,"LT,2nos 11kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42825 11.194888888888888, 77.43069444444446 11.195527777777778)"
169,T.NO 141,S,DA,DC,26,140-141,NO,275.5721321178903,8.1,299,,77.43069444444446,11.195527777777778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43069444444446 11.195527777777778, 77.43266666666668 11.196027777777777)"
170,T.NO 142,S,DA,DC,26,141-142,YES,224.61745257214542,6.25,296,,77.43266666666668,11.196027777777777,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43266666666668 11.196027777777777, 77.43455555555556 11.196527777777778)"
171,T.NO 143,S,DA,DC,26,142-143,NO,213.74049686477292,6.8,294,,77.43455555555556,11.196527777777778,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43455555555556 11.196527777777778, 77.43705555555556 11.197194444444445)"
172,T.NO 144,S,DA,DC,26,143-144,NO,282.85155117128136,9.3,301,,77.43705555555556,11.197194444444445,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43705555555556 11.197194444444445, 77.43969444444444 11.197861111111111)"
173,T.NO 145,T,DB,DC,24,144-145,NO,296.1840643923977,8.6,294,"1°50'20""",77.43969444444444,11.197861111111111,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43969444444444 11.197861111111111, 77.44177777777779 11.198472222222222)"
174,T.NO 146 (N.NO 222/10) LILO INGUR,T,DB,DC,24,145-146Lilo,,237.25513693068902,4.8,293,,77.44177777777779,11.198472222222222,GOOD,GOOD,,,,,"NEED JUNCTION BOX.2 EARTH WIRE ONE EARTH WIRE. CONTINUE TO THINGALUR 230KV TOWER, ANOTHER EARTH WIRE CONNECT TO INGUR 110KV TOWER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL KM,,,41916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
