S. No ,Tower No,Supspension/Tension,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
47,T.NO 28,T,DB,DC,24,27-28,YES,221.05429197371402,2.45,345,"0°16'7""",77.17855555555556,11.085472222222222,GOOD,GOOD,NO,,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17855555555556 11.085472222222222, 77.18058333333333 11.086361111111112)"
48,T.NO 29,S,DA,DC,26,28-29,YES,240.33726302843678,15,348,,77.18058333333333,11.086361111111112,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18058333333333 11.086361111111112, 77.18327777777779 11.087583333333335)"
49,T.NO 30,T,DB,DC,24,29-30,NO,325.25989608311687,4,351,"0°42'41""",77.18327777777779,11.087583333333335,GOOD,GOOD,NO,"4nos LT,11kv","2nos MUD ROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18327777777779 11.087583333333335, 77.18416666666667 11.088000000000001)"
50,T.NO 32 SOMANUR SS,T,DB,DC,24,30-32,NO,108.6876257906115,1.25,349,"1°47'19""",77.18416666666667,11.088000000000001,GOOD,GOOD,NO,3nos 33kv,,PLAIN,NEED JUCTION BOX FOR SOMANUR 110KV SS. FROM T.NO-32 - GANTRY NO EARTH WIRE. EARTH WIRE DIRECTLY CONNECT TO T.NO-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18416666666667 11.088000000000001, 77.18608333333334 11.088805555555556)"
51,T.NO 33,T,DB,DC,24,32-33,YES,225.20435164534453,3.05,348,"2°2'24""",77.18608333333334,11.088805555555556,GOOD,GOOD,NO,"4nos LT,11kv,2nos 33kv","2nos TAAR ROAD,SH",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18608333333334 11.088805555555556, 77.18791666666667 11.089666666666668)"
52,T.NO 34,S,DA,DC,26,33-34,NO,222.28135324403618,4.3,342,,77.18791666666667,11.089666666666668,GOOD,GOOD,NO,LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18791666666667 11.089666666666668, 77.18983333333334 11.090583333333335)"
53,T.NO 35,S,DA,DC,32,34-35,NO,233.44592521609795,1.95,345,,77.18983333333334,11.090583333333335,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18983333333334 11.090583333333335, 77.19158333333334 11.09138888888889)"
54,T.NO 36,T,DB,DC,30,35-36,NO,212.47352776287215,4.3,339,"0°0'00""",77.19158333333334,11.09138888888889,GOOD,GOOD,NO,"LT,11kv","MUD ROAD,RIVER,4nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19158333333334 11.09138888888889, 77.19338888888889 11.092222222222222)"
55,T.NO 37,S,DA,DC,26,36-37,NO,217.84857125994654,6.5,342,,77.19338888888889,11.092222222222222,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19338888888889 11.092222222222222, 77.19530555555556 11.09313888888889)"
56,T.NO 38,S,DA,DC,26,37-38,NO,231.2098613813866,5.9,345,,77.19530555555556,11.09313888888889,GOOD,GOOD,NO,2nos LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19530555555556 11.09313888888889, 77.19716666666667 11.094027777777779)"
57,T.NO 39,S,DA,DC,26,38-39,NO,225.41739063346466,4.39,346,,77.19716666666667,11.094027777777779,GOOD,GOOD,NO,"LT,11kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19716666666667 11.094027777777779, 77.19763888888889 11.094222222222223)"
58,T.NO 40,T,DD,DC,28,39-40,NO,55.94640292279746,2.59,350,"76°52'6""",77.19763888888889,11.094222222222223,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19763888888889 11.094222222222223, 77.19752777777778 11.094833333333334)"
59,T.NO 41,T,DD,DC,28,40-41,NO,67.26812023536856,1.94,351,"93°12'26""",77.19752777777778,11.094833333333334,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19752777777778 11.094833333333334, 77.19902777777779 11.095027777777778)"
60,T.NO 42,T,DC,DC,26,41-42,NO,166.59531806146293,2.6,349,"18°37'46""",77.19902777777779,11.095027777777778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19902777777779 11.095027777777778, 77.20061111111112 11.095777777777778)"
61,T.NO 43,T,DB,DC,24,42-43,NO,192.3018460649819,7.4,343,"0°46'33""",77.20061111111112,11.095777777777778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20061111111112 11.095777777777778, 77.20222222222222 11.096583333333333)"
62,T.NO 44,S,DA,DC,26,43-44,NO,198.13379318026495,4,338,,77.20222222222222,11.096583333333333,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20222222222222 11.096583333333333, 77.20397222222222 11.097527777777778)"
