S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,T.NO-30,,T,DC,26,31-30,204.2841159,0.5,288,"48°59'29"" ",11.65352778,78.08288889,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08288888888889 11.653527777777779, 78.08572222222222 11.65238888888889)"
16,T.NO-29,,T,DC,26,30-29,336.1547263,0.4,287,"19°2'28"" ",11.65238889,78.08572222,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08572222222222 11.65238888888889, 78.08738888888888 11.650944444444445)"
17,T.NO-28,,S,DA,26,29-28,240.0854015,0.2,286,,11.65094444,78.08738889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08738888888888 11.650944444444445, 78.08908333333333 11.64936111111111)"
18,T.NO-27,,T,DC,26,28-27,256.0078124,0.5,287,"31°6'33"" ",11.64936111,78.08908333,,,,,GOOD,GOOD,,,CULTIVATION,JOINT BOX  IN TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08908333333333 11.64936111111111, 78.09125 11.648888888888889)"
19,T.NO-26,,S,DA,26,27-26,241.1244492,0.6,285,,11.64888889,78.09125,,,,,GOOD,GOOD,,POND-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09125 11.648888888888889, 78.09333333333333 11.648472222222221)"
20,T.NO-25,,S,DA,26,26-25,232.2283359,0.5,287,,11.64847222,78.09333333,,,,,GOOD,GOOD,"11KV-1,LT-1",TAR ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09333333333333 11.648472222222221, 78.09533333333333 11.648)"
21,T.NO-24,,S,DA,26,25-24,223.6179778,0.6,285,,11.648,78.09533333,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09533333333333 11.648, 78.09727777777778 11.647583333333333)"
22,T.NO-23,,S,DA,26,24-23,217.3660507,0.5,289,,11.64758333,78.09727778,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09727777777778 11.647583333333333, 78.09866666666666 11.647361111111111)"
23,T.NO-1 LILO,3W,T,DB,24,23-1 LILIO,153.5740864,0.4,286,"08°52'46"" ",11.64736111,78.09866667,,,,,GOOD,GOOD,,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09866666666666 11.647361111111111, 78.09916666666666 11.647194444444445)"
24,T.NO-22,,T,DB,24,1 LILO -22,57.24508713,0.2,285,"27°57'26"" ",11.64719444,78.09916667,,,,,GOOD,GOOD,"LT-1,11KV-1",MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09916666666666 11.647194444444445, 78.1003611111111 11.645944444444444)"
25,T.NO-21,,S,DA,26,22-21,190.370691,0.3,284,,11.64594444,78.10036111,,,,,GOOD,GOOD,LT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1003611111111 11.645944444444444, 78.10149999999999 11.644666666666666)"
26,T.NO-20,,T,DC,26,21-20,186.3571839,0.2,285,"27°57'43"" ",11.64466667,78.1015,,,,,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10149999999999 11.644666666666666, 78.10405555555555 11.643749999999999)"
27,T.NO-19,,S,DA,26,20-19,298.4577022,0.5,286,,11.64375,78.10405556,,,,,GOOD,GOOD,LT-1,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10405555555555 11.643749999999999, 78.10544444444444 11.64325)"
28,T.NO-18,,S,DA,26,19-18,162.6898891,0.6,287,,11.64325,78.10544444,,,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10544444444444 11.64325, 78.10761111111111 11.642472222222223)"
29,T.NO-17,,S,DA,26,18-17,248.3646513,0.5,287,,11.64247222,78.10761111,,,,,GOOD,GOOD,"LT-2,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10761111111111 11.642472222222223, 78.11016666666666 11.641527777777778)"
30,T.NO-16,,S,DA,26,17-16,297.8808487,0.5,285,,11.64152778,78.11016667,,,,,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11016666666666 11.641527777777778, 78.11252777777777 11.640638888888889)"
31,T.NO-15,,T,DC,26,16-15,276.1340254,0.3,286,"37°17'00"" ",11.64063889,78.11252778,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11252777777777 11.640638888888889, 78.11263888888888 11.640444444444444)"
32,T.NO-14 A,,T,DD,28,15-14A,26.92582404,0.2,287,"43°50'41"" ",11.64044444,78.11263889,,,,,GOOD,GOOD,,"ELCT.RAILWAY-1,CANAL-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11263888888888 11.640444444444444, 78.11388888888888 11.640138888888888)"
33,T.NO-14 ,,T,DD,28,14A-14,140.6840432,0.1,285,"4°16'29"" ",11.64013889,78.11388889,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11388888888888 11.640138888888888, 78.11483333333332 11.639972222222221)"
34,T.NO-13 LILO,,T,DB,24,14-13,103.754518,0.1,285,"10°35'39"" ",11.63997222,78.11483333,,,,,GOOD,GOOD,,"MUD ROAD-1,CANAL-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11483333333332 11.639972222222221, 78.11677777777777 11.639249999999999)"
35,T.NO-12 B,3W,T,DD+6,34,13-12B,227.3059612,,288,"06°20'41"" ",11.63925,78.11677778,,,,,GOOD,GOOD,,"NH ROAD-1,CANAL-2",CULTIVATION,CEMENT CONCRETE PILLAR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11677777777777 11.639249999999999, 78.11883333333333 11.638222222222222)"
36,T.NO-12A,,T,DD,28,12B-12A,249.1304879,0.3,282,"28°25'29"" ",11.63822222,78.11883333,,,,,GOOD,GOOD,,ELCT.RAILWAY-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11883333333333 11.638222222222222, 78.12049999999999 11.638277777777777)"
37,T.NO-12,,T,DD,28,12A-12,184.0244549,0.2,286,"12°32'20"" ",11.63827778,78.1205,,,,,GOOD,GOOD,"11KV-1,LT-1",NH ROAD-1,PLAIN,INSIDE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12049999999999 11.638277777777777, 78.12152777777777 11.638083333333332)"
38,T.NO-11,,T,DC,26,12-Nov,114.3372205,0.4,287,"09°32'29"" ",11.63808333,78.12152778,,,,,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12152777777777 11.638083333333332, 78.12347222222222 11.63736111111111)"
39,T.NO-10,,T,DC,26,11-Oct,227.3059612,0.5,289,"12°10'24"" ",11.63736111,78.12347222,,,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12347222222222 11.63736111111111, 78.12488888888888 11.637166666666666)"
40,T.NO-9,2W,T,DC,26,10-Sep,153.8830725,0.3,283,"32°50'51"" ",11.63716667,78.12488889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12488888888888 11.637166666666666, 78.12505555555555 11.636999999999999)"
41,T.NO-8,,,GT,15,09-Aug,25.49509757,2.5,285,,11.637,78.12505556,,,,,GOOD,GOOD,230KV CROSSING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12505555555555 11.636999999999999, 78.12519444444443 11.636999999999999)"
42,T.NO-7,,,GT,15,08-Jul,15,3.2,284,,11.637,78.12519444,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12519444444443 11.636999999999999, 78.12519444444443 11.636416666666666)"
43,T.NO-6,,,GT,15,07-Jun,66.00757532,2.1,286,,11.63641667,78.12519444,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12519444444443 11.636416666666666, 78.12538888888888 11.63636111111111)"
44,T.NO-5,,,GT,15,06-May,22.36067977,2.6,285,,11.63636111,78.12538889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12538888888888 11.63636111111111, 78.1256111111111 11.636166666666666)"
45,T.NO-4,2W,T,DC,26,05-Apr,32.55764119,0.2,286,"23°47'18"" ",11.63616667,78.12561111,,,,,GOOD,GOOD,"11KV-1,LT-2,",TAR ROAD-3,PLAIN,JOINT BOX  IN TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1256111111111 11.636166666666666, 78.12780555555555 11.635472222222221)"
46,T.NO-3,,S,DA,26,04-Mar,252.3529275,0.4,284,,11.63547222,78.12780556,,,,,GOOD,GOOD,"11KV-2,LT-2,","TAR ROAD-2,SH-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12780555555555 11.635472222222221, 78.12955555555556 11.634944444444445)"
47,T.NO-2,,T,DC,26,03-Feb,197.9949494,0.2,285,,11.63494444,78.12955556,,,,,GOOD,GOOD,,,PLAIN,INSIDE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12955555555556 11.634944444444445, 78.13088888888888 11.634583333333333)"
48,T.NO-1,,T,DC,26,02-Jan,152.2005256,0.2,286,"13°20'3"" ",11.63458333,78.13088889,,,,,GOOD,GOOD,,,PLAIN,INSIDE COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13088888888888 11.634583333333333, 78.13122222222222 11.63438888888889)"
49,GANTRY   A,,,GT,15,1- GT A,40.31128874,1.5,285,,11.63438889,78.13122222,,,,,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13122222222222 11.63438888888889, 78.13147222222221 11.63438888888889)"
50,GANTRY B,,,GT,15,GT A -GT B,29.01723626,2.3,285,,11.63438889,78.13147222,,,,,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13147222222221 11.63438888888889, 78.13169444444443 11.63436111111111)"
51,GANTRY C,,,GT,15,GT B-GT C,25.3179778,1.1,285,,11.63436111,78.13169444,,,,,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13169444444443 11.63436111111111, 78.13205555555555 11.634333333333332)"
52,GANTRY   SALEM 230KV SS,2W,,GT,15,GT C- GT,37.21558813,2,285,,11.63433333,78.13205556,,,,,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
