Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs)As per Tower Schedule ,,Sapn  Length (mtrs),Difference between span length,Latitude,Longitude,,,,,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,,,
28,PB/T,T,20.85,27 TO 28 ,,257,,253.60332944529694,=G34-I34,12.21877,78.19753,,,,,9.2,445,"22⁰26'22""  RT",good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19753 12.21877, 78.1983126 12.2208308)",,,,,,,,,,,,,,,,,,,,,
29,PA/S,S,20.9,28 TO 29 ,,270,,243.78586141504962,=G35-I35,12.2208308,78.1983126,,,,,8.6,449,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1983126 12.2208308, 78.19931 12.22335)",,,,,,,,,,,,,,,,,,,,,
30,PA/S,S,20.9,29 TO 30,,270,,299.0389651366839,=G36-I36,12.22335,78.19931,,,,,8.6,453,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19931 12.22335, 78.20021 12.22563)",,,,,,,,,,,,,,,,,,,,,
31,PA/S,S,20.9,30 TO 31 ,,270,,270.77009138014057,=G37-I37,12.22563,78.20021,,,,,7.8,455,,good,good,11KV LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20021 12.22563, 78.20111 12.2278)",,,,,,,,,,,,,,,,,,,,,
32,PB/T,T,20.85,31 TO 32 ,,274,,259.4549623983453,=G38-I38,12.2278,78.20111,,,,,7.9,458,"16⁰26'17""  LT",good,good,LT LINE CROSSING ,ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20111 12.2278, 78.20136 12.23024)",,,,,,,,,,,,,,,,,,,,,
33,PA/S,S,20.9,32 TO 33,,290,,271.4928634093514,=G39-I39,12.23024,78.20136,,,,,7.6,471,,good,good,LT LINE CROSSING -2,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20136 12.23024, 78.20157 12.23297)",,,,,,,,,,,,,,,,,,,,,
34,PA/S,S,20.9,33 TO 34,,290,,303.09338437958115,=G40-I40,12.23297,78.20157,,,,,6.8,455,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20157 12.23297, 78.20182 12.23555)",,,,,,,,,,,,,,,,,,,,,
35,PA +3/S,S,23.9,34 TO 35 ,,290,,286.9178482230127,=G41-I41,12.23555,78.20182,,,,,8.6,455,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20182 12.23555, 78.202 12.23801)",,,,,,,,,,,,,,,,,,,,,
36,PB/T,T,20.85,35 TO 36,,285,,273.0430848834498,=G42-I42,12.23801,78.202,,,,,8.2,452,"7⁰50'25""  LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.202 12.23801, 78.20182 12.24073)",,,,,,,,,,,,,,,,,,,,,
37,PA/S,S,20.9,36 TO 37,,270,,301.759704768019,=G43-I43,12.24073,78.20182,,,,,6.7,460,,good,good,LT LINE CROSSING ,ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20182 12.24073, 78.20167 12.24305)",,,,,,,,,,,,,,,,,,,,,
38,PA/S,S,20.9,37 TO 38,,270,,257.35866850821526,=G44-I44,12.24305,78.20167,,,,,6.5,449,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20167 12.24305, 78.20154 12.2452)",,,,,,,,,,,,,,,,,,,,,
39,PB/T,T,20.85,38 TO 39 ,,273,,238.44030197301157,=G45-I45,12.2452,78.20154,2W,,,,5.8,453,"14⁰54'43""  RT",good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20154 12.2452, 78.20213 12.24805)",,,,,,,,,,,,,,,,,,,,,
40,PA +3/S,S,23.9,39 TO 40,,310,,321.98823098429415,=G46-I46,12.24805,78.20213,,,,,6.8,450,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20213 12.24805, 78.20267 12.25086)",,,,,,,,,,,,,,,,,,,,,
41,PA/S,S,20.9,40 TO 41,,310,,316.5938736358764,=G47-I47,12.25086,78.20267,,,,,10,450,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20267 12.25086, 78.20316 12.25326)",,,,,,,,,,,,,,,,,,,,,
42,PB/T,T,20.85,41 TO 42,,300,,270.9999646721494,=G48-I48,12.25326,78.20316,,,,,"5,8",452,"7⁰36'10""   LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20316 12.25326, 78.20332 12.25566)",,,,,,,,,,,,,,,,,,,,,
43,PA +3/S,S,23.9,42 TO 43,,275,,266.26681742514853,=G49-I49,12.25566,78.20332,,,,,3.3,449,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20332 12.25566, 78.20354 12.25811)",,,,,,,,,,,,,,,,,,,,,
44,PA/S,S,20.9,43 TO 44,,275,,272.28731101157086,=G50-I50,12.25811,78.20354,,,,,9.4,444,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20354 12.25811, 78.20362 12.26064)",,,,,,,,,,,,,,,,,,,,,
45,PA/S,S,20.9,44 TO 45 ,,280,,280.22361086596817,=G51-I51,12.26064,78.20362,,,,,7.3,441,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20362 12.26064, 78.20374 12.26282)",,,,,,,,,,,,,,,,,,,,,
46,PB +3,T,20.85,45 TO 46 ,,260,,241.6942375499535,=G52-I52,12.26282,78.20374,,,,,10,449,"23⁰42'38""  RT",good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20374 12.26282, 78.20504 12.26535)",,,,,,,,,,,,,,,,,,,,,
47,PA/S,S,20.9,46 TO 47 ,,290,,313.8196401710588,=G53-I53,12.26535,78.20504,,,,,7.8,449,"19⁰28'15""  LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20504 12.26535, 78.20537 12.26787)",,,,,,,,,,,,,,,,,,,,,
