Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
T.NO-169,DA,S,26,170-169,317.57361351346555,6.5,297,,77.49296292,11.22728328,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49296292 11.22728328, 77.49105756 11.22603419)",,,,,,,,,,,,,,
T.NO-168,DA,S,26,169-168,249.897979183506,5.12,297,,77.49105756,11.22603419,GOOD,GOOD,NO,"22KV,LT",2nos TAAR  ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49105756 11.22603419, 77.4885906 11.22440123)",,,,,,,,,,,,,,
T.NO-167,DA,S,26,168-167,324.5196450139806,4.72,297,,77.4885906,11.22440123,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4885906 11.22440123, 77.48663905 11.22309828)",,,,,,,,,,,,,,
T.NO-166,DA,S,26,167-166,257.41017850893155,3.19,292,,77.48663905,11.22309828,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48663905 11.22309828, 77.48467837 11.22179538)",,,,,,,,,,,,,,
T.NO-165,DA,S,26,166-165,258.2343896540505,4.55,289,,77.48467837,11.22179538,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48467837 11.22179538, 77.4827177 11.22049247)",,,,,,,,,,,,,,
T.NO-164,DA,S,26,165-164,258.2343896540505,5.31,286,,77.4827177,11.22049247,GOOD,GOOD,NO,2nos LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4827177 11.22049247, 77.48061892 11.21909129)",,,,,,,,,,,,,,
T.NO-163,DA,S,26,164-163,276.82666056577716,4.23,296,,77.48061892,11.21909129,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48061892 11.21909129, 77.47834588 11.21764637)",,,,,,,,,,,,,,
T.NO-162 LILO - 110KV PG PALAYAM,DB,T,24,163-162,295.3861878964553,5.31,304,"0°25'49.38""",77.47834588,11.21764637,GOOD,GOOD,NO,,,CULTIVATION,NEED 3 WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER.1 EARTH WIRE CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECTED FROM PG PALAYAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47834588 11.21764637, 77.47599903 11.21612974)",,,,,,,,,,,,,,
T.NO-161,DA,S,26,162-161,306.4718584144391,5.21,304,,77.47599903,11.21612974,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47599903 11.21612974, 77.47409288 11.21477209)",,,,,,,,,,,,,,
T.NO-160,DA,S,26,161-160,256.8131616564852,6.2,305,,77.47409288,11.21477209,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47409288 11.21477209, 77.47181998 11.21333613)",,,,,,,,,,,,,,
