S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 13,,T,DD,28,Dec-13,266.7283262,3.83,232,"31°54'48""",77.60652778,11.55058333,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60652777777777 11.550583333333334, 77.60575 11.548805555555555)"
12,T.NO 14,,S,DA,26,13-14,212.4617613,8.14,220,,77.60575,11.54880556,GOOD,GOOD,LT-3,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60575 11.548805555555555, 77.60497222222222 11.546694444444444)"
13,T.NO 15,,T,DC,26,14-15,248.6201923,4.39,219,"22°51'34""",77.60497222,11.54669444,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60497222222222 11.546694444444444, 77.60499999999999 11.544055555555556)"
14,T.NO 16,,S,DA,26,15-16,292.0428051,3.36,226,,77.605,11.54405556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60499999999999 11.544055555555556, 77.60508333333333 11.54138888888889)"
15,T.NO 17,,T,DB,24,16-17,297.2843756,3.46,214,"9°37'15""",77.60508333,11.54138889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60508333333333 11.54138888888889, 77.60475 11.539083333333334)"
16,T.NO 18,,S,DA,26,17-18,257.2566812,5.09,210,,77.60475,11.53908333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60475 11.539083333333334, 77.60444444444444 11.537138888888888)"
17,T.NO 19,,S,DA,26,18-19,216.2336699,15.41,212,,77.60444444,11.53713889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60444444444444 11.537138888888888, 77.60416666666666 11.53525)"
18,T.NO 20,,T,DD,28,19-20,212.9835674,7.05,218,"53°45'51""",77.60416667,11.53525,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60416666666666 11.53525, 77.60683333333333 11.53263888888889)"
19,T.NO 21,,T,DB,24,20-21,408.050242,2.6,219,"4°9'51""",77.60683333,11.53263889,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60683333333333 11.53263888888889, 77.60741666666667 11.531972222222223)"
20,T.NO 22,,T,DD,28,21-22,99.15644205,15.3,230,"35°34'58""",77.60741667,11.53197222,GOOD,GOOD,"LT-2,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60741666666667 11.531972222222223, 77.60747222222221 11.53138888888889)"
21,T.NO 23,,T,DC,26,22-23,65.37583651,7.05,248,"19°2'2""",77.60747222,11.53138889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60747222222221 11.53138888888889, 77.60805555555555 11.530166666666668)"
22,T.NO 24,2W,T,DC,26,23-24,148.0709289,5.71,247,"23°11'25""",77.60805556,11.53016667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60805555555555 11.530166666666668, 77.6081111111111 11.527805555555556)"
23,T.NO 25,,S,DA,26,24-25,262.1907702,15.28,230,,77.60811111,11.52780556,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6081111111111 11.527805555555556, 77.60819444444444 11.525666666666668)"
24,T.NO 26,,S,DA,26,25-26,237.1708245,11.27,221,,77.60819444,11.52566667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60819444444444 11.525666666666668, 77.60822222222221 11.523166666666668)"
25,T.NO 27,,T,DC,26,26-27,278.1150841,16.34,213,"26°39'45""",77.60822222,11.52316667,GOOD,GOOD,"LT,HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60822222222221 11.523166666666668, 77.60702777777777 11.520611111111112)"
26,T.NO 28,,T,DD,28,27-28,311.4305701,15.28,214,"30°49'39""",77.60702778,11.52061111,GOOD,GOOD,"LT,HT ",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60702777777777 11.520611111111112, 77.60719444444445 11.51875)"
27,T.NO 29,,T,DB,24,28-29,205.1828453,5.66,227,"4°29'42""",77.60719444,11.51875,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60719444444445 11.51875, 77.60722222222222 11.517083333333334)"
28,T.NO 30,,S,DA,26,29-30,185.0432382,4.39,228,,77.60722222,11.51708333,GOOD,GOOD,"LT,400KV",,PLAIN,MTPS - KARAMADAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60722222222222 11.517083333333334, 77.60727777777777 11.515027777777778)"
29,T.NO 31,,T,DB,24,30-31,229.1396954,5.77,224,"4°21'39""",77.60727778,11.51502778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60727777777777 11.515027777777778, 77.60711111111111 11.512138888888888)"
30,T.NO 32,,T,DB,24,31-32,318.353577,5.58,221,"11°9'46""",77.60711111,11.51213889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60711111111111 11.512138888888888, 77.60744444444444 11.50975)"
31,T.NO 33,,S,DA,26,32-33,268.9907062,6.53,211,,77.60744444,11.50975,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60744444444444 11.50975, 77.60780555555554 11.507333333333333)"
32,T.NO 34,,T,DC,26,33-34,267.8544381,4.41,210,"20°30'34""",77.60780556,11.50733333,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60780555555554 11.507333333333333, 77.60888888888888 11.50536111111111)"
33,T.NO 35,,S,DA,26,34-35,249.8159322,17.02,211,,77.60888889,11.50536111,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60888888888888 11.50536111111111, 77.60983333333333 11.50361111111111)"
34,T.NO 36,,T,DB,24,35-36,218.8355547,7.66,209,"4°18'43""",77.60983333,11.50361111,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60983333333333 11.50361111111111, 77.61069444444443 11.501722222222222)"
35,T.NO 37,,S,DA,26,36-37,228.6678814,7.24,211,,77.61069444,11.50172222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61069444444443 11.501722222222222, 77.61163888888888 11.499694444444444)"
36,T.NO 38,,S,DA,26,37-38,249.6237168,6.53,207,,77.61163889,11.49969444,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61163888888888 11.499694444444444, 77.61241666666666 11.498027777777777)"
37,T.NO 39,,S,DA,26,38-39,200.8706051,7.74,209,,77.61241667,11.49802778,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61241666666666 11.498027777777777, 77.61347222222221 11.495638888888887)"
38,T.NO 40,2W,T,DC,26,39-40,289.1712296,5.38,198,"17°26'19""",77.61347222,11.49563889,GOOD,GOOD,"HT,400KV",MUDROAD,PLAIN,RASIPALAYAM - PALAVADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61347222222221 11.495638888888887, 77.61369444444443 11.493638888888889)"
39,T.NO 41,,T,DB,24,40-41,222.7666941,5.22,197,"6°20'59""",77.61369444,11.49363889,GOOD,GOOD,230KV,,PLAIN,MTPS-GOBI -THINGALUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61369444444443 11.493638888888889, 77.61427777777777 11.491194444444444)"
40,T.NO 42,,S,DA,26,41-42,278.6862035,5.35,198,,77.61427778,11.49119444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61427777777777 11.491194444444444, 77.61483333333332 11.488972222222221)"
41,T.NO 43,,S,DA,26,42-43,252.7231687,4.28,198,,77.61483333,11.48897222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61483333333332 11.488972222222221, 77.61544444444444 11.486277777777778)"
42,T.NO 44,,T,DC,26,43-44,303.9358485,5.71,198,"21°38'24""",77.61544444,11.48627778,GOOD,GOOD,"LT-2,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61544444444444 11.486277777777778, 77.61502777777777 11.483833333333333)"
43,T.NO 45,,S,DA,26,44-45,276.3656998,4.84,196,,77.61502778,11.48383333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61502777777777 11.483833333333333, 77.61466666666666 11.481416666666666)"
44,T.NO 46,,S,DA,26,45-46,269.1560885,6.08,191,,77.61466667,11.48141667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61466666666666 11.481416666666666, 77.61433333333333 11.479055555555556)"
45,T.NO 47,,S,DA,26,46-47,264.5996977,5.96,192,,77.61433333,11.47905556,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61433333333333 11.479055555555556, 77.61397222222222 11.476750000000001)"
46,T.NO 48,,T,DD,28,47-48,258.5188581,6.72,193,"45°57'55""",77.61397222,11.47675,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61397222222222 11.476750000000001, 77.61538888888889 11.474916666666667)"
47,T.NO 49,,S,DA,26,48-49,254.2616762,5.23,187,,77.61538889,11.47491667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61538888888889 11.474916666666667, 77.61663888888889 11.473305555555555)"
48,T.NO 50,,T,DD,28,49-50,226.0199106,4.5,196,"41°51'45""",77.61663889,11.47330556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61663888888889 11.473305555555555, 77.61644444444444 11.470833333333333)"
49,T.NO 51,,T,DC,26,50-51,274.6579691,4.82,184,"23°14'49""",77.61644444,11.47083333,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61644444444444 11.470833333333333, 77.61725 11.468444444444444)"
50,T.NO 52,,T,DD,28,51-52,278.6269908,5.12,186,"31°57'39""",77.61725,11.46844444,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61725 11.468444444444444, 77.61666666666666 11.465916666666667)"
51,T.NO 53,,T,DD,28,52-53,287,6.22,182,"82°35'21""",77.61666667,11.46591667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61666666666666 11.465916666666667, 77.61477777777777 11.466111111111111)"
52,T.NO 54,,T,DD,28,53-54,206.874358,5.24,182,"95°16'11""",77.61477778,11.46611111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61477777777777 11.466111111111111, 77.61477777777777 11.465666666666666)"
53,GT 110KV THALAVAIPETTAI SS,2W,T,GT,15,54-GT,47,,184,,77.61477778,11.46566667,GOOD,MISSING,,,PLAIN,110KV THALAVAIPETTAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
