Tower No,JOINT BOX,,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,SC,T,24,11-Oct,282,282.37444,4.97,210,"1°5'37""     RT",11.20677,78.17727,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17727 11.20677, 78.17621 11.20662)"
9A,,SC,T,24,10-9A,117,117.0372058,2.96,206,"0°56'29""   RT",11.20662,78.17621,GOOD,GOOD,,TAR ROAD CROSSING,RAILWAY CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17621 11.20662, 78.17469 11.20643)"
9,,SC,S,26,9A-9,166,167.4556494,1.17,202,,11.20643,78.17469,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17469 11.20643, 78.17143 11.20594)"
8,,SC,S,26,09-Aug,359,360.4104917,8.25,198,,11.20594,78.17143,GOOD,GOOD,LT LINE-1,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17143 11.20594, 78.16834 11.2055)"
7,,SC,S,26,08-Jul,340,341.2206724,3.67,197,"52°58'4""   RT",11.2055,78.16834,GOOD,GOOD,LT LINE-3,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16834 11.2055, 78.16643 11.20737)"
6,,SC,S,26,07-Jun,295,293.9969056,6.06,200,,11.20737,78.16643,GOOD,GOOD,,TAR ROAD CROSSING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16643 11.20737, 78.16429 11.20948)"
5,,SC,S,26,06-May,330,330.5561404,1.96,204,,11.20948,78.16429,GOOD,GOOD,LT LINE-3,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16429 11.20948, 78.16215 11.21155)"
4,,SC,S,26,05-Apr,328,327.44145,7.62,207,,11.21155,78.16215,GOOD,GOOD,"LT LINE-1,33KV LINE CROSSING",TAR ROAD CROSSING-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16215 11.21155, 78.16011 11.21361)"
3,,SC,S,26,04-Mar,319,318.9329406,2.07,205,,11.21361,78.16011,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16011 11.21361, 78.15804 11.21565)"
2,,SC,T,28,03-Feb,320,319.6651184,8.06,204,"35°40'27""   RT",11.21565,78.15804,GOOD,GOOD,"LT LINE-3, 33 KV LINE-4",TAR ROAD CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15804 11.21565, 78.15758 11.2184)"
1,,SC,T,24,02-Jan,310,308.5591117,3.66,204,"12°18'25""   LT",11.2184,78.15758,GOOD,GOOD,,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15758 11.2184, 78.15729 11.21912)"
NAMAKKAL GANTRY,2W,GANTRY,T,20,1-GANTRY,85,85.77732453,,204,,11.21912,78.15729,GOOD,GOOD,33KV LINE-1. LT LINE-3,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
