Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Differences,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,    Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,2W,T,24,10 to 11 ,350,286.1960032,,70.4128542,4.3,417,"9˚43'48""   LT",12.04738,78.38359,good ,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38359 12.04738, 78.38637 12.04706)"
12,,S,26,11 to 12 ,330,304.9432154,,3.750582467,7.7,418,,12.04706,78.38637,good ,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38637 12.04706, 78.38941 12.04676)"
13,,S,26,12 to 13 ,285,332.8660528,,-21.29738592,6.1,417,,12.04676,78.38941,good ,good ,Lt crossing,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38941 12.04676, 78.39207 12.04644)"
14,,T,26,13 to 14 ,295,291.9611149,,84.79319996,5.3,425,"26˚5'11""   LT",12.04644,78.39207,good,good ,Lt crossing,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39207 12.04644, 78.39462 12.04731)"
15,,S,26,14 to 15 ,225,294.0358916,,19.62121687,8.8,417,,12.04731,78.39462,good,good ,"Lt-2,11kv - Line crossing ",Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39462 12.04731, 78.3966 12.04802)"
16,,T,24,15 to 16 ,300,229.5871458,,-63.35071616,7.6,411,"1˚22'27""   RT",12.04802,78.3966,good ,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3966 12.04802, 78.39922 12.04889)"
17,,S,26,16 to 17 ,305,301.2494175,,-35.45047526,3.6,407,,12.04889,78.39922,good ,good ,Lt crossing,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39922 12.04889, 78.40183 12.04979)"
18,,S,26,17 to 18 ,280,301.2973859,,7.99312596,7.6,404,,12.04979,78.40183,good ,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40183 12.04979, 78.40356 12.0504)"
19,,S,26,18 to 19  ,285,200.2068,,-5.006948005,7.6,407,,12.0504,78.40356,good,good ,Lt crossing,,Paddy field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40356 12.0504, 78.40604 12.05123)"
20,,T,24,19 to 20 ,305,285.3787831,,16.47824873,10.2,411,"0˚23'32""   LT",12.05123,78.40604,good,good ,Lt crossing,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40604 12.05123, 78.40867 12.05213)"
21,,S,26,20 to 21 ,240,303.3507162,,-34.44824825,9.2,417,"8˚30'56""   RT",12.05213,78.40867,good,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40867 12.05213, 78.41083 12.05253)"
22,,T,24,21 to 22 ,204,239.4504753,,31.95729915,4.1,412,"0˚25'13""   LT",12.05253,78.41083,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41083 12.05253, 78.41301 12.05295)"
23,2W,T,24,22 to 23 ,250,242.006874,,-2.506890554,8.6,408,"0˚24'2""   RT",12.05295,78.41301,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41301 12.05295, 78.41522 12.05336)"
24,,T,28,23 to 24 ,240,245.006948,,-7.920433123,4.2,414,"32˚24'41""   LT",12.05336,78.41522,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41522 12.05336, 78.416819 12.054832)"
25,,T,24,24 to 25 ,255,238.5217513,,9.36129122,3.1,416,"0˚46'11""   RT",12.054832,78.416819,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.416819 12.054832, 78.41858 12.05641)"
26,,S,26,25 to 26 ,225,259.4482483,,-3.109682472,6.2,414,,12.05641,78.41858,good,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41858 12.05641, 78.42017 12.05775)"
27,,S,26,26to 27 ,260,228.0427008,,-10.11479947,8.7,402,,12.05775,78.42017,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42017 12.05775, 78.42188 12.05929)"
28,,T,24,27 to 28 ,250,252.5068906,,33.79891721,8.6,400,"1˚24'23""   RT",12.05929,78.42188,good,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42188 12.05929, 78.4237 12.06085)"
29,,T,24,28 to 29 ,255,262.9204331,,4.637279804,8.9,397,"0˚34'20""   RT",12.06085,78.4237,good,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4237 12.06085, 78.42545 12.06232)"
30,,S,26,29 to 30,260,250.6387088,,2.15211624,8.6,398,,12.06232,78.42545,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42545 12.06232, 78.42734 12.06365)"
31,,S,26,30 to 31,250,253.1096825,,0.000267807,7.3,394,,12.06365,78.42734,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42734 12.06365, 78.42928 12.06502)"
32,,T,24,31 to 32 ,250,260.1147995,,-3.527396215,8.3,392,"0˚29'11""   LT",12.06502,78.42928,good,good ,11 kv Line crossing ,road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42928 12.06502, 78.431105 12.066332)"
33,,S,26,32 to 33 ,280,246.2010828,,0.686243656,7.4,385,,12.066332,78.431105,good,good ,Lt line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.431105 12.066332, 78.43298 12.06764)"
34,,T,24,33 to 34 ,255,250.3627202,,-6.980382638,8.3,389,"7˚15'24""   RT",12.06764,78.43298,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43298 12.06764, 78.43519 12.0688)"
35,,S,26,34 to 35 ,275,272.8478838,,-11.30525158,5.1,375,,12.0688,78.43519,good,good ,11kv line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43519 12.0688, 78.4372 12.06989)"
36,2W,T,24,35 to 36 ,250,249.9997322,,-18.9073864,10.1,365,"1˚44'9""   RT",12.06989,78.4372,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4372 12.06989, 78.43968 12.07114)"
37,,S,26,36 to 37 ,300,303.5273962,,0.132006532,3.3,307,,12.07114,78.43968,good,good ,,,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43968 12.07114, 78.44188 12.07225)"
38,,T,24,37 to 38 ,270,269.3137563,,3.123711255,3.1,290,"2˚2'13""   LT",12.07225,78.44188,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44188 12.07225, 78.4441 12.07347)"
39,,T,26,38 to 39 ,270,276.9803826,,4.787947959,3.4,320,"19˚39'28""   RT",12.07347,78.4441,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4441 12.07347, 78.44719 12.07398)"
40,,S,26,39 to 40 ,330,341.3052516,,-4.0247139,4.6,285,,12.07398,78.44719,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44719 12.07398, 78.45008 12.07444)"
41,,S,26,40 to 41 ,300,318.9073864,,9.80646527,3.6,277,,12.07444,78.45008,good,good ,2-Lt /11kv line crossing ,road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45008 12.07444, 78.45316 12.07493)"
42,,T,28,41 to 42,340,339.8679935,,-4.837960725,2.6,285,"36˚50'19""   LT",12.07493,78.45316,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45316 12.07493, 78.45467 12.07647)"
43,,S,26,42 to 43,240,236.8762887,,0.791372016,2.6,281,,12.07647,78.45467,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45467 12.07647, 78.45632 12.07817)"
44,,T,24,43 to 44,265,260.212052,,0.140912964,4.3,278,"8˚46'6""   LT",12.07817,78.45632,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45632 12.07817, 78.45776 12.0802)"
45,,S,26,44 to 45 ,270,274.0247139,,-5.430380422,5,274,,12.0802,78.45776,good,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45776 12.0802, 78.45927 12.08236)"
46,,S,26,45 to 46,300,290.1935347,,-6.714290548,8.9,369,,12.08236,78.45927,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45927 12.08236, 78.46062 12.08435)"
47,2W,T,28,46 to 47,260,264.8379607,,5.368182333,8.6,369,"52˚1'32""   RT",12.08435,78.46062,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46062 12.08435, 78.46281 12.08451)"
48,,S,26,47 to 48,240,239.208628,,-6.366521229,10,371,,12.08451,78.46281,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46281 12.08451, 78.4651 12.08464)"
49,,S,26,48 to 49,250,249.859087,,-7.389286189,10.2,373,,12.08464,78.4651,good,good ,Lt - 2 line,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4651 12.08464, 78.46744 12.08479)"
50,,T,26,49 to 50,250,255.4303804,,-6.181479567,3.2,362,"21˚15'1""   RT",12.08479,78.46744,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46744 12.08479, 78.46995 12.08401)"
51,,S,26,50 to 51,280,286.7142905,,0.622988544,7,376,,12.08401,78.46995,good,good ,11 kv Line crossing ,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46995 12.08401, 78.47252 12.08318)"
52,,S,26,51 to 52,300,294.6318177,,0,5.8,370,,12.08318,78.47252,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47252 12.08318, 78.47494 12.08243)"
53,,S,26,52 to 53,270,276.3665212,,0,5.5,367,,12.08243,78.47494,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47494 12.08243, 78.47745 12.08163)"
54,,T,24,53 to 54,280,287.3892862,,0,1,371,"8˚9'48""   LT",12.08163,78.47745,good,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47745 12.08163, 78.48022 12.08116)"
55,,T,24,54 to 55,300,306.1814796,,0,5.1,363,"8˚9'17""   RT",12.08116,78.48022,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48022 12.08116, 78.48135 12.0808)"
56(Tapping),,T,24,55 to 56 TAPPING,130,129.3770115,,0,4.7,370,,12.0808,78.48135,good,good ,,,,Singarapettai to harur tapping tower  No 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
