S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,27,,KCR(T),DD,28,26-27,245,242.2697217,-4,1.82,500,"55°09'39""(RT)",12.17002,78.02778,GOOD,GOOD,"11KV-1,LT-1",,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02778 12.17002, 78.02579 12.17097)"
29,28,,GCR(S),DA,26,27-28,180,240.94564,60,2.15,503,,12.17097,78.02579,GOOD,GOOD,"11KV-1,LT-1",,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02579 12.17097, 78.02428 12.17173)"
30,29,,KSR+6 T,DB+6,30,28-29,250,184.7612482,-65,0.81,504,"10°32'06""(RT)",12.17173,78.02428,GOOD,GOOD,"LT LINE CROSSING,11KV CROSSING",TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02428 12.17173, 78.022823 12.172835)"
31,30,,KSR+6 T,DD+6,34,29-30,200,200.3966591,0,1.21,505,"59°59'26""(LT)",12.172835,78.022823,GOOD,GOOD,110KV S/C LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.022823 12.172835, 78.02041 12.17176)"
32,31,,GCR(S),DA,26,30-31,280,288.5444286,12,2.58,499,,12.17176,78.02041,GOOD,GOOD,"LT LINE CROSSING,11KV CROSSING",TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02041 12.17176, 78.0185 12.17089)"
33,32,2W,HCR(T),DC,26,31-32,250,229.277178,21,4.38,500,"19°44'14""(LT)",12.17089,78.0185,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0185 12.17089, 78.01653 12.16898)"
34,33,,GCR+3 S,DA+3,29,32-33,280,301.2912518,21,3.86,500,,12.16898,78.01653,GOOD,GOOD,,,SMALL HILLS AREA,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01653 12.16898, 78.01468 12.16715)"
35,34,,HCR+3 T,DC+3,29,33-34,310,285.7790292,-21,2.83,496,"20°52'06""(RT)",12.16715,78.01468,GOOD,GOOD,,SAND ROAD CROSSING,SMALL HILLS AREA,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01468 12.16715, 78.01236 12.16612)"
36,35,,GCR+3 S,DA+3,29,34-35,270,277.2676665,2,2.91,485,,12.16612,78.01236,GOOD,GOOD,LT-2,,SMALL HILLS AREA,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01236 12.16612, 78.00993 12.16496)"
37,36,,HCR(T),DB,24,35-36,290,294.226053,4,2.7,478,"03°19'58""(LT)",12.16496,78.00993,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00993 12.16496, 78.00764 12.1637)"
38,37,,GCR(S),DA,26,36-37,270,285.8237029,17,1.27,454,,12.1637,78.00764,GOOD,GOOD,,,SMALL HILLS AREA,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00764 12.1637, 78.00555 12.16254)"
39,38,,GCR(S),DA,26,37-38,240,261.4069474,22,4.48,456,,12.16254,78.00555,GOOD,GOOD,LT LINE CROSSING,,"SMALL HILLS AREA, PITS IN TOWER ",FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00555 12.16254, 78.00357 12.16146)"
40,39,,GCR+3 S,DA+3,29,38-39,270,246.6258753,3,4.53,468,,12.16146,78.00357,GOOD,GOOD,,,SMALL HILLS,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00357 12.16146, 78.00166 12.1604)"
41,40,,HCR(T),DB,24,39-40,220,238.8905389,18,0.81,474,,12.1604,78.00166,GOOD,GOOD,LT LINE CROSSING,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00166 12.1604, 77.99931 12.15914)"
42,41,,GCR(S),DA,26,40-41,300,292,-9,1.27,477,,12.15914,77.99931,GOOD,GOOD,,TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99931 12.15914, 77.99711 12.15799)"
43,42,,GCR(S),DA,26,41-42,280,271.3909311,-8,0.83,481,,12.15799,77.99711,GOOD,GOOD,,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99711 12.15799, 77.9951 12.15695)"
44,43,,GCR(S),DA,26,42-43,200,247.4002301,47,0.69,477,,12.15695,77.9951,GOOD,GOOD,11KV LINE,TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9951 12.15695, 77.99342 12.15606)"
