S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,11,,GCR+3M(T),DC+3,37,10-Nov,292,150.1265686,0.46,805,"20°17'40""(RT)",12.59683,77.9192,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9192 12.59683, 77.91726 12.59522)"
13,12,,KCR+3M(S),DA+3,37,11-Dec,245,276.2000273,0.59,793,,12.59522,77.91726,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91726 12.59522, 77.91562 12.59394)"
14,13,,KCR+3M(S),DA+3,37,Dec-13,225,227.8018114,0.72,800,"04°10'39""(LT)",12.59394,77.91562,GOOD,GOOD,LT- 1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91562 12.59394, 77.91373 12.59223)"
15,14,,KCR+0(S),DA,34,13-14,278,279.4497692,0.53,796,"13°31'35""(LT)",12.59223,77.91373,GOOD,GOOD,"LT LINE-1,11KV-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91373 12.59223, 77.91285 12.59094)"
16,15,,KCR(S),DA,34,14-15,213,171.9263254,0.42,804,"11°54'52""(LT)",12.59094,77.91285,GOOD,GOOD,,ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91285 12.59094, 77.91181 12.5884)"
17,16,,HCR+0M(T),DC,34,15-16,260,303.1194426,0.64,804,"17°16'41""(RT)",12.5884,77.91181,GOOD,GOOD,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91181 12.5884, 77.91059 12.58693)"
18,17,,KCR+0(T),DD,36,16-17,209,209.9845828,0.15,811,"46°07'35""(RT)",12.58693,77.91059,GOOD,GOOD,LT LINE-1,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91059 12.58693, 77.9091 12.58681)"
19,18,,GCR+6M(T),DD+6,42,17-18,164,162.5847772,0.71,811,"40°56'18""(RT)",12.58681,77.9091,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9091 12.58681, 77.90717 12.5882)"
20,19,2W,HCR(T),DB,32,18-19,245,260.2682127,0.12,825,"08°17'26""(LT)",12.5882,77.90717,GOOD,GOOD,,ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90717 12.5882, 77.906 12.58881)"
21,20,,GCR+3M(S),DA+3,37,19-20,270,144.0530168,0.31,827,,12.58881,77.906,GOOD,GOOD,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.906 12.58881, 77.9036 12.59007)"
22,21,,KCR+6M(T),DC+6,40,20-21,180,295.945868,0.87,842,"30°50'54""(RT)",12.59007,77.9036,GOOD,GOOD,11KV-1,"SMALL HILLS,TRUCK ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9036 12.59007, 77.90281 12.59136)"
23,22,,KCR(0)+9M(T),DD+9,45,21-22,290,166.6753688,0.6,832,"31°03'36""(LT)",12.59136,77.90281,GOOD,GOOD,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90281 12.59136, 77.90035 12.59264)"
24,23,,GCR+3M(S),DA+3,37,22-23,290,302.7432233,0.54,821,,12.59264,77.90035,GOOD,GOOD,11KV-1,"ROAD CROSSING,CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90035 12.59264, 77.89809 12.59383)"
25,24,,GCR(S),DA,34,23-24,270,278.8607439,0.22,828,,12.59383,77.89809,GOOD,GOOD,,"SAND ROAD CROSSING,HOUSE AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89809 12.59383, 77.89591 12.59497)"
26,25,,GCR(S),DA,34,24-25,270,268.5772046,0.96,828,,12.59497,77.89591,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89591 12.59497, 77.89378 12.59607)"
27,26,,GCR(S),DA,34,25-26,270,261.6984949,0.71,836,,12.59607,77.89378,GOOD,GOOD,,TOWER IN HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89378 12.59607, 77.89159 12.59724)"
28,27,,KCR(T),DD,36,26-27,140,271.1060874,0.58,536,"33°26'00""(LT)",12.59724,77.89159,GOOD,GOOD,,"HILLS AREA,TOWER IN PIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89159 12.59724, 77.8904 12.59714)"
29,28,2W,KCR(T),DD,36,27-28,25,129.8808059,0.98,847,"53°33'57""(LT)",12.59714,77.8904,GOOD,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8904 12.59714, 77.8902 12.59682)"
30,DP-1,,T,DB,32,28-DP-1,,41.57276481,,849,"04°21'03""(RT)",12.59682,77.8902,GOOD,NO EARTH WIRE,,"NO EARTH WIRE,TOWER NO 28 TO DP-1 AND DP-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8902 12.59682, 77.88992 12.59644)"
31,DP-2,,T,DB,32,DP 1-DP 2,,51.93514848,,851,"07°15'35""(RT)",12.59644,77.88992,GOOD,NO EARTH WIRE,,OPGW READING FOR TOWER NO.28 TO 220KV LINE TOWER PASSING ONTO 110KV TOWER NO.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88992 12.59644, 77.8895 12.596)"
32,29,2W,DP(T),DB,32,DP 2-29,60,66.77802827,1.01,855,"03°41'58""(RT)",12.596,77.8895,GOOD,GOOD,,"OPGW ROAD GOING NEXT TO 110KV LINE(TOWER NO.28 TO 230KV LINE,TOWER NO.29)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8895 12.596, 77.88824 12.59484)"
33,30,,DP(S),DA,34,29-30,65,187.8021966,0.97,546,,12.59484,77.88824,GOOD,GOOD,,TOWER IN HILL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88824 12.59484, 77.88644 12.59316)"
34,31,,KCR(T),DB,32,30-31,160,270.0262542,1.12,829,,12.59316,77.88644,GOOD,GOOD,,"TAR ROAD CROSSING , TOWER IN HILLS",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88644 12.59316, 77.8844 12.59138)"
35,32,,GCR(T),DB,32,31-32,300,296.7402144,1.05,820,"13°57'10""(LT)",12.59138,77.8844,GOOD,GOOD,"LT LINE-1,11KV-2",PIT CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8844 12.59138, 77.88373 12.59042)"
36,33,,HCR(T),DC,34,32-33,300,128.8643836,0.81,818,"24°38'36""(RT)",12.59042,77.88373,GOOD,GOOD,,"RAILWAY TRACK CROSSING,(SALEM TO HOSUR CANAL CROSSING,DIESEL ENGINE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88373 12.59042, 77.88113 12.58889)"
37,34,,KC(0)+9M (T),DB+9,41,33-34,155,329.6072697,0.94,809,"06°16'25""(LT)",12.58889,77.88113,GOOD,GOOD,LT LINE-1,"CANAL CROSSING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88113 12.58889, 77.87944 12.58763)"
38,35,2W,KC(0)+9M (T),DB+9,41,34-35,295,230.7344837,1.06,812,,12.58763,77.87944,GOOD,GOOD,11KV-1,RAYAKOTTAI TO KELAMANGALAM TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87944 12.58763, 77.87724 12.58603)"
39,36,,HCR+3M(T),DB+3,35,35-36,260,297.692693,0.95,823,,12.58603,77.87724,GOOD,GOOD,LT LINE-2,"PIT CROSSING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87724 12.58603, 77.87611 12.58521)"
40,37,,HCR+3M(S),DA+3,37,36-37,255,152.7863355,1.35,833,,12.58521,77.87611,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87611 12.58521, 77.87517 12.58457)"
41,38,,HCR(S),DA,34,37-38,180,124.3820084,0.29,827,,12.58457,77.87517,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87517 12.58457, 77.87338 12.58337)"
42,39,,GCR(T),DC,34,38-39,160,235.6806095,2.39,820,"28°46'36""(RT)",12.58337,77.87338,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87338 12.58337, 77.87086 12.58313)"
43,40,,GCR+3M (T),DB+3,35,39-40,200,275.3362029,1.49,812,"06°39'33""(LT)",12.58313,77.87086,GOOD,GOOD,,SMALL HILLS AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87086 12.58313, 77.86794 12.58251)"
44,41,,KCR(S),DA,34,40-41,295,324.8855189,1.37,812,,12.58251,77.86794,GOOD,GOOD,LT LINE-1,TAR ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86794 12.58251, 77.86591 12.58203)"
45,42,,HCR(T),DB,32,41-42,290,227.0696348,1.63,804,"07°47'38""(LT)",12.58203,77.86591,GOOD,GOOD,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86591 12.58203, 77.86348 12.58179)"
46,43,,GCR+6M(T),DD+6,42,42-43,265,265.5957452,0.46,791,"60°55'12""(LT)",12.58179,77.86348,GOOD,GOOD,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86348 12.58179, 77.86301 12.58072)"
47,44,,HCR+3M (T),DD+3,39,43-44,230,129.0214501,0.39,788,"47°49'55""(RT)",12.58072,77.86301,GOOD,GOOD,"400KV SINGLE CIRCUIT CROSSING,EARTHWIRE NOT AT THE PEAK,EARTHWIRE CONNECTED AS TOP CROSS ARM,TRUCK ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86301 12.58072, 77.86087 12.58001)"
48,45,,KCR-3M(S),DA-3,31,44-45,130,245.6436259,0.96,797,,12.58001,77.86087,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86087 12.58001, 77.85871 12.57928)"
49,46,,KCR-3M(S),DA-3,31,45-46,250,248.4169876,1.39,793,,12.57928,77.85871,GOOD,GOOD,,"SAND ROAD CROSSING,SMALL HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85871 12.57928, 77.85658 12.57856)"
50,47,,GCR+3M(S),DA+3,37,46-47,240,244.9719307,1.33,780,,12.57856,77.85658,GOOD,GOOD,,"SAND ROAD CROSSING,SMALL HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85658 12.57856, 77.85425 12.5778)"
51,48,,GCR+3M(T),DB+3,35,47-48,240,266.9952784,2.39,773,"09°31'34""(LT)",12.5778,77.85425,GOOD,GOOD,,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85425 12.5778, 77.852 12.57663)"
52,49,,GCR(T),DC,34,48-49,270,276.8624443,0.37,786,"17°37'05""(RT)",12.57663,77.852,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.852 12.57663, 77.84953 12.57619)"
53,50,,HCR(S),DA,34,49-50,275,272.9973169,1.57,791,,12.57619,77.84953,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84953 12.57619, 77.8471 12.57581)"
54,51,,KCR+6M(T),DC+6,40,50-51,270,267.593586,1.86,782,"21°46'55""(LT)",12.57581,77.8471,GOOD,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8471 12.57581, 77.84594 12.57513)"
55,52,,GCR+6M(T),DB+6,38,51-52,270,146.9084524,0.83,782,"04°35'03""(RT)",12.57513,77.84594,GOOD,GOOD,"400KV DC DHARMAPURI TO SOMANAHALLI LINE CROSSING,EARTHWIRE NOT AT THE PEAK,EARTHWIRE CONNECTED AS TOP CROSS ARM,TRUCK ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84594 12.57513, 77.84435 12.57436)"
56,53 TAPPING POINT,,KCR-3M(T),DD-3,33,52-53,150,192.7875538,0.93,789,"68°51'31""(LT)",12.57436,77.84435,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84435 12.57436, 77.84451 12.5726)"
57,1 LILO POINT,2W,KCR(T),DD,36,53(tapping point)-1 lilo point,275,195.6310141,0.78,801,"40°47'00""(RT)",12.5726,77.84451,GOOD,GOOD,TAPPING POINT,LILO 110KV UTHANAPALLI TO KEMPATTI CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84451 12.5726, 77.84326 12.57089)"
58,2,,GCR+3M(S),DA+3,37,1 lilo point-2,280,233.070656,0.87,802,,12.57089,77.84326,GOOD,GOOD,,DENKANIKOTTAI LILO (110KV) DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84326 12.57089, 77.84158 12.5687)"
59,3,,HCR(T),DB,32,02-Mar,280,303.5937544,1.49,801,"07°48'28""(RT)",12.5687,77.84158,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84158 12.5687, 77.83977 12.56691)"
60,4,,HCR+3M(T),DB+3,35,03-Apr,240,279.323764,0.93,802,"07°10'27""(LT)",12.56691,77.83977,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83977 12.56691, 77.83842 12.56519)"
61,5,,HCR(T),DB,32,04-May,270,240.4534974,0.57,809,"09°58'54""(LT)",12.56519,77.83842,GOOD,GOOD,11KV LINE CROSSING,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83842 12.56519, 77.8373 12.56309)"
62,6,,GCR+3M(S),DA+3,37,05-Jun,270,262.4718348,1.63,800,,12.56309,77.8373,GOOD,GOOD,,"DOUBLE CIRCUIT, TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8373 12.56309, 77.83617 12.56092)"
63,7,,GCR(S),DA,34,06-Jul,230,269.8544007,1.43,807,,12.56092,77.83617,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83617 12.56092, 77.83513 12.5589)"
64,8,,HCR(T),DC,34,07-Aug,290,250.61481,1.41,817,"22°32'52""(RT)",12.5589,77.83513,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83513 12.5589, 77.83335 12.5574)"
65,9,,HCR+3M(T),DB+3,35,08-Sep,270,255.0593225,1.23,821,"14°38'51""(LT)",12.5574,77.83335,GOOD,GOOD,LT LINE-1,"TAR ROAD CROSSING,DOUBLE CIRCUIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83335 12.5574, 77.83184 12.55526)"
66,10,,GCR(S),DA,34,09-Oct,240,288.2756555,0.87,836,,12.55526,77.83184,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83184 12.55526, 77.831 12.55398)"
67,11,,GCR(S),DA,34,10-Nov,250,168.6069918,0.76,834,"02°31'39""(RT)",12.55398,77.831,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.831 12.55398, 77.82947 12.55186)"
68,12,,HCR(T),DC,34,11-Dec,240,287.7118118,0.43,833,"22°18'19""(LT)",12.55186,77.82947,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82947 12.55186, 77.82898 12.54978)"
69,13,,GCR(S),DA,34,Dec-13,240,236.3668562,0.27,829,,12.54978,77.82898,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82898 12.54978, 77.82845 12.5475)"
70,14,,GCR(S),DA,34,13-14,250,258.9210195,1.33,829,,12.5475,77.82845,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82845 12.5475, 77.82791 12.54544)"
71,15,2W,HCR(T),DB,32,14-15,280,235.5070573,0.93,828,"12°31'36""(LT)",12.54544,77.82791,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82791 12.54544, 77.82781 12.5425)"
72,16,,GCR+3M(S),DA+3,37,15-16,280,325.6740654,0.83,829,,12.5425,77.82781,GOOD,GOOD,,DOUBLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82781 12.5425, 77.82772 12.54014)"
73,17,,HCR(T),DB,32,16-17,200,261.4628511,0.91,808,"13°03'05""(RT)",12.54014,77.82772,GOOD,GOOD,"LT LINE-1,11KV-1","TAR ROAD CROSSING,DOUBLE CIRCUIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82772 12.54014, 77.82712 12.53797)"
74,18,,HCR(T),DB,32,17-18,260,248.9498412,1.34,805,"12°10'13""(LT)",12.53797,77.82712,GOOD,GOOD,765KV S/C  DHARMAPURI TO TUMKUR LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82712 12.53797, 77.827 12.53574)"
75,19,,HCR(T),DB,32,18-19,290,247.2315754,1.84,760,,12.53574,77.827,GOOD,GOOD,"LT LINE-1,11KV-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.827 12.53574, 77.82681 12.53348)"
76,20,,HCR+3M(T),DB+3,35,19-20,250,251.0600748,0.39,812,"03°16'43""(LT)",12.53348,77.82681,GOOD,GOOD,LT LINE-1,SAND ROAD CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82681 12.53348, 77.82675 12.53114)"
77,21,,HCR+3M(T),DB+3,35,20-21,270,259.1471378,0.58,820,,12.53114,77.82675,GOOD,GOOD,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82675 12.53114, 77.8266 12.52897)"
78,22,,GCR+3M(S),DA+3,37,21-22,250,240.7972983,0.93,829,,12.52897,77.8266,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8266 12.52897, 77.82644 12.52633)"
79,23,,HCR+3M(T),DC+3,40,22-23,245,292.7959164,0.83,840,"29°57'38""(RT)",12.52633,77.82644,GOOD,GOOD,LT LINE-1,"SAND ROAD CROSSING,D/C LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82644 12.52633, 77.82522 12.52451)"
80,24,,HCR(T),DD,36,23-24,235,241.2663091,1.39,846,"36°52'21""(RT)",12.52451,77.82522,GOOD,GOOD,"11KV-1,LT LINE-1","SAND ROAD CROSSING,110KV D/C LINE,ELECTRICAL FENCING INSIDE TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82522 12.52451, 77.82335 12.52385)"
81,25,,HCR(T),DB,32,24-25,185,216.1281449,0.76,844,,12.52385,77.82335,GOOD,GOOD,,"110KV D/C LINE, ELECTRICAL FENCING INSIDE TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82335 12.52385, 77.82157 12.52318)"
82,26,,HCR(T),DC,34,25-26,200,207.3353156,2.8,852,"15°12'02""(LT)",12.52318,77.82157,GOOD,GOOD,,ELECTRICAL FENCING INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82157 12.52318, 77.82008 12.52211)"
83,27,,HCR(T),DB,32,26-27,300,200.7469944,1.93,854,"09°45'03""(RT)",12.52211,77.82008,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82008 12.52211, 77.81758 12.52089)"
84,28,,HCR+3M(T),DD+3,39,27-28,240,303.6255339,1.58,834,"22°49'48""(RT)",12.52089,77.81758,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81758 12.52089, 77.81563 12.52077)"
85,29,,GCR(S),DA,34,28-29,240,212.5203936,0.91,837,,12.52077,77.81563,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81563 12.52077, 77.812996 12.520684)"
86,30,2W,KCR(T),DD,36,29-30,270,574.493242,1.39,831,"35°16'15""(LT)",12.520684,77.812996,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.812996 12.520684, 77.81099 12.51919)"
87,31,,HCR+3M(T),DB+3,35,30-31,245,174.9736495,2.19,834,"10°17'14""(LT)",12.51919,77.81099,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81099 12.51919, 77.80957 12.51767)"
88,32,,HCR(T),DB,32,31-32,240,228.4176419,1.83,844,,12.51767,77.80957,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80957 12.51767, 77.80805 12.51616)"
89,33,,GCR+3M(S),DA+3,37,32-33,180,235.1209157,1.47,854,,12.51616,77.80805,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80805 12.51616, 77.80693 12.51507)"
90,34,,HCR(T),DB,32,33-34,210,171.4748383,0.93,872,,12.51507,77.80693,GOOD,GOOD,"LT LINE-1,11KV -1",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80693 12.51507, 77.80576 12.51392)"
