S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,26,,S,SC,25,25 - 26,276.992613,0.83,25.526833,,13.35885499,80.084775,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0847749970853 13.3588549867272, 80.0828769989311 13.3571760077029)"
31,27,,S,SC,25,26 - 27,279.5093515,2.8,24.232162,,13.35717601,80.082877,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0828769989311 13.3571760077029, 80.0810149591416 13.3555210009217)"
32,28,,S,SC,25,27 - 28,274.8442537,1.09,26.03443,,13.355521,80.08101496,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0810149591416 13.3555210009217, 80.079218968749 13.3538580313324)"
33,29,,T,SC,25,28 - 29,270.1965837,0.93,24.996964,36°39'32''LT,13.35385803,80.07921897,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.079218968749 13.3538580313324, 80.0787449721246 13.3512100204825)"
34,30,,S,SC,25,29 - 30,299.8423084,2.71,26.324369,,13.35121002,80.07874497,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0787449721246 13.3512100204825, 80.0782739929854 13.3486210182309)"
35,31,,S,SC,25,30 - 31,293.3585564,3.06,25.711014,,13.34862102,80.07827399,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0782739929854 13.3486210182309, 80.0777709949761 13.3458979893475)"
36,32,,S,SC,25,31 - 32,308.5618492,1.89,25.370628,,13.34589799,80.07777099,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0777709949761 13.3458979893475, 80.0773010216653 13.3432580251246)"
37,33,,T,SC,25,32 - 33,298.8908187,2.51,24.678883,13°34'49''RT,13.34325803,80.07730102,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0773010216653 13.3432580251246, 80.0762910023331 13.3409799914807)"
38,34,,S,SC,25,33 - 34,277.1787065,0.46,23.12899,,13.34097999,80.076291,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0762910023331 13.3409799914807, 80.0750320404767 13.3383629936724)"
39,35,,S,SC,25,34 - 35,322.4559501,0.19,25.510267,,13.33836299,80.07503204,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0750320404767 13.3383629936724, 80.0738599989563 13.3358770050108)"
40,36,2W,T,SC,25,35 - 36,305.3454267,4.17,27.885677,22°55'5''RT,13.33587701,80.07386,GOOD,AVAILABLE,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0738599989563 13.3358770050108, 80.0718399602919 13.3340769913047)"
41,37,,S,SC,25,36 - 37,298.3084552,1.3,27.468248,,13.33407699,80.07183996,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0718399602919 13.3340769913047, 80.069866022095 13.3323349803686)"
42,38,,S,SC,25,37 - 38,290.3024922,2.2,28.651239,,13.33233498,80.06986602,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.069866022095 13.3323349803686, 80.0679540261626 13.3306310232728)"
43,39,,T,SC,25,38 - 39,282.5056888,5.11,29.170071,9°4'49''LT,13.33063102,80.06795403,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0679540261626 13.3306310232728, 80.0669320207089 13.3293780125677)"
44,40,,S,SC,25,39 - 40,179.8677509,1.67,28.169777,,13.32937801,80.06693202,GOOD,AVAILABLE,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0669320207089 13.3293780125677, 80.065899034962 13.3281440287828)"
45,41,,T,SC,25,40 - 41,178.9803099,0.33,28.246735,126°5'24''RT,13.32814403,80.06589903,GOOD,AVAILABLE,LT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.065899034962 13.3281440287828, 80.0663469638675 13.3264559973031)"
46,42,,S,SC,25,41 - 42,195.4020406,4.19,29.067484,,13.326456,80.06634696,GOOD,AVAILABLE,,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0663469638675 13.3264559973031, 80.0668290071189 13.3245930355042)"
47,43,,T,SC,25,42 - 43,215.0612065,6.01,30.308613,149°49'9''LT,13.32459304,80.06682901,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0668290071189 13.3245930355042, 80.0662010349333 13.3224429935216)"
48,44,,S,SC,25,43 - 44,249.8373001,2.4,27.120255,,13.32244299,80.06620103,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0662010349333 13.3224429935216, 80.0655699614435 13.3203729987144)"
49,45,,S,SC,25,44 - 45,241.4336549,1.73,28.574806,,13.320373,80.06556996,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0655699614435 13.3203729987144, 80.0648979842662 13.318165037781)"
50,46,,T,SC,25,45 - 46,257.3230409,1.84,28.632685,8°42'12''RT,13.31816504,80.06489798,GOOD,AVAILABLE,"LT -2, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0648979842662 13.318165037781, 80.063782017678 13.3158529736101)"
51,47,,S,SC,25,46 - 47,285.3508057,1.03,27.731174,,13.31585297,80.06378202,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.063782017678 13.3158529736101, 80.0627389736473 13.3136709965765)"
52,48,,S,SC,25,47 - 48,268.9696178,0.87,28.887659,,13.313671,80.06273897,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0627389736473 13.3136709965765, 80.0615660101175 13.3115070406347)"
53,49,,S,SC,25,48 - 49,273.4725596,4.01,29.744345,,13.31150704,80.06156601,GOOD,AVAILABLE,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0615660101175 13.3115070406347, 80.0605699885636 13.3092409931123)"
