S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
37,T.NO-35,S,DA,26,34-35,258.1937257177254,16.21,370,,12.2685,78.702,RUSTED,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.702 12.2685, 78.7052 12.2687)"
38,T.NO-36,S,DA,26,35-36,338.47895060106765,,375,,12.2687,78.7052,RUSTED,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7052 12.2687, 78.7081 12.269)"
39,T.NO-37,S,DA,26,36-37,320.1452795216572,,376,,12.269,78.7081,RUSTED,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7081 12.269, 78.7117 12.2692)"
40,T.NO-38,T,DD,28,37-38,390.1281840626232,,365,"3°11'40"" ",12.2692,78.7117,RUSTED,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7117 12.2692, 78.7147 12.2694)"
41,T.NO-39,S,DA,26,38-39,332.0993827154757,15.2,364,,12.2694,78.7147,RUSTED,GOOD,"11KV-1,33KV-1",TAR-1(SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7147 12.2694, 78.7167 12.2696)"
42,T.NO-40,S,DA,26,39-40,220.5810508633958,14.17,367,,12.2696,78.7167,RUSTED,GOOD,"11KV-1,LT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7167 12.2696, 78.7194 12.2698)"
43,T.NO-41,S,DA,26,40-41,291.0755915565577,12.9,367,,12.2698,78.7194,RUSTED,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7194 12.2698, 78.7226 12.2699)"
44,T.NO-42,S,DA,26,41-42,350.14282800023193,16.1,360,,12.2699,78.7226,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7226 12.2699, 78.7255 12.2702)"
45,T.NO-43,S,DA,26,42-43,321.822932681933,,362,,12.2702,78.7255,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7255 12.2702, 78.7283 12.2703)"
46,T.NO-44,S,DA,26,43-44,305.32114240582814,9.91,360,,12.2703,78.7283,RUSTED,GOOD,LT-2,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7283 12.2703, 78.7313 12.2706)"
47,T.NO-45,S,DA,26,44-45,318.90437438203946,11.22,360,,12.2706,78.7313,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7313 12.2706, 78.7343 12.2708)"
48,T.NO-46,S,DA,26,45-46,327.61104987469514,15.21,362,,12.2708,78.7343,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7343 12.2708, 78.7367 12.2709)"
49,T.NO-47,S,DA,26,46-47,270.4736586065268,15.2,360,,12.2709,78.7367,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7367 12.2709, 78.7398 12.2711)"
50,T.NO-48,S,DA,26,47-48,329.548175537356,9.74,360,,12.2711,78.7398,RUSTED,GOOD,LT-2,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7398 12.2711, 78.7427 12.2714)"
