S.No,Tower No.,Joint Box ,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude.,Latitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58,T.NO 57,,T,DB,24,56-57,213,6.98,23,"5°52'4""",80.205,13.10266667,GOOD,GOOD,,2-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.205 13.102666666666666, 80.20711111111112 13.10175)"
59,T.NO 58,,T,DB,24,57-58,250,11.51,20,"3°54'5""",80.20711111,13.10175,GOOD,GOOD,,4-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20711111111112 13.10175, 80.20911111111111 13.101027777777777)"
60,T.NO 59,,T,DB,24,58-59,229,16.28,18,"3°46'39""",80.20911111,13.10102778,GOOD,GOOD,,2-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20911111111111 13.101027777777777, 80.21019444444445 13.100555555555555)"
61,T.NO 60,,T,DB,24,59-60,129,14.62,14,"0°29'28""",80.21019444,13.10055556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21019444444445 13.100555555555555, 80.21186111111112 13.099833333333335)"
62,T.NO 61,,T,DB,24,60-61,197,9.15,12,"0°36'52""",80.21186111,13.09983333,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21186111111112 13.099833333333335, 80.21402777777779 13.098944444444445)"
63,T.NO 62,2W,T,DB,24,61-62,258,7.63,15,"0°52'51""",80.21402778,13.09894444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21402777777779 13.098944444444445, 80.21627777777778 13.097972222222223)"
64,T.NO 63,,T,DB,24,62-63,266,5.82,13,"5°19'40""",80.21627778,13.09797222,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21627777777778 13.097972222222223, 80.21786111111112 13.097444444444445)"
65,T.NO 64,,T,DB,24,63-64,182,4.8,12,"0°59'53""",80.21786111,13.09744444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21786111111112 13.097444444444445, 80.21944444444445 13.09688888888889)"
66,T.NO 65,,T,DB,24,64-65,182,8.25,12,"2°18'21""",80.21944444,13.09688889,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21944444444445 13.09688888888889, 80.22144444444444 13.096111111111112)"
67,T.NO 66,,T,DB,24,65-66,233,11.38,15,"4°14'59""",80.22144444,13.09611111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22144444444444 13.096111111111112, 80.22369444444445 13.095027777777778)"
68,T.NO 67,,T,DB,24,66-67,272,7.92,12,"14°13'48""",80.22369444,13.09502778,GOOD,GOOD,,"ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22369444444445 13.095027777777778, 80.22513888888889 13.093861111111112)"
69,T.NO 68,,T,DB,24,67-68,204,7.05,10,"3°32'54""",80.22513889,13.09386111,GOOD,GOOD,,"ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22513888888889 13.093861111111112, 80.22658333333334 13.092805555555556)"
70,T.NO 69,,T,DC,26,68-69,195,5.85,15,"19°3'10""",80.22658333,13.09280556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22658333333334 13.092805555555556, 80.22741666666667 13.091583333333334)"
71,T.NO 70,,T,DB,24,69-70,164,4.95,16,"12°55'38""",80.22741667,13.09158333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22741666666667 13.091583333333334, 80.22933333333333 13.089833333333335)"
72,T.NO 71,,T,DB,24,70-71,283,6.15,14,"9°29'4""",80.22933333,13.08983333,GOOD,GOOD,,"ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22933333333333 13.089833333333335, 80.23002777777778 13.08938888888889)"
73,T.NO 72,,T,DB,24,71-72,89,7.86,15,"6°17'42""",80.23002778,13.08938889,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.23002777777778 13.08938888888889, 80.23133333333334 13.088750000000001)"
74,T.NO 73,,T,DC,26,72-73,157,10.6,13,"21°15'8""",80.23133333,13.08875,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.23133333333334 13.088750000000001, 80.23188888888889 13.088111111111111)"
75,T.NO 74,,T,DC,26,73-74,94,9.18,16,"27°41'46""",80.23188889,13.08811111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.23188888888889 13.088111111111111, 80.23216666666667 13.088000000000001)"
76,GANTRY KILPAUK SS,2W,GT,GANTRY,15,74-GT,31,,15,,80.23216667,13.088,GOOD,MISSING,,,PLAIN,GANTRY 230KV KILPAUK SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
