S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,97,,T,DC,28,98 - 97,303.4620186,3.99,55.468933,18°14'53''LT,13.10257302,79.89240797,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8924079723656 13.1025730166584, 79.8900059703737 13.1020420230925)"
12,96,,S,DC,28,97 - 96,269.9565288,0.1,54.354385,,13.10204202,79.89000597,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8900059703737 13.1020420230925, 79.8876250069588 13.1015500053763)"
13,95,,S,DC,28,96 - 95,266.809778,2.09,54.955967,,13.10155001,79.88762501,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8876250069588 13.1015500053763, 79.8855669982731 13.101096041500501)"
14,94,,T,DC,28,95 - 94,231.7026434,0.88,56.081169,0°56'58''RT,13.10109604,79.885567,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8855669982731 13.101096041500501, 79.8831720370799 13.1005259882658)"
15,93,,T,DC,28,94 - 93,270.200426,1.89,56.322514,17°9'40''RT,13.10052599,79.88317204,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8831720370799 13.1005259882658, 79.8814150225371 13.0994889792054)"
16,92,,T,DC,28,93 - 92,225.3580154,2.11,57.171288,2°13'26''LT,13.09948898,79.88141502,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8814150225371 13.0994889792054, 79.8797880113124 13.0986119806766)"
17,91,,T,DC,28,92 - 91,204.3093165,1.7,56.140648,11°31'1''RT,13.09861198,79.87978801,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8797880113124 13.0986119806766, 79.8793410044163 13.0982389859855)"
18,91A,,T,H-POLE,15,91 - 91A,66.64575596,2.8,56.797539,3°20'36''RT,13.09823899,79.879341,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8793410044163 13.0982389859855, 79.8789820075035 13.097902033478)"
19,91B,,T,H-POLE,15,91A - 91B,56.88804058,1.05,56.056816,5°42'36''RT,13.09790203,79.87898201,GOOD,NO E/W,110KV,,AGRI,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8789820075035 13.097902033478, 79.878756031394 13.09764303267)"
20,90,,T,DC,28,91B - 90,40.69512506,1.77,58.013504,81°41'42''RT,13.09764303,79.87875603,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.878756031394 13.09764303267, 79.8774699959903 13.0991439800709)"
21,LILO : 89,3W,S,DC,28,90 - LILO : 89,219.7992231,4.02,59.526268,,13.09914398,79.87747,GOOD,AVAILABLE,,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
