S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,SC or DC,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
44,43,,Tension,DC+0,DC,26,46-47,226,1.2,100,"20°54’54.53""LT",12.78215,79.61110833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61110833333333 12.782150000000001, 79.61097222222222 12.780005555555556)"
45,44,,Tension,DD+0,DC,28,47-48,238,6.1,100,"72°56’57.28""LT",12.78000556,79.61097222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61097222222222 12.780005555555556, 79.61289166666666 12.779355555555556)"
46,45,,Suspension,DA+0,DC,26,48-49,225,1.3,99,,12.77935556,79.61289167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61289166666666 12.779355555555556, 79.61597499999999 12.778377777777779)"
47,46,,Suspension,DA+0,DC,26,49-50,357,2.5,97,,12.77837778,79.615975,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61597499999999 12.778377777777779, 79.61807777777777 12.777666666666667)"
48,47,,Tension,DD+0,DC,28,50-51,244,3.1,96,49°43’54.25”RT,12.77766667,79.61807778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61807777777777 12.777666666666667, 79.61918888888889 12.775069444444446)"
49,48,,Suspension,DA+0,DC,26,51-52,318,5,92,,12.77506944,79.61918889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61918888888889 12.775069444444446, 79.6203361111111 12.772480555555557)"
50,49,,Tension,DD+0,DC,28,52-53,317,6.2,91,"34°5’56.19""LT",12.77248056,79.62033611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6203361111111 12.772480555555557, 79.6218611111111 12.771530555555556)"
51,50,,Suspension,DA+0,DC,26,53-54,202,3,90,,12.77153056,79.62186111,GOOD,GOOD,-,"Road, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6218611111111 12.771530555555556, 79.62317222222221 12.770686111111113)"
52,51,,Tension,DB+0,DC,24,54-55,172,3.5,89,"5°1’12.65""RT",12.77068611,79.62317222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62317222222221 12.770686111111113, 79.62530833333332 12.769169444444445)"
53,52,,Suspension,DA+0,DC,26,55-56,296,0.8,91,,12.76916944,79.62530833,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62530833333332 12.769169444444445, 79.62736944444444 12.767644444444445)"
