S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 67,,S,DA,26,66-67,270.6405014,IN LAKE,8,,79.88441667,12.26294444,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88441666666667 12.262944444444445, 79.8818611111111 12.26225)"
12,T.NO 68,,T,DC,26,67-68,287.7141434,IN LAKE,12,"23°42'7""",79.88186111,12.26225,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8818611111111 12.26225, 79.87994444444443 12.260694444444445)"
13,T.NO 69,,T,DD,28,68-69,271.675082,IN LAKE,11,"34°21'27""",79.87994444,12.26069444,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87994444444443 12.260694444444445, 79.87947222222222 12.259)"
14,T.NO 70,,T,DB,24,69-70,194.6801487,1.23,10,"12°27'28""",79.87947222,12.259,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87947222222222 12.259, 79.87933333333332 12.256944444444445)"
15,T.NO 71,2W,T,DD,28,70-71,231.4886114,1.56,12,"50°31'28""",79.87933333,12.25694444,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87933333333332 12.256944444444445, 79.87744444444444 12.255611111111111)"
16,T.NO 72,,S,DA,26,71-72,253.491584,2.03,11,,79.87744444,12.25561111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87744444444444 12.255611111111111, 79.87541666666667 12.254166666666666)"
17,T.NO 73,,S,DA,26,72-73,272.6707566,2.77,10,,79.87541667,12.25416667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87541666666667 12.254166666666666, 79.87358333333333 12.252833333333333)"
18,T.NO 74,,T,DB,24,73-74,250.6096953,3.26,11,"12°0'11""",79.87358333,12.25283333,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87358333333333 12.252833333333333, 79.87138888888889 12.251833333333334)"
19,T.NO 75,,S,DA,26,74-75,264.1805464,1.55,10,,79.87138889,12.25183333,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87138888888889 12.251833333333334, 79.86938888888888 12.251)"
20,T.NO 76,,T,DD,28,75-76,237.0889663,1.78,11,"46°23'25""",79.86938889,12.251,,,GOOD,GOOD,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86938888888888 12.251, 79.8681111111111 12.2515)"
21,T.NO 77,,T,DD,28,76-77,151.6154043,WATER LOGGED,13,"53°47'17""",79.86811111,12.2515,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8681111111111 12.2515, 79.86677777777777 12.250722222222223)"
22,T.NO 78,,T,DC,26,77-78,169.2408987,WATER LOGGED,10,"28°28'33""",79.86677778,12.25072222,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86677777777777 12.250722222222223, 79.86519444444444 12.250638888888888)"
23,T.NO 79,,T,DB,24,78-79,173.185946,5.45,9,"7°53'6""",79.86519444,12.25063889,,,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86519444444444 12.250638888888888, 79.8638611111111 12.250388888888889)"
24,T.NO 80,,T,DB,24,79-80,148.4923727,6.95,16,"10°38'10""",79.86386111,12.25038889,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8638611111111 12.250388888888889, 79.86180555555555 12.24961111111111)"
25,T.NO 81,,S,DA,26,80-81,241.8754865,6.05,14,,79.86180556,12.24961111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86180555555555 12.24961111111111, 79.85961111111111 12.248777777777777)"
26,T.NO 82,,S,DA,26,81-82,256.9707014,5.42,15,,79.85961111,12.24877778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85961111111111 12.248777777777777, 79.85747222222221 12.247944444444444)"
27,T.NO 83,,S,DA,26,82-83,249.6463352,5.15,13,,79.85747222,12.24794444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85747222222221 12.247944444444444, 79.85547222222222 12.247138888888887)"
28,T.NO 84,2W,T,DB,24,83-84,237.9472515,3.82,13,"7°16'18""",79.85547222,12.24713889,Yes,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85547222222222 12.247138888888887, 79.85302777777777 12.246555555555554)"
29,T.NO 85,,S,DA,26,84-85,274.8265875,3.28,10,,79.85302778,12.24655556,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85302777777777 12.246555555555554, 79.85080555555555 12.245999999999999)"
30,T.NO 86,,S,DA,26,85-86,250.0883377,3.75,11,,79.85080556,12.246,,,GOOD,GOOD,"3nos LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85080555555555 12.245999999999999, 79.84844444444444 12.245388888888888)"
31,T.NO 87,,T,DD,28,86-87,264.1539473,4.65,15,"35°44'17""",79.84844444,12.24538889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84844444444444 12.245388888888888, 79.84658333333333 12.246194444444443)"
32,T.NO 88,,S,DA,26,87-88,223.1711052,5.03,15,,79.84658333,12.24619444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84658333333333 12.246194444444443, 79.84472222222222 12.24686111111111)"
33,T.NO 89,,T,DB,24,88-89,217.4116448,4.18,16,"7°40'20""",79.84472222,12.24686111,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84472222222222 12.24686111111111, 79.84258333333332 12.247388888888889)"
34,T.NO 90,,T,DB,24,89-90,238.2003373,3.7,15,"11°39'11""",79.84258333,12.24738889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84258333333332 12.247388888888889, 79.84049999999999 12.247444444444444)"
35,T.NO 91,,T,DB,24,90-91,230.2182366,4.6,15,"0°53'3""",79.8405,12.24744444,,,GOOD,GOOD,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84049999999999 12.247444444444444, 79.83877777777778 12.247555555555556)"
36,T.NO 92,,T,DD,28,91-92,187.3249849,5.23,10,"37°0'37""",79.83877778,12.24755556,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83877777777778 12.247555555555556, 79.83688888888888 12.246305555555555)"
37,T.NO 93,,T,DC,26,92-93,248.396443,IN LAKE,12,"18°49'49""",79.83688889,12.24630556,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83688888888888 12.246305555555555, 79.83430555555555 12.24561111111111)"
38,T.NO 94,,S,DA,26,93-94,290.6135356,IN WATER,13,,79.83430556,12.24561111,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83430555555555 12.24561111111111, 79.832 12.245055555555554)"
39,T.NO 95,,S,DA,26,94-95,260.7556544,WATER LOGGED,16,,79.832,12.24505556,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.832 12.245055555555554, 79.82988888888889 12.244444444444444)"
40,T.NO 96,,T,DD,28,95-96,238.7751038,IN WATER,17,"71°40'20""",79.82988889,12.24444444,,,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82988888888889 12.244444444444444, 79.82972222222222 12.241527777777778)"
41,T.NO 97,,T,DC,26,96-97,325.616697,IN WATER,14,"19°5'15""",79.82972222,12.24152778,,,GOOD,GOOD,2nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82972222222222 12.241527777777778, 79.82872222222223 12.239138888888888)"
42,T.NO 98,,T,DD,28,97-98,287,WATER LOGGED,16,"31°40'1""",79.82872222,12.23913889,,,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82872222222223 12.239138888888888, 79.82702777777777 12.237916666666665)"
43,T.NO 97 LILO MURUKERI,,T,DC,26,98-97,228.8464395,6.21,27,,79.82702778,12.23791667,Yes,,GOOD,GOOD,,,CULTIVACTION LAND,MURUKERI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,10104M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
