S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,T.NO 30,,T,DC,26,29-30,236.2041666,3.61,44,"16°36'4""",79.78927778,12.37361111,,,GOOD,GOOD,,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78927777777777 12.373611111111112, 79.78994444444444 12.37275)"
32,T.NO 31,2W,T,DC,26,30-31,121,2.71,43,"26°44'40""",79.78994444,12.37275,Yes,,GOOD,GOOD,,RAILWAY,CULTIVATON LAND,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78994444444444 12.37275, 79.79230555555556 12.371611111111111)"
33,T.NO 32,,T,DD,28,31-32,286.7708873,3.72,43,"32°8'15""",79.79230556,12.37161111,,,GOOD,GOOD,LT,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79230555555556 12.371611111111111, 79.79313888888889 12.370277777777778)"
34,T.NO 33,,T,DC,26,32-33,173.3629891,4.71,43,"28°6'37""",79.79313889,12.37027778,,,GOOD,GOOD,HT,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79313888888889 12.370277777777778, 79.79322222222223 12.368916666666667)"
35,T.NO 33A,,T,DB,24,33-33A,154.2644773,2.16,43,"0°29'24""",79.79322222,12.36891667,,,GOOD,GOOD,,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79322222222223 12.368916666666667, 79.79333333333334 12.367555555555557)"
36,T.NO 34,,S,DA,26,33A-34,150.3351934,3.21,44,,79.79333333,12.36755556,,,GOOD,GOOD,,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79333333333334 12.367555555555557, 79.7935 12.364805555555556)"
37,T.NO 35,,S,DA,26,34-35,305.4749579,6.71,43,,79.7935,12.36480556,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7935 12.364805555555556, 79.79369444444444 12.362055555555555)"
38,T.NO 36,,S,DA,26,35-36,305.5931713,3.61,43,,79.79369444,12.36205556,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79369444444444 12.362055555555555, 79.79386111111111 12.359222222222222)"
39,T.NO 37,,S,DA,26,36-37,316.4060874,5.21,42,,79.79386111,12.35922222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79386111111111 12.359222222222222, 79.79402777777777 12.35661111111111)"
40,T.NO 38,,S,DA,26,37-38,288.5639059,4.71,40,,79.79402778,12.35661111,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79402777777777 12.35661111111111, 79.79424999999999 12.354138888888889)"
41,T.NO 39,,S,DA,26,38-39,278.0415131,2.51,40,,79.79425,12.35413889,,,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79424999999999 12.354138888888889, 79.79452777777777 12.351083333333333)"
42,T.NO 40,,T,DC,26,39-40,340.2418017,3.71,39,"25°5'11""",79.79452778,12.35108333,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79452777777777 12.351083333333333, 79.79358333333333 12.348638888888889)"
43,T.NO 41,,S,DA,26,40-41,290.3371736,4.33,35,,79.79358333,12.34863889,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79358333333333 12.348638888888889, 79.79263888888889 12.346194444444444)"
44,T.NO 42,2W,T,DD,28,41-42,288.8350222,5.1,32,"37°40'55""",79.79263889,12.34619444,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79263888888889 12.346194444444444, 79.79341666666666 12.343805555555557)"
45,T.NO 43,,S,DA,26,42-43,279.3522948,4.26,32,,79.79341667,12.34380556,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79341666666666 12.343805555555557, 79.79422222222222 12.341000000000001)"
46,T.NO 44,,S,DA,26,43-44,323.9396228,4.58,53,,79.79422222,12.341,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79422222222222 12.341000000000001, 79.795 12.33838888888889)"
47,T.NO 45,,S,DA,26,44-45,301.9601302,4.15,36,,79.795,12.33838889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.795 12.33838888888889, 79.79586111111111 12.33588888888889)"
48,T.NO 46,,S,DA,26,45-46,292.8783993,3.13,35,,79.79586111,12.33588889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79586111111111 12.33588888888889, 79.79658333333333 12.333305555555555)"
49,T.NO 47,,S,DA,26,46-47,295.2532923,2.33,34,,79.79658333,12.33330556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79658333333333 12.333305555555555, 79.79716666666667 12.331388888888888)"
50,T.NO 48,,T,DB,24,47-48,221.880058,4.72,34,"9°54'26""",79.79716667,12.33138889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79716666666667 12.331388888888888, 79.79825 12.329305555555555)"
51,T.NO 49,,S,DA,26,48-49,260.8499567,5.68,34,,79.79825,12.32930556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79825 12.329305555555555, 79.79944444444445 12.326833333333333)"
52,T.NO 50,,S,DA,26,49-50,302.5824929,3.48,35,,79.79944444,12.32683333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79944444444445 12.326833333333333, 79.80072222222222 12.324444444444444)"
53,T.NO 51,,S,DA,26,50-51,300.7081914,3.17,34,,79.80072222,12.32444444,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80072222222222 12.324444444444444, 79.80175 12.322416666666667)"
54,T.NO 52,,S,DA,26,51-52,253.6855754,2.85,36,,79.80175,12.32241667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80175 12.322416666666667, 79.80227777777777 12.321333333333333)"
55,T.NO 53,2W,T,DC,26,52-53,132.946959,3.54,36,"26°0'36""",79.80227778,12.32133333,Yes,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80227777777777 12.321333333333333, 79.80233333333334 12.318194444444444)"
56,T.NO 54,,S,DA,26,53-54,347.0231206,4.01,39,,79.80233333,12.31819444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80233333333334 12.318194444444444, 79.80236111111111 12.315416666666668)"
57,T.NO 55,,T,DB,24,54-55,311,4.71,41,"3°1'2""",79.80236111,12.31541667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80236111111111 12.315416666666668, 79.80236111111111 12.315083333333334)"
58,T.NO 56 DP,,T,DP,15,55-56DP,35.05877273,DP,42,,79.80236111,12.31508333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80236111111111 12.315083333333334, 79.8025 12.31475)"
