S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (PLAIN/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
68,T.NO 59,S,DA,26,58-59,218.387270691311,3.92,51,,79.81283333333333,13.119555555555555,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81283333333333 13.119555555555555, 79.81508333333333 13.119444444444445)"
69,T.NO 60,S,DA,26,59-60,243.402958075698,3.19,51,,79.81508333333333,13.119444444444445,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81508333333333 13.119444444444445, 79.81794444444444 13.119305555555556)"
70,T.NO 61,S,DA,26,60-61,310.46577911261,3.71,52,,79.81794444444444,13.119305555555556,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81794444444444 13.119305555555556, 79.82038888888889 13.119194444444444)"
71,T.NO 62,S,DA,26,61-62,266.317479711716,4.07,50,,79.82038888888889,13.119194444444444,GOOD,GOOD,LT-2,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82038888888889 13.119194444444444, 79.82263888888889 13.119083333333334)"
72,T.NO 63,S,DA,26,62-63,242.404620418011,5.32,52,,79.82263888888889,13.119083333333334,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82263888888889 13.119083333333334, 79.82386111111111 13.118972222222222)"
73,T.NO 64,T,DB,24,63-64,135.369863706809,3.8,54,"2°48'59""",79.82386111111111,13.118972222222222,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82386111111111 13.118972222222222, 79.82413888888888 13.11913888888889)"
74,DP1,T,DP,15,64-DP1,33.6154726279432,DP,54,,79.82413888888888,13.11913888888889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82413888888888 13.11913888888889, 79.82461111111111 13.119055555555557)"
75,DP2,T,DP,15,DP1-DP1,52.1727898429823,DP,54,,79.82461111111111,13.119055555555557,GOOD,MISSING,400KV,,CULTIVACTION,NELLUR-SRIPERUMPUDUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82461111111111 13.119055555555557, 79.82502777777778 13.118972222222222)"
76,T.NO 65,T,DB,24,DP2-65,44.5533388198909,6.68,54,"2°55'45""",79.82502777777778,13.118972222222222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82502777777778 13.118972222222222, 79.82724999999999 13.118861111111112)"
77,T.NO 66,S,DA,26,65-66,242.464430381035,5.71,54,,79.82724999999999,13.118861111111112,GOOD,GOOD,,"RIVER,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82724999999999 13.118861111111112, 79.82875 13.118777777777778)"
78,T.NO 67,T,DD,28,66-67,163.248277173145,5.95,55,"34°23'48""",79.82875,13.118777777777778,GOOD,GOOD,HT-1,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82875 13.118777777777778, 79.83061111111111 13.11988888888889)"
79,T.NO 68,T,DD,28,67-68,236.839608173971,3.45,54,"44°49'31""",79.83061111111111,13.11988888888889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83061111111111 13.11988888888889, 79.83338888888889 13.119333333333334)"
80,T.NO 69,S,DA,26,68-69,306.750713120605,2.31,47,,79.83338888888889,13.119333333333334,GOOD,GOOD,LT-2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83338888888889 13.119333333333334, 79.83594444444444 13.118638888888889)"
81,T.NO 70,S,DA,26,69-70,288.201318525783,3.71,49,,79.83594444444444,13.118638888888889,GOOD,GOOD,HT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83594444444444 13.118638888888889, 79.83858333333333 13.118027777777778)"
82,T.NO 71,S,DA,26,70-71,292.49957264926,3.05,50,,79.83858333333333,13.118027777777778,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83858333333333 13.118027777777778, 79.84075 13.117527777777779)"
83,T.NO 72,S,DA,26,71-72,242.051647381298,1.21,50,,79.84075,13.117527777777779,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84075 13.117527777777779, 79.84319444444444 13.116944444444444)"
84,T.NO 73,S,DA,26,72-73,272.124971290766,1.37,49,,79.84319444444444,13.116944444444444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84319444444444 13.116944444444444, 79.84561111111111 13.116361111111111)"
85,T.NO 74,T,DB,24,73-74,268.972117514065,1.58,48,"0°39'1""",79.84561111111111,13.116361111111111,GOOD,GOOD,HT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84561111111111 13.116361111111111, 79.8475 13.115777777777778)"
86,T.NO 75,S,DA,26,74-75,216.965435035169,2.06,49,,79.8475,13.115777777777778,GOOD,GOOD,HT-1,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8475 13.115777777777778, 79.84994444444445 13.115305555555555)"
87,T.NO 76,S,DA,26,75-76,269.466138874627,2.79,58,,79.84994444444445,13.115305555555555,GOOD,GOOD,"HT-1,LT-2",MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84994444444445 13.115305555555555, 79.85191666666667 13.114805555555556)"
88,T.NO 77,S,DA,26,76-77,220.238507078122,3.26,57,,79.85191666666667,13.114805555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85191666666667 13.114805555555556, 79.85444444444444 13.114138888888888)"
89,T.NO 78,S,DA,26,77-78,282.851551171281,3.71,55,,79.85444444444444,13.114138888888888,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85444444444444 13.114138888888888, 79.85705555555555 13.1135)"
