S.No,Tower No.,,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,Suspension,SA+0,26,13-14,281,0.9,81,,12.84905,79.71603611,GOOD,GOOD,"Two LT, HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71603611111111 12.84905, 79.71835277777778 12.848283333333335)"
12,11,,Suspension,SA+0,26,14-15,269,0.6,81,,12.84828333,79.71835278,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71835277777778 12.848283333333335, 79.72074444444445 12.847527777777778)"
13,12,,Suspension,SA+0,26,15-16,277,1.3,81,,12.84752778,79.72074444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72074444444445 12.847527777777778, 79.72298611111111 12.846797222222223)"
14,13,2W,Tension,SC+0,26,16-17,259,1.2,81,"16°8’34.71""RT",12.84679722,79.72298611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72298611111111 12.846797222222223, 79.72535277777779 12.84518888888889)"
15,14,,Suspension,SA+0,26,17-18,315,2,81,,12.84518889,79.72535278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72535277777779 12.84518888888889, 79.72769166666667 12.843627777777778)"
16,15,,Suspension,SA+0,26,18-19,311,2,80,,12.84362778,79.72769167,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72769166666667 12.843627777777778, 79.729875 12.842136111111111)"
17,16,,Suspension,SA+0,26,19-20,289,3.2,79,,12.84213611,79.729875,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.729875 12.842136111111111, 79.73167777777778 12.840925)"
18,17,,Tension,SB+0,24,20-21,242,4.1,78,"11°27’53.65""LT",12.840925,79.73167778,GOOD,GOOD,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73167777777778 12.840925, 79.73437222222222 12.839791666666667)"
19,18,,Suspension,SA+0,26,21-22,323,-,77,,12.83979167,79.73437222,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73437222222222 12.839791666666667, 79.73708611111111 12.838647222222223)"
20,19,,Suspension,SA+0,26,22-23,325,-,76,,12.83864722,79.73708611,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73708611111111 12.838647222222223, 79.73915555555556 12.837780555555556)"
21,20,,Suspension,SA+0,26,23-24,247,6,76,,12.83778056,79.73915556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73915555555556 12.837780555555556, 79.74170277777777 12.836716666666668)"
22,21,,Suspension,SA+0,26,24-25,304,9.1,76,,12.83671667,79.74170278,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74170277777777 12.836716666666668, 79.74433611111111 12.835597222222223)"
23,22,,Suspension,SA+0,26,25-26,315,7.1,75,,12.83559722,79.74433611,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74433611111111 12.835597222222223, 79.7467 12.834577777777778)"
24,23,,Suspension,SA+0,26,26-27,283,8.2,74,,12.83457778,79.7467,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7467 12.834577777777778, 79.74915555555556 12.83355)"
25,24,2W,Tension,SB+0,24,27-28,294,9.5,73,"0°31’30.51""RT",12.83355,79.74915556,GOOD,GOOD,"LT, HT","CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74915555555556 12.83355, 79.75168333333333 12.832433333333332)"
26,25,,Suspension,SA+0,26,28-29,306,-,72,,12.83243333,79.75168333,GOOD,GOOD,HT,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75168333333333 12.832433333333332, 79.75386388888889 12.831458333333334)"
27,26,,Suspension,SA+0,26,29-30,265,6,73,,12.83145833,79.75386389,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75386388888889 12.831458333333334, 79.75605277777778 12.830463888888888)"
28,27,,Suspension,SA+0,26,30-31,264,8.2,73,,12.83046389,79.75605278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75605277777778 12.830463888888888, 79.75825833333333 12.829452777777778)"
29,28,,Suspension,SA+0,26,31-32,266,-,72,,12.82945278,79.75825833,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75825833333333 12.829452777777778, 79.76043888888888 12.82846111111111)"
30,29,,Suspension,SA+0,26,32-33,267,2.3,72,,12.82846111,79.76043889,GOOD,GOOD,LT,"Lake, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76043888888888 12.82846111111111, 79.76276388888888 12.827422222222221)"
31,30,,Suspension,SA+0,26,33-34,279,3.6,71,,12.82742222,79.76276389,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76276388888888 12.827422222222221, 79.76525833333334 12.826294444444445)"
32,31,,Suspension,SA+0,26,34-35,302,7.1,70,,12.82629444,79.76525833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76525833333334 12.826294444444445, 79.76788888888889 12.825122222222221)"
33,32,,Suspension,SA+0,26,35-36,316,1.6,69,,12.82512222,79.76788889,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76788888888889 12.825122222222221, 79.76983888888888 12.824227777777777)"
34,33,,Suspension,SA+0,26,36-37,239,6.7,69,,12.82422778,79.76983889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76983888888888 12.824227777777777, 79.77253333333333 12.82301111111111)"
35,34,,Suspension,SA+0,26,37-38,323,1.7,67,,12.82301111,79.77253333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77253333333333 12.82301111111111, 79.77507222222222 12.821866666666667)"
36,35,,Suspension,SA+0,26,38-39,310,-,67,,12.82186667,79.77507222,GOOD,GOOD,-,Pusivakkam Lake,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77507222222222 12.821866666666667, 79.77776944444444 12.820658333333332)"
37,36,,Suspension,SA+0,26,39-40,328,-,67,,12.82065833,79.77776944,GOOD,GOOD,-,Pusivakkam Lake,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77776944444444 12.820658333333332, 79.78013333333334 12.819566666666667)"
38,37,,Suspension,SA+0,26,40-41,285,-,66,,12.81956667,79.78013333,GOOD,GOOD,-,Pusivakkam Lake,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78013333333334 12.819566666666667, 79.78235833333333 12.818624999999999)"
39,38,2W,Tension,SB+0,24,41-42,270,-,65,"6°18’44.21""LT",12.818625,79.78235833,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78235833333333 12.818624999999999, 79.7852 12.817680555555555)"
40,39,,Suspension,SA+0,26,42-43,326,-,64,,12.81768056,79.7852,GOOD,GOOD,765kv Under Construction,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7852 12.817680555555555, 79.78786666666666 12.816808333333332)"
41,40,,Suspension,SA+0,26,43-44,312,-,63,,12.81680833,79.78786667,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78786666666666 12.816808333333332, 79.79061666666666 12.815925)"
42,41,,Suspension,SA+0,26,44-45,323,-,62,,12.815925,79.79061667,GOOD,GOOD,Three LT,Road,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79061666666666 12.815925, 79.79279444444444 12.815194444444446)"
43,42,,Suspension,SA+0,26,45-46,250,-,63,,12.81519444,79.79279444,GOOD,GOOD,LT,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79279444444444 12.815194444444446, 79.795525 12.814311111111111)"
44,43,,Suspension,SA+0,26,46-47,317,-,61,,12.81431111,79.795525,GOOD,GOOD,LT,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.795525 12.814311111111111, 79.79829444444444 12.813391666666668)"
45,44,,Suspension,SA+0,26,47-48,321,-,62,,12.81339167,79.79829444,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79829444444444 12.813391666666668, 79.80114444444445 12.812475000000001)"
46,45,,Tension,SC+0,26,48-49,329,4.1,63,"22°49’33.31""LT",12.812475,79.80114444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80114444444445 12.812475000000001, 79.8036861111111 12.812694444444444)"
47,46,,Suspension,SA+0,26,49-49A/1,282,-,62,,12.81269444,79.80368611,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8036861111111 12.812694444444444, 79.80629166666667 12.812930555555557)"
48,47,,Suspension,SA+0,26,49A/1-2,290,3.7,61,,12.81293056,79.80629167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80629166666667 12.812930555555557, 79.80849444444443 12.813105555555556)"
49,48,,Suspension,SA+0,26,2-3,243,3.9,60,,12.81310556,79.80849444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80849444444443 12.813105555555556, 79.81070277777778 12.813302777777778)"
50,49,,Tension,SD+0,28,3-4,243,3.5,59,36°1’57.31”RT,12.81330278,79.81070278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81070277777778 12.813302777777778, 79.81189722222221 12.812569444444446)"
51,49A/1,4W,Tension,DD+3,31,4-5,156,3.1,58,"89°58’31.74""RT",12.81256944,79.81189722,GOOD,GOOD,-,-,Plain,LILO Tower to Pajaysheveram and Sungvasatram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81189722222221 12.812569444444446, 79.81083611111112 12.810908333333334)"
52,2,,Tension,DB+0,24,5-6,222,5,58,"4°20’34.16""LT",12.81090833,79.81083611,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81083611111112 12.810908333333334, 79.80969444444445 12.808661111111112)"
53,3,,Suspension,DA+0,26,6-7,282,3.5,60,,12.80866111,79.80969444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80969444444445 12.808661111111112, 79.8085611111111 12.806458333333333)"
54,4,,Tension,DB+0,24,7-8,281,6.1,62,"4°5’23.47""LT",12.80645833,79.80856111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8085611111111 12.806458333333333, 79.808025 12.805119444444445)"
55,5,,Suspension,DA+0,26,8-9,161,5.2,64,,12.80511944,79.808025,GOOD,GOOD,Three HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.808025 12.805119444444445, 79.80735833333333 12.803569444444445)"
56,6,,Tension,DD+9,37,9-10,187,2.3,63,"4°35’37.34""LT",12.80356944,79.80735833,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80735833333333 12.803569444444445, 79.80705833333333 12.802700000000002)"
57,7,,Tension,DD+9,37,10-11,106,6.1,63,"0°1’40.34""LT",12.8027,79.80705833,GOOD,GOOD,"LT, 25kv","Road, Railway",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80705833333333 12.802700000000002, 79.80653333333333 12.801180555555556)"
58,8,,Suspension,DA+0,26,11-12,181,7.2,60,,12.80118056,79.80653333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80653333333333 12.801180555555556, 79.8059611111111 12.799530555555556)"
59,9,,Suspension,DA+0,26,12-13,200,5.6,59,,12.79953056,79.80596111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8059611111111 12.799530555555556, 79.80529722222222 12.797655555555556)"
60,10,,Tension,DB+0,24,13-14,225,2.1,60,"4°2’6.93""RT",12.79765556,79.80529722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80529722222222 12.797655555555556, 79.80454999999999 12.795972222222222)"
61,11,,Tension,DD+0,28,14-15,211,2.5,61,"34°30’56.85""RT",12.79597222,79.80455,GOOD,GOOD,Two LT,State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80454999999999 12.795972222222222, 79.80316111111111 12.795080555555556)"
62,12,,Tension,DC+0,26,15-16,181,1.3,60,"17°22’17.92""RT",12.79508056,79.80316111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80316111111111 12.795080555555556, 79.80096388888889 12.794544444444444)"
63,13,,Tension,DB+0,24,16-17,252,5.3,60,"11°3’18.27""LT",12.79454444,79.80096389,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80096388888889 12.794544444444444, 79.79913333333333 12.79365)"
64,14,,Tension,DB+0,24,17-18,226,5.8,60,"1°8’41.73""LT",12.79365,79.79913333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79913333333333 12.79365, 79.79713055555555 12.792627777777778)"
65,15,,Tension,DB+0,24,18-19,253,5.8,61,"0°51’16.67""LT",12.79262778,79.79713056,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79713055555555 12.792627777777778, 79.79515555555555 12.791625)"
66,16,,Suspension,DA+0,26,19-20,242,5.2,64,,12.791625,79.79515556,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79515555555555 12.791625, 79.793325 12.790594444444444)"
67,17,2W,Tension,DC+0,26,20-21,236,5.9,63,"15°23’24.4""RT",12.79059444,79.793325,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.793325 12.790594444444444, 79.79167777777778 12.7902)"
68,18,,Tension,DB+0,24,21-22,186,2.3,63,"2°23’22.26""RT",12.7902,79.79167778,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79167777777778 12.7902, 79.78945277777778 12.789763888888888)"
69,19,,Tension,DB+0,24,22-23,249,2.3,62,3°58’2.33”RT,12.78976389,79.78945278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78945277777778 12.789763888888888, 79.78728888888888 12.789483333333333)"
70,20,,Suspension,DA+0,26,23-24,240,1,63,,12.78948333,79.78728889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78728888888888 12.789483333333333, 79.78495 12.789175)"
71,21,,Suspension,DA+0,26,24-25,263,5.8,63,,12.789175,79.78495,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78495 12.789175, 79.78274166666667 12.788883333333333)"
72,22,,Suspension,DA+0,26,25-26,247,4.3,62,,12.78888333,79.78274167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78274166666667 12.788883333333333, 79.78041944444445 12.78856388888889)"
73,23,,Tension,DC+0,26,26-27,258,6.2,63,"28°59’51.64""LT",12.78856389,79.78041944,GOOD,GOOD,765kv Under Construction,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78041944444445 12.78856388888889, 79.77886944444444 12.787372222222222)"
74,24,,Suspension,DA+0,26,27-28,217,8.2,64,,12.78737222,79.77886944,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77886944444444 12.787372222222222, 79.77738333333333 12.786227777777778)"
75,25,,Suspension,DA+0,26,28-29,211,11.1,65,,12.78622778,79.77738333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77738333333333 12.786227777777778, 79.77593333333333 12.785091666666666)"
76,26,,Tension,DC+0,26,29-30,205,7.2,66,"26°41’27.67""RT",12.78509167,79.77593333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77593333333333 12.785091666666666, 79.77328333333334 12.78453611111111)"
77,27,,Suspension,DA+0,26,30-31,297,7.8,65,,12.78453611,79.77328333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77328333333334 12.78453611111111, 79.77064166666666 12.784044444444444)"
78,28,,Tension,DB+0,24,31-32,295,7.2,66,1°57’22.85”RT,12.78404444,79.77064167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77064166666666 12.784044444444444, 79.76783333333333 12.783625)"
79,29,,Tension,DC+0,26,32-33,311,10.5,66,19°8’29.22”RT,12.783625,79.76783333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76783333333333 12.783625, 79.76608055555556 12.783913888888888)"
80,30,,Suspension,DA+0,26,33-34,201,8.4,67,,12.78391389,79.76608056,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76608055555556 12.783913888888888, 79.76408055555555 12.784266666666667)"
81,31,,Suspension,DA+0,26,34-35,225,7.6,67,,12.78426667,79.76408056,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76408055555555 12.784266666666667, 79.76206111111111 12.784619444444445)"
82,32,,Suspension,DA+0,26,35-36,224,10.3,68,,12.78461944,79.76206111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76206111111111 12.784619444444445, 79.76000555555555 12.784925)"
83,33,2W,Tension,DC+0,26,36-37,231,11.5,69,18°28’40.98”RT,12.784925,79.76000556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76000555555555 12.784925, 79.7579 12.786063888888888)"
84,34,,Suspension,DA+0,26,37-38,262,7.6,68,,12.78606389,79.7579,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7579 12.786063888888888, 79.75579444444445 12.787130555555555)"
85,35,,Tension,DB+0,24,38-39,261,8.1,68,10°20’36.08”RT,12.78713056,79.75579444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75579444444445 12.787130555555555, 79.75374166666667 12.788694444444443)"
86,36,,Suspension,DA+0,26,39-40,287,8.5,67,,12.78869444,79.75374167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75374166666667 12.788694444444443, 79.75179166666666 12.790222222222223)"
87,37,,Tension,DC+0,26,40-41,276,6.3,68,18°8’24.98”RT,12.79022222,79.75179167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75179166666666 12.790222222222223, 79.75084444444444 12.791708333333332)"
88,38,,Suspension,DA+0,26,41-42,196,5.3,68,,12.79170833,79.75084444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75084444444444 12.791708333333332, 79.74984166666667 12.79325)"
89,39,,Tension,DD+0,28,42-43,204,4.1,68,"49°13’54.98""LT",12.79325,79.74984167,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74984166666667 12.79325, 79.74783333333333 12.793430555555556)"
90,40,,Suspension,DA+0,26,43-44,223,4.3,68,,12.79343056,79.74783333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74783333333333 12.793430555555556, 79.74598055555556 12.793627777777777)"
91,41,,Tension,DB+0,24,44-45,206,2.3,68,"8°3’53.13""LT",12.79362778,79.74598056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74598055555556 12.793627777777777, 79.74374166666666 12.793572222222222)"
92,42,,Suspension,DA+0,26,45-46,250,1.3,68,,12.79357222,79.74374167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74374166666666 12.793572222222222, 79.74161388888889 12.7935)"
93,43,,Suspension,DA+0,26,46-47,232,1.4,68,,12.7935,79.74161389,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74161388888889 12.7935, 79.73978055555555 12.793436111111111)"
94,44,,Tension,DC+0,26,47-48,204,5.7,68,26°6’27.32”RT,12.79343611,79.73978056,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73978055555555 12.793436111111111, 79.73803611111111 12.79425)"
95,45,,Suspension,DA+0,26,48-49,214,3.9,69,,12.79425,79.73803611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73803611111111 12.79425, 79.73623611111111 12.795055555555555)"
96,46,2W,Tension,DB+0,24,49-50,219,3.8,69,"11°22’33.38""LT",12.79505556,79.73623611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73623611111111 12.795055555555555, 79.73430833333333 12.795525)"
97,47,,Suspension,DA+0,26,50-51,220,3,69,,12.795525,79.73430833,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73430833333333 12.795525, 79.73206666666667 12.796030555555555)"
