S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,JB Location,Earthing Location,Erection Status,Erection remarks,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
74,T.NO 69,S,DA,26,68-69,308.80738333142233,9.28,44,,79.9875,13.089861111111112,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9875 13.089861111111112, 79.98477777777778 13.090472222222223)"
75,T.NO 70,T,DB,24,69-70,300.7873002638243,14.85,47,"0°37'45""",79.98477777777778,13.090472222222223,,,,,GOOD,GOOD,"400KV,LT",MUDROAD,PLAIN,400KV CROSSING ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98477777777778 13.090472222222223, 79.98219444444445 13.091083333333334)"
76,T.NO 71,S,DA,26,70-71,288.87713651308576,12.25,47,,79.98219444444445,13.091083333333334,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98219444444445 13.091083333333334, 79.97955555555556 13.091694444444444)"
77,T.NO 72,S,DA,26,71-72,294.6811836544709,7.62,43,,79.97955555555556,13.091694444444444,,,,,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97955555555556 13.091694444444444, 79.97675 13.092333333333334)"
78,T.NO 73,S,DA,26,72-73,312.18103722039234,8.15,39,,79.97675,13.092333333333334,,,,,GOOD,GOOD,HT,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97675 13.092333333333334, 79.97419444444445 13.092972222222222)"
79,T.NO 74,S,DA,26,73-74,285.9545418418809,6.78,35,,79.97419444444445,13.092972222222222,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97419444444445 13.092972222222222, 79.97175 13.093472222222223)"
80,T.NO 75,T,DB,24,74-75,269.31951284673005,7.88,41,"4°46'23""",79.97175,13.093472222222223,,,,,GOOD,GOOD,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97175 13.093472222222223, 79.96883333333334 13.09388888888889)"
81,T.NO 76,S,DA,26,75-76,320.6134744517142,4.98,46,,79.96883333333334,13.09388888888889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96883333333334 13.09388888888889, 79.96586111111111 13.094333333333333)"
82,T.NO 77,S,DA,26,76-77,325.55798254688824,5.08,39,,79.96586111111111,13.094333333333333,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96586111111111 13.094333333333333, 79.96291666666667 13.094805555555556)"
83,T.NO 78,S,DA,26,77-78,324.3593686021725,9.62,39,,79.96291666666667,13.094805555555556,,,,,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96291666666667 13.094805555555556, 79.96016666666667 13.095166666666668)"
84,T.NO 79,T,DB,24,78-79,299.1070042643602,8.42,39,"0°36'23""",79.96016666666667,13.095166666666668,,,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96016666666667 13.095166666666668, 79.95741666666667 13.095611111111111)"
85,T.NO 80,S,DA,26,79-80,303.3183146465112,5.35,40,,79.95741666666667,13.095611111111111,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95741666666667 13.095611111111111, 79.9545 13.096083333333334)"
86,T.NO 81,S,DA,26,80-81,319.2632142919068,4.78,42,,79.9545,13.096083333333334,,,,,GOOD,GOOD,LT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9545 13.096083333333334, 79.952 13.096444444444446)"
87,T.NO 82,S,DA,26,81-82,276.3656997530627,12.68,44,,79.952,13.096444444444446,,,,,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.952 13.096444444444446, 79.94930555555555 13.096861111111112)"
88,T.NO 83,T,DB,24,82-83,294.771097633401,10.28,46,"8°25'52""",79.94930555555555,13.096861111111112,,,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94930555555555 13.096861111111112, 79.94672222222222 13.097666666666667)"
89,T.NO 84,S,DA,26,83-84,294.7575274696136,6.08,48,,79.94672222222222,13.097666666666667,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94672222222222 13.097666666666667, 79.944 13.098500000000001)"
90,T.NO 85,S,DA,26,84-85,308.9676358455688,,46,,79.944,13.098500000000001,,,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.944 13.098500000000001, 79.94291666666668 13.098833333333333)"
91,T.NO 86,T,DD,28,85-86,121.75795661885921,,45,"87°5'27""",79.94291666666668,13.098833333333333,,,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94291666666668 13.098833333333333, 79.94325 13.100083333333332)"
92,T.NO 87,T,DB,24,86-87,140.6840431605518,,45,"0°20'27""",79.94325,13.100083333333332,,,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94325 13.100083333333332, 79.94372222222222 13.101888888888888)"
93,T.NO 88,S,DA,26,87-88,208.33866659840174,,42,,79.94372222222222,13.101888888888888,,,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94372222222222 13.101888888888888, 79.94419444444445 13.103666666666665)"
94,T.NO 89,S,DA,26,88-89,202.78066969018522,,42,,79.94419444444445,13.103666666666665,,,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94419444444445 13.103666666666665, 79.94458333333334 13.105222222222222)"
95,T.NO 90,T,DB,24,89-90,176.57009939398006,,45,"2°15'23""",79.94458333333334,13.105222222222222,,,,,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94458333333334 13.105222222222222, 79.94502777777778 13.10688888888889)"
96,T.NO 91,S,DA,26,90-91,190.67249408344142,,46,,79.94502777777778,13.10688888888889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94502777777778 13.10688888888889, 79.94558333333333 13.108555555555554)"
97,T.NO 92,T,DC,26,91-92,194.79733057719247,5.38,51,"15°52'38""",79.94558333333333,13.108555555555554,,,,,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94558333333333 13.108555555555554, 79.94619444444444 13.109472222222221)"
98,T.NO 93,T,DB,24,92-93,118.72657663724664,6.25,54,"12°8'41""",79.94619444444444,13.109472222222221,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94619444444444 13.109472222222221, 79.94722222222222 13.11225)"
99,T.NO 94,T,DC,26,93-94,328.7689158056157,11.81,46,"21°27'14""",79.94722222222222,13.11225,,,,,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94722222222222 13.11225, 79.94716666666667 13.114222222222223)"
100,T.NO 95,S,DA,26,94-95,218.05733191066977,6.58,49,,79.94716666666667,13.114222222222223,,,,,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94716666666667 13.114222222222223, 79.94713888888889 13.1165)"
101,T.NO 96,T,DC,26,95-96,250.01799935204664,9.35,47,"21°12'59""",79.94713888888889,13.1165,,,,,GOOD,GOOD,,"ROAD,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94713888888889 13.1165, 79.94791666666667 13.118555555555556)"
102,T.NO 97,S,DA,26,96-97,244.6160256401857,3.95,48,,79.94791666666667,13.118555555555556,,,,,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94791666666667 13.118555555555556, 79.94861111111112 13.120416666666667)"
103,T.NO 98,T,DC,26,97-98,217.947241322298,5.15,46,"17°17'40""",79.94861111111112,13.120416666666667,,,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94861111111112 13.120416666666667, 79.94869444444444 13.122361111111111)"
104,T.NO 99,T,DB,24,98-99,214.28252378577213,6.95,48,"11°42'36""",79.94869444444444,13.122361111111111,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94869444444444 13.122361111111111, 79.94838888888889 13.124166666666667)"
105,T.NO 100,T,DB,24,99-100,203.37649815059754,8.25,46,"0°30'18""",79.94838888888889,13.124166666666667,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94838888888889 13.124166666666667, 79.94816666666667 13.1255)"
106,T.NO 101,T,DD,28,100-101,148.94629904767692,9.35,46,"43°18'1""",79.94816666666667,13.1255,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94816666666667 13.1255, 79.94725 13.126166666666666)"
107,T.NO 102,T,DC,26,101-102,123.40583454602137,4.62,46,"29°33'47""",79.94725,13.126166666666666,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94725 13.126166666666666, 79.94558333333333 13.12638888888889)"
108,T.NO 103,T,DB,24,102-103,182.7183625145541,6.18,49,"3°9'9""",79.94558333333333,13.12638888888889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94558333333333 13.12638888888889, 79.94391666666667 13.126527777777778)"
109,T.NO 104,T,DD,28,103-104,182.61708572858126,5.37,48,"42°11'51""",79.94391666666667,13.126527777777778,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94391666666667 13.126527777777778, 79.9436388888889 13.126805555555556)"
110,T.NO 105,T,DD,28,104-105,42.44997055358225,9.85,49,"36°48'42""",79.9436388888889,13.126805555555556,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9436388888889 13.126805555555556, 79.94230555555556 13.127027777777778)"
111,T.NO 106,T,DD,28,105-106,148.29699929533302,11.89,52,"45°46'58""",79.94230555555556,13.127027777777778,,,,,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94230555555556 13.127027777777778, 79.94027777777778 13.125583333333333)"
112,T.NO 107,T,DB,24,106-107,270.8578963220382,7.85,48,"1°3'44""",79.94027777777778,13.125583333333333,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94027777777778 13.125583333333333, 79.93819444444445 13.124055555555556)"
113,T.NO 108,T,DD,28,107-108,280.80064102490934,4.1,48,"85°56'30""",79.93819444444445,13.124055555555556,,,,,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93819444444445 13.124055555555556, 79.93691666666668 13.125527777777778)"
114,T.NO 109,T,DB,24,108-109,212.7016690108472,6.15,49,"10°53'32""",79.93691666666668,13.125527777777778,,,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93691666666668 13.125527777777778, 79.93547222222223 13.12663888888889)"
115,T.NO 110,T,DB,24,109-110,200.06249023742558,5.18,50,"1°5'26""",79.93547222222223,13.12663888888889,,,,,GOOD,GOOD,,"CANAL,ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93547222222223 13.12663888888889, 79.93405555555556 13.12775)"
116,T.NO 111,T,DB,24,110-111,195.38935487891862,8.01,51,"7°2'42""",79.93405555555556,13.12775,,,,,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93405555555556 13.12775, 79.93266666666668 13.12861111111111)"
117,T.NO 112,T,DC,26,111-112,177.55280904564702,6.82,55,"16°30'3""",79.93266666666668,13.12861111111111,,,,,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93266666666668 13.12861111111111, 79.93172222222222 13.129666666666667)"
118,T.NO 113,T,DB,24,112-113,158.04113388608675,7.08,57,"7°31'35""",79.93172222222222,13.129666666666667,,,,,GOOD,GOOD,"LT-2,HT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93172222222222 13.129666666666667, 79.93033333333334 13.13086111111111)"
119,T.NO 114,T,DD,28,113-114,198.39858870465787,11.18,55,"66°19'42""",79.93033333333334,13.13086111111111,,,,,GOOD,GOOD,"LT-2,HT-3",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93033333333334 13.13086111111111, 79.9303888888889 13.131055555555555)"
120,GANTRY KAKKALUR SS,GANTRY,GT,15,114- GT,23.08679276123039,,55,,79.9303888888889,13.131055555555555,,,,,GOOD,MISSING,,,PLAIN,KAKKALUR 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
