Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13,DB,32,14-13,,202.484,17.15,179,"15*29'51""LT",12.133001380390509,79.03077591155596,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03077591155596 12.133001380390509, 79.03003925381712 12.130745580574114)"
12,DA,34,13-12,,262.154,7.5,178,,12.130745580574114,79.03003925381712,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03003925381712 12.130745580574114, 79.02928536443423 12.128336005020527)"
11,DB,32,12_11,,278.948,4.8,183,11*40'14:RT,12.128336005020527,79.02928536443423,GOOD,GOOD,LT-2,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02928536443423 12.128336005020527, 79.02775282015688 12.125640697771333)"
10,DA,34,11_10,,341.716,5.8,172,,12.125640697771333,79.02775282015688,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02775282015688 12.125640697771333, 79.02623860701385 12.122954555056987)"
9,DD,36,10_9,,339.86,12.7,168,"65*4'35""RT",12.122954555056987,79.02623860701385,GOOD,GOOD,LT-2,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02623860701385 12.122954555056987, 79.02377559479504 12.123135847496934)"
8,DA,34,9_8,,268.9,4.2,168,,12.123135847496934,79.02377559479504,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02377559479504 12.123135847496934, 79.02111970043124 12.123315740331162)"
7,DA,34,8_7,,289.836,3.8,165,,12.123315740331162,79.02111970043124,GOOD,GOOD,"HT-1,LT1",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02111970043124 12.123315740331162, 79.01921729906964 12.123455801883482)"
6,DA,34,7_6,,207.696,4.6,168,,12.123455801883482,79.01921729906964,GOOD,GOOD,"HT-1,LT2",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01921729906964 12.123455801883482, 79.0167818420508 12.123637227603188)"
5,DA,34,6_5,,265.911,2.8,167,,12.123637227603188,79.0167818420508,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0167818420508 12.123637227603188, 79.01422704899501 12.123808737985918)"
4,DA,34,5_4,,278.792,1.8,169,,12.123808737985918,79.01422704899501,GOOD,GOOD,"HT-1,LT-1",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01422704899501 12.123808737985918, 79.0119294989931 12.123973031530875)"
3,DA,34,4_3,,250.798,0.34,174,,12.123973031530875,79.0119294989931,GOOD,GOOD,LT-2,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0119294989931 12.123973031530875, 79.00949397557554 12.124163429462213)"
2,DB,32,3_2,,265.996,2.2,178,"1*19'08""RT",12.124163429462213,79.00949397557554,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00949397557554 12.124163429462213, 79.00807843806359 12.124297870961506)"
1 LILO,DD,36,"2_ 12_ LILO 1
",,154.828,5.18,175,"89*44'19""LT",12.124297870961506,79.00807843806359,GOOD,GOOD,NIL,NIL,PLAIN,LILO TOWER (Singarepet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00807843806359 12.124297870961506, 79.00792371223694 12.122868708931424)"
