Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 8,T,DD,28,9-8,268.86799735186037,7.88,177,"62°31'28""",78.95238888888889,12.16786111111111,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95238888888889 12.16786111111111, 78.95216666666667 12.167666666666666)"
T.NO 7,DP1,DP,15,8-7,29.732137494637012,,178,,78.95216666666667,12.167666666666666,GOOD,GOOD,230KV DC LINE CROSSING,MUDROAD,PLAIN,230KV DC LINE CROSSING  ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95216666666667 12.167666666666666, 78.95197222222222 12.167472222222221)"
T.NO 6,DP2,DP,15,7-6,31.827660925679098,,178,,78.95197222222222,12.167472222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95197222222222 12.167472222222221, 78.95177777777778 12.167277777777777)"
T.NO 5,T,DC,26,6-5,31.11269837220809,6.35,177,"17°19'27""",78.95177777777778,12.167277777777777,GOOD,GOOD,,,"CANAL,PLAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95177777777778 12.167277777777777, 78.95105555555556 12.165944444444445)"
T.NO 4,T,DD,28,5-4,165.5294535724685,6.45,176,"38°29'32""",78.95105555555556,12.165944444444445,GOOD,GOOD,LT,,"CV,CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95105555555556 12.165944444444445, 78.94850000000001 12.164833333333334)"
T.NO 3,T,DD,28,4-3,307.25884853003015,6.11,179,"83°51'43""",78.94850000000001,12.164833333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94850000000001 12.164833333333334, 78.94972222222222 12.162722222222223)"
T.NO 2,T,DC,26,3-2,267.79283037452666,7.24,182,"19°44'7""",78.94972222222222,12.162722222222223,GOOD,GOOD,2NOS LT,"2NOS MUDROAD,CEMENTROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94972222222222 12.162722222222223, 78.95005555555556 12.162444444444445)"
T.NO 1,T,DD,28,2-1,47.50789408087881,5.9,181,"52°23'24""",78.95005555555556,12.162444444444445,GOOD,GOOD,LT,MUDROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95005555555556 12.162444444444445, 78.95002777777778 12.161944444444444)"
GT-THANDARAMPET 110KV SS,T,GT,15,1-GT,55.08175741568164,,,,78.95002777777778,12.161944444444444,GOOD,MISSING,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,=SUM(F8:F68),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
