S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,T.NO 8,,S,DA,26,07-Aug,244.1810025,5.77,27,,79.993,12.38880556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.993 12.388805555555555, 79.9948888888889 12.389416666666666)"
16,T.NO 9,,T,DD,28,08-Sep,216.0581317,4.97,29,"37°11'40""",79.99488889,12.38941667,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9948888888889 12.389416666666666, 79.99627777777778 12.391416666666666)"
17,T.NO 10,,S,DA,26,09-Oct,268.4023186,5.27,27,,79.99627778,12.39141667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99627777777778 12.391416666666666, 79.99755555555555 12.393333333333333)"
18,T.NO 11,,S,DA,26,10-Nov,255.0551121,4.97,26,,79.99755556,12.39333333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99755555555555 12.393333333333333, 79.999 12.395305555555556)"
19,T.NO 12,,T,DD,28,11-Dec,268.8395042,4.97,24,"42°31'44""",79.999,12.39530556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.999 12.395305555555556, 80.00102777777778 12.395666666666667)"
20,T.NO 13,,S,DA,26,Dec-13,225.9555512,5.15,25,,80.00102778,12.39566667,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00102777777778 12.395666666666667, 80.00361111111111 12.396333333333333)"
21,T.NO 14,,T,DB,24,13-14,291.0775758,4.33,21,"1°7'14""",80.00361111,12.39633333,,,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00361111111111 12.396333333333333, 80.00472222222223 12.396583333333332)"
22,T.NO 15,2W,T,DC,26,14-15,124.5556555,BUSHES,20,"26°56'48""",80.00472222,12.39658333,Yes,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00472222222223 12.396583333333332, 80.00722222222223 12.39575)"
23,T.NO 16,,S,DA,26,15-16,288.1375977,5.63,19,,80.00722222,12.39575,,,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00722222222223 12.39575, 80.00972222222222 12.395249999999999)"
24,T.NO 17,,T,DB,24,16-17,276.7462602,BUSHES,18,"2°30'9""",80.00972222,12.39525,,,GOOD,GOOD,"HT,2nos LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00972222222222 12.395249999999999, 80.01177777777778 12.394777777777778)"
25,T.NO 18,,S,DA,26,17-18,230.9565176,7.25,18,,80.01177778,12.39477778,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01177777777778 12.394777777777778, 80.01391666666666 12.39425)"
26,T.NO 19,,S,DA,26,18-19,242.3234344,5.18,18,,80.01391667,12.39425,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01391666666666 12.39425, 80.01625 12.393805555555556)"
27,T.NO 20,,S,DA,26,19-20,258.8933888,BUSHES,16,,80.01625,12.39380556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01625 12.393805555555556, 80.0185 12.393333333333333)"
28,T.NO 21,,T,DB,24,20-21,249.1713118,BUSHES,15,"8°11'35""",80.0185,12.39333333,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0185 12.393333333333333, 80.02038888888889 12.39261111111111)"
29,T.NO 22,,S,DA,26,21-22,220.6952435,4.76,14,,80.02038889,12.39261111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02038888888889 12.39261111111111, 80.02230555555555 12.391916666666667)"
30,T.NO 23,,T,DD,28,22-23,225.7220505,5.32,26,"31°20'27""",80.02230556,12.39191667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02230555555555 12.391916666666667, 80.02486111111111 12.392416666666666)"
31,T.NO 24,,S,DA,26,23-24,284.7833681,5.13,7,,80.02486111,12.39241667,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02486111111111 12.392416666666666, 80.02741666666667 12.392833333333332)"
32,T.NO 25,,T,DB,24,24-25,283.6057324,6.02,7,"1°26'48""",80.02741667,12.39283333,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02741666666667 12.392833333333332, 80.02936111111111 12.393138888888888)"
33,T.NO 26,,T,DD,28,25-26,213.5770449,6.73,8,"45°57'2""",80.02936111,12.39313889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02936111111111 12.393138888888888, 80.03130555555555 12.391722222222223)"
34,T.NO 27,,S,DA,26,26-27,264.4027335,W.L,9,,80.03130556,12.39172222,,,GOOD,GOOD,LTI,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03130555555555 12.391722222222223, 80.03330555555556 12.39025)"
35,T.NO 28,,T,DB,24,27-28,272.4000737,W.L,12,"7°54'20""",80.03330556,12.39025,,,GOOD,GOOD,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03330555555556 12.39025, 80.03483333333332 12.389444444444443)"
36,T.NO 29,,S,DA,26,28-29,189.3533913,4.35,14,,80.03483333,12.38944444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03483333333332 12.389444444444443, 80.03630555555556 12.388638888888888)"
37,T.NO 30,2W,T,DC,26,29-30,184.6981219,5.62,14,"29°56'13""",80.03630556,12.38863889,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03630555555556 12.388638888888888, 80.03822222222222 12.388666666666666)"
38,T.NO 31,,T,DB,24,30-31,210.02153,6.15,16,"7°30'32""",80.03822222,12.38866667,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03822222222222 12.388666666666666, 80.04041666666666 12.389)"
39,T.NO 32,,T,DB,24,31-32,242.5491668,6.89,17,"10°6'13""",80.04041667,12.389,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04041666666666 12.389, 80.0425 12.389694444444444)"
40,T.NO 33,,T,DC,26,32-33,241.3331022,4.3,17,"26°38'52""",80.0425,12.38969444,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0425 12.389694444444444, 80.04436111111112 12.389444444444443)"
41,T.NO 34,,S,DA,26,33-34,203.9408781,5.61,15,,80.04436111,12.38944444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04436111111112 12.389444444444443, 80.04658333333333 12.389111111111111)"
42,T.NO 35,,S,DA,26,34-35,244.6739625,6.2,13,,80.04658333,12.38911111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04658333333333 12.389111111111111, 80.04875 12.388805555555555)"
43,T.NO 36,,T,DB,24,35-36,240.4263979,5.37,11,"4°50'20""",80.04875,12.38880556,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04875 12.388805555555555, 80.05113888888889 12.388694444444443)"
44,T.NO 37,,S,DA,26,36-37,260.4339993,5.87,12,,80.05113889,12.38869444,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05113888888889 12.388694444444443, 80.05297222222222 12.388583333333333)"
45,T.NO 38,,T,DB,24,37-38,200.3614807,4.27,12,"7°44'41""",80.05297222,12.38858333,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05297222222222 12.388583333333333, 80.05441666666667 12.388694444444443)"
46,T.NO 39,,T,DD,28,38-39,158.4579309,4.91,13,"43°35'34""",80.05441667,12.38869444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05441666666667 12.388694444444443, 80.056 12.390444444444444)"
47,T.NO 40,,T,DB,24,39-40,260.8557292,4.67,16,"2°16'7""",80.056,12.39044444,,,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.056 12.390444444444444, 80.05713888888889 12.391805555555555)"
48,T.NO 41,,T,DB,24,40-41,194.8478785,5.57,16,"4°1'24""",80.05713889,12.39180556,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05713888888889 12.391805555555555, 80.05816666666666 12.393222222222223)"
49,T.NO 42,,T,DB,24,41-42,194.4373284,6.03,14,"13°0'52""",80.05816667,12.39322222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05816666666666 12.393222222222223, 80.05875 12.394555555555556)"
50,T.NO 43,,T,DC,26,42-43,161.4618335,6.85,13,"15°11'48""",80.05875,12.39455556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05875 12.394555555555556, 80.05930555555555 12.395277777777777)"
51,T.NO 44,,T,DC,26,43-44,98.61659695,7.62,12,"21°29'40""",80.05930556,12.39527778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05930555555555 12.395277777777777, 80.0595 12.395388888888888)"
52,GT 110KV VELLUR SS,2W,T,GT,15,44-GT,26.55386468,,12,,80.0595,12.39538889,Yes,,GOOD,MISSING,,,PLAIN,110KV VELLUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,11725M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
