S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,23,,Suspension,SA+0,26,26-27,300,1.2,351,,12.75541944,78.71869722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71869722222222 12.755419444444444, 78.71950277777778 12.75798611111111)"
25,24,,Suspension,SA+3,29,27-28,302,0.5,350,,12.75798611,78.71950278,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71950277777778 12.75798611111111, 78.7202638888889 12.760386111111112)"
26,25,,Suspension,SA+0,26,28-29,282,2.3,343,,12.76038611,78.72026389,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7202638888889 12.760386111111112, 78.72093333333333 12.762633333333333)"
27,26,,Tension,SB+0,24,29-30,262,7.2,339,"1°42’40.73""RT",12.76263333,78.72093333,GOOD,GOOD,Two LT,"Canal, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72093333333333 12.762633333333333, 78.72166944444444 12.764852777777778)"
28,27,,Suspension,SA+0,26,30-31,265,5.5,332,,12.76485278,78.72166944,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72166944444444 12.764852777777778, 78.72236666666667 12.767144444444446)"
29,28,,Suspension,SA+0,26,31-32,268,6.2,337,,12.76714444,78.72236667,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72236666666667 12.767144444444446, 78.72311111111111 12.76946388888889)"
30,29,,Suspension,SA+0,26,32-33,272,8,332,,12.76946389,78.72311111,GOOD,GOOD,-,Two CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72311111111111 12.76946388888889, 78.72384444444445 12.771775000000002)"
31,30,,Suspension,SA+0,26,33-34,272,3.2,338,,12.771775,78.72384444,GOOD,GOOD,"LT, 11kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72384444444445 12.771775000000002, 78.72438333333334 12.773461111111112)"
32,31,,Suspension,SA+0,26,34-Ambur Gantry,198,1.6,334,,12.77346111,78.72438333,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72438333333334 12.773461111111112, 78.72511666666666 12.775752777777779)"
33,32,,Tension,SB+0,24,Ambur Gantry-,269,2.9,346,"1°52'17.82""RT",12.77575278,78.72511667,GOOD,GOOD,"LT, 33kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72511666666666 12.775752777777779, 78.72561944444445 12.777094444444446)"
34,33,,Tension,SC+3,29,-,161,4.3,331,"20°41’29.97""RT",12.77709444,78.72561944,GOOD,GOOD,"LT, 11kv",Two Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72561944444445 12.777094444444446, 78.72593888888889 12.777469444444446)"
35,34,,Tension,SD+0,28,-,58,11.3,347,"15°42'32.13""LT",12.77746944,78.72593889,GOOD,GOOD,Four 11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72593888888889 12.777469444444446, 78.72596666666666 12.777550000000002)"
36,Ambur Gantry,2W,,Gantry,15,-,16,-,344,,12.77755,78.72596667,GOOD,NO E/W,-,-,Plain,No peak Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
