S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33,48,,Suspension,SA+3,29,47-48,276,0.8,316,,12.83954722,78.79576944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79576944444445 12.839547222222222, 78.79773055555556 12.840719444444446)"
34,49,,Suspension,SA+0,26,48-49,256,1,314,,12.84071944,78.79773056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79773055555556 12.840719444444446, 78.79957222222222 12.841819444444445)"
35,50,,Tension,SB+0,24,49-50,238,2.3,308,0°35’2.8”RT,12.84181944,78.79957222,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79957222222222 12.841819444444445, 78.80145 12.84293888888889)"
36,51,,Tension,SB+0,24,50-51,244,4.6,312,"0°58’54.31""RT",12.84293889,78.80145,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80145 12.84293888888889, 78.80355833333333 12.844138888888889)"
37,52,,Tension,SB+3,27,51-52,266,4.5,312,"3°53’45.49""LT",12.84413889,78.80355833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80355833333333 12.844138888888889, 78.80548055555555 12.845394444444445)"
38,53,,Suspension,SA+3,29,52-53,255,0.2,322,,12.84539444,78.80548056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80548055555555 12.845394444444445, 78.80725833333334 12.846438888888889)"
39,54,,Suspension,SA+3,29,53-54,229,1.3,323,,12.84643889,78.80725833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80725833333334 12.846438888888889, 78.80874166666666 12.847283333333333)"
40,55,,Suspension,SA+3,29,54-55,190,1.6,323,,12.84728333,78.80874167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80874166666666 12.847283333333333, 78.81029166666666 12.8482)"
41,56,,Suspension,SA+3,29,55-56,201,1.5,320,,12.8482,78.81029167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81029166666666 12.8482, 78.81229722222221 12.849472222222223)"
42,57,,Suspension,SA+6,31,56-57,263,2.1,309,,12.84947222,78.81229722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81229722222221 12.849472222222223, 78.81425833333333 12.850555555555555)"
43,58,2W,Tension,SB+3,27,57-58,248,2,301,5°45’6.6”RT,12.85055556,78.81425833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81425833333333 12.850555555555555, 78.816625 12.851577777777777)"
44,59,,Suspension,SA+0,26,58-59,285,3.9,300,,12.85157778,78.816625,GOOD,GOOD,Three LT,Three Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.816625 12.851577777777777, 78.81866388888889 12.852344444444444)"
45,60,,Suspension,SA+3,29,59-60,240,8.2,298,,12.85234444,78.81866389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81866388888889 12.852344444444444, 78.82105 12.85328611111111)"
46,61,,Suspension,SA+0,26,60-61,283,1.1,300,,12.85328611,78.82105,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82105 12.85328611111111, 78.8229861111111 12.854072222222221)"
47,62,,Suspension,SA+0,26,61-62,231,7.2,296,,12.85407222,78.82298611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8229861111111 12.854072222222221, 78.82520833333334 12.854947222222222)"
48,63,,Tension,SB+3,27,62-63,265,0.3,293,0°33’0.26”RT,12.85494722,78.82520833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82520833333334 12.854947222222222, 78.8274111111111 12.855825)"
49,64,,Suspension,SA+0,26,63-64,261,0.2,295,,12.855825,78.82741111,GOOD,GOOD,HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8274111111111 12.855825, 78.82943888888889 12.856627777777778)"
50,65,,Suspension,SA+3,29,64-65,240,4,294,,12.85662778,78.82943889,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82943888888889 12.856627777777778, 78.83159722222221 12.857477777777778)"
51,66,,Suspension,SA+0,26,65-66,256,8.9,295,,12.85747778,78.83159722,GOOD,GOOD,Three LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83159722222221 12.857477777777778, 78.83354166666666 12.858280555555556)"
52,67,,Suspension,SA+0,26,66-67,232,2.3,292,,12.85828056,78.83354167,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83354166666666 12.858280555555556, 78.83565277777777 12.85911111111111)"
53,68,,Tension,SC+3,29,67-68,249,2.1,290,18°36’39.61”LT,12.85911111,78.83565278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83565277777777 12.85911111111111, 78.83763888888889 12.860761111111112)"
54,69,,Suspension,SA+0,26,68-69,289,3.5,289,,12.86076111,78.83763889,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83763888888889 12.860761111111112, 78.83943888888888 12.862330555555555)"
55,70,,Suspension,SA+3,29,69-70,264,8.1,292,,12.86233056,78.83943889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83943888888888 12.862330555555555, 78.84099444444443 12.863680555555556)"
56,71,2W,Tension,SC+3,29,70-71,235,9.3,290,20°2’53.25”RT,12.86368056,78.84099444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84099444444443 12.863680555555556, 78.84288611111111 12.864419444444444)"
