S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,LILO : 80,3W,T,DC,28,1 - LILO : 80,51.34487873,1.99,26.955967,85°50'54''LT,12.86232999,80.14622902,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1462290156632 12.8623299859464, 80.1441809814423 12.8603569697588)"
28,79,,S,DC,28,LILO : 80 - 79,315.956278,3.63,28.400076,,12.86035697,80.14418098,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1441809814423 12.8603569697588, 80.1430129632353 12.8591649793088)"
29,78,,T,DC,28,79 - 78,187.3763144,5.18,28.578369,34°27'59''LT,12.85916498,80.14301296,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1430129632353 12.8591649793088, 80.1428739912807 12.8583419602364)"
30,77,,T,DC,28,78 - 77,96.76411193,7.21,28.384907,16°21'11''RT,12.85834196,80.14287399,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1428739912807 12.8583419602364, 80.1422067079693 12.85698518157)"
31,76,,T,DC,28,77 - 76,171.1128421,3.57,29.980646,55°2'12''RT,12.85698518,80.14220671,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1422067079693 12.85698518157, 80.1405449118465 12.856720983982)"
32,75,,T,DC,28,76 - 75,187.181454,-,23,35°46'24''LT,12.85672098,80.14054491,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1405449118465 12.856720983982, 80.1401984877884 12.8563813492655)"
33,74,,S,DC,28,75 - 74,57.64244386,-,25,,12.85638135,80.14019849,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1401984877884 12.8563813492655, 80.1381579972803 12.8542707860469)"
34,73,,S,DC,28,74 - 73,326.2371118,5.9,28.790028,,12.85427079,80.138158,GOOD,AVAILABLE,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1381579972803 12.8542707860469, 80.1364269666373 12.8524450398981)"
35,72,,S,DC,28,73 - 72,280.286795,4.21,27.776093,,12.85244504,80.13642697,GOOD,AVAILABLE,HT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1364269666373 12.8524450398981, 80.1346790045499 12.8507050406187)"
36,71,,S,DC,28,72 - 71,274.7086352,2.74,29.11389,,12.85070504,80.134679,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1346790045499 12.8507050406187, 80.1328150369226 12.8487389814108)"
37,70,,S,DC,28,71 - 70,301.4767228,3.51,31.273346,,12.84873898,80.13281504,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1328150369226 12.8487389814108, 80.1312069687992 12.8471739962697)"
38,69,,T,DC,28,70 - 69,250.2843146,1.84,31.659473,13°44'22''RT,12.847174,80.13120697,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1312069687992 12.8471739962697, 80.1286656595766 12.8456741385161)"
39,68,,S,DC,28,69 - 68,326.325778,6.35,34.483727,,12.84567414,80.12866566,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1286656595766 12.8456741385161, 80.1280123740434 12.8452039137482)"
40,67,,T,DC,28,68 - 67,92.42394476,4.1,33.877781,109°25'12''RT,12.84520391,80.12801237,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1280123740434 12.8452039137482, 80.1280700415372 12.8450169973075)"
41,Gantry ( NALLAMBAKKAM SS ),2W,T,H-POLE,15,67 - Gantry ,26.09891383,-,34.891403,,12.845017,80.12807004,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,7945.922503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
