S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13,12,T,DC,26,"=B17& "" - ""&B18",243.82291838134714,3.69,54.958111,30°57'52''RT,12.8729226998984,79.9455790780484,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9455790780484 12.8729226998984, 79.9453121144324 12.8755169827491)"
14,13,S,DC,26,"=B18& "" - ""&B19",290.89434709890486,6.71,54.7167019999999,4°14'7''RT,12.8755169827491,79.9453121144324,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9453121144324 12.8755169827491, 79.945244975388 12.8779830224812)"
15,14,T,DC,26,"=B19& "" - ""&B20",275.34895381659237,5.71,52.1646349999999,148°13'57''LT,12.8779830224812,79.945244975388,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.945244975388 12.8779830224812, 79.9464160110801 12.8799540270119)"
16,15,T,DC,26,"=B20& "" - ""&B21",254.83031307453103,3.8,53.050407,12°3'34''LT,12.8799540270119,79.9464160110801,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9464160110801 12.8799540270119, 79.9471480026841 12.8821410331875)"
17,16,T,DC,26,"=B21& "" - ""&B22",257.09676908429446,2.85,51.066616,6°57'33''LT,12.8821410331875,79.9471480026841,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9471480026841 12.8821410331875, 79.9477255158126 12.8849973343312)"
18,17,S,DC,26,"=B22& "" - ""&B23",324.5709941931353,-,49.64753,,12.8849973343312,79.9477255158126,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9477255158126 12.8849973343312, 79.948096498847 12.8866806719452)"
19,18,S,DC,26,"=B23& "" - ""&B24",192.98441244327296,-,51,,12.8866806719452,79.948096498847,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.948096498847 12.8866806719452, 79.9487880058586 12.889597993344)"
20,19,T,DC,26,"=B24& "" - ""&B25",333.7741949064282,7.25,45.017178,2°25'29''LT,12.889597993344,79.9487880058586,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9487880058586 12.889597993344, 79.9490185920149 12.8907990362495)"
21,20,T,DC,26,"=B25& "" - ""&B26",137.67478175417665,4.17,45.311241,41°10'7''RT,12.8907990362495,79.9490185920149,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9490185920149 12.8907990362495, 79.9507481977343 12.8921325970441)"
22,21,S,DC,26,"=B26& "" - ""&B27",241.19619040282575,6.79,44.9326629999999,,12.8921325970441,79.9507481977343,GOOD,AVAILABLE,,"ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9507481977343 12.8921325970441, 79.9525123368948 12.8934706840664)"
23,22,T,DC,26,"=B27& "" - ""&B28",244.45833572217532,2.91,44.460625,20°14'8''LT,12.8934706840664,79.9525123368948,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9525123368948 12.8934706840664, 79.9536392837762 12.8952361643314)"
24,23,T,DC,26,"=B28& "" - ""&B29",232.89407650129007,5.31,43.7047389999999,15°27'55''RT,12.8952361643314,79.9536392837762,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9536392837762 12.8952361643314, 79.9552783649414 12.8967085294425)"
25,24,S,DC,26,"=B29& "" - ""&B30",243.64050036813077,3.84,41.929588,,12.8967085294425,79.9552783649414,GOOD,AVAILABLE,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9552783649414 12.8967085294425, 79.9569549970328 12.8981359675526)"
26,25,T,DC,26,"=B30& "" - ""&B31",243.37431251721713,1.5,40.0077739999999,5°27'36''LT,12.8981359675526,79.9569549970328,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9569549970328 12.8981359675526, 79.9585870373994 12.899817964062)"
27,26,T,DC,26,"=B31& "" - ""&B32",259.3381739126931,7.01,39.784813,63°9'53''RT,12.899817964062,79.9585870373994,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9585870373994 12.899817964062, 79.9605240114033 12.8992459829896)"
28,27,S,DC,26,"=B32& "" - ""&B33",221.98045248902943,4.23,38.8444369999999,,12.8992459829896,79.9605240114033,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9605240114033 12.8992459829896, 79.9621350131928 12.8988180030137)"
29,28,T,DC,26,"=B33& "" - ""&B34",183.59301998196395,4.19,38.732536,25°53'45''LT,12.8988180030137,79.9621350131928,GOOD,AVAILABLE,,ROAD,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9621350131928 12.8988180030137, 79.9639080371707 12.8991479985415)"
30,29,T,DC,26,"=B34& "" - ""&B35",198.30842441670328,2.09,37.995975,70°22'14''LT,12.8991479985415,79.9639080371707,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9639080371707 12.8991479985415, 79.9643439799547 12.9018830135464)"
31,30,S,DC,26,"=B35& "" - ""&B36",308.67570473227886,4.45,39.6068339999999,,12.9018830135464,79.9643439799547,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9643439799547 12.9018830135464, 79.9647140409797 12.9045096505433)"
32,31,S,DC,26,"=B36& "" - ""&B37",295.77465087327977,1.28,39.898125,,12.9045096505433,79.9647140409797,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9647140409797 12.9045096505433, 79.9651359859853 12.9070640355348)"
33,32,T,DC,26,"=B37& "" - ""&B38",288.70703452455996,3.5,40.285065,30°31'21''RT,12.9070640355348,79.9651359859853,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9651359859853 12.9070640355348, 79.9667166452854 12.9089299309998)"
34,33,S,DC,26,"=B38& "" - ""&B39",270.8310573088307,9,36.648983,,12.9089299309998,79.9667166452854,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9667166452854 12.9089299309998, 79.9684210214763 12.9108069743961)"
35,34,T,DC,26,"=B39& "" - ""&B40",280.5209642120183,6.61,37.614182,67°44'51''RT,12.9108069743961,79.9684210214763,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9684210214763 12.9108069743961, 79.9709569662809 12.9099289700388)"
36,35,S,DC,26,"=B40& "" - ""&B41",294.27644056051895,2.07,35.7739219999999,,12.9099289700388,79.9709569662809,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9709569662809 12.9099289700388, 79.9717229884117 12.9096749983727)"
37,36,S,DC,26,"=B41& "" - ""&B42",90.2297672855728,7.25,34.020763,,12.9096749983727,79.9717229884117,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9717229884117 12.9096749983727, 79.9741979967802 12.9087870195508)"
38,37,T,DC,26,"=B42& "" - ""&B43",288.42833571345886,4.6,33.0980029999999,44°47'20''LT,12.9087870195508,79.9741979967802,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9741979967802 12.9087870195508, 79.9762570112943 12.9097159858793)"
39,38,T,DC,26,"=B43& "" - ""&B44",248.39244412636947,1.78,32.00312,4°56'56''LT,12.9097159858793,79.9762570112943,GOOD,NO E/W,400KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9762570112943 12.9097159858793, 79.9786409921944 12.9110470321029)"
40,39,S,DC,26,"=B44& "" - ""&B45",300.1149524529161,5.49,30.227757,,12.9110470321029,79.9786409921944,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9786409921944 12.9110470321029, 79.9810180161148 12.9123639967292)"
41,40,S,DC,26,"=B45& "" - ""&B46",298.6887885283307,3.11,29.344194,,12.9123639967292,79.9810180161148,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9810180161148 12.9123639967292, 79.9832330178469 12.9136269818991)"
42,41,S,DC,26,"=B46& "" - ""&B47",280.4666807062275,3.08,30.174133,,12.9136269818991,79.9832330178469,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9832330178469 12.9136269818991, 79.9854143243283 12.9149016179144)"
43,42,S,DC,26,"=B47& "" - ""&B48",277.96824529801705,6.5,31,,12.9149016179144,79.9854143243283,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9854143243283 12.9149016179144, 79.9876048509031 12.9161905869841)"
44,43,T,DC,26,"=B48& "" - ""&B49",279.63904076554354,-,31,19°57'22''LT,12.9161905869841,79.9876048509031,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9876048509031 12.9161905869841, 79.9891470372676 12.9180529620498)"
45,44,T,DC,26,"=B49& "" - ""&B50",267.8747461428839,6.07,30.0155239999999,29°37'49''LT,12.9180529620498,79.9891470372676,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9891470372676 12.9180529620498, 79.9894949700683 12.9201020020991)"
46,45,S,DC,26,"=B50& "" - ""&B51",232.25016097062422,8.15,27.872183,,12.9201020020991,79.9894949700683,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9894949700683 12.9201020020991, 79.9898770172148 12.922252966091)"
47,46,T,DC,26,"=B51& "" - ""&B52",243.98470846109092,8.2,28.4025919999999,73°5'30''RT,12.922252966091,79.9898770172148,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9898770172148 12.922252966091, 79.9924670252949 12.9225660301744)"
48,47,T,DC,26,"=B52& "" - ""&B53",285.6179794666456,4.03,28.148733,20°6'17''LT,12.9225660301744,79.9924670252949,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9924670252949 12.9225660301744, 79.9944149795919 12.9235450364649)"
49,48,T,DC,26,"=B53& "" - ""&B54",239.9594302221468,6.32,28.146681,47°9'30''LT,12.9235450364649,79.9944149795919,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9944149795919 12.9235450364649, 79.9947189912199 12.92460501194)"
50,49,T,DC,26,"=B54& "" - ""&B55",124.28645060351234,4.7,34.8385809999999,50°4'58''RT,12.92460501194,79.9947189912199,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9947189912199 12.92460501194, 79.994879 12.924567)"
51,50,T,H-POLE,15,"=B55& "" - ""&B56",32.70906232057604,-,34.7896,5°11'32''LT,12.924567,79.994879,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.994879 12.924567, 79.995241 12.924746)"
52,51,T,H-POLE,15,"=B56& "" - ""&B57",51,-,34,,12.924746,79.995241,GOOD,NO E/W,230 KV,,,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.995241 12.924746, 79.995597 12.924942)"
53,52,T,H-POLE,15,"=B57& "" - ""&B58",49,-,34.4704169999999,11°17'4''RT,12.924942,79.995597,GOOD,NO E/W,230 KV ,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.995597 12.924942, 79.9958559963852 12.9251189902424)"
54,53,T,DC,26,"=B58& "" - ""&B59",44.84601492002126,6.24,33.334988,46°36'51''LT,12.9251189902424,79.9958559963852,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9958559963852 12.9251189902424, 79.9966604914516 12.9267903417348)"
55,54,T,DC,26,"=B59& "" - ""&B60",206.9232056761322,2.87,33.998161,82°49'33''RT,12.9267903417348,79.9966604914516,GOOD,AVAILABLE,"LT, HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9966604914516 12.9267903417348, 79.9993273615837 12.9259353037923)"
56,55,S,DC,26,"=B60& "" - ""&B61",306.88952172316004,3.15,33.55167,,12.9259353037923,79.9993273615837,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9993273615837 12.9259353037923, 80.0011682789772 12.9253429546952)"
57,T/OFF :56,T,DC,25,"=B61& "" - ""&B62",212.69095934204967,7.1,33.2629239999999,16°56'43''LT,12.9253429546952,80.0011682789772,GOOD,AVAILABLE,,,PLAIN,T/OFF TO JK TYRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0011682789772 12.9253429546952, 80.0027979724109 12.9253090079873)"
58,57,T,DC,25,"=B62& "" - ""&B63",179.34436713277108,4.64,32.988537,26°3'7''LT,12.9253090079873,80.0027979724109,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0027979724109 12.9253090079873, 80.004199007526 12.9259450268)"
59,58,T,DC,25,"=B63& "" - ""&B64",169.98593803214146,2.78,35.335503,10°9'28''LT,12.9259450268,80.004199007526,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.004199007526 12.9259450268, 80.0057131983339 12.9269847180694)"
60,59,T,DC,25,"=B64& "" - ""&B65",203.02080562129908,6.01,32.33643,18°1'22''RT,12.9269847180694,80.0057131983339,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0057131983339 12.9269847180694, 80.0068235490471 12.9273170605301)"
61,60,T,DC,25,"=B65& "" - ""&B66",128.44364066611234,3.33,31.806742,1°46'26''LT,12.9273170605301,80.0068235490471,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0068235490471 12.9273170605301, 80.0085959862917 12.9279069788753)"
62,61,T,DC,25,"=B66& "" - ""&B67",205.55648828835118,5.89,30.646505,16°7'50''RT,12.9279069788753,80.0085959862917,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0085959862917 12.9279069788753, 80.010562967509 12.9279949888587)"
63,62,T,DC,25,"=B67& "" - ""&B68",216.11585987754572,2.61,29.578184,0°12'30''LT,12.9279949888587,80.010562967509,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.010562967509 12.9279949888587, 80.0126329623162 12.9280949849635)"
64,63,T,DC,25,"=B68& "" - ""&B69",227.34166603240323,6.92,30.1289769999999,10°52'11''LT,12.9280949849635,80.0126329623162,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0126329623162 12.9280949849635, 80.0145225785672 12.9285464342683)"
65,64,T,DC,25,"=B69& "" - ""&B70",213.49335574540308,3.75,30.1681519999999,5°35'50''RT,12.9285464342683,80.0145225785672,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0145225785672 12.9285464342683, 80.0161845423281 12.928778193891)"
66,65,T,DC,25,"=B70& "" - ""&B71",184.61535558127585,-,30,43°12'38''RT,12.928778193891,80.0161845423281,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0161845423281 12.928778193891, 80.0181678682565 12.9274099320173)"
67,66,T,DC,25,"=B71& "" - ""&B72",265.55482713317923,-,29.0706479999999,23°33'25''RT,12.9274099320173,80.0181678682565,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0181678682565 12.9274099320173, 80.0192349683493 12.9256899654865)"
68,67,T,DC,25,"=B72& "" - ""&B73",225.18757666818033,3.44,30.522186,18°50'5''LT,12.9256899654865,80.0192349683493,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0192349683493 12.9256899654865, 80.0206729676574 12.9245129786431)"
69,68,S,DC,26,"=B73& "" - ""&B74",205.68462396535276,2.89,27.9905849999999,,12.9245129786431,80.0206729676574,GOOD,AVAILABLE,"HT, LT",ROAD,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0206729676574 12.9245129786431, 80.0230589602142 12.9223689716309)"
70,69,T,DC,25,"=B74& "" - ""&B75",353.5504778889176,6.42,29.7620429999999,19°7'20''LT,12.9223689716309,80.0230589602142,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0230589602142 12.9223689716309, 80.0255430210381 12.9213160369545)"
71,70,T,DC,25,"=B75& "" - ""&B76",296.0816208367824,4.2,27.3520359999999,18°5'18''RT,12.9213160369545,80.0255430210381,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0255430210381 12.9213160369545, 80.0265470054 12.9204459954053)"
72,71,S,DC,26,"=B76& "" - ""&B77",147.84059375642082,1.78,27.7417529999999,,12.9204459954053,80.0265470054,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0265470054 12.9204459954053, 80.0280140060931 12.9191619716584)"
73,72,S,DC,26,"=B77& "" - ""&B78",215.80436074044917,3.36,26.34108,,12.9191619716584,80.0280140060931,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0280140060931 12.9191619716584, 80.0287950318306 12.9184329975396)"
74,73,S,DC,26,"=B78& "" - ""&B79",119.46305169633821,4.71,25.644867,,12.9184329975396,80.0287950318306,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0287950318306 12.9184329975396, 80.0296889618039 12.9176799673587)"
75,74,T,DC,25,"=B79& "" - ""&B80",130.33739653039245,6.03,27.0137539999999,21°23'20''LT,12.9176799673587,80.0296889618039,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0296889618039 12.9176799673587, 80.0309459958225 12.9172489698976)"
76,75,S,DC,26,"=B80& "" - ""&B81",146.96892959131972,9.2,27.109869,,12.9172489698976,80.0309459958225,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0309459958225 12.9172489698976, 80.0329299923032 12.9166525136679)"
77,76,T,DC,26,"=B81& "" - ""&B82",227.6300112459177,2.87,26.5591259999999,11°3'24''LT,12.9166525136679,80.0329299923032,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0329299923032 12.9166525136679, 80.0341554265469 12.9165265336632)"
78,77,S,DC,26,"=B82& "" - ""&B83",136.1782152849776,5.61,29.1489259999999,,12.9165265336632,80.0341554265469,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0341554265469 12.9165265336632, 80.0350579898804 12.9164550360292)"
79,78,T,DC,25,"=B83& "" - ""&B84",100.73988383415569,3.92,27.739664,60°16'41''RT,12.9164550360292,80.0350579898804,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0350579898804 12.9164550360292, 80.0355289690196 12.9154689889401)"
80,79,T,DC,25,"=B84& "" - ""&B85",122.93450271892907,1.68,28.300978,153°41'54''LT,12.9154689889401,80.0355289690196,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0355289690196 12.9154689889401, 80.0355070084333 12.91443801485)"
81,80,T,DC,25,"=B85& "" - ""&B86",116.55113374084004,5.01,28.0362009999999,154°28'8''RT,12.91443801485,80.0355070084333,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0355070084333 12.91443801485, 80.0361280236393 12.9130909591913)"
82,81,T,DC,25,"=B86& "" - ""&B87",166.01164752256844,2.64,26.817968,147°27'54''LT,12.9130909591913,80.0361280236393,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0361280236393 12.9130909591913, 80.0358540192246 12.9112259857356)"
83,82,S,DC,26,"=B87& "" - ""&B88",210.89814299407905,7.13,28.737534,,12.9112259857356,80.0358540192246,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0358540192246 12.9112259857356, 80.0354935135692 12.9090590961277)"
84,83,T,DC,25,"=B88& "" - ""&B89",245.32967235438028,-,29,56°55'53''RT,12.9090590961277,80.0354935135692,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0354935135692 12.9090590961277, 80.0340509880334 12.9084349796175)"
