S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,52,,Tension,SB+0,24,54A-54B,332,1.2,200,"6°41'31.62""RT",12.93817778,79.14969167,GOOD,GOOD,"Three HT, Four LT","Three Roads, Transformer Structure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14969166666667 12.938177777777778, 79.14660833333333 12.936683333333333)"
13,53,,Suspension,SA+0,26,54B-54C,377,1.3,208,,12.93668333,79.14660833,GOOD,GOOD,LT,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14660833333333 12.936683333333333, 79.14411944444446 12.935527777777779)"
14,54,,Tension,SB+0,24,54C-55,303,0.6,219,"0°16'48.35""RT",12.93552778,79.14411944,GOOD,GOOD,Three HT,"Road, Sewage Canal, CTR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14411944444446 12.935527777777779, 79.14163888888889 12.93436111111111)"
15,54A,,Tension,SD+0,28,55-56,303,0.4,216,"119°28'9.11""RT",12.93436111,79.14163889,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14163888888889 12.93436111111111, 79.1416638888889 12.934758333333333)"
16,54B,,Tension,SD+0,28,56-57,48,2.1,215,"92°17'2.43""LT",12.93475833,79.14166389,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1416638888889 12.934758333333333, 79.14102777777778 12.934780555555555)"
17,54C,,Tension,SD+0,28,57-58,76,3.5,227,"91°40'37.98""LT",12.93478056,79.14102778,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14102777777778 12.934780555555555, 79.14105277777779 12.934094444444444)"
18,55,,Tension,SD+0,28,58-59,81,6.1,232,"62°30'32.41""RT",12.93409444,79.14105278,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14105277777779 12.934094444444444, 79.13916111111112 12.933105555555555)"
19,56,,Tension,SC+0,26,59-60,235,5.2,219,"23°0'58.02""RT",12.93310556,79.13916111,GOOD,GOOD,"Four HT, LT",State Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13916111111112 12.933105555555555, 79.13695000000001 12.932936111111111)"
20,57,,Tension,SB+0,24,60-61,245,7.1,214,"2°1'33.27""LT",12.93293611,79.13695,GOOD,GOOD,Two HT,State Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13695000000001 12.932936111111111, 79.134675 12.932683333333333)"
21,58,,Tension,SB+0,24,61-62,253,7.5,216,"1°42'54.42""LT",12.93268333,79.134675,GOOD,GOOD,HT,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.134675 12.932683333333333, 79.13289166666667 12.93243611111111)"
22,59,,Tension,SB+0,24,62-63,199,-,213,"3°2’30.24""LT",12.93243611,79.13289167,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13289166666667 12.93243611111111, 79.1310861111111 12.932080555555554)"
23,60,,Tension,SB+0,24,63-64,203,-,210,"3°32'32.32""RT",12.93208056,79.13108611,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1310861111111 12.932080555555554, 79.12882222222221 12.931783333333332)"
24,61,,Tension,SB+0,24,64-65,252,-,211,"1°18'0.97""RT",12.93178333,79.12882222,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12882222222221 12.931783333333332, 79.12625277777776 12.931474999999999)"
25,62,2W,Tension,SD+0,28,65-66,285,2.1,210,"52°55'39.17""LT",12.931475,79.12625278,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12625277777776 12.931474999999999, 79.12578888888888 12.930722222222222)"
26,63,,Tension,SD+0,28,66-67,100,2.3,212,"30°8'50.88""RT",12.93072222,79.12578889,GOOD,GOOD,LT,Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12578888888888 12.930722222222222, 79.12481666666666 12.930172222222222)"
27,64,,Tension,SD+0,28,67-68,126,6.7,211,"41°49'18.68""LT",12.93017222,79.12481667,GOOD,GOOD,"HT, 25kv",Railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12481666666666 12.930172222222222, 79.12443888888889 12.929066666666666)"
28,65,,Tension,SB+0,24,68-69,132,5.4,211,"1°8'47.22""RT",12.92906667,79.12443889,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12443888888889 12.929066666666666, 79.12399444444443 12.927863888888888)"
29,66,,Tension,SD+0,28,69-69A,146,5,210,"38°27'19.29""RT",12.92786389,79.12399444,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12399444444443 12.927863888888888, 79.12224444444443 12.926783333333333)"
30,67,,Tension,SB+0,24,69A-70,229,7.2,208,"6°57'36.87""RT",12.92678333,79.12224444,GOOD,GOOD,"Two LT, HT",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12224444444443 12.926783333333333, 79.12016944444444 12.925883333333333)"
31,68,,Tension,SB+0,24,70-Vellore Gantry,250,0.5,214,"9°16'10.41""RT",12.92588333,79.12016944,GOOD,GOOD,HT,NH-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12016944444444 12.925883333333333, 79.11895277777776 12.92558611111111)"
32,69,,Tension,SB+0,24,Vellore Gantry-,140,0.1,215,"6°48'7.33""RT",12.92558611,79.11895278,GOOD,GOOD,"HT, LT",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11895277777776 12.92558611111111, 79.11772222222221 12.925205555555555)"
33,69A,,Tension,SB+0,24,-,145,0.2,214,"10°8’5.11""LT",12.92520556,79.11772222,GOOD,GOOD,"LT, HT",Transformer Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11772222222221 12.925205555555555, 79.1167111111111 12.924791666666666)"
34,70,2W,Tension,SD+0,28,-,125,0.5,210,"77°22’30.91""LT",12.92479167,79.11671111,GOOD,GOOD,"LT, HT",Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1167111111111 12.924791666666666, 79.11678888888888 12.92428611111111)"
35,Vellore Gantry,2W,,Gantry,15,-,63,-,219,,12.92428611,79.11678889,GOOD,NO E/W,LT,-,,No Peak Available On Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
