S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,31,T,DC,32,30 - 31,292.20046076379236,1.95,43.7646939999999,20°37'43''LT,12.7772430237382,80.0816479604691,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0816479604691 12.7772430237382, 80.0807930063456 12.779377978295)"
31,32,T,DC,32,31 - 32,256.205100540722,0.6,43.393959,0°13'26''RT,12.779377978295,80.0807930063456,GOOD,NO E/W,400KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0807930063456 12.779377978295, 80.0802940316498 12.7806100342422)"
32,33,S,DC,32,32 - 33,149.1330970909206,0.73,45.0072589999999,,12.7806100342422,80.0802940316498,GOOD,AVAILABLE,400KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0802940316498 12.7806100342422, 80.0798129942268 12.7820000052452)"
33,34,T,DC,32,33 - 34,164.85404796761222,3.59,44.858978,11°9'33''LT,12.7820000052452,80.0798129942268,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0798129942268 12.7820000052452, 80.0794870220124 12.7843399811536)"
34,35,T,DC,32,34 - 35,263.7044944486134,2.4,45.358944,0°11'8''RT,12.7843399811536,80.0794870220124,GOOD,AVAILABLE,400KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0794870220124 12.7843399811536, 80.0792759656906 12.7858199737966)"
35,36,T,DC,32,35 - 36,167.77981426596068,1.73,45.858795,9°0'38''RT,12.7858199737966,80.0792759656906,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0792759656906 12.7858199737966, 80.0789570342749 12.7868549712002)"
36,37,T,MC,48,36 - 37,122.08916651348021,0.53,45.21875,1°54'56''LT,12.7868549712002,80.0789570342749,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0789570342749 12.7868549712002, 80.0782549660652 12.7894370164722)"
37,38,T,MC,48,37 - 38,298.0627514077294,1.99,48.8292539999999,29°12'44''RT,12.7894370164722,80.0782549660652,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0782549660652 12.7894370164722, 80.0776367168873 12.7900678385049)"
38,39,T,DC,32,38 - 39,99.3041099803375,-,49,34°50'11''RT,12.7900678385049,80.0776367168873,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0776367168873 12.7900678385049, 80.0772094074636 12.7901488915085)"
39, GANTRY ( Kalivanthapattu SS ),T,GANTRY,21,39 -  GANTRY,49.740725631070674,,50,,12.7901488915085,80.0772094074636,GOOD,AVAILABLE,,,PLAIN,PGCIL SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
