S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,T.NO 30,,S,DA,26,29-30,316.6322788,4.58,40,,80.08330556,12.65536111,,,GOOD,GOOD,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08330555555555 12.65536111111111, 80.08352777777777 12.652583333333334)"
31,T.NO 31,,S,DA,26,30-31,306.8631617,3.98,34,,80.08352778,12.65258333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08352777777777 12.652583333333334, 80.08372222222222 12.65013888888889)"
32,T.NO 32,,T,DC,26,31-32,272.6627954,5.65,35,"16°4'38""",80.08372222,12.65013889,,,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08372222222222 12.65013888888889, 80.0846111111111 12.647666666666666)"
33,T.NO 33,,S,DA,26,32-33,289.720555,5.04,38,,80.08461111,12.64766667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0846111111111 12.647666666666666, 80.08555555555554 12.645249999999999)"
34,T.NO 34,,T,DB,24,33-34,286.0489469,5.47,37,"1°23'52""",80.08555556,12.64525,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08555555555554 12.645249999999999, 80.08644444444444 12.642833333333332)"
35,T.NO 35,,S,DA,26,34-35,282.4553062,4.23,34,,80.08644444,12.64283333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08644444444444 12.642833333333332, 80.08713888888889 12.640638888888889)"
36,T.NO 36,,S,DA,26,35-36,255.2665274,3.81,33,,80.08713889,12.64063889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08713888888889 12.640638888888889, 80.088 12.638194444444444)"
37,T.NO 37,,T,DD,28,36-37,286.513525,3.6,33,"109°58'29""",80.088,12.63819444,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.088 12.638194444444444, 80.0876111111111 12.638194444444444)"
38,DP1,,T,DP,15,37-DP1,42.01190308,DP,34,,80.08761111,12.63819444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0876111111111 12.638194444444444, 80.08733333333333 12.63811111111111)"
39,DP2,,T,DP,15,DP1-DP2,31.95309062,DP,34,,80.08733333,12.63811111,,,GOOD,MISSING,230KV,,PLAIN,SPK-KALPAKKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08733333333333 12.63811111111111, 80.08708333333333 12.637888888888888)"
40,T.NO 38,2W,T,DD,28,DP2-38,34.71310992,4.62,35,"60°0'36""",80.08708333,12.63788889,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08708333333333 12.637888888888888, 80.08763888888889 12.635361111111111)"
41,T.NO 39,,T,DD,28,38-39,285.7428914,6.05,34,"31°13'12""",80.08763889,12.63536111,,,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08763888888889 12.635361111111111, 80.08666666666666 12.632666666666667)"
42,T.NO 40,,S,DA,26,39-40,317.2333526,6.46,34,,80.08666667,12.63266667,,,GOOD,GOOD,HT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08666666666666 12.632666666666667, 80.08583333333333 12.630416666666667)"
43,T.NO 41,,T,DB,24,40-41,263.8257,5.8,36,"10°31'10""",80.08583333,12.63041667,,,GOOD,GOOD,LT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08583333333333 12.630416666666667, 80.08541666666666 12.62813888888889)"
44,T.NO 42,,S,DA,26,41-42,254.3796375,4.05,36,,80.08541667,12.62813889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08541666666666 12.62813888888889, 80.08505555555556 12.625666666666667)"
45,T.NO 43,,S,DA,26,42-43,277.7516877,3.65,35,,80.08505556,12.62566667,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08505555555556 12.625666666666667, 80.08466666666666 12.623194444444445)"
46,T.NO 44,,T,DD,28,43-44,275.3779221,3.28,37,"50°8'35""",80.08466667,12.62319444,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08466666666666 12.623194444444445, 80.08236111111111 12.621833333333333)"
47,T.NO 45,,T,DB,24,44-45,294.1241235,7.03,41,"2°52'8""",80.08236111,12.62183333,,,GOOD,GOOD,"LT-3 , HT-3",MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08236111111111 12.621833333333333, 80.07994444444444 12.620583333333334)"
48,T.NO 46,,S,DA,26,45-46,295.6568957,2.9,38,,80.07994444,12.62058333,,,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07994444444444 12.620583333333334, 80.07819444444443 12.619666666666667)"
49,T.NO 47,,S,DA,26,46-47,215.1766716,3.45,37,,80.07819444,12.61966667,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07819444444443 12.619666666666667, 80.07625 12.618638888888889)"
50,T.NO 48,,T,DC,26,47-48,239.7665531,4.35,38,"21°16'50""",80.07625,12.61863889,,,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07625 12.618638888888889, 80.07405555555555 12.618416666666667)"
51,T.NO 49,,S,DA,26,48-49,239.415956,5.62,39,,80.07405556,12.61841667,,,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07405555555555 12.618416666666667, 80.07158333333334 12.618111111111112)"
52,T.NO 50,,T,DD,28,49-50,271.8896835,2.85,39,"61°33'25""",80.07158333,12.61811111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07158333333334 12.618111111111112, 80.07069444444444 12.615972222222222)"
53,T.NO 51,,S,DA,26,50-51,256.0820181,3.1,36,,80.07069444,12.61597222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07069444444444 12.615972222222222, 80.06988888888888 12.613916666666666)"
54,T.NO 52,,T,DC,26,51-52,241.9628071,3.9,35,"19°34'1""",80.06988889,12.61391667,,,GOOD,GOOD,HT-1,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06988888888888 12.613916666666666, 80.06902777777778 12.612972222222222)"
55,T.NO 53,,T,DB,24,52-53,138.8524397,5.8,37,"8°24'45""",80.06902778,12.61297222,,,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06902777777778 12.612972222222222, 80.06741666666666 12.611638888888889)"
56,T.NO 54,,T,DD,28,53-54,231.3655117,6.05,37,"50°41'0""",80.06741667,12.61163889,,,GOOD,GOOD,"LT-1,HT-3",MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06741666666666 12.611638888888889, 80.06744444444445 12.610305555555556)"
57,T.NO 55,,T,DD,28,54-55,148.0135129,4.38,37,"99°31'50""",80.06744444,12.61030556,,,GOOD,GOOD,"LT-1,HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06744444444445 12.610305555555556, 80.06794444444444 12.610388888888888)"
58,GT 110KV THIRUKAZHUKUNDRAM SS,2W,T,GANTRY,15,55-GT,55.90169944,,38,,80.06794444,12.61038889,Yes,,GOOD,MISSING,,CEMENT ROAD,PLAIN,110KV THIRUKAZHUKUNDRAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,14522M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
