S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,T.NO-25,T,DB,24,26-25,293.972787856291,,56,"38°6'21"" ",12.824861111111112,79.91222222222223,GOOD,GOOD,,,WATER LOGGED,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91222222222223 12.824861111111112, 79.90991666666667 12.823055555555555)"
35,T.NO-24,S,DA,26,25-24,319.532470963437,1.4,57,,12.823055555555555,79.90991666666667,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90991666666667 12.823055555555555, 79.90791666666668 12.821388888888889)"
36,T.NO-23,T,DB,24,24-23,283.985915143692,1.07,54,"29°54'27"" ",12.821388888888889,79.90791666666668,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90791666666668 12.821388888888889, 79.90705555555556 12.819083333333333)"
37,T.NO-22,S,DA,26,23-22,271.773803005367,1.09,56,,12.819083333333333,79.90705555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90705555555556 12.819083333333333, 79.90625 12.81686111111111)"
38,T.NO-21,S,DA,26,22-21,263.229937507116,1,56,,12.81686111111111,79.90625,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90625 12.81686111111111, 79.9053888888889 12.814666666666668)"
39,T.NO-20,S,DA,26,21-20,258.321505105556,0.91,59,,12.814666666666668,79.9053888888889,GOOD,GOOD,,CANAL-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9053888888889 12.814666666666668, 79.90475 12.812833333333334)"
40,T.NO-19,T,DB,24,20-19,215.058131676066,,60,"28°28'35"" ",12.812833333333334,79.90475,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90475 12.812833333333334, 79.90511111111111 12.810611111111111)"
41,T.NO-18,S,DA,26,19-18,250.217905034792,,60,,12.810611111111111,79.90511111111111,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90511111111111 12.810611111111111, 79.90547222222223 12.808444444444445)"
42,T.NO-17,S,DA,26,18-17,242.002066106883,,62,,12.808444444444445,79.90547222222223,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90547222222223 12.808444444444445, 79.90586111111112 12.80613888888889)"
43,T.NO-16,S,DA,26,17-16,257.965113920468,,62,,12.80613888888889,79.90586111111112,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90586111111112 12.80613888888889, 79.90619444444445 12.80413888888889)"
44,T.NO-15 Vadakupattu LILO,T,DC,26,16-15,223.75432956705,,63,,12.80413888888889,79.90619444444445,GOOD,GOOD,,CANAL-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
