S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,G-38,,Suspension,SA+0,26,G-35-G-34,198,2.8,303,,12.97374722,78.8447,,,,,GOOD,GOOD,Three LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84469999999999 12.973747222222222, 78.84243333333333 12.973808333333334)"
21,G-37,,Tension,SD+0,28,G-34-G-33,254,2.5,297,48°58’38.66”LT,12.97380833,78.84243333,,,,,GOOD,GOOD,"Two LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84243333333333 12.973808333333334, 78.84131111111111 12.972616666666667)"
22,G-36,,Suspension,SA+0,26,G-33-G-32,184,0.3,304,,12.97261667,78.84131111,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84131111111111 12.972616666666667, 78.84021388888888 12.971441666666667)"
23,G-35,,Tension,SB+0,24,G-32-G-31,177,7.1,302,7°38’55.77”LT,12.97144167,78.84021389,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84021388888888 12.971441666666667, 78.83905833333333 12.969794444444444)"
24,G-34,,Suspension,SA+0,26,G-31-G-30,224,2.5,290,,12.96979444,78.83905833,,,,,GOOD,GOOD,"HT, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83905833333333 12.969794444444444, 78.83801944444444 12.968386111111112)"
25,G-33,,Tension,SC+0,26,G-30-G-29,200,2.3,288,19°18’43.69”LT,12.96838611,78.83801944,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83801944444444 12.968386111111112, 78.83720555555556 12.965613888888889)"
26,G-32,2W,Tension,SC+0,26,G-29-G-28,323,0.5,310,29°13’35.45”LT,12.96561389,78.83720556,2W,,,,GOOD,GOOD,Two LT,Road,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83720555555556 12.965613888888889, 78.83765833333332 12.963494444444443)"
27,G-31,,Tension,SB+0,24,G-28-G-27,245,1.9,299,1°41’36.42”RT,12.96349444,78.83765833,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83765833333332 12.963494444444443, 78.83794722222221 12.962077777777777)"
28,G-30,,Tension,SD+9,37,G-27-G-26,164,1.2,287,13°29’11.45”RT,12.96207778,78.83794722,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83794722222221 12.962077777777777, 78.83784999999999 12.959222222222222)"
29,G-29,,Tension,SD+9,37,G-26-G-25,322,1.7,286,0°0’49.99”RT,12.95922222,78.83785,,,,,GOOD,GOOD,800kv HVDC,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83784999999999 12.959222222222222, 78.83770555555554 12.957783333333333)"
30,G-28,,Suspension,SA+0,26,G-25-G-24,168,3.5,286,,12.95778333,78.83770556,,,,,GOOD,GOOD,"Three LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83770555555554 12.957783333333333, 78.83756388888888 12.956191666666665)"
31,G-27,,Tension,SC+0,26,G-24-G-23,179,1.3,288,16°2’56.67”LT,12.95619167,78.83756389,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83756388888888 12.956191666666665, 78.83806666666666 12.953574999999999)"
32,G-26,,Tension,SD+0,28,G-23-G-22,296,1.1,286,34°51’31.97”RT,12.953575,78.83806667,,,,,GOOD,GOOD,HT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83806666666666 12.953574999999999, 78.83721666666666 12.951705555555554)"
33,G-25,,Suspension,SA+0,26,G-22-G-21,236,0.2,287,,12.95170556,78.83721667,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83721666666666 12.951705555555554, 78.83635555555556 12.949911111111112)"
34,G-24,2W,Tension,SC+0,26,G-21-G-20,227,5.1,290,24°49’29.01”RT,12.94991111,78.83635556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83635555555556 12.949911111111112, 78.83428888888888 12.948186111111111)"
35,G-23,,Tension,SD+9,37,G-20-G-19,299,0.7,290,34°25’42.46”LT,12.94818611,78.83428889,,,,,GOOD,GOOD,Three LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83428888888888 12.948186111111111, 78.83384166666666 12.946663888888889)"
36,G-22,,Tension,SD+9,37,G-19-G-18,180,0.2,291,21°17’17.81”RT,12.94666389,78.83384167,,,,,GOOD,GOOD,"LT, Two HT","Canal, State Highway",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83384166666666 12.946663888888889, 78.83269444444444 12.945108333333334)"
37,G-21,,Suspension,SA+0,26,G-18-G-17,217,3,294,,12.94510833,78.83269444,,,,,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83269444444444 12.945108333333334, 78.83152777777778 12.943552777777779)"
38,G-20,2W,Tension,SD+0,28,G-17-G-16,217,7.2,308,48°16’23.15”LT,12.94355278,78.83152778,2W,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83152777777778 12.943552777777779, 78.83198055555555 12.94138888888889)"
39,G-19,,Suspension,SA+0,26,G-16-G-15,246,3.2,298,,12.94138889,78.83198056,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83198055555555 12.94138888888889, 78.83241388888888 12.939213888888888)"
40,G-18,,Suspension,SA+0,26,G-15-G-14,251,1.1,302,,12.93921389,78.83241389,,,,,GOOD,GOOD,"HT, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83241388888888 12.939213888888888, 78.83281944444444 12.937094444444444)"
41,G-17,,Suspension,SA+0,26,G-14-G-13,247,3.1,2W+H33:H51,,12.93709444,78.83281944,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83281944444444 12.937094444444444, 78.83328888888889 12.934855555555556)"
42,G-16,,Tension,SB+0,24,G-13-G-12,255,3,304,13°27’3.89”RT,12.93485556,78.83328889,,,,,GOOD,GOOD,LT,"Road, Canal, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83328888888889 12.934855555555556, 78.833225 12.932766666666666)"
43,G-15,,Suspension,SA+0,26,G-12-G-11,242,3.5,298,,12.93276667,78.833225,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.833225 12.932766666666666, 78.83315555555555 12.930127777777777)"
44,G-14,,Suspension,SA+0,26,G-11-G-10,292,3.1,291,,12.93012778,78.83315556,,,,,GOOD,GOOD,"LT, 400kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83315555555555 12.930127777777777, 78.83311111111111 12.927788888888887)"
45,G-13,,Tension,SD+0,28,G-10-G-9,267,2.5,294,36°59’4.91”RT,12.92778889,78.83311111,,,,,GOOD,GOOD,"LT, HT","Pond, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83311111111111 12.927788888888887, 78.83213611111111 12.926522222222221)"
46,G-12,,Suspension,SA+0,26,G-9-G-8,179,1.5,297,,12.92652222,78.83213611,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83213611111111 12.926522222222221, 78.83133333333333 12.925433333333332)"
47,G-11,,Tension,SD+0,28,G-8-G-7,155,2.3,296,48°55’31.59”LT,12.92543333,78.83133333,,,,,GOOD,GOOD,"Three LT, HT",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83133333333333 12.925433333333332, 78.83185277777777 12.923041666666666)"
48,G-10,,Suspension,SA+0,26,G-7-G-6,272,0.8,288,,12.92304167,78.83185278,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83185277777777 12.923041666666666, 78.83225 12.920822222222222)"
49,G-9,,Tension,SB+0,24,G-6-G-5,260,5.2,297,7°28’39.98”RT,12.92082222,78.83225,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83225 12.920822222222222, 78.83231111111111 12.919133333333333)"
50,G-8,3W,Tension,DD+3,31,G-5-G-4,189,4.5,297,1°54’34.91”LT,12.91913333,78.83231111,3W,,,,GOOD,GOOD,-,-,Plain,LILO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83231111111111 12.919133333333333, 78.83238055555555 12.91831111111111)"
51,G-7,,Suspension,SA+0,26,G-4-G-3,99,1.5,291,,12.91831111,78.83238056,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83238055555555 12.91831111111111, 78.83250277777778 12.915827777777778)"
52,G-6,,Suspension,SA+0,26,G-3-G-2,277,0.5,298,,12.91582778,78.83250278,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83250277777778 12.915827777777778, 78.83259722222222 12.913433333333334)"
53,G-5,,Tension,SB+0,24,G-2-G-1,270,4.2,297,13°27’37.95”LT,12.91343333,78.83259722,,,,,GOOD,GOOD,Two LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83259722222222 12.913433333333334, 78.83317777777778 12.91135)"
54,G-4,,Suspension,SA+0,26,G-1-24,250,5.5,294,,12.91135,78.83317778,,,,,GOOD,GOOD,"Two LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83317777777778 12.91135, 78.83369166666667 12.909430555555556)"
55,G-3,,Suspension,SA+0,26,24-25,220,2.3,296,,12.90943056,78.83369167,,,,,GOOD,GOOD,"Two LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83369166666667 12.909430555555556, 78.83413888888889 12.907744444444445)"
56,G-2,,Suspension,SA+0,26,25-26,200,2.4,293,,12.90774444,78.83413889,,,,,GOOD,GOOD,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83413888888889 12.907744444444445, 78.83469166666666 12.905786111111112)"
57,G-1,,Tension,SD+0,28,26-27,229,1.8,294,38°37’14.83”LT,12.90578611,78.83469167,,,,,GOOD,GOOD,"Two LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83469166666666 12.905786111111112, 78.836275 12.904680555555556)"
58,24,,Tension,DD+3,31,27-28,220,7.2,293,86°29’2.1”RT,12.90468056,78.836275,3W,,,,GOOD,GOOD,HT,-,Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.836275 12.904680555555556, 78.83401666666666 12.90276388888889)"
59,25,,Tension,SB+0,24,28-29,329,3,292,2°28’56.28”LT,12.90276389,78.83401667,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83401666666666 12.90276388888889, 78.83242777777778 12.901294444444444)"
60,26,,Suspension,SA+0,26,29-30,242,1.2,294,,12.90129444,78.83242778,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83242777777778 12.901294444444444, 78.83076388888888 12.899727777777777)"
61,27,,Suspension,SA+0,26,30-31,255,0.5,295,,12.89972778,78.83076389,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83076388888888 12.899727777777777, 78.82895555555555 12.89805)"
62,28,,Suspension,SA+0,26,31-32,277,0.2,297,,12.89805,78.82895556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82895555555555 12.89805, 78.8273 12.896472222222222)"
63,29,,Suspension,SA+0,26,32-33,255,3.5,295,,12.89647222,78.8273,,,,,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8273 12.896472222222222, 78.82542777777778 12.894738888888888)"
64,30,,Suspension,SA+0,26,33-34,285,2,294,,12.89473889,78.82542778,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82542777777778 12.894738888888888, 78.82358888888888 12.893025)"
65,31,,Suspension,SA+0,26,34-35,279,2.4,293,,12.893025,78.82358889,,,,,GOOD,GOOD,Two LT,"Road, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82358888888888 12.893025, 78.82174444444443 12.891266666666667)"
66,32,,Tension,SC+0,26,35-36,284,2.5,295,18°22’8.55”LT,12.89126667,78.82174444,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82174444444443 12.891266666666667, 78.82055555555556 12.889113888888888)"
67,33,,Suspension,SA+0,26,36-37,278,1,296,,12.88911389,78.82055556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82055555555556 12.889113888888888, 78.8193861111111 12.886972222222221)"
68,34,,Suspension,SA+0,26,37-38,272,2.3,300,,12.88697222,78.81938611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8193861111111 12.886972222222221, 78.81811666666667 12.884630555555555)"
69,35,,Suspension,SA+0,26,38-39,302,2,299,,12.88463056,78.81811667,,,,,GOOD,GOOD,-,"Canal, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81811666666667 12.884630555555555, 78.81685555555555 12.88241388888889)"
70,36,2W,Tension,SC+0,26,39-40,286,0.5,300,28°38’32.65”RT,12.88241389,78.81685556,2W,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81685555555555 12.88241388888889, 78.81444722222221 12.880930555555556)"
71,37,,Suspension,SA+0,26,40-41,312,2.5,305,,12.88093056,78.81444722,,,,,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81444722222221 12.880930555555556, 78.81198333333333 12.87936388888889)"
72,38,,Tension,SC+0,26,41-42,324,3.1,310,16°35’45.43”LT,12.87936389,78.81198333,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81198333333333 12.87936388888889, 78.81013888888889 12.877333333333334)"
73,39,,Tension,SB+0,24,42-43,306,2.5,307,11°6’22.34”LT,12.87733333,78.81013889,,,,,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81013888888889 12.877333333333334, 78.80899722222222 12.875352777777778)"
74,40,,Suspension,SA+0,26,43-44,258,1.8,305,,12.87535278,78.80899722,,,,,GOOD,GOOD,Two LT,"Canal, CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80899722222222 12.875352777777778, 78.807925 12.873536111111111)"
75,41,,Suspension,SA+0,26,44-45,236,1.3,300,,12.87353611,78.807925,,,,,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.807925 12.873536111111111, 78.80687222222222 12.871811111111112)"
76,42,,Tension,SD+0,28,45-46,226,0.5,303,53°36’54.9”RT,12.87181111,78.80687222,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80687222222222 12.871811111111112, 78.80439722222222 12.871591666666667)"
77,43,,Suspension,SA+0,26,46-47,277,3.2,308,,12.87159167,78.80439722,,,,,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80439722222222 12.871591666666667, 78.8017 12.871352777777778)"
78,44,,Suspension,SA+0,26,47-48,301,5.3,309,,12.87135278,78.8017,,,,,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8017 12.871352777777778, 78.79905 12.871086111111111)"
79,45,,Suspension,SA+0,26,48-49,290,2.3,313,,12.87108611,78.79905,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79905 12.871086111111111, 78.7970611111111 12.870916666666668)"
80,46,,Tension,SB+0,24,49-50,222,0.7,308,0°1’7.74”LT,12.87091667,78.79706111,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7970611111111 12.870916666666668, 78.7946861111111 12.870688888888889)"
81,47,,Suspension,SA+0,26,50-51,264,2.5,317,,12.87068889,78.79468611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7946861111111 12.870688888888889, 78.7916861111111 12.870447222222223)"
82,48,,Suspension,SA+0,26,51-52,331,0.7,313,,12.87044722,78.79168611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7916861111111 12.870447222222223, 78.79009444444445 12.870277777777778)"
83,49,2W,Tension,SC+0,26,52-53,178,1.2,318,17°34’51.83”LT,12.87027778,78.79009444,2W,,,,GOOD,GOOD,-,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79009444444445 12.870277777777778, 78.78771666666667 12.869238888888889)"
84,50,,Suspension,SA+0,26,53-54,287,2.7,308,,12.86923889,78.78771667,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78771666666667 12.869238888888889, 78.78538611111111 12.868225)"
85,51,,Tension,SD+0,2,54-55,279,7,309,43°22’34.36”LT,12.868225,78.78538611,,,,,GOOD,GOOD,LT,"Canal, Pond",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78538611111111 12.868225, 78.78461944444444 12.866391666666667)"
86,52,,Suspension,SA+0,26,55-56,222,7.9,301,,12.86639167,78.78461944,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78461944444444 12.866391666666667, 78.783825 12.864613888888888)"
87,53,,Suspension,SA+0,26,56-57,219,6.2,301,,12.86461389,78.783825,,,,,GOOD,GOOD,-,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.783825 12.864613888888888, 78.78301944444445 12.863133333333334)"
88,54,,Tension,SD+0,28,57-58,189,7.8,302,"42°38'13.87""RT",12.86313333,78.78301944,,,,,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78301944444445 12.863133333333334, 78.78075 12.862338888888889)"
89,55,,Suspension,SA+0,26,58-59,267,9.5,301,,12.86233889,78.78075,,,,,GOOD,GOOD,"11kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78075 12.862338888888889, 78.77822499999999 12.861511111111112)"
90,56,,Tension,SB+0,24,59-60,291,8.1,304,"7°45’12.13""RT",12.86151111,78.778225,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77822499999999 12.861511111111112, 78.77559444444444 12.861019444444445)"
91,57,,Suspension,SA+0,26,60-61,297,10.2,306,,12.86101944,78.77559444,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77559444444444 12.861019444444445, 78.77344444444445 12.86068611111111)"
92,58,,Tension,SC+0,26,61-62,238,11,306,"27°50’26.05""LT",12.86068611,78.77344444,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77344444444445 12.86068611111111, 78.77125555555556 12.859086111111111)"
