S.No,Tower No.,"Joint Box
",Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,TN - 19,,S,DC,28,TN - 22 : TN - 23,156.3544986,7.5,15,,13.113217,80.200536,,,,,RUSTED,NO E/W,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.200536 13.113217, 80.2015872951596 13.1143736466765)"
21,TN - 20,,T,DC,28,TN - 23 : TN - 24,176.5253799,7.8,15,38°8'26''LT,13.11437365,80.2015873,,,,,RUSTED,AVAILABLE,LT,ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2015872951596 13.1143736466765, 80.2043037023395 13.1149720307439)"
22,TN - 21,,S,DC,28,TN - 24 : TN - 25,304.8075224,8.5,14,,13.11497203,80.2043037,,,,,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2043037023395 13.1149720307439, 80.2070969715714 13.1155978236347)"
23,TN - 22,,S,DC,28,TN - 25 : TN - 26,313.6025321,8.9,16,,13.11559782,80.20709697,,,,,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2070969715714 13.1155978236347, 80.2098255325108 13.1162097025662)"
24,TN - 23,,S,DC,28,TN - 26 : TN - 27,306.4206398,9.2,14,,13.1162097,80.20982553,,,,,RUSTED,NO E/W,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2098255325108 13.1162097025662, 80.2127436921 13.116790652275)"
25,TN - 24,,S,DC,28,TN - 27 : TN - 28,325.788836,8.5,14,,13.11679065,80.21274369,,,,,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2127436921 13.116790652275, 80.2152126654982 13.1173739489167)"
26,TN - 25,2W,T,DC,28,TN - 28 : TN - 29,278.3018842,6.9,15,33°2'23''RT,13.11737395,80.21521267,2W,,,,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2152126654982 13.1173739489167, 80.2169011160731 13.119142781943)"
27,TN - 26,,S,DC,28,TN - 29 : TN - 30,270.897728,6.8,15,,13.11914278,80.21690112,,,,,RUSTED,NO E/W,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2169011160731 13.119142781943, 80.2185109443962 13.1208501756191)"
28,TN - 27,,T,DC,28,TN - 30 : TN - 31,260.1171036,6.7,14,16°28'46''LT,13.12085018,80.21851094,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2185109443962 13.1208501756191, 80.2208951767534 13.1222381349653)"
29,TN - 28,,S,DC,28,TN - 31 : TN - 32,303.5957769,7.5,12,,13.12223813,80.22089518,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2208951767534 13.1222381349653, 80.223264992237 13.1236788164824)"
30,TN - 29,,S,DC,28,TN - 32 : TN - 33,305.2842679,7.9,15,,13.12367882,80.22326499,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.223264992237 13.1236788164824, 80.2257293555885 13.1251461524516)"
31,TN - 30,,S,DC,28,TN - 33 : TN - 34,315.5594225,8.2,14,,13.12514615,80.22572936,,,,,RUSTED,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2257293555885 13.1251461524516, 80.2280677389353 13.1265468522906)"
32,TN - 31,,S,DC,28,TN - 34 : TN - 35,300.0617337,6.9,15,,13.12654685,80.22806774,,,,,RUSTED,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2280677389353 13.1265468522906, 80.2305031847208 13.1279827561229)"
33,TN - 32,,S,DC,28,TN - 35 : TN - 36,311.0755593,6.4,15,,13.12798276,80.23050318,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2305031847208 13.1279827561229, 80.2326910290867 13.1292629241943)"
34,TN - 33,,T,DC,28,TN - 36 : TN - 37,279.1990678,8.5,13,26°43'22''LT,13.12926292,80.23269103,,,,,RUSTED,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2326910290867 13.1292629241943, 80.2346464432775 13.129386305809)"
35,TN - 34,,S,DC,28,TN - 37 : TN - 38,215.394335,8.9,15,,13.12938631,80.23464644,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2346464432775 13.129386305809, 80.2366756182163 13.1295460648834)"
36,TN - 35,,T,DC,28,TN - 38 : TN - 39,223.6590886,8.4,13,32°30'12''RT,13.12954606,80.23667562,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2366756182163 13.1295460648834, 80.2386115863919 13.1285598501563)"
37,TN - 36,,S,DC,28,TN - 39 : TN - 40,239.5011532,9.5,14,,13.12855985,80.23861159,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2386115863919 13.1285598501563, 80.2406488079577 13.1275323964655)"
38,TN - 37,,T,DC,28,TN - 40 : GANTRY AT SEMBIUM SS,251.3457335,8.6,15,8°20'20''RT,13.1275324,80.24064881,,,,,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2406488079577 13.1275323964655, 80.241518 13.127038)"
39,TN - 38,,T,DC,29,GANTRY AT SEMBIUM SS : ,110,9.4,15,18°20'20''RT,13.127038,80.241518,,,,,RUSTED,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.241518 13.127038, 80.2431238163262 13.1267078686505)"
40,TN - 39,,T,DC,30, : ,185,8.2,13,50°6'55''LT,13.12670787,80.24312382,,,,,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2431238163262 13.1267078686505, 80.243514329195 13.1257144454866)"
41,TN - 40,,T,DC,31, : ,120.7414014,9.5,11,20°3'57''LT,13.12571445,80.24351433,,,,,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.243514329195 13.1257144454866, 80.243524890393 13.1252804305404)"
42,GANTRY AT SEMBIUM SS,2W,H-POLE,H-POLE,15, : ,51.01418582,,10,,13.12528043,80.24352489,2W,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
