S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,Suspension,DA+0,32,13-14,273,1,206,,13.0125,79.25228333,,,,,GOOD,GOOD,"HT, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25228333333334 13.0125, 79.25179722222222 13.01453888888889)"
12,11,,Tension,DD+0,34,14-15,233,2.3,205,"36°11'9.26""LT",13.01453889,79.25179722,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25179722222222 13.01453888888889, 79.24996944444445 13.016108333333333)"
13,12,,Suspension,DA+0,32,15-16,269,7,203,,13.01610833,79.24996944,,,,,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24996944444445 13.016108333333333, 79.24811666666666 13.017750000000001)"
14,13,,Suspension,DA+0,32,16-17,275,7.2,206,,13.01775,79.24811667,,,,,GOOD,GOOD,"LT, Two HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24811666666666 13.017750000000001, 79.24606666666666 13.019516666666668)"
15,14,,Tension,DD+0,34,17-18,298,6.1,204,"48°13’1.18""RT",13.01951667,79.24606667,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24606666666666 13.019516666666668, 79.24600833333334 13.021277777777778)"
16,15,,Suspension,DA+0,32,18-19,200,8.2,209,,13.02127778,79.24600833,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24600833333334 13.021277777777778, 79.24589166666667 13.023194444444446)"
17,16,,Tension,DC+0,32,19-20,221,0.9,210,"22°37'38.23""LT",13.02319444,79.24589167,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24589166666667 13.023194444444446, 79.24493611111112 13.025302777777778)"
18,17,,Suspension,DA+0,32,20-21,258,1.7,208,,13.02530278,79.24493611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24493611111112 13.025302777777778, 79.24395277777778 13.027502777777778)"
19,18,,Tension,DB+0,30,21-22,269,5.8,208,"5°38'55.42""LT",13.02750278,79.24395278,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24395277777778 13.027502777777778, 79.24261111111112 13.029716666666667)"
20,19,,Suspension,DA+0,32,22-23,290,8.2,212,,13.02971667,79.24261111,,,,,GOOD,GOOD,"LT, 400kv ",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24261111111112 13.029716666666667, 79.24182777777777 13.031066666666668)"
21,20,,Tension,DD+0,34,23-Thiruvalam 400 Gantry,174,2.6,213,"41°30’0.35""RT",13.03106667,79.24182778,,,,,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24182777777777 13.031066666666668, 79.24239722222222 13.033763888888888)"
22,21,,Suspension,DA+0,32,Thiruvalam 400 Gantry-,312,3.8,217,,13.03376389,79.24239722,,,,,GOOD,GOOD,"400kv, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24239722222222 13.033763888888888, 79.24295000000001 13.036577777777778)"
23,22,,Tension,DB+0,30,-,320,9.3,217,"14°52’18.49""RT",13.03657778,79.24295,,,,,GOOD,GOOD,765kv ,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24295000000001 13.036577777777778, 79.24408611111112 13.03881111111111)"
24,23,,Tension,DD+0,34,-,282,9,219,"63°42’34.01""RT",13.03881111,79.24408611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24408611111112 13.03881111111111, 79.24446388888889 13.038838888888888)"
25,Thiruvalam 400 Gantry,2W,,Gantry,18,-,49,-,227,,13.03883889,79.24446389,2W,,,,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
