S. No ,Tower No,Tower Type 1,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
74,T.NO 73,S,DA,26,72-73,263.643698957513,4.61,54,,79.65830555555556,12.294083333333333,GOOD,GOOD,LT-1,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65830555555556 12.294083333333333, 79.65619444444445 12.2925)"
75,T.NO 74,T,DC,26,73-74,289.006920332369,4.35,60,"21°3'23""",79.65619444444445,12.2925,GOOD,GOOD,"LT-2, HT-1",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65619444444445 12.2925, 79.65472222222223 12.290055555555556)"
76,T.NO 75,S,DA,26,74-75,313.847096529504,3.27,59,,79.65472222222223,12.290055555555556,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65472222222223 12.290055555555556, 79.65333333333334 12.287722222222222)"
77,T.NO 76,S,DA,26,75-76,298.750732216676,2.9,58,,79.65333333333334,12.287722222222222,GOOD,GOOD,LT-1,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65333333333334 12.287722222222222, 79.65180555555555 12.28525)"
78,T.NO 77,S,DA,26,76-77,318.989028024476,2.15,58,,79.65180555555555,12.28525,GOOD,GOOD,HT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65180555555555 12.28525, 79.65058333333334 12.283194444444446)"
79,T.NO 78,S,DA,26,77-78,264.622372447985,1.78,60,,79.65058333333334,12.283194444444446,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65058333333334 12.283194444444446, 79.64911111111111 12.280694444444446)"
80,T.NO 79,S,DA,26,78-79,318.662831218202,1.47,60,,79.64911111111111,12.280694444444446,GOOD,GOOD,,MUD ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64911111111111 12.280694444444446, 79.64758333333334 12.278194444444445)"
81,T.NO 80,S,DA,26,79-80,322.778561865561,2.78,60,,79.64758333333334,12.278194444444445,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64758333333334 12.278194444444445, 79.64611111111111 12.275805555555557)"
82,T.NO 81,S,DA,26,80-81,307.845740590965,4.12,59,,79.64611111111111,12.275805555555557,GOOD,GOOD,LT-2,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64611111111111 12.275805555555557, 79.64461111111112 12.273305555555556)"
83,T.NO 82,S,DA,26,81-82,321.048282973138,3.91,58,,79.64461111111112,12.273305555555556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64461111111112 12.273305555555556, 79.64316666666667 12.270861111111111)"
84,T.NO 83,S,DA,26,82-83,313.338475135116,3.53,61,,79.64316666666667,12.270861111111111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64316666666667 12.270861111111111, 79.64186111111111 12.268666666666668)"
85,T.NO 84,S,DA,26,83-84,282.97349699221,4.09,61.3333333333333,,79.64186111111111,12.268666666666668,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64186111111111 12.268666666666668, 79.64041666666667 12.266333333333334)"
86,T.NO 85,S,DA,26,84-85,302.535948277225,4.29,62.3333333333333,,79.64041666666667,12.266333333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64041666666667 12.266333333333334, 79.63900000000001 12.263944444444444)"
87,T.NO 86,S,DA,26,85-86,303.555596225798,3.5,63.3333333333333,,79.63900000000001,12.263944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63900000000001 12.263944444444444, 79.63769444444445 12.261833333333334)"
88,T.NO 87,S,DA,26,86-87,273.715180433969,4.7,64.3333333333333,,79.63769444444445,12.261833333333334,GOOD,GOOD,,,PLAIN,S.P KOIL LINES JURISDICTION END UPTO T.NO 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,TOTAL,25567M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
