S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,T,DC,26,13 - 14,57.46536282,4.96,57.949707,24°0'28''LT,12.86947866,79.94803674,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9480367358773 12.8694786597043, 79.9469090346246 12.8711739834398)"
12,11,,S,DC,26,14 - 15,226.4066795,4.21,55.569633,,12.87117398,79.94690903,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9469090346246 12.8711739834398, 79.9455790780484 12.8729226998984)"
13,12,,T,DC,26,15 - 16,243.8229184,3.69,54.958111,30°57'52''RT,12.8729227,79.94557908,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9455790780484 12.8729226998984, 79.9453121144324 12.8755169827491)"
14,13,,S,DC,26,16 - 17,290.8943471,6.71,54.716702,4°14'7''RT,12.87551698,79.94531211,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9453121144324 12.8755169827491, 79.945244975388 12.8779830224812)"
15,14,,T,DC,26,17 - 18,275.3489538,5.71,52.164635,148°13'57''LT,12.87798302,79.94524498,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.945244975388 12.8779830224812, 79.9464160110801 12.8799540270119)"
16,15,,T,DC,26,18 - 19,254.8303131,3.8,53.050407,12°3'34''LT,12.87995403,79.94641601,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9464160110801 12.8799540270119, 79.9471480026841 12.8821410331875)"
17,16,2W,T,DC,26,19 - 20,257.0967691,2.85,51.066616,6°57'33''LT,12.88214103,79.947148,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9471480026841 12.8821410331875, 79.9477255158126 12.8849973343312)"
18,17,,S,DC,26,20 - 21,324.5709942,-,49.64753,,12.88499733,79.94772552,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9477255158126 12.8849973343312, 79.948096498847 12.8866806719452)"
19,18,,S,DC,26,21 - 22,192.9844124,-,51,,12.88668067,79.9480965,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.948096498847 12.8866806719452, 79.9487880058586 12.889597993344)"
20,19,,T,DC,26,22 - 23,333.7741949,7.25,45.017178,2°25'29''LT,12.88959799,79.94878801,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9487880058586 12.889597993344, 79.9490185920149 12.8907990362495)"
21,20,,T,DC,26,23 - 24,137.6747818,4.17,45.311241,41°10'7''RT,12.89079904,79.94901859,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9490185920149 12.8907990362495, 79.9507481977343 12.8921325970441)"
22,21,,S,DC,26,24 - 25,241.1961904,6.79,44.932663,,12.8921326,79.9507482,GOOD,AVAILABLE,,"ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9507481977343 12.8921325970441, 79.9525123368948 12.8934706840664)"
23,22,,T,DC,26,25 - 26,244.4583357,2.91,44.460625,20°14'8''LT,12.89347068,79.95251234,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9525123368948 12.8934706840664, 79.9536392837762 12.8952361643314)"
24,23,,T,DC,26,26 - 27,232.8940765,5.31,43.704739,15°27'55''RT,12.89523616,79.95363928,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9536392837762 12.8952361643314, 79.9552783649414 12.8967085294425)"
25,24,,S,DC,26,27 - 28,243.6405004,3.84,41.929588,,12.89670853,79.95527836,GOOD,AVAILABLE,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9552783649414 12.8967085294425, 79.9569549970328 12.8981359675526)"
26,25,,T,DC,26,28 - 29,243.3743125,1.5,40.007774,5°27'36''LT,12.89813597,79.956955,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9569549970328 12.8981359675526, 79.9585870373994 12.899817964062)"
27,26,,T,DC,26,29 - 30,259.3381739,7.01,39.784813,63°9'53''RT,12.89981796,79.95858704,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9585870373994 12.899817964062, 79.9605240114033 12.8992459829896)"
28,27,,S,DC,26,30 - 31,221.9804525,4.23,38.844437,,12.89924598,79.96052401,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9605240114033 12.8992459829896, 79.9621350131928 12.8988180030137)"
29,28,,T,DC,26,31 - 32,183.59302,4.19,38.732536,25°53'45''LT,12.898818,79.96213501,GOOD,AVAILABLE,,ROAD,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9621350131928 12.8988180030137, 79.9639080371707 12.8991479985415)"
30,29,,T,DC,26,32 - 33,198.3084244,2.09,37.995975,70°22'14''LT,12.899148,79.96390804,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9639080371707 12.8991479985415, 79.9643439799547 12.9018830135464)"
31,30,,S,DC,26,33 - 34,308.6757047,4.45,39.606834,,12.90188301,79.96434398,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9643439799547 12.9018830135464, 79.9647140409797 12.9045096505433)"
32,31,,S,DC,26,34 - 35,295.7746509,1.28,39.898125,,12.90450965,79.96471404,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9647140409797 12.9045096505433, 79.9651359859853 12.9070640355348)"
33,32,2W,T,DC,26,35 - 36,288.7070345,3.5,40.285065,30°31'21''RT,12.90706404,79.96513599,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9651359859853 12.9070640355348, 79.9667166452854 12.9089299309998)"
34,33,,S,DC,26,36 - 37,270.8310573,9,36.648983,,12.90892993,79.96671665,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9667166452854 12.9089299309998, 79.9684210214763 12.9108069743961)"
35,34,,T,DC,26,37 - 38,280.5209642,6.61,37.614182,67°44'51''RT,12.91080697,79.96842102,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9684210214763 12.9108069743961, 79.9709569662809 12.9099289700388)"
36,35,,S,DC,26,38 - 39,294.2764406,2.07,35.773922,,12.90992897,79.97095697,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9709569662809 12.9099289700388, 79.9717229884117 12.9096749983727)"
37,36,,S,DC,26,39 - 40,90.22976729,7.25,34.020763,,12.909675,79.97172299,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9717229884117 12.9096749983727, 79.9741979967802 12.9087870195508)"
38,37,,T,DC,26,40 - 41,288.4283357,4.6,33.098003,44°47'20''LT,12.90878702,79.974198,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9741979967802 12.9087870195508, 79.9762570112943 12.9097159858793)"
39,38,,T,DC,26,41 - 42,248.3924441,1.78,32.00312,4°56'56''LT,12.90971599,79.97625701,GOOD,NO E/W,400KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9762570112943 12.9097159858793, 79.9786409921944 12.9110470321029)"
40,39,,S,DC,26,42 - 43,300.1149525,5.49,30.227757,,12.91104703,79.97864099,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9786409921944 12.9110470321029, 79.9810180161148 12.9123639967292)"
41,40,,S,DC,26,43 - 44,298.6887885,3.11,29.344194,,12.912364,79.98101802,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9810180161148 12.9123639967292, 79.9832330178469 12.9136269818991)"
42,41,,S,DC,26,44 - 45,280.4666807,3.08,30.174133,,12.91362698,79.98323302,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9832330178469 12.9136269818991, 79.9854143243283 12.9149016179144)"
43,42,,S,DC,26,45 - 46,277.9682453,6.5,31,,12.91490162,79.98541432,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9854143243283 12.9149016179144, 79.9876048509031 12.9161905869841)"
44,43,,T,DC,26,46 - 47,279.6390408,-,31,19°57'22''LT,12.91619059,79.98760485,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9876048509031 12.9161905869841, 79.9891470372676 12.9180529620498)"
45,44,2W,T,DC,26,47 - 48,267.8747461,6.07,30.015524,29°37'49''LT,12.91805296,79.98914704,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9891470372676 12.9180529620498, 79.9894949700683 12.9201020020991)"
46,45,,S,DC,26,48 - 49,232.250161,8.15,27.872183,,12.920102,79.98949497,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9894949700683 12.9201020020991, 79.9898770172148 12.922252966091)"
47,46,,T,DC,26,49 - 50,243.9847085,8.2,28.402592,73°5'30''RT,12.92225297,79.98987702,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9898770172148 12.922252966091, 79.9924670252949 12.9225660301744)"
48,47,,T,DC,26,50 - 51,285.6179795,4.03,28.148733,20°6'17''LT,12.92256603,79.99246703,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9924670252949 12.9225660301744, 79.9944149795919 12.9235450364649)"
49,48,,T,DC,26,51 - 52,239.9594302,6.32,28.146681,47°9'30''LT,12.92354504,79.99441498,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9944149795919 12.9235450364649, 79.9947189912199 12.92460501194)"
50,49,,T,DC,26,52 - 53,124.2864506,4.7,34.838581,50°4'58''RT,12.92460501,79.99471899,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9947189912199 12.92460501194, 79.994879 12.924567)"
51,50,,T,H-POLE,15,53 - 54,32.70906232,-,34.7896,5°11'32''LT,12.924567,79.994879,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.994879 12.924567, 79.995241 12.924746)"
52,51,,T,H-POLE,15,54 - 55,51,-,34,,12.924746,79.995241,GOOD,NO E/W,230 KV,,,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.995241 12.924746, 79.995597 12.924942)"
53,52,,T,H-POLE,15,55 - T/OFF :56,49,-,34.470417,11°17'4''RT,12.924942,79.995597,GOOD,NO E/W,230 KV ,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.995597 12.924942, 79.9958559963852 12.9251189902424)"
54,53,,T,DC,26,T/OFF :56 - 57,44.84601492,6.24,33.334988,46°36'51''LT,12.92511899,79.995856,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9958559963852 12.9251189902424, 79.9966604914516 12.9267903417348)"
55,54,,T,DC,26,57 - 58,206.9232057,2.87,33.998161,82°49'33''RT,12.92679034,79.99666049,GOOD,AVAILABLE,"LT, HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9966604914516 12.9267903417348, 79.9993273615837 12.9259353037923)"
56,55,,S,DC,26,58 - 59,306.8895217,3.15,33.55167,,12.9259353,79.99932736,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9993273615837 12.9259353037923, 80.0011682789772 12.9253429546952)"
57,T/OFF :56,3W,T,DC,25,59 - 60,212.6909593,7.1,33.262924,16°56'43''LT,12.92534295,80.00116828,GOOD,AVAILABLE,,,PLAIN,T/OFF TO JK TYRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0011682789772 12.9253429546952, 80.0027979724109 12.9253090079873)"
58,57,,T,DC,25,60 - 61,179.3443671,4.64,32.988537,26°3'7''LT,12.92530901,80.00279797,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0027979724109 12.9253090079873, 80.004199007526 12.9259450268)"
59,58,,T,DC,25,61 - 62,169.985938,2.78,35.335503,10°9'28''LT,12.92594503,80.00419901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.004199007526 12.9259450268, 80.0057131983339 12.9269847180694)"
60,59,,T,DC,25,62 - 63,203.0208056,6.01,32.33643,18°1'22''RT,12.92698472,80.0057132,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0057131983339 12.9269847180694, 80.0068235490471 12.9273170605301)"
61,60,,T,DC,25,63 - 64,128.4436407,3.33,31.806742,1°46'26''LT,12.92731706,80.00682355,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0068235490471 12.9273170605301, 80.0085959862917 12.9279069788753)"
62,61,,T,DC,25,64 - 65,205.5564883,5.89,30.646505,16°7'50''RT,12.92790698,80.00859599,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0085959862917 12.9279069788753, 80.010562967509 12.9279949888587)"
63,62,,T,DC,25,65 - 66,216.1158599,2.61,29.578184,0°12'30''LT,12.92799499,80.01056297,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.010562967509 12.9279949888587, 80.0126329623162 12.9280949849635)"
64,63,,T,DC,25,66 - 67,227.341666,6.92,30.128977,10°52'11''LT,12.92809498,80.01263296,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0126329623162 12.9280949849635, 80.0145225785672 12.9285464342683)"
65,64,,T,DC,25,67 - 68,213.4933557,3.75,30.168152,5°35'50''RT,12.92854643,80.01452258,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0145225785672 12.9285464342683, 80.0161845423281 12.928778193891)"
66,65,,T,DC,25,68 - 69,184.6153556,-,30,43°12'38''RT,12.92877819,80.01618454,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0161845423281 12.928778193891, 80.0181678682565 12.9274099320173)"
67,66,,T,DC,25,69 - 70,265.5548271,-,29.070648,23°33'25''RT,12.92740993,80.01816787,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0181678682565 12.9274099320173, 80.0192349683493 12.9256899654865)"
68,67,,T,DC,25,70 - 71,225.1875767,3.44,30.522186,18°50'5''LT,12.92568997,80.01923497,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0192349683493 12.9256899654865, 80.0206729676574 12.9245129786431)"
69,68,,S,DC,26,71 - 72,205.684624,2.89,27.990585,,12.92451298,80.02067297,GOOD,AVAILABLE,"HT, LT",ROAD,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0206729676574 12.9245129786431, 80.0230589602142 12.9223689716309)"
70,69,,T,DC,25,72 - 73,353.5504779,6.42,29.762043,19°7'20''LT,12.92236897,80.02305896,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0230589602142 12.9223689716309, 80.0255430210381 12.9213160369545)"
71,70,,T,DC,25,73 - 74,296.0816208,4.2,27.352036,18°5'18''RT,12.92131604,80.02554302,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0255430210381 12.9213160369545, 80.0265470054 12.9204459954053)"
72,71,,S,DC,26,74 - 75,147.8405938,1.78,27.741753,,12.920446,80.02654701,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0265470054 12.9204459954053, 80.0280140060931 12.9191619716584)"
73,72,,S,DC,26,75 - 76,215.8043607,3.36,26.34108,,12.91916197,80.02801401,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0280140060931 12.9191619716584, 80.0287950318306 12.9184329975396)"
74,73,,S,DC,26,76 - 77,119.4630517,4.71,25.644867,,12.918433,80.02879503,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0287950318306 12.9184329975396, 80.0296889618039 12.9176799673587)"
75,74,2W,T,DC,25,77 - 78,130.3373965,6.03,27.013754,21°23'20''LT,12.91767997,80.02968896,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0296889618039 12.9176799673587, 80.0309459958225 12.9172489698976)"
76,75,,S,DC,26,78 - 79,146.9689296,9.2,27.109869,,12.91724897,80.030946,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0309459958225 12.9172489698976, 80.0329299923032 12.9166525136679)"
77,76,,T,DC,26,79 - 80,227.6300112,2.87,26.559126,11°3'24''LT,12.91665251,80.03292999,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0329299923032 12.9166525136679, 80.0341554265469 12.9165265336632)"
78,77,,S,DC,26,80 - 81,136.1782153,5.61,29.148926,,12.91652653,80.03415543,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0341554265469 12.9165265336632, 80.0350579898804 12.9164550360292)"
79,78,,T,DC,25,81 - 82,100.7398838,3.92,27.739664,60°16'41''RT,12.91645504,80.03505799,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0350579898804 12.9164550360292, 80.0355289690196 12.9154689889401)"
80,79,,T,DC,25,82 - 83,122.9345027,1.68,28.300978,153°41'54''LT,12.91546899,80.03552897,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0355289690196 12.9154689889401, 80.0355070084333 12.91443801485)"
81,80,,T,DC,25,83 - 84,116.5511337,5.01,28.036201,154°28'8''RT,12.91443801,80.03550701,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0355070084333 12.91443801485, 80.0361280236393 12.9130909591913)"
82,81,,T,DC,25,84 - 85,166.0116475,2.64,26.817968,147°27'54''LT,12.91309096,80.03612802,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0361280236393 12.9130909591913, 80.0358540192246 12.9112259857356)"
83,82,,S,DC,26,85 - 86,210.898143,7.13,28.737534,,12.91122599,80.03585402,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0358540192246 12.9112259857356, 80.0354935135692 12.9090590961277)"
84,83,,T,DC,25,86 - 87,245.3296724,-,29,56°55'53''RT,12.9090591,80.03549351,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0354935135692 12.9090590961277, 80.0340509880334 12.9084349796175)"
85,84,,S,DC,26,87 - 88,173.5539179,4.09,27.781538,,12.90843498,80.03405099,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0340509880334 12.9084349796175, 80.0329553894698 12.9080086760222)"
86,85,,S,DC,26,88 - 89,130.3774304,-,27.660604,,12.90800868,80.03295539,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0329553894698 12.9080086760222, 80.0319441128522 12.9075755830854)"
87,86,,S,DC,26,89 - 90,122.2197227,-,27,0°7'45''LT,12.90757558,80.03194411,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0319441128522 12.9075755830854, 80.0306849833577 12.9070330224931)"
88,87,2W,T,DC,25,90 - 91,151.7093641,5.12,27.442739,47°6'23''LT,12.90703302,80.03068498,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0306849833577 12.9070330224931, 80.0300570111721 12.905262010172)"
89,88,,S,DC,26,91 - 92,209.8863953,9.07,25.47205,,12.90526201,80.03005701,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0300570111721 12.905262010172, 80.0293179787695 12.9032490123063)"
90,89,,T,DC,25,92 - 93,239.1376364,6.1,25.398771,124°43'31''RT,12.90324901,80.02931798,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0293179787695 12.9032490123063, 80.0306124798953 12.9014666005969)"
91,90,,T,DC,26,93 - 94,244.5518375,-,26,33°18'21''LT,12.9014666,80.03061248,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0306124798953 12.9014666005969, 80.0323254894465 12.9008139017969)"
92,91,,T,DC,26,94 - 95,201.8867231,-,27,22°27'19''RT,12.9008139,80.03232549,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0323254894465 12.9008139017969, 80.0337395165115 12.8994891420006)"
93,92,,T,DC,26,95 - 96,214.6457598,-,29,19°13'52''RT,12.89948914,80.03373952,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0337395165115 12.8994891420006, 80.0346140004694 12.8978117555379)"
