S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),No.s of Earthing Sets ( Pipe Earthing  / Counter Poise ),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
25,T.NO 24,2W,T,MB,45,24-25,248.3646513,3.36,,26,"1°28'4""",80.11147222,13.16138889,GOOD,GOOD,HT; LT,ROAD;MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11147222222222 13.161388888888888, 80.11261111111111 13.158805555555556)"
26,T.NO 25,,S,MA,45,25-26,308.3115308,3.95,,25,,80.11261111,13.15880556,GOOD,GOOD,,,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11261111111111 13.158805555555556, 80.11377777777777 13.156222222222222)"
27,T.NO 26,,S,MA,45,26-27,313.4405845,3.78,,22,,80.11377778,13.15622222,GOOD,GOOD,,,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11377777777777 13.156222222222222, 80.11491666666666 13.153722222222223)"
28,T.NO 27,,S,MA,45,27-28,302.6763949,3.52,,22,,80.11491667,13.15372222,GOOD,GOOD,,MUDROAD;RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11491666666666 13.153722222222223, 80.11597222222221 13.151583333333333)"
29,T.NO 28,,S,MA,45,28-29,263.4274094,3.87,,20,,80.11597222,13.15158333,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11597222222221 13.151583333333333, 80.11699999999999 13.149222222222221)"
30,T.NO 29,,S,MA,45,29-30,282.7030244,3.56,,22,,80.117,13.14922222,GOOD,GOOD,LT,ROAD;MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11699999999999 13.149222222222221, 80.11816666666665 13.146694444444444)"
31,T.NO 30,,S,MA,45,30-31,308.9741089,3.97,,27,,80.11816667,13.14669444,GOOD,GOOD,LT,ROAD;MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11816666666665 13.146694444444444, 80.11930555555556 13.144305555555555)"
32,T.NO 31,,T,MC,45,31-32,291.2473176,3.12,,25,"25°40'18""",80.11930556,13.14430556,GOOD,GOOD,4-HT,ROAD;MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11930555555556 13.144305555555555, 80.11913888888888 13.141972222222222)"
33,T.NO 32,,S,MA,45,32-33,258.6271447,2.27,,27,,80.11913889,13.14197222,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11913888888888 13.141972222222222, 80.11911111111111 13.13888888888889)"
34,T.NO 33,,S,MA,45,33-34,340.0529371,1.42,,25,,80.11911111,13.13888889,GOOD,GOOD,,LAKE,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11911111111111 13.13888888888889, 80.11905555555555 13.136305555555555)"
